date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-3,-5,-5,4,0,1,10,265,1004,14,0.1,0.0,7.2,-2,86,1,Hubbard County,Minnesota
2020-03-02,-1,-1,-10,-11,-11,5,-5,-6,10,225,1006,14,0.1,0.1,8.7,-8,80,1,Hubbard County,Minnesota
2020-03-03,0,0,-7,-8,-8,4,-3,-1,10,298,1001,14,0.8,0.7,7.2,-5,83,1,Hubbard County,Minnesota
2020-03-04,0,0,-10,-9,-9,5,-5,-4,7,192,1011,11,0.1,0.1,8.7,-7,86,1,Hubbard County,Minnesota
2020-03-05,0,0,-5,-6,-6,3,-1,0,11,346,1014,15,2.4,1.6,5.8,-3,89,1,Hubbard County,Minnesota
2020-03-06,0,0,-9,-8,-8,4,-4,-4,8,168,1031,11,0.0,0.0,11.6,-7,84,2,Hubbard County,Minnesota
2020-03-07,4,4,-3,-4,-4,5,0,1,9,178,1016,14,0.0,0.0,10.2,-2,84,1,Hubbard County,Minnesota
2020-03-08,7,7,1,0,0,5,3,5,7,203,1007,13,0.1,0.0,8.7,2,92,1,Hubbard County,Minnesota
2020-03-09,-2,-2,-9,-11,-11,5,-6,-6,9,343,1021,12,0.3,0.3,10.2,-8,83,1,Hubbard County,Minnesota
2020-03-10,0,0,-11,-9,-9,6,-6,-5,4,216,1025,6,0.0,0.0,8.7,-10,77,1,Hubbard County,Minnesota
2020-03-11,2,2,-6,-6,-6,4,-2,-1,8,184,1012,13,0.0,0.0,5.9,-3,93,1,Hubbard County,Minnesota
2020-03-12,1,1,-5,-6,-6,4,-1,0,9,311,1007,13,1.9,1.4,5.9,-3,88,1,Hubbard County,Minnesota
2020-03-13,-7,-7,-11,-16,-16,6,-9,-8,12,307,1026,15,0.0,0.0,5.9,-11,82,1,Hubbard County,Minnesota
2020-03-14,-3,-3,-13,-13,-13,6,-9,-8,5,44,1040,7,0.0,0.0,7.4,-11,83,1,Hubbard County,Minnesota
2020-03-15,-2,-2,-10,-10,-10,4,-6,-5,6,150,1038,9,0.1,0.0,6.0,-7,90,1,Hubbard County,Minnesota
2020-03-16,-1,-1,-9,-9,-9,4,-4,-2,9,286,1023,12,3.5,2.9,8.8,-5,88,1,Hubbard County,Minnesota
2020-03-17,0,0,-9,-9,-9,6,-5,-5,6,273,1024,9,0.0,0.0,11.6,-8,83,2,Hubbard County,Minnesota
2020-03-18,2,2,-4,-4,-4,3,-1,0,5,112,1019,7,1.4,1.0,6.0,-2,96,1,Hubbard County,Minnesota
2020-03-19,0,0,-7,-6,-6,2,-2,-1,9,348,1019,13,1.1,0.8,6.0,-3,92,1,Hubbard County,Minnesota
2020-03-20,-6,-6,-14,-17,-17,5,-11,-10,9,348,1036,13,0.2,0.2,10.2,-13,85,1,Hubbard County,Minnesota
2020-03-21,-2,-2,-13,-12,-12,5,-7,-6,7,154,1034,11,0.2,0.1,6.1,-10,83,1,Hubbard County,Minnesota
2020-03-22,1,1,-5,-6,-6,3,-1,-1,9,171,1022,13,1.8,1.4,6.1,-2,94,1,Hubbard County,Minnesota
2020-03-23,3,3,-6,-3,-3,5,-1,0,4,213,1020,6,0.2,0.3,11.6,-3,90,2,Hubbard County,Minnesota
2020-03-24,4,4,-4,-4,-4,6,0,2,9,168,1013,16,3.3,0.0,6.1,0,92,1,Hubbard County,Minnesota
2020-03-25,0,0,-2,-4,-4,6,0,-1,8,344,1012,10,0.2,0.0,6.1,-2,90,1,Hubbard County,Minnesota
