date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-5,-4,-4,6,0,1,8,286,1020,11,0.0,0.0,11.2,-8,58,2,Hunterdon County,New Jersey
2020-03-02,13,13,-2,3,3,5,5,7,7,201,1015,12,0.4,0.0,11.2,0,69,3,Hunterdon County,New Jersey
2020-03-03,14,14,6,8,8,4,10,11,8,167,1005,12,11.8,0.0,5.6,8,89,3,Hunterdon County,New Jersey
2020-03-04,11,11,2,3,3,6,6,7,11,265,1008,18,5.3,0.0,11.3,1,69,3,Hunterdon County,New Jersey
2020-03-05,11,11,0,3,3,6,5,6,6,285,1019,9,0.1,0.0,11.3,-2,62,3,Hunterdon County,New Jersey
2020-03-06,8,8,1,1,1,5,4,5,7,71,1011,11,2.8,0.8,7.1,0,79,2,Hunterdon County,New Jersey
2020-03-07,6,6,-1,0,0,4,4,3,11,340,1023,15,3.0,2.1,11.3,-5,65,2,Hunterdon County,New Jersey
2020-03-08,11,11,-2,3,3,6,6,7,7,256,1030,12,0.0,0.0,11.4,-3,58,3,Hunterdon County,New Jersey
2020-03-09,17,17,3,8,8,6,10,12,8,246,1027,12,0.0,0.0,11.6,3,64,4,Hunterdon County,New Jersey
2020-03-10,15,15,8,10,10,5,12,13,9,215,1018,15,3.3,0.0,5.9,8,80,3,Hunterdon County,New Jersey
2020-03-11,12,12,2,6,6,6,8,9,5,182,1020,7,0.0,0.0,8.8,1,64,2,Hunterdon County,New Jersey
2020-03-12,10,10,3,5,5,6,7,8,6,109,1020,9,0.1,0.0,5.9,2,75,2,Hunterdon County,New Jersey
2020-03-13,19,19,6,11,11,5,13,15,13,263,1012,20,4.4,0.0,8.8,7,74,4,Hunterdon County,New Jersey
2020-03-14,10,10,2,3,3,5,6,7,8,305,1027,12,0.6,0.0,11.6,-2,58,3,Hunterdon County,New Jersey
2020-03-15,11,11,2,3,3,6,6,7,7,235,1032,10,0.1,0.0,11.6,-3,61,3,Hunterdon County,New Jersey
2020-03-16,7,7,-2,0,0,6,3,5,8,119,1033,12,0.0,0.0,8.8,-4,60,1,Hunterdon County,New Jersey
2020-03-17,10,10,3,5,5,3,7,8,6,241,1023,9,2.4,0.0,6.0,5,90,2,Hunterdon County,New Jersey
2020-03-18,12,12,1,5,5,6,6,8,6,118,1031,8,0.0,0.0,11.6,0,66,3,Hunterdon County,New Jersey
2020-03-19,10,10,4,5,5,4,7,8,6,74,1024,9,25.2,0.0,6.0,7,95,2,Hunterdon County,New Jersey
2020-03-20,22,22,7,14,14,5,15,17,10,233,1014,17,6.7,0.0,6.1,12,86,4,Hunterdon County,New Jersey
