date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,8,13,13,6,15,14,8,292,1005,15,0.0,0.0,11.3,-5,26,4,Hutchinson County,Texas
2020-03-02,13,13,5,6,6,6,9,8,10,105,1010,15,0.0,0.0,11.3,-1,49,3,Hutchinson County,Texas
2020-03-03,16,16,6,9,9,6,11,11,10,67,1012,15,0.0,0.0,8.6,-6,31,3,Hutchinson County,Texas
2020-03-04,15,15,7,9,9,6,11,11,10,64,1018,16,0.0,0.0,11.3,-7,32,3,Hutchinson County,Texas
2020-03-05,15,15,8,8,8,6,11,11,13,39,1025,20,0.0,0.0,11.4,-4,37,4,Hutchinson County,Texas
2020-03-06,18,18,4,9,9,6,11,11,14,205,1030,20,0.0,0.0,11.4,-4,35,4,Hutchinson County,Texas
2020-03-07,20,20,9,12,12,6,14,14,20,201,1020,29,0.0,0.0,11.4,1,44,4,Hutchinson County,Texas
2020-03-08,20,20,11,13,13,6,15,16,19,198,1013,27,4.1,0.0,10.1,7,59,4,Hutchinson County,Texas
2020-03-09,19,19,11,12,12,6,14,14,13,341,1014,19,5.0,0.0,11.5,5,55,4,Hutchinson County,Texas
2020-03-10,24,24,10,15,15,6,16,17,16,205,1018,23,0.0,0.0,10.1,4,48,5,Hutchinson County,Texas
2020-03-11,21,21,11,15,15,6,16,15,11,120,1014,18,0.0,0.0,11.5,5,50,5,Hutchinson County,Texas
2020-03-12,23,23,16,19,19,6,20,19,13,158,1008,21,0.0,0.0,11.5,3,37,5,Hutchinson County,Texas
2020-03-13,8,8,2,2,2,4,6,6,18,96,1019,22,16.2,0.0,6.0,2,74,2,Hutchinson County,Texas
2020-03-14,20,20,2,11,11,5,11,12,6,202,1020,8,10.5,8.3,11.6,3,69,4,Hutchinson County,Texas
2020-03-15,7,7,1,2,2,5,5,5,11,120,1028,13,0.6,0.0,6.0,2,79,2,Hutchinson County,Texas
2020-03-16,23,23,6,13,13,6,16,16,14,226,1018,19,0.0,0.0,11.6,8,68,5,Hutchinson County,Texas
2020-03-17,14,14,7,10,10,5,12,13,15,119,1016,22,32.3,0.0,6.0,11,89,3,Hutchinson County,Texas
2020-03-18,24,24,11,16,16,6,17,18,15,225,1010,22,1.6,0.0,11.6,7,59,5,Hutchinson County,Texas
2020-03-19,19,19,13,14,14,6,15,15,26,239,1007,34,1.9,0.0,11.6,2,48,5,Hutchinson County,Texas
2020-03-20,9,9,1,0,0,6,5,4,15,41,1030,19,0.0,0.0,10.2,-4,54,1,Hutchinson County,Texas
2020-03-21,13,13,2,2,2,6,6,7,14,181,1027,18,0.0,0.0,10.2,-2,56,2,Hutchinson County,Texas
2020-03-22,21,21,6,11,11,6,13,14,15,247,1015,22,0.0,0.0,7.6,0,51,3,Hutchinson County,Texas
2020-03-23,24,24,9,15,15,5,16,15,9,142,1012,14,0.0,0.0,10.3,3,52,3,Hutchinson County,Texas
2020-03-24,21,21,10,14,14,6,15,15,8,111,1010,14,0.0,0.0,11.6,1,40,5,Hutchinson County,Texas
2020-03-25,28,28,13,19,19,6,20,20,17,245,1007,27,0.0,0.0,11.6,-3,24,6,Hutchinson County,Texas
2020-03-26,30,30,16,23,23,6,23,24,18,242,1003,27,0.0,0.0,11.6,1,25,6,Hutchinson County,Texas
2020-03-27,23,23,17,20,20,6,20,21,21,233,1002,30,0.0,0.0,11.6,4,35,6,Hutchinson County,Texas
2020-03-28,17,17,8,10,10,6,12,13,22,303,1007,30,0.0,0.0,11.6,-7,26,4,Hutchinson County,Texas
2020-03-29,20,20,6,12,12,6,13,13,11,200,1018,15,0.0,0.0,10.3,-3,37,3,Hutchinson County,Texas
2020-03-30,17,17,9,11,11,6,13,14,14,167,1013,20,3.8,0.0,7.7,6,63,3,Hutchinson County,Texas
