date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-8,-6,-6,5,-2,0,7,233,1021,10,0.0,0.0,11.6,-7,71,1,Indiana County,Pennsylvania
2020-03-02,11,11,1,3,3,5,6,7,9,222,1011,15,4.9,0.0,7.3,3,83,2,Indiana County,Pennsylvania
2020-03-03,12,12,6,7,7,3,8,9,9,199,1004,14,14.1,0.0,5.8,6,91,2,Indiana County,Pennsylvania
2020-03-04,8,8,0,-1,-1,5,3,4,10,259,1011,15,5.1,1.6,8.7,0,84,1,Indiana County,Pennsylvania
2020-03-05,9,9,-2,2,2,4,4,5,4,150,1019,7,0.0,0.0,8.7,-2,74,1,Indiana County,Pennsylvania
2020-03-06,6,6,-1,-2,-2,4,2,2,9,305,1013,13,4.8,2.8,5.9,-1,83,1,Indiana County,Pennsylvania
2020-03-07,4,4,-3,-4,-4,5,0,1,8,299,1030,11,0.2,0.2,10.2,-5,70,2,Indiana County,Pennsylvania
2020-03-08,11,11,-2,2,2,6,5,6,6,231,1031,10,0.0,0.0,11.6,-3,66,3,Indiana County,Pennsylvania
2020-03-09,15,15,3,7,7,6,9,10,8,231,1027,13,0.0,0.0,11.6,3,71,3,Indiana County,Pennsylvania
2020-03-10,12,12,3,6,6,4,9,11,10,251,1018,16,10.5,0.0,5.9,6,85,3,Indiana County,Pennsylvania
2020-03-11,10,10,0,4,4,4,5,6,3,200,1020,4,0.0,0.0,5.9,2,85,2,Indiana County,Pennsylvania
2020-03-12,14,14,4,8,8,6,9,10,7,171,1014,10,0.4,0.0,5.9,7,85,3,Indiana County,Pennsylvania
2020-03-13,12,12,4,5,5,6,9,10,14,279,1014,20,2.5,0.0,8.8,3,69,2,Indiana County,Pennsylvania
2020-03-14,7,7,-1,0,0,5,2,4,6,292,1030,9,0.9,0.3,8.8,-4,65,1,Indiana County,Pennsylvania
2020-03-15,8,8,-1,1,1,4,3,4,5,54,1033,7,0.8,0.3,11.6,-1,77,2,Indiana County,Pennsylvania
2020-03-16,6,6,-2,-1,-1,5,3,4,8,150,1029,12,0.3,0.0,8.8,-3,65,1,Indiana County,Pennsylvania
2020-03-17,8,8,2,3,3,6,5,6,6,276,1023,9,3.8,0.0,7.4,3,89,2,Indiana County,Pennsylvania
2020-03-18,10,10,0,3,3,5,5,6,7,132,1027,10,12.2,0.0,10.2,2,80,2,Indiana County,Pennsylvania
2020-03-19,15,15,8,11,11,4,12,13,5,240,1019,9,19.3,0.0,6.0,11,93,3,Indiana County,Pennsylvania
