date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,8,13,13,6,14,15,5,172,1025,9,0.0,0.0,11.3,6,62,5,Jackson County,Florida
2020-03-02,22,22,11,16,16,6,16,18,11,189,1018,17,2.0,0.0,8.6,11,72,4,Jackson County,Florida
2020-03-03,25,25,17,20,20,4,21,22,10,222,1014,16,0.5,0.0,7.2,17,85,5,Jackson County,Florida
2020-03-04,26,26,18,22,23,4,23,23,10,225,1013,18,34.6,0.0,5.7,19,90,5,Jackson County,Florida
2020-03-05,24,24,16,20,21,4,21,22,11,245,1013,17,16.5,0.0,5.7,17,87,5,Jackson County,Florida
2020-03-06,16,16,10,11,11,6,13,14,12,337,1023,17,0.0,0.0,11.4,5,64,4,Jackson County,Florida
2020-03-07,15,15,4,8,8,6,10,10,9,36,1030,13,0.0,0.0,11.4,0,53,4,Jackson County,Florida
2020-03-08,19,19,7,11,11,6,12,14,7,109,1032,11,0.0,0.0,10.2,3,55,4,Jackson County,Florida
2020-03-09,21,21,10,15,15,6,16,17,8,155,1031,13,0.3,0.0,8.8,10,70,4,Jackson County,Florida
2020-03-10,23,23,15,18,18,6,18,19,6,212,1027,10,0.1,0.0,10.2,13,76,4,Jackson County,Florida
2020-03-11,25,25,15,19,19,4,20,21,7,226,1021,10,1.6,0.0,10.2,16,81,5,Jackson County,Florida
2020-03-12,27,27,16,21,22,4,22,23,7,231,1017,11,0.0,0.0,11.6,16,77,6,Jackson County,Florida
2020-03-13,28,28,16,21,22,4,22,23,6,257,1020,9,0.0,0.0,11.6,16,76,6,Jackson County,Florida
2020-03-14,28,28,17,22,22,6,22,24,3,161,1024,6,0.0,0.0,11.6,16,71,6,Jackson County,Florida
2020-03-15,28,28,17,22,23,6,23,24,3,218,1024,6,0.0,0.0,11.6,14,63,6,Jackson County,Florida
2020-03-16,28,28,17,22,23,6,23,24,6,155,1023,9,0.0,0.0,10.2,16,69,5,Jackson County,Florida
2020-03-17,27,27,19,22,23,6,23,24,4,235,1022,6,0.2,0.0,8.8,16,71,5,Jackson County,Florida
2020-03-18,28,28,17,22,23,6,23,24,6,184,1023,10,0.5,0.0,7.4,17,73,5,Jackson County,Florida
2020-03-19,29,29,18,23,23,5,23,25,7,175,1024,12,0.0,0.0,11.6,18,75,7,Jackson County,Florida
2020-03-20,28,28,18,22,23,4,23,24,7,214,1024,11,0.0,0.0,8.8,18,81,5,Jackson County,Florida
2020-03-21,28,28,18,22,23,3,23,24,5,309,1024,8,7.5,0.0,8.8,18,82,5,Jackson County,Florida
2020-03-22,24,24,17,20,20,6,21,21,6,144,1023,10,2.1,0.0,7.4,16,79,5,Jackson County,Florida
2020-03-23,27,27,17,22,22,4,22,24,7,218,1022,11,0.0,0.0,11.6,17,79,6,Jackson County,Florida
2020-03-24,28,28,18,22,23,3,23,24,10,214,1017,14,0.0,0.0,10.2,18,78,6,Jackson County,Florida
2020-03-25,29,29,20,23,25,5,25,25,8,286,1013,13,0.5,0.0,10.2,19,77,6,Jackson County,Florida
2020-03-26,30,30,18,24,25,6,25,25,5,172,1015,8,0.0,0.0,11.6,16,66,7,Jackson County,Florida
2020-03-27,30,30,19,24,25,4,25,26,8,216,1015,12,0.0,0.0,10.2,19,78,7,Jackson County,Florida
2020-03-28,29,29,19,24,25,3,25,26,9,209,1016,14,0.0,0.0,10.2,19,79,6,Jackson County,Florida
2020-03-29,31,31,20,25,26,4,26,27,8,226,1019,12,0.0,0.0,10.2,20,77,6,Jackson County,Florida
2020-03-30,28,28,18,22,23,6,23,24,5,37,1019,8,0.0,0.0,11.6,12,52,6,Jackson County,Florida
2020-03-31,26,26,19,22,23,4,23,24,13,242,1009,22,13.7,0.0,6.4,16,76,5,Jackson County,Florida
2020-04-01,20,20,9,13,13,6,14,16,10,343,1014,15,0.0,0.0,11.6,6,58,5,Jackson County,Florida
2020-04-02,21,21,9,15,15,6,15,17,5,251,1017,8,0.0,0.0,9.0,6,56,4,Jackson County,Florida
2020-04-03,25,25,13,18,18,6,18,21,3,240,1016,5,0.0,0.0,11.6,7,49,6,Jackson County,Florida
2020-04-04,27,27,15,21,21,6,21,23,4,342,1015,6,0.0,0.0,11.6,10,52,6,Jackson County,Florida
