date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-7,-6,-6,6,-1,-1,12,186,1015,21,0.0,0.0,10.1,-3,86,1,Jackson County,Michigan
2020-03-02,5,5,1,0,0,5,4,4,10,293,1007,16,15.9,0.0,8.6,2,90,1,Jackson County,Michigan
2020-03-03,7,7,1,0,0,6,3,5,10,255,1003,14,0.1,0.0,10.1,-1,74,1,Jackson County,Michigan
2020-03-04,4,4,-1,-4,-4,5,1,2,12,286,1012,17,2.0,1.1,8.6,-3,72,1,Jackson County,Michigan
2020-03-05,9,9,-1,-1,-1,6,3,4,10,194,1016,13,0.9,0.0,11.3,-3,65,2,Jackson County,Michigan
2020-03-06,2,2,-2,-5,-5,3,1,1,13,352,1020,17,1.7,1.0,5.7,-2,83,1,Jackson County,Michigan
2020-03-07,7,7,-4,-2,-2,6,1,2,8,217,1032,12,0.0,0.0,11.3,-6,61,2,Jackson County,Michigan
2020-03-08,12,12,1,3,3,6,6,7,15,215,1025,24,0.0,0.0,8.6,-2,53,2,Jackson County,Michigan
2020-03-09,14,14,8,8,8,6,11,12,17,223,1019,26,2.4,0.0,8.7,6,72,3,Jackson County,Michigan
2020-03-10,9,9,4,5,5,5,7,7,12,336,1017,17,3.1,0.0,7.3,3,75,2,Jackson County,Michigan
2020-03-11,8,8,2,2,2,5,4,5,4,204,1018,7,0.2,0.0,5.9,1,81,1,Jackson County,Michigan
2020-03-12,12,12,2,4,4,6,7,7,8,175,1010,12,0.0,0.0,5.9,4,84,2,Jackson County,Michigan
2020-03-13,5,5,1,-1,-1,6,4,4,18,278,1017,24,0.0,0.0,11.6,-3,61,2,Jackson County,Michigan
2020-03-14,5,5,-1,-1,-1,5,1,3,6,242,1033,8,0.1,0.0,8.8,-5,63,1,Jackson County,Michigan
2020-03-15,5,5,-3,-3,-3,5,1,2,8,59,1036,12,0.1,0.1,11.6,-6,64,2,Jackson County,Michigan
2020-03-16,7,7,-2,-1,-1,5,2,3,7,202,1028,10,0.0,0.0,8.8,-4,68,1,Jackson County,Michigan
2020-03-17,8,8,0,0,0,6,3,5,10,291,1023,13,0.0,0.0,11.6,-3,68,1,Jackson County,Michigan
2020-03-18,8,8,1,1,1,4,4,5,7,138,1024,9,1.2,0.0,6.0,-1,70,2,Jackson County,Michigan
2020-03-19,11,11,1,4,4,3,7,7,10,140,1016,15,4.2,0.0,6.0,6,92,2,Jackson County,Michigan
2020-03-20,14,14,-3,4,4,6,7,8,18,307,1016,24,0.1,0.0,7.4,4,78,2,Jackson County,Michigan
2020-03-21,3,3,-5,-6,-6,6,-2,0,9,34,1035,12,0.0,0.0,11.6,-11,52,2,Jackson County,Michigan
2020-03-22,3,3,-4,-5,-5,4,-1,1,9,120,1032,12,4.3,2.0,10.2,-8,63,1,Jackson County,Michigan
2020-03-23,3,3,-1,-1,-1,3,1,1,5,314,1022,7,6.5,7.0,6.1,0,95,1,Jackson County,Michigan
2020-03-24,6,6,-1,0,0,6,2,3,5,117,1021,7,0.0,0.0,7.5,0,85,1,Jackson County,Michigan
2020-03-25,13,13,0,5,5,6,6,8,5,246,1014,8,0.0,0.0,11.6,1,75,3,Jackson County,Michigan
2020-03-26,13,13,7,8,8,5,10,11,7,252,1011,11,8.4,0.0,6.1,7,85,3,Jackson County,Michigan
2020-03-27,12,12,3,5,5,5,7,9,8,111,1015,11,9.2,0.0,11.6,3,78,3,Jackson County,Michigan
2020-03-28,11,11,5,6,6,5,8,9,10,101,1008,15,25.2,0.0,6.2,8,96,2,Jackson County,Michigan
2020-03-29,13,13,6,7,7,6,10,11,20,231,1003,29,3.0,0.0,6.4,7,78,3,Jackson County,Michigan
2020-03-30,6,6,2,0,0,6,5,5,15,289,1015,19,0.5,0.0,6.4,2,82,2,Jackson County,Michigan
2020-03-31,6,6,1,0,0,3,3,4,8,32,1017,11,1.0,0.0,6.4,2,88,1,Jackson County,Michigan
2020-04-01,8,8,3,3,3,4,5,6,7,16,1017,9,1.6,0.0,6.4,2,81,2,Jackson County,Michigan
2020-04-02,13,13,2,5,5,6,7,8,6,344,1020,10,0.0,0.0,11.6,1,71,3,Jackson County,Michigan
2020-04-03,15,15,3,7,7,6,9,10,6,22,1019,9,0.0,0.0,11.6,0,59,4,Jackson County,Michigan
2020-04-04,9,9,5,5,5,5,7,8,7,219,1017,11,1.4,0.0,6.5,4,81,2,Jackson County,Michigan
2020-04-05,13,13,3,4,4,5,6,8,7,14,1022,10,0.0,0.0,10.3,-1,66,3,Jackson County,Michigan
2020-04-06,14,14,3,7,7,6,8,10,6,164,1019,9,0.1,0.0,11.6,-1,55,3,Jackson County,Michigan
2020-04-07,21,21,7,12,12,4,14,14,8,210,1008,12,13.6,0.0,6.5,10,83,3,Jackson County,Michigan
2020-04-08,19,19,11,14,14,5,15,16,8,290,1003,11,6.5,0.0,11.6,9,74,5,Jackson County,Michigan
2020-04-09,7,7,1,0,0,5,5,5,18,293,1003,24,4.4,0.1,9.1,-2,64,2,Jackson County,Michigan
2020-04-10,6,6,-1,-3,-3,6,2,4,15,304,1012,20,0.2,0.0,9.1,-5,61,1,Jackson County,Michigan
2020-04-11,11,11,-1,4,4,6,6,8,8,238,1014,12,0.0,0.0,9.1,-1,61,2,Jackson County,Michigan
2020-04-12,13,13,7,8,8,5,10,11,11,175,1007,15,5.7,0.0,6.6,8,86,3,Jackson County,Michigan
2020-04-13,11,11,0,2,2,5,6,6,16,286,1003,21,1.6,0.0,8.0,2,76,2,Jackson County,Michigan
2020-04-14,4,4,-2,-3,-3,6,1,3,11,273,1020,15,0.0,0.0,10.4,-9,50,2,Jackson County,Michigan
2020-04-15,4,4,-3,-4,-4,4,0,1,9,284,1018,12,2.9,2.2,6.8,-8,58,1,Jackson County,Michigan
2020-04-16,5,5,-3,-4,-4,5,0,2,10,283,1024,13,0.2,0.0,9.2,-9,49,1,Jackson County,Michigan
2020-04-17,1,1,-1,-3,-3,3,0,0,6,94,1019,9,10.4,8.5,6.8,-3,80,1,Jackson County,Michigan
2020-04-18,10,10,-3,0,0,5,4,5,12,248,1013,18,0.1,0.1,11.6,0,80,3,Jackson County,Michigan
2020-04-19,11,11,4,3,3,6,7,9,13,291,1008,19,1.7,0.0,6.9,3,74,2,Jackson County,Michigan
2020-04-20,12,12,-1,4,4,6,6,8,10,222,1007,15,0.0,0.0,10.4,0,64,2,Jackson County,Michigan
2020-04-21,4,4,-2,-3,-3,5,2,2,18,298,1009,24,1.4,0.0,11.6,-6,58,2,Jackson County,Michigan
2020-04-22,7,7,-2,1,1,5,3,5,5,207,1016,7,2.0,0.0,8.1,-4,64,1,Jackson County,Michigan
2020-04-23,11,11,2,3,3,6,6,8,10,108,1009,15,4.2,0.0,6.9,5,94,2,Jackson County,Michigan
2020-04-24,12,12,3,6,6,4,7,9,5,333,1011,8,0.0,0.0,6.9,5,86,2,Jackson County,Michigan
2020-04-25,9,9,3,4,4,5,6,7,9,73,1014,13,6.3,0.0,7.0,4,80,2,Jackson County,Michigan
2020-04-26,13,13,5,5,5,6,8,10,15,14,1016,22,0.1,0.0,8.1,1,60,3,Jackson County,Michigan
2020-04-27,15,15,3,8,8,6,9,12,7,219,1020,10,2.3,0.0,10.4,3,67,3,Jackson County,Michigan
2020-04-28,18,18,9,12,12,5,13,15,9,189,1011,13,4.6,0.0,7.0,11,86,3,Jackson County,Michigan
2020-04-29,19,19,11,13,13,6,15,16,14,183,1000,21,2.3,0.0,7.0,12,86,4,Jackson County,Michigan
2020-04-30,12,12,6,7,7,4,8,9,7,211,1002,9,5.2,0.0,7.0,6,90,2,Jackson County,Michigan
2020-05-01,16,16,4,8,8,5,10,11,8,341,1014,11,0.2,0.0,11.6,5,72,4,Jackson County,Michigan
2020-05-02,19,19,9,13,13,5,14,16,11,233,1012,17,0.7,0.0,7.0,10,77,4,Jackson County,Michigan
