date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-1,-3,-3,6,1,2,10,299,1008,19,0.0,0.0,11.5,0,88,2,Jackson County,Minnesota
2020-03-02,2,2,-6,-7,-7,6,-2,-2,9,249,1011,15,0.0,0.0,11.6,-5,81,2,Jackson County,Minnesota
2020-03-03,3,3,-1,-4,-4,5,1,1,12,284,1005,20,1.1,0.0,10.2,-2,83,2,Jackson County,Minnesota
2020-03-04,6,6,-3,-2,-2,5,2,2,9,228,1013,17,1.1,1.3,11.6,-1,82,1,Jackson County,Minnesota
2020-03-05,2,2,-1,-5,-5,4,1,1,21,306,1018,30,1.1,0.0,7.3,-2,76,1,Jackson County,Minnesota
2020-03-06,5,5,-4,-4,-4,6,0,0,9,154,1032,14,0.0,0.0,11.6,-5,71,2,Jackson County,Minnesota
2020-03-07,12,12,2,3,3,6,7,7,18,197,1018,30,0.0,0.0,11.6,0,62,3,Jackson County,Minnesota
2020-03-08,16,16,7,8,8,6,11,11,17,201,1009,28,0.1,0.0,10.2,5,66,4,Jackson County,Minnesota
2020-03-09,0,0,-4,-6,-6,6,0,-1,14,349,1018,17,0.0,0.0,7.3,-4,77,1,Jackson County,Minnesota
2020-03-10,7,7,-4,-3,-3,6,0,1,6,161,1024,8,1.9,0.0,11.6,-4,75,2,Jackson County,Minnesota
2020-03-11,11,11,-1,2,2,4,5,5,8,196,1014,12,2.0,0.6,11.6,1,77,3,Jackson County,Minnesota
2020-03-12,8,8,1,2,2,6,6,7,15,325,1007,22,0.4,0.0,7.4,1,73,2,Jackson County,Minnesota
2020-03-13,4,4,-1,-3,-3,6,1,2,10,318,1027,14,0.0,0.0,10.2,-8,52,1,Jackson County,Minnesota
2020-03-14,2,2,-4,-6,-6,5,-2,-1,8,70,1036,10,0.5,0.3,8.8,-8,62,1,Jackson County,Minnesota
2020-03-15,4,4,-3,-4,-4,6,0,1,9,156,1036,12,0.1,0.0,8.8,-5,69,1,Jackson County,Minnesota
2020-03-16,3,3,-2,-4,-4,6,1,1,9,263,1025,12,0.0,0.0,6.0,-2,86,1,Jackson County,Minnesota
2020-03-17,8,8,-2,-1,-1,6,2,3,8,241,1025,11,0.0,0.0,11.6,-5,61,2,Jackson County,Minnesota
2020-03-18,8,8,4,3,3,4,5,6,7,147,1016,10,0.2,0.0,6.0,4,91,2,Jackson County,Minnesota
2020-03-19,6,6,0,0,0,2,4,5,14,25,1012,21,36.1,0.0,6.0,3,96,2,Jackson County,Minnesota
2020-03-20,-3,-3,-9,-13,-13,4,-6,-6,16,345,1034,20,1.8,0.0,11.6,-13,59,2,Jackson County,Minnesota
2020-03-21,2,2,-5,-6,-6,6,-2,-1,9,171,1032,12,0.0,0.0,11.6,-8,64,1,Jackson County,Minnesota
2020-03-22,6,6,-1,-3,-3,6,2,2,14,171,1022,19,0.0,0.0,8.8,-1,82,1,Jackson County,Minnesota
2020-03-23,7,7,1,2,2,4,4,4,5,210,1020,8,3.2,0.9,6.1,2,92,1,Jackson County,Minnesota
2020-03-24,9,9,3,3,3,6,6,6,12,175,1013,18,0.0,0.0,6.1,4,89,2,Jackson County,Minnesota
2020-03-25,9,9,2,2,2,4,5,6,11,156,1010,16,4.2,0.0,6.1,4,90,2,Jackson County,Minnesota
2020-03-26,8,8,0,1,1,4,3,4,6,47,1012,9,0.6,0.3,6.1,1,84,1,Jackson County,Minnesota
2020-03-27,11,11,3,4,4,4,7,7,9,86,1010,13,1.3,0.0,8.9,4,84,2,Jackson County,Minnesota
2020-03-28,7,7,2,1,1,3,6,6,19,50,1001,28,50.2,0.0,6.2,5,93,2,Jackson County,Minnesota
2020-03-29,8,8,3,0,0,4,5,5,19,319,1009,27,22.6,7.8,7.5,2,81,1,Jackson County,Minnesota
2020-03-30,13,13,1,5,5,6,7,8,6,115,1023,10,0.0,0.0,11.6,-1,63,3,Jackson County,Minnesota
2020-03-31,14,14,3,6,6,6,8,9,9,128,1018,14,0.2,0.0,11.6,1,63,3,Jackson County,Minnesota
2020-04-01,16,16,5,7,7,5,10,10,15,161,1012,21,1.0,0.0,7.6,5,73,3,Jackson County,Minnesota
2020-04-02,12,12,8,8,8,3,10,11,12,158,1012,17,2.7,0.0,6.5,7,89,3,Jackson County,Minnesota
2020-04-03,1,1,-5,-9,-9,5,-3,-2,14,328,1024,17,0.3,0.1,9.0,-7,72,1,Jackson County,Minnesota
2020-04-04,7,7,-5,-3,-3,6,1,2,7,100,1025,9,0.0,0.0,11.6,-11,43,2,Jackson County,Minnesota
2020-04-05,13,13,1,3,3,6,6,7,12,174,1018,18,0.0,0.0,11.6,-1,60,3,Jackson County,Minnesota
2020-04-06,14,14,7,8,8,6,10,10,11,172,1010,16,0.0,0.0,6.5,8,87,3,Jackson County,Minnesota
2020-04-07,19,19,12,14,14,6,15,16,10,344,1005,15,0.8,0.0,10.3,9,72,4,Jackson County,Minnesota
2020-04-08,11,11,5,7,7,5,10,10,13,332,1011,18,7.4,0.0,9.1,2,60,2,Jackson County,Minnesota
2020-04-09,4,4,0,-3,-3,4,2,3,16,326,1017,22,0.3,0.1,6.6,-7,52,1,Jackson County,Minnesota
2020-04-10,9,9,-1,1,1,6,4,4,8,226,1018,11,0.0,0.0,10.3,-6,51,1,Jackson County,Minnesota
2020-04-11,12,12,3,5,5,5,7,8,9,54,1008,13,0.6,0.0,6.8,1,64,2,Jackson County,Minnesota
2020-04-12,-1,-1,-4,-8,-8,1,-1,-2,21,7,1012,29,28.9,0.0,6.8,-3,87,1,Jackson County,Minnesota
2020-04-13,-1,-1,-9,-11,-11,5,-4,-4,13,274,1019,21,1.0,0.2,10.4,-8,78,1,Jackson County,Minnesota
2020-04-14,-1,-1,-10,-11,-11,5,-5,-5,9,261,1022,14,1.6,1.4,8.0,-9,81,1,Jackson County,Minnesota
2020-04-15,-2,-2,-12,-8,-8,6,-6,-5,3,183,1022,5,0.0,0.0,11.6,-11,72,2,Jackson County,Minnesota
2020-04-16,2,2,-7,-6,-6,6,-3,-2,5,232,1026,8,0.0,0.0,8.0,-7,72,1,Jackson County,Minnesota
2020-04-17,7,7,-2,-2,-2,6,2,3,8,276,1019,13,0.0,0.0,11.6,-3,69,2,Jackson County,Minnesota
2020-04-18,16,16,1,5,5,6,8,10,14,251,1007,21,0.6,0.0,11.6,2,68,3,Jackson County,Minnesota
2020-04-19,10,10,3,4,4,6,6,6,8,217,1013,12,0.6,0.0,9.2,-2,59,2,Jackson County,Minnesota
2020-04-20,17,17,4,8,8,6,10,11,16,274,1007,22,0.1,0.0,9.3,2,66,3,Jackson County,Minnesota
2020-04-21,13,13,1,5,5,6,7,7,6,174,1014,9,0.1,0.0,11.6,0,63,3,Jackson County,Minnesota
2020-04-22,24,24,11,16,16,6,18,19,12,283,1005,19,0.1,0.0,11.6,7,56,4,Jackson County,Minnesota
2020-04-23,19,19,10,13,13,4,14,14,7,111,1004,11,2.8,0.0,10.4,9,74,3,Jackson County,Minnesota
2020-04-24,15,15,10,11,11,6,12,12,9,51,1010,12,3.8,0.0,7.0,8,75,3,Jackson County,Minnesota
2020-04-25,18,18,9,13,13,6,13,14,2,296,1015,4,0.5,0.0,10.4,5,63,3,Jackson County,Minnesota
2020-04-26,19,19,8,13,13,6,13,14,6,221,1017,10,0.4,0.0,11.6,5,58,4,Jackson County,Minnesota
2020-04-27,21,21,11,15,15,6,16,17,9,321,1012,13,0.6,0.0,11.6,6,55,5,Jackson County,Minnesota
2020-04-28,16,16,10,12,12,5,13,14,15,321,1006,21,3.3,0.0,7.0,7,68,3,Jackson County,Minnesota
2020-04-29,16,16,6,9,9,6,11,12,16,355,1014,21,0.8,0.0,10.5,6,71,3,Jackson County,Minnesota
2020-04-30,20,20,7,12,12,6,13,14,6,194,1015,10,0.0,0.0,11.6,2,52,4,Jackson County,Minnesota
2020-05-01,24,24,12,17,17,6,19,19,14,213,1007,21,0.2,0.0,11.6,9,55,4,Jackson County,Minnesota
2020-05-02,20,20,14,17,17,6,17,18,10,296,1014,14,0.0,0.0,11.6,6,52,5,Jackson County,Minnesota
2020-05-03,21,21,11,15,15,6,16,17,8,231,1016,11,0.0,0.0,11.6,5,49,5,Jackson County,Minnesota
2020-05-04,14,14,7,8,8,5,11,11,12,126,1016,15,4.3,0.0,9.3,5,68,3,Jackson County,Minnesota
2020-05-05,8,8,-1,3,3,4,6,7,11,152,1016,15,19.0,0.0,7.1,6,88,2,Jackson County,Minnesota
2020-05-06,15,15,5,9,9,4,10,11,9,330,1023,12,1.5,0.0,8.2,5,72,3,Jackson County,Minnesota
2020-05-07,15,15,4,9,9,5,10,12,5,271,1019,8,7.6,0.0,9.4,5,69,3,Jackson County,Minnesota
2020-05-08,9,9,2,2,2,6,6,6,12,345,1025,16,0.0,0.0,11.6,-4,50,3,Jackson County,Minnesota
2020-05-09,15,15,3,5,5,5,8,10,12,235,1018,17,2.7,0.0,9.4,1,64,2,Jackson County,Minnesota
2020-05-10,8,8,2,-1,-1,4,4,5,18,332,1024,23,2.1,0.0,7.2,-1,70,2,Jackson County,Minnesota
2020-05-11,11,11,1,2,2,6,6,6,10,327,1026,14,0.0,0.0,14.5,-3,56,3,Jackson County,Minnesota
2020-05-12,12,12,3,6,6,6,8,8,5,65,1024,8,0.0,0.0,13.4,-3,48,2,Jackson County,Minnesota
2020-05-13,12,12,4,7,7,5,9,10,13,164,1014,18,0.3,0.0,9.3,5,74,3,Jackson County,Minnesota
2020-05-14,19,19,10,14,14,4,15,16,5,199,1007,8,0.3,0.0,10.3,12,81,4,Jackson County,Minnesota
2020-05-15,18,18,9,13,13,6,14,14,7,63,1015,11,0.0,0.0,12.4,6,61,4,Jackson County,Minnesota
2020-05-16,16,16,11,13,13,3,13,14,7,68,1012,10,2.6,0.0,9.3,10,83,3,Jackson County,Minnesota
2020-05-17,21,21,10,15,15,4,16,17,7,158,1016,10,1.5,0.0,14.5,10,76,5,Jackson County,Minnesota
2020-05-18,15,15,8,9,9,6,11,12,14,39,1017,18,1.5,0.0,9.3,9,84,3,Jackson County,Minnesota
2020-05-19,17,17,9,13,13,6,13,14,8,77,1017,11,0.0,0.0,9.3,11,85,3,Jackson County,Minnesota
2020-05-20,17,17,12,14,14,4,15,15,10,127,1018,14,0.1,0.0,9.3,13,87,4,Jackson County,Minnesota
2020-05-21,19,19,12,14,14,6,15,16,11,148,1015,15,0.2,0.0,9.4,12,83,4,Jackson County,Minnesota
2020-05-22,21,21,12,16,16,6,16,17,9,152,1013,12,0.0,0.0,9.4,13,81,4,Jackson County,Minnesota
2020-05-23,19,19,14,16,16,4,16,16,6,122,1010,9,3.2,0.0,10.4,14,88,4,Jackson County,Minnesota
2020-05-24,24,24,14,18,18,5,20,21,9,168,1008,14,3.7,0.0,10.4,16,82,5,Jackson County,Minnesota
2020-05-25,20,20,16,18,18,6,18,18,8,225,1011,12,4.9,0.0,10.4,15,85,4,Jackson County,Minnesota
2020-05-26,18,18,15,16,16,4,16,17,8,130,1010,11,6.6,0.0,9.4,15,93,4,Jackson County,Minnesota
2020-05-27,25,25,15,19,19,6,20,20,6,19,1012,9,2.3,0.0,14.5,14,76,6,Jackson County,Minnesota
2020-05-28,22,22,15,18,18,6,19,20,12,338,1015,18,0.0,0.0,14.5,12,66,6,Jackson County,Minnesota
2020-05-29,17,17,10,12,12,6,13,13,11,339,1021,15,0.0,0.0,14.5,8,72,4,Jackson County,Minnesota
2020-05-30,18,18,11,14,14,6,15,15,6,36,1025,9,0.0,0.0,14.5,9,69,5,Jackson County,Minnesota
2020-05-31,18,18,12,13,13,6,15,15,11,164,1022,16,0.0,0.0,10.5,12,79,4,Jackson County,Minnesota
2020-06-01,28,28,18,23,24,6,24,24,17,213,1011,24,2.3,0.0,12.5,19,78,5,Jackson County,Minnesota
2020-06-02,31,31,21,26,28,5,28,27,9,237,1009,14,9.5,0.0,14.5,19,75,7,Jackson County,Minnesota
2020-06-03,27,27,18,22,23,5,23,23,6,328,1011,10,7.8,0.0,14.5,14,65,6,Jackson County,Minnesota
2020-06-04,27,27,17,22,23,5,23,23,4,164,1007,7,5.8,0.0,12.5,16,69,5,Jackson County,Minnesota
2020-06-05,25,25,18,21,22,5,22,22,9,18,1012,13,4.9,0.0,13.5,16,76,6,Jackson County,Minnesota
2020-06-06,24,24,16,20,20,5,20,21,13,115,1016,19,9.6,0.0,10.5,14,72,5,Jackson County,Minnesota
2020-06-07,30,30,20,25,27,6,27,26,19,175,1009,27,0.0,0.0,15.5,21,80,6,Jackson County,Minnesota
2020-06-08,30,30,23,26,28,6,28,27,19,192,1005,27,0.0,0.0,15.6,20,72,7,Jackson County,Minnesota
2020-06-09,27,27,17,22,23,5,23,24,11,78,1001,18,19.3,0.0,12.7,18,82,5,Jackson County,Minnesota
2020-06-10,20,20,13,15,15,5,16,17,18,329,1007,25,7.0,0.0,14.6,11,75,4,Jackson County,Minnesota
2020-06-11,24,24,13,18,18,6,19,20,11,287,1019,16,0.0,0.0,15.6,11,65,6,Jackson County,Minnesota
2020-06-12,28,28,15,21,22,6,22,23,7,100,1024,11,1.1,0.0,15.6,14,65,6,Jackson County,Minnesota
2020-06-13,23,23,14,18,18,6,18,19,13,120,1022,18,4.2,0.0,14.6,15,83,4,Jackson County,Minnesota
2020-06-14,23,23,13,18,18,6,20,19,21,145,1019,28,2.1,0.0,13.6,15,78,4,Jackson County,Minnesota
2020-06-15,28,28,19,23,25,5,25,24,18,175,1018,26,6.4,0.0,15.5,19,81,5,Jackson County,Minnesota
2020-06-16,29,29,21,25,26,6,26,26,18,180,1017,25,0.0,0.0,15.7,20,76,7,Jackson County,Minnesota
2020-06-17,29,29,19,24,25,6,25,25,18,171,1013,25,0.1,0.0,15.7,19,76,6,Jackson County,Minnesota
2020-06-18,26,26,18,22,24,5,24,24,13,211,1011,20,24.6,0.0,12.7,19,86,5,Jackson County,Minnesota
