date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,10,11,11,6,13,13,12,216,1008,20,0.5,0.0,5.8,8,74,3,Jackson County,Missouri
2020-03-02,10,10,3,4,4,6,6,6,7,13,1011,10,0.1,0.0,11.6,0,63,2,Jackson County,Missouri
2020-03-03,15,15,5,6,6,6,9,10,9,295,1010,15,0.0,0.0,11.6,0,56,4,Jackson County,Missouri
2020-03-04,14,14,6,8,8,6,10,10,6,292,1017,11,0.0,0.0,8.7,1,57,3,Jackson County,Missouri
2020-03-05,13,13,6,6,6,6,9,10,14,319,1021,21,0.0,0.0,11.6,-2,51,4,Jackson County,Missouri
2020-03-06,11,11,0,2,2,6,5,5,7,257,1033,12,0.0,0.0,11.6,-3,57,3,Jackson County,Missouri
2020-03-07,16,16,4,7,7,6,9,10,13,189,1027,21,0.0,0.0,8.7,1,55,3,Jackson County,Missouri
2020-03-08,18,18,8,11,11,6,13,13,19,198,1019,28,0.5,0.0,10.2,5,60,4,Jackson County,Missouri
2020-03-09,15,15,7,10,10,4,13,14,18,235,1014,27,46.2,0.0,5.9,9,88,3,Jackson County,Missouri
2020-03-10,13,13,1,5,5,6,6,7,5,227,1024,8,0.0,0.0,11.6,1,72,3,Jackson County,Missouri
2020-03-11,18,18,7,12,12,6,12,13,4,296,1016,7,0.0,0.0,11.6,7,71,4,Jackson County,Missouri
2020-03-12,15,15,9,11,11,6,12,14,11,282,1008,17,0.8,0.0,5.9,9,82,3,Jackson County,Missouri
2020-03-13,10,10,3,4,4,6,6,7,9,56,1026,13,0.2,0.0,10.2,-2,55,2,Jackson County,Missouri
2020-03-14,3,3,-6,-2,-2,5,2,3,12,82,1029,17,9.8,0.0,6.0,1,87,1,Jackson County,Missouri
2020-03-15,6,6,0,0,0,6,3,3,8,79,1034,11,0.1,0.0,6.0,-1,79,1,Jackson County,Missouri
2020-03-16,7,7,1,2,2,4,5,5,5,154,1026,7,13.0,0.0,6.0,3,90,2,Jackson County,Missouri
2020-03-17,11,11,3,5,5,6,7,8,6,92,1025,8,0.0,0.0,7.4,4,81,2,Jackson County,Missouri
2020-03-18,19,19,9,12,12,4,13,13,7,133,1015,11,27.6,0.0,7.4,11,89,3,Jackson County,Missouri
2020-03-19,24,24,14,18,18,5,19,20,16,204,1007,27,13.1,0.0,7.4,14,77,5,Jackson County,Missouri
2020-03-20,6,6,0,1,1,5,5,4,15,355,1026,20,1.1,0.0,8.8,0,67,1,Jackson County,Missouri
2020-03-21,9,9,-2,0,0,6,3,4,6,143,1032,9,0.0,0.0,11.6,-4,63,2,Jackson County,Missouri
2020-03-22,5,5,-1,0,0,4,4,5,9,142,1023,14,13.1,0.0,6.1,3,91,1,Jackson County,Missouri
2020-03-23,15,15,2,7,7,4,8,9,6,125,1020,8,0.1,0.0,8.8,5,84,2,Jackson County,Missouri
2020-03-24,12,12,7,7,7,4,9,10,8,78,1014,12,0.8,0.0,6.1,7,88,2,Jackson County,Missouri
2020-03-25,20,20,6,11,11,4,12,13,9,184,1010,15,1.3,0.0,8.9,9,83,3,Jackson County,Missouri
2020-03-26,21,21,14,16,16,5,17,18,9,265,1005,14,1.5,0.0,11.6,13,83,5,Jackson County,Missouri
2020-03-27,25,25,12,16,16,4,18,18,7,145,1004,11,7.3,0.0,7.5,14,90,4,Jackson County,Missouri
2020-03-28,21,21,14,17,17,5,18,19,17,213,1000,24,2.1,0.0,8.9,10,72,4,Jackson County,Missouri
2020-03-29,17,17,7,10,10,6,12,13,14,279,1014,20,0.0,0.0,11.6,3,56,4,Jackson County,Missouri
2020-03-30,19,19,7,12,12,6,13,15,7,105,1021,11,0.0,0.0,10.2,5,62,4,Jackson County,Missouri
2020-03-31,17,17,8,12,12,6,13,13,5,135,1017,8,0.2,0.0,10.2,5,62,4,Jackson County,Missouri
2020-04-01,19,19,7,13,13,6,14,15,9,179,1014,14,0.0,0.0,11.6,8,71,4,Jackson County,Missouri
2020-04-02,18,18,13,15,15,6,15,16,13,169,1012,19,1.2,0.0,6.4,11,74,4,Jackson County,Missouri
2020-04-03,2,2,-2,-1,-1,4,3,1,12,335,1020,15,2.8,0.0,6.4,1,87,1,Jackson County,Missouri
2020-04-04,11,11,-3,1,1,6,4,5,7,46,1023,11,0.0,0.0,11.6,-2,66,2,Jackson County,Missouri
2020-04-05,16,16,4,9,9,6,11,11,7,132,1019,11,0.2,0.0,6.5,6,78,3,Jackson County,Missouri
2020-04-06,17,17,11,13,13,6,14,15,11,199,1013,17,0.2,0.0,6.5,13,90,3,Jackson County,Missouri
2020-04-07,23,23,16,19,19,6,20,20,10,220,1008,16,0.0,0.0,9.0,17,86,5,Jackson County,Missouri
2020-04-08,27,27,14,20,20,6,21,22,9,276,1008,14,0.0,0.0,11.6,12,67,6,Jackson County,Missouri
2020-04-09,14,14,7,9,9,6,11,11,12,319,1017,17,0.0,0.0,11.6,0,51,4,Jackson County,Missouri
2020-04-10,12,12,-2,4,4,6,6,6,7,202,1021,10,0.0,0.0,11.6,-4,53,3,Jackson County,Missouri
2020-04-11,17,17,6,10,10,6,12,13,14,200,1007,22,4.0,0.0,6.5,8,74,3,Jackson County,Missouri
2020-04-12,18,18,5,12,12,4,14,15,14,221,1001,24,16.8,0.0,6.5,10,90,4,Jackson County,Missouri
2020-04-13,8,8,-2,-2,-2,6,2,3,12,323,1022,17,0.0,0.0,11.6,-8,49,2,Jackson County,Missouri
2020-04-14,9,9,-2,1,1,6,4,5,7,259,1024,11,0.0,0.0,7.8,-6,49,2,Jackson County,Missouri
2020-04-15,11,11,0,3,3,6,6,6,8,115,1020,13,0.0,0.0,10.3,-2,60,3,Jackson County,Missouri
2020-04-16,10,10,2,2,2,5,5,7,10,86,1020,15,8.9,0.0,6.6,2,77,2,Jackson County,Missouri
2020-04-17,5,5,1,-1,-1,4,3,3,10,237,1020,14,23.1,0.3,6.6,1,85,1,Jackson County,Missouri
2020-04-18,15,15,0,4,4,6,7,9,11,204,1016,17,0.0,0.0,11.6,2,73,3,Jackson County,Missouri
2020-04-19,16,16,7,10,10,6,11,13,7,34,1010,12,0.2,0.0,6.6,8,79,3,Jackson County,Missouri
2020-04-20,20,20,7,12,12,6,12,14,6,265,1010,9,0.3,0.0,9.2,7,73,3,Jackson County,Missouri
2020-04-21,20,20,7,13,13,6,14,15,5,180,1015,9,0.0,0.0,11.6,7,66,4,Jackson County,Missouri
2020-04-22,16,16,9,11,11,5,13,13,10,122,1009,17,30.1,0.0,8.0,10,86,3,Jackson County,Missouri
2020-04-23,22,22,12,16,16,4,17,17,5,222,1004,8,2.6,0.0,6.9,12,80,4,Jackson County,Missouri
2020-04-24,16,16,12,13,13,4,14,14,7,85,1007,12,28.6,0.0,6.9,12,89,3,Jackson County,Missouri
2020-04-25,17,17,10,12,12,5,13,14,13,231,1013,17,41.9,0.0,10.4,9,80,3,Jackson County,Missouri
2020-04-26,20,20,8,14,14,6,14,16,4,298,1020,7,0.1,0.0,11.6,8,69,5,Jackson County,Missouri
2020-04-27,20,20,11,15,15,5,16,16,13,200,1016,19,2.0,0.0,6.9,12,77,4,Jackson County,Missouri
2020-04-28,23,23,14,16,16,5,18,19,10,271,1009,16,6.5,0.0,8.1,14,85,4,Jackson County,Missouri
2020-04-29,16,16,9,10,10,6,12,12,14,345,1011,22,4.5,0.0,6.9,8,77,3,Jackson County,Missouri
2020-04-30,20,20,8,13,13,6,14,16,7,327,1015,11,0.0,0.0,11.6,8,69,5,Jackson County,Missouri
2020-05-01,22,22,12,17,17,6,18,19,11,187,1012,18,0.0,0.0,11.6,13,78,5,Jackson County,Missouri
2020-05-02,24,24,16,20,20,5,21,21,7,97,1012,13,2.7,0.0,7.0,17,82,5,Jackson County,Missouri
2020-05-03,20,20,14,17,17,5,17,18,8,62,1015,12,0.8,0.0,10.4,11,71,4,Jackson County,Missouri
2020-05-04,17,17,11,12,12,4,13,14,11,106,1012,19,22.4,0.0,7.0,10,80,3,Jackson County,Missouri
2020-05-05,18,18,9,11,11,5,13,15,13,304,1016,19,0.4,0.0,11.6,8,75,4,Jackson County,Missouri
2020-05-06,16,16,5,9,9,6,10,12,7,334,1024,11,1.0,0.0,10.5,6,78,3,Jackson County,Missouri
2020-05-07,16,16,6,10,10,5,11,13,5,194,1019,7,2.9,0.0,9.3,8,82,3,Jackson County,Missouri
2020-05-08,13,13,7,7,7,5,10,11,13,123,1020,18,12.8,0.0,11.6,5,73,4,Jackson County,Missouri
2020-05-09,15,15,4,9,9,6,10,12,7,221,1024,10,0.0,0.0,10.5,4,67,3,Jackson County,Missouri
2020-05-10,13,13,4,6,6,6,8,9,12,327,1025,16,0.1,0.0,11.6,3,67,3,Jackson County,Missouri
2020-05-11,12,12,3,6,6,6,8,9,6,324,1027,9,0.0,0.0,9.3,1,64,2,Jackson County,Missouri
2020-05-12,13,13,6,8,8,6,9,9,6,115,1024,8,0.0,0.0,7.1,4,73,2,Jackson County,Missouri
2020-05-13,17,17,8,11,11,5,12,12,9,148,1015,13,0.7,0.0,7.1,11,94,3,Jackson County,Missouri
2020-05-14,22,22,15,19,19,5,20,20,14,199,1009,22,4.5,0.0,7.1,19,92,4,Jackson County,Missouri
2020-05-15,23,23,15,19,19,5,19,19,8,81,1011,13,9.9,0.0,9.4,17,91,4,Jackson County,Missouri
2020-05-16,25,25,17,21,21,5,22,22,9,247,1008,16,15.8,0.0,7.1,18,87,5,Jackson County,Missouri
2020-05-17,23,23,12,18,18,4,19,19,6,78,1016,10,0.1,0.0,11.6,14,82,5,Jackson County,Missouri
