date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-6,-3,-3,6,2,3,14,189,1017,25,0.0,0.0,10.1,-2,77,2,Jay County,Indiana
2020-03-02,8,8,1,4,4,5,7,7,10,275,1008,18,5.8,0.0,5.6,5,91,2,Jay County,Indiana
2020-03-03,11,11,5,4,4,5,7,8,12,273,1004,17,2.7,0.0,8.6,2,75,2,Jay County,Indiana
2020-03-04,7,7,2,0,0,5,4,5,11,289,1014,18,0.2,0.0,8.6,-1,70,2,Jay County,Indiana
2020-03-05,11,11,-1,1,1,6,5,6,10,204,1017,15,0.1,0.0,8.6,-2,62,2,Jay County,Indiana
2020-03-06,3,3,-1,-4,-4,3,1,2,16,325,1021,22,0.9,0.3,5.7,-1,84,1,Jay County,Indiana
2020-03-07,8,8,-3,-1,-1,5,1,3,6,210,1033,10,0.3,0.3,11.4,-5,68,2,Jay County,Indiana
2020-03-08,13,13,1,3,3,6,7,8,14,208,1028,23,0.0,0.0,8.6,-1,60,2,Jay County,Indiana
2020-03-09,15,15,7,8,8,5,11,12,19,209,1022,29,0.6,0.0,8.7,7,72,3,Jay County,Indiana
2020-03-10,10,10,4,7,7,5,9,9,13,316,1018,18,5.2,0.0,5.9,6,83,2,Jay County,Indiana
2020-03-11,12,12,3,5,5,6,7,8,6,235,1018,8,0.0,0.0,8.8,3,78,2,Jay County,Indiana
2020-03-12,14,14,5,9,9,5,10,11,8,179,1010,11,8.8,0.0,7.4,7,82,3,Jay County,Indiana
2020-03-13,7,7,3,2,2,6,6,5,14,286,1020,19,0.2,0.0,11.6,0,65,3,Jay County,Indiana
2020-03-14,4,4,1,0,0,4,2,3,6,107,1032,9,2.2,0.6,6.0,-1,77,1,Jay County,Indiana
2020-03-15,6,6,-2,-3,-3,5,1,2,9,52,1035,14,0.3,0.6,10.2,-2,83,2,Jay County,Indiana
2020-03-16,8,8,-1,0,0,4,3,4,6,216,1027,9,1.2,0.0,7.4,-1,79,1,Jay County,Indiana
2020-03-17,10,10,2,3,3,6,5,6,7,308,1024,11,0.1,0.0,11.6,1,74,3,Jay County,Indiana
2020-03-18,7,7,2,2,2,5,5,5,7,120,1023,11,9.2,0.0,7.4,4,90,2,Jay County,Indiana
2020-03-19,15,15,6,8,8,3,10,11,12,154,1016,19,9.0,0.0,6.0,11,94,3,Jay County,Indiana
2020-03-20,17,17,0,8,8,5,10,12,18,314,1017,26,3.3,0.0,6.1,7,80,3,Jay County,Indiana
2020-03-21,4,4,-2,-4,-4,6,0,1,9,48,1033,12,0.0,0.0,8.8,-6,67,1,Jay County,Indiana
2020-03-22,5,5,-4,-4,-4,4,0,2,8,107,1031,11,1.5,0.3,8.8,-4,74,1,Jay County,Indiana
2020-03-23,6,6,1,1,1,4,3,4,5,321,1022,7,0.0,0.0,6.1,2,90,1,Jay County,Indiana
2020-03-24,11,11,0,3,3,5,5,7,6,108,1020,9,0.0,0.0,10.2,2,81,2,Jay County,Indiana
2020-03-25,15,15,1,6,6,5,7,9,5,178,1014,9,0.0,0.0,11.6,3,74,3,Jay County,Indiana
2020-03-26,16,16,8,10,10,6,12,13,9,217,1010,14,1.9,0.0,10.2,9,83,3,Jay County,Indiana
2020-03-27,12,12,4,8,8,4,10,11,11,82,1012,16,9.6,0.0,6.3,9,92,3,Jay County,Indiana
2020-03-28,22,22,12,17,17,4,18,19,12,234,1006,20,21.0,0.0,6.4,16,91,4,Jay County,Indiana
2020-03-29,14,14,10,10,10,5,13,11,20,243,1007,30,10.9,0.0,6.4,8,75,3,Jay County,Indiana
