date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-7,-2,-2,5,-1,1,3,277,1028,5,0.7,0.2,11.1,-6,71,2,Jefferson County,Washington
2020-03-02,3,3,-1,-1,-1,1,2,2,5,227,1023,10,17.6,10.9,5.7,1,98,1,Jefferson County,Washington
2020-03-03,2,2,-4,-2,-2,3,0,1,6,207,1021,11,9.3,9.4,8.7,0,94,1,Jefferson County,Washington
2020-03-04,1,1,-5,-4,-4,4,-1,-1,4,211,1023,7,6.1,7.0,5.8,-3,87,1,Jefferson County,Washington
2020-03-05,2,2,-2,-3,-3,2,0,0,5,191,1016,9,30.8,21.4,5.8,-2,87,1,Jefferson County,Washington
2020-03-06,-1,-1,-5,-4,-4,3,-3,-2,2,266,1015,4,4.1,6.7,7.3,-4,92,1,Jefferson County,Washington
2020-03-07,0,0,-8,-5,-5,4,-3,-1,3,240,1011,5,7.1,5.8,5.8,-4,89,1,Jefferson County,Washington
2020-03-08,1,1,-4,-3,-3,5,-2,-1,2,315,1019,3,0.5,0.1,8.7,-6,77,1,Jefferson County,Washington
2020-03-09,3,3,-3,-1,-1,6,0,1,3,297,1024,4,0.0,0.0,11.6,-6,67,2,Jefferson County,Washington
2020-03-10,0,0,-2,-3,-3,3,0,0,5,197,1023,10,6.0,2.5,7.3,-2,88,1,Jefferson County,Washington
2020-03-11,1,1,-4,-4,-4,5,-1,-1,5,255,1023,8,5.3,4.2,10.2,-2,90,1,Jefferson County,Washington
2020-03-12,3,3,-6,-2,-2,5,-1,0,2,288,1026,3,0.0,0.0,11.6,-3,83,2,Jefferson County,Washington
2020-03-13,-3,-3,-7,-7,-7,3,-4,-3,5,38,1010,9,7.2,6.1,5.9,-5,88,1,Jefferson County,Washington
2020-03-14,-4,-4,-11,-13,-13,4,-7,-7,8,51,1014,12,2.1,0.9,7.4,-11,72,1,Jefferson County,Washington
2020-03-15,2,2,-10,-8,-8,6,-4,-2,7,53,1020,12,0.0,0.0,11.6,-13,52,2,Jefferson County,Washington
2020-03-16,9,9,-1,2,2,6,4,6,4,23,1021,8,0.0,0.0,11.6,-9,41,3,Jefferson County,Washington
2020-03-17,6,6,2,3,3,6,4,5,2,150,1010,4,0.0,0.0,7.4,-5,54,1,Jefferson County,Washington
2020-03-18,8,8,0,3,3,4,4,5,2,327,1012,4,0.0,0.0,11.6,-2,68,3,Jefferson County,Washington
2020-03-19,9,9,2,4,4,4,4,6,2,318,1017,3,0.3,0.0,10.2,1,81,2,Jefferson County,Washington
2020-03-20,9,9,3,5,5,5,5,7,2,299,1025,4,0.1,0.0,11.6,1,76,2,Jefferson County,Washington
2020-03-21,10,10,1,4,4,5,5,7,2,346,1024,4,0.0,0.0,11.6,0,71,3,Jefferson County,Washington
2020-03-22,7,7,-1,1,1,5,3,5,4,224,1017,7,0.1,0.0,8.8,-1,79,1,Jefferson County,Washington
2020-03-23,1,1,-4,-4,-4,2,-1,-1,4,220,1010,7,13.9,10.9,6.1,-2,91,1,Jefferson County,Washington
2020-03-24,1,1,-4,-2,-2,3,-1,0,2,315,1014,3,7.7,7.1,6.1,-3,91,1,Jefferson County,Washington
2020-03-25,2,2,-5,-1,-1,5,-1,1,2,320,1017,4,3.1,2.6,11.6,-3,85,1,Jefferson County,Washington
2020-03-26,2,2,-4,-3,-3,4,-1,0,4,236,1018,6,1.5,0.9,7.5,-3,88,1,Jefferson County,Washington
2020-03-27,2,2,-7,-2,-2,1,-1,1,3,177,1016,5,8.8,6.1,6.2,0,97,1,Jefferson County,Washington
