date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,12,15,15,6,16,17,12,174,1019,20,0.1,0.0,7.3,12,78,4,Jefferson Davis Parish,Louisiana
2020-03-02,24,24,17,20,20,6,20,21,11,212,1013,17,1.7,0.0,5.9,18,86,5,Jefferson Davis Parish,Louisiana
2020-03-03,25,25,19,21,23,4,23,22,7,191,1010,11,0.6,0.0,7.3,19,88,5,Jefferson Davis Parish,Louisiana
2020-03-04,24,24,13,19,19,4,20,21,10,137,1009,16,7.5,0.0,5.9,18,93,5,Jefferson Davis Parish,Louisiana
2020-03-05,18,18,12,13,13,6,14,14,11,240,1018,16,0.3,0.0,7.3,11,81,3,Jefferson Davis Parish,Louisiana
2020-03-06,17,17,10,11,11,6,13,14,11,26,1029,18,0.0,0.0,8.8,5,62,3,Jefferson Davis Parish,Louisiana
2020-03-07,16,16,7,9,9,6,11,12,8,89,1030,13,0.0,0.0,10.2,4,65,3,Jefferson Davis Parish,Louisiana
2020-03-08,20,20,7,12,12,6,13,15,8,136,1028,12,0.0,0.0,11.6,8,70,4,Jefferson Davis Parish,Louisiana
2020-03-09,22,22,13,18,18,6,19,20,12,175,1024,20,5.3,0.0,5.9,16,84,4,Jefferson Davis Parish,Louisiana
2020-03-10,25,25,17,20,20,5,21,22,6,230,1024,9,6.1,0.0,7.4,18,85,5,Jefferson Davis Parish,Louisiana
2020-03-11,25,25,16,20,20,4,20,22,8,214,1020,13,0.1,0.0,10.2,17,83,5,Jefferson Davis Parish,Louisiana
2020-03-12,26,26,17,21,21,3,21,22,10,204,1015,14,0.0,0.0,10.2,18,86,5,Jefferson Davis Parish,Louisiana
2020-03-13,25,25,18,21,22,3,22,23,7,171,1017,11,0.4,0.0,7.4,19,87,5,Jefferson Davis Parish,Louisiana
2020-03-14,26,26,18,22,23,3,23,23,8,176,1021,13,0.3,0.0,7.4,19,86,5,Jefferson Davis Parish,Louisiana
2020-03-15,27,27,19,22,23,4,23,24,6,74,1023,9,1.5,0.0,7.4,19,84,5,Jefferson Davis Parish,Louisiana
2020-03-16,25,25,15,20,20,4,21,21,7,126,1022,10,0.2,0.0,8.8,16,81,5,Jefferson Davis Parish,Louisiana
2020-03-17,27,27,19,22,23,5,23,24,6,148,1020,10,12.5,0.0,7.4,19,83,5,Jefferson Davis Parish,Louisiana
2020-03-18,27,27,19,22,23,4,23,24,10,173,1019,15,1.4,0.0,6.0,19,84,5,Jefferson Davis Parish,Louisiana
2020-03-19,28,28,20,23,24,4,24,25,11,178,1018,17,1.1,0.0,7.4,20,85,5,Jefferson Davis Parish,Louisiana
