date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,-2,2,2,6,5,6,10,184,1018,17,0.0,0.0,11.2,-1,67,3,Jennings County,Indiana
2020-03-02,14,14,7,9,9,5,11,12,10,232,1008,17,10.0,0.0,5.6,9,88,3,Jennings County,Indiana
2020-03-03,13,13,6,8,8,5,10,11,11,279,1005,16,12.4,0.0,10.1,6,77,3,Jennings County,Indiana
2020-03-04,12,12,4,4,4,6,7,9,10,278,1015,16,0.0,0.0,11.3,1,65,2,Jennings County,Indiana
2020-03-05,13,13,1,4,4,6,7,8,8,194,1018,13,0.0,0.0,7.1,0,66,2,Jennings County,Indiana
2020-03-06,4,4,-1,-3,-3,4,2,2,15,320,1023,21,0.1,0.0,5.7,-2,74,1,Jennings County,Indiana
2020-03-07,9,9,-3,0,0,6,2,4,5,169,1034,7,0.0,0.0,11.4,-4,66,2,Jennings County,Indiana
2020-03-08,14,14,0,4,4,6,7,8,10,197,1029,17,0.0,0.0,11.4,0,65,3,Jennings County,Indiana
2020-03-09,15,15,8,9,9,6,11,12,15,201,1024,25,1.4,0.0,10.1,7,72,4,Jennings County,Indiana
2020-03-10,14,14,5,10,10,5,12,12,11,313,1019,17,12.7,0.0,5.7,9,84,3,Jennings County,Indiana
2020-03-11,14,14,5,8,8,6,9,10,4,244,1018,6,0.0,0.0,8.8,5,77,2,Jennings County,Indiana
2020-03-12,17,17,9,13,13,5,13,14,8,169,1010,11,22.0,0.0,6.0,11,85,3,Jennings County,Indiana
2020-03-13,9,9,5,5,5,5,8,7,11,312,1021,15,6.0,0.0,8.8,2,67,2,Jennings County,Indiana
2020-03-14,5,5,-2,0,0,5,3,3,8,69,1031,12,10.3,3.7,6.0,-1,79,1,Jennings County,Indiana
2020-03-15,6,6,-1,-2,-2,6,2,2,10,52,1033,13,0.0,0.0,6.0,0,83,1,Jennings County,Indiana
2020-03-16,9,9,1,3,3,5,5,6,4,209,1027,7,0.3,0.0,7.4,2,82,2,Jennings County,Indiana
2020-03-17,12,12,5,6,6,5,7,9,6,341,1025,8,0.5,0.0,10.2,3,75,3,Jennings County,Indiana
2020-03-18,11,11,3,5,5,4,7,8,7,138,1021,11,6.7,0.0,6.0,7,92,2,Jennings County,Indiana
2020-03-19,18,18,10,13,13,2,14,15,10,169,1017,17,6.7,0.0,6.0,14,95,4,Jennings County,Indiana
2020-03-20,20,20,5,14,14,5,15,16,16,297,1018,23,34.4,0.0,6.0,11,82,4,Jennings County,Indiana
2020-03-21,8,8,-1,-1,-1,6,2,4,8,23,1032,11,0.0,0.0,11.6,-3,66,1,Jennings County,Indiana
2020-03-22,6,6,-2,-1,-1,6,2,3,8,70,1029,11,1.0,0.0,7.5,-2,74,1,Jennings County,Indiana
2020-03-23,10,10,4,5,5,6,7,8,5,346,1021,8,0.0,0.0,8.8,4,83,2,Jennings County,Indiana
2020-03-24,13,13,3,5,5,6,7,9,8,96,1018,12,4.0,0.0,7.5,4,82,2,Jennings County,Indiana
2020-03-25,16,16,3,8,8,5,9,11,5,165,1014,9,3.9,0.0,11.6,5,76,4,Jennings County,Indiana
2020-03-26,20,20,7,13,13,4,14,15,9,196,1011,15,1.4,0.0,10.3,11,83,3,Jennings County,Indiana
2020-03-27,22,22,12,16,16,5,18,18,8,133,1009,11,5.7,0.0,6.3,15,90,4,Jennings County,Indiana
2020-03-28,23,23,18,20,20,5,21,22,11,220,1007,19,7.7,0.0,7.7,18,89,5,Jennings County,Indiana
2020-03-29,16,16,11,13,13,5,14,13,17,245,1010,26,14.0,0.0,9.0,10,74,3,Jennings County,Indiana
2020-03-30,14,14,5,7,7,6,10,11,11,291,1020,16,0.0,0.0,11.6,3,66,4,Jennings County,Indiana
2020-03-31,9,9,4,4,4,6,6,7,8,228,1015,10,0.4,0.0,7.7,2,74,2,Jennings County,Indiana
2020-04-01,10,10,3,5,5,6,7,8,7,349,1017,10,1.0,0.0,6.4,3,79,2,Jennings County,Indiana
2020-04-02,15,15,4,8,8,6,9,11,4,227,1020,6,0.1,0.0,11.6,3,70,4,Jennings County,Indiana
2020-04-03,19,19,8,13,13,6,13,15,2,159,1018,4,0.0,0.0,11.6,6,63,4,Jennings County,Indiana
2020-04-04,20,20,11,14,14,5,15,17,6,224,1017,8,1.7,0.0,7.7,9,72,4,Jennings County,Indiana
2020-04-05,14,14,8,10,10,4,11,12,5,353,1019,8,1.1,0.0,6.5,8,83,3,Jennings County,Indiana
2020-04-06,19,19,10,13,13,6,14,15,5,224,1018,7,0.4,0.0,6.5,10,78,4,Jennings County,Indiana
2020-04-07,24,24,13,18,18,4,19,20,10,234,1010,16,3.0,0.0,6.5,15,85,4,Jennings County,Indiana
2020-04-08,24,24,17,20,20,5,21,21,11,273,1004,17,11.6,0.0,7.8,16,81,5,Jennings County,Indiana
2020-04-09,11,11,5,6,6,5,9,9,15,295,1008,21,9.9,0.0,10.3,2,66,2,Jennings County,Indiana
2020-04-10,10,10,0,1,1,6,5,6,11,298,1017,16,0.2,0.0,11.6,-2,64,3,Jennings County,Indiana
2020-04-11,15,15,2,6,6,6,8,10,8,201,1016,12,0.0,0.0,11.6,2,66,4,Jennings County,Indiana
