date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-1,-1,-1,5,3,5,11,220,1009,20,0.0,0.0,8.6,2,93,1,Jo Daviess County,Illinois
2020-03-02,3,3,-4,-5,-5,6,-1,0,7,301,1010,11,0.0,0.0,11.2,-3,87,2,Jo Daviess County,Illinois
2020-03-03,5,5,-3,-3,-3,6,1,2,10,286,1005,16,0.4,0.0,8.6,-2,81,1,Jo Daviess County,Illinois
2020-03-04,3,3,-3,-4,-4,5,0,0,7,301,1015,12,8.2,4.7,11.2,-3,82,2,Jo Daviess County,Illinois
2020-03-05,5,5,0,-3,-3,4,2,4,17,270,1014,27,0.3,0.0,7.1,-1,81,1,Jo Daviess County,Illinois
2020-03-06,3,3,-5,-7,-7,5,-2,-1,13,349,1030,19,0.3,0.0,11.3,-7,70,2,Jo Daviess County,Illinois
2020-03-07,11,11,-3,-1,-1,6,4,5,13,189,1028,21,0.0,0.0,11.3,-3,63,3,Jo Daviess County,Illinois
2020-03-08,16,16,4,6,6,6,9,10,16,201,1018,26,0.1,0.0,11.6,4,69,4,Jo Daviess County,Illinois
2020-03-09,10,10,5,7,7,4,9,9,12,178,1013,19,44.1,0.0,5.9,8,91,2,Jo Daviess County,Illinois
2020-03-10,9,9,0,1,1,6,4,4,9,68,1022,12,2.3,0.0,10.2,-1,73,2,Jo Daviess County,Illinois
2020-03-11,11,11,3,4,4,4,6,7,6,278,1016,10,1.2,0.0,8.8,3,82,2,Jo Daviess County,Illinois
2020-03-12,13,13,3,3,3,5,7,9,15,218,1007,23,5.9,0.0,5.9,5,87,2,Jo Daviess County,Illinois
2020-03-13,7,7,-2,-2,-2,6,2,3,13,294,1024,19,0.0,0.0,11.6,-7,53,2,Jo Daviess County,Illinois
2020-03-14,5,5,-1,-2,-2,6,1,2,7,64,1034,10,0.0,0.0,7.4,-5,66,1,Jo Daviess County,Illinois
2020-03-15,4,4,-4,-4,-4,5,0,1,7,95,1037,9,0.0,0.0,7.4,-3,83,1,Jo Daviess County,Illinois
2020-03-16,4,4,-2,-2,-2,5,1,2,6,231,1026,9,0.1,0.0,6.0,-1,88,1,Jo Daviess County,Illinois
2020-03-17,8,8,-4,-1,-1,6,2,2,7,283,1025,11,0.0,0.0,10.2,-4,67,2,Jo Daviess County,Illinois
2020-03-18,6,6,1,0,0,5,3,4,8,127,1021,13,8.2,0.0,6.0,1,85,1,Jo Daviess County,Illinois
2020-03-19,11,11,4,4,4,4,7,7,9,138,1011,14,8.0,0.0,6.0,6,97,2,Jo Daviess County,Illinois
2020-03-20,2,2,-2,-4,-4,4,1,1,15,342,1024,21,10.4,0.0,8.8,-3,78,1,Jo Daviess County,Illinois
2020-03-21,4,4,-5,-5,-5,6,-1,0,6,122,1035,10,0.0,0.0,8.8,-7,64,1,Jo Daviess County,Illinois
2020-03-22,5,5,-4,-5,-5,5,-1,1,10,149,1029,14,0.5,0.0,8.8,-5,74,1,Jo Daviess County,Illinois
2020-03-23,8,8,-3,0,0,4,2,4,4,220,1023,6,0.4,0.4,6.3,0,89,1,Jo Daviess County,Illinois
2020-03-24,10,10,-1,1,1,4,4,6,7,136,1019,10,0.0,0.0,11.6,1,82,3,Jo Daviess County,Illinois
2020-03-25,15,15,1,6,6,5,8,9,8,196,1011,13,0.0,0.0,11.6,4,83,3,Jo Daviess County,Illinois
2020-03-26,13,13,6,6,6,4,8,10,8,57,1010,12,0.5,0.0,7.7,7,88,2,Jo Daviess County,Illinois
2020-03-27,10,10,3,3,3,5,6,7,11,92,1012,16,3.1,0.0,9.0,4,85,2,Jo Daviess County,Illinois
2020-03-28,15,15,7,9,9,4,11,12,12,107,1002,19,31.5,0.0,6.4,10,91,3,Jo Daviess County,Illinois
2020-03-29,8,8,5,3,3,5,7,7,20,274,1002,29,4.2,0.0,6.4,4,83,2,Jo Daviess County,Illinois
2020-03-30,11,11,1,2,2,6,6,7,9,341,1021,15,0.0,0.0,11.6,2,77,3,Jo Daviess County,Illinois
2020-03-31,6,6,1,0,0,6,3,4,8,41,1020,12,0.0,0.0,6.4,0,80,1,Jo Daviess County,Illinois
2020-04-01,11,11,-1,3,3,6,5,6,5,130,1019,9,0.0,0.0,11.6,1,76,3,Jo Daviess County,Illinois
2020-04-02,15,15,3,6,6,6,9,10,11,145,1019,17,0.1,0.0,9.0,5,78,3,Jo Daviess County,Illinois
2020-04-03,11,11,-1,6,6,3,9,10,10,179,1017,15,10.3,0.0,6.5,6,91,3,Jo Daviess County,Illinois
2020-04-04,9,9,-5,-3,-3,5,1,3,11,351,1022,16,6.5,0.0,11.6,-2,78,2,Jo Daviess County,Illinois
2020-04-05,13,13,-1,4,4,6,6,8,6,153,1022,9,0.0,0.0,11.6,0,68,3,Jo Daviess County,Illinois
2020-04-06,11,11,3,5,5,5,8,8,7,163,1016,11,1.9,0.0,6.5,5,81,2,Jo Daviess County,Illinois
2020-04-07,19,19,12,15,15,4,15,16,8,230,1006,12,1.9,0.0,6.5,14,92,4,Jo Daviess County,Illinois
2020-04-08,20,20,6,10,10,5,12,14,9,266,1007,13,3.5,0.0,9.1,8,81,3,Jo Daviess County,Illinois
2020-04-09,6,6,0,-2,-2,5,3,5,17,307,1011,24,1.9,0.0,6.5,-3,61,1,Jo Daviess County,Illinois
2020-04-10,9,9,-2,0,0,6,3,5,10,298,1017,14,0.0,0.0,10.3,-4,59,2,Jo Daviess County,Illinois
2020-04-11,12,12,3,5,5,5,8,9,8,172,1010,13,8.6,0.0,9.1,3,76,2,Jo Daviess County,Illinois
2020-04-12,13,13,4,7,7,3,9,11,9,95,1002,13,59.1,0.0,6.6,8,95,3,Jo Daviess County,Illinois
2020-04-13,4,4,-3,-6,-6,3,0,1,19,307,1013,26,5.3,0.0,11.6,-6,66,2,Jo Daviess County,Illinois
2020-04-14,4,4,-4,-4,-4,5,0,1,11,273,1021,15,0.3,0.2,6.6,-9,54,1,Jo Daviess County,Illinois
2020-04-15,4,4,-5,-4,-4,6,0,1,8,304,1020,11,0.1,0.0,11.6,-12,46,2,Jo Daviess County,Illinois
2020-04-16,6,6,-6,-3,-3,6,0,2,5,279,1026,8,0.1,0.0,10.4,-9,53,2,Jo Daviess County,Illinois
2020-04-17,8,8,-2,1,1,4,3,4,4,237,1019,6,2.6,1.5,10.4,-2,75,1,Jo Daviess County,Illinois
2020-04-18,14,14,-1,3,3,5,6,8,15,221,1011,23,0.0,0.0,11.6,3,78,3,Jo Daviess County,Illinois
2020-04-19,12,12,5,6,6,6,8,9,9,343,1010,14,1.0,0.0,11.6,3,72,3,Jo Daviess County,Illinois
2020-04-20,15,15,1,6,6,6,8,10,10,256,1006,16,2.0,0.0,9.1,3,73,2,Jo Daviess County,Illinois
2020-04-21,9,9,-2,1,1,6,4,5,10,308,1014,14,0.4,0.0,11.6,-4,60,2,Jo Daviess County,Illinois
2020-04-22,18,18,2,8,8,5,10,11,10,183,1010,16,8.3,0.0,9.2,6,76,3,Jo Daviess County,Illinois
2020-04-23,17,17,8,12,12,5,13,14,7,79,1005,11,13.7,0.0,6.7,10,88,3,Jo Daviess County,Illinois
2020-04-24,12,12,4,5,5,5,7,8,8,80,1011,12,9.9,0.0,6.7,6,88,2,Jo Daviess County,Illinois
2020-04-25,12,12,5,6,6,6,8,9,9,54,1015,13,0.3,0.0,6.8,5,80,2,Jo Daviess County,Illinois
2020-04-26,17,17,3,9,9,6,10,12,4,65,1020,7,0.0,0.0,11.6,4,69,4,Jo Daviess County,Illinois
2020-04-27,13,13,7,8,8,4,11,12,10,214,1015,16,2.2,0.0,8.0,8,82,3,Jo Daviess County,Illinois
2020-04-28,19,19,10,13,13,4,14,16,10,198,1006,16,22.5,0.0,9.7,12,91,4,Jo Daviess County,Illinois
2020-04-29,10,10,3,6,6,3,9,10,17,354,1004,25,2.9,0.0,8.8,7,87,2,Jo Daviess County,Illinois
2020-04-30,15,15,5,7,7,6,10,11,14,336,1011,21,0.0,0.0,14.4,6,77,4,Jo Daviess County,Illinois
2020-05-01,18,18,6,11,11,5,12,13,8,164,1013,13,0.4,0.0,12.3,9,82,3,Jo Daviess County,Illinois
2020-05-02,21,21,13,16,16,6,16,18,10,312,1011,16,0.0,0.0,14.5,12,75,5,Jo Daviess County,Illinois
2020-05-03,20,20,9,14,14,6,15,16,8,298,1015,13,0.0,0.0,14.5,8,67,5,Jo Daviess County,Illinois
2020-05-04,13,13,3,6,6,6,8,10,10,101,1020,15,0.0,0.0,11.2,4,75,2,Jo Daviess County,Illinois
2020-05-05,9,9,2,2,2,4,5,6,9,73,1016,13,27.3,0.0,9.1,4,91,2,Jo Daviess County,Illinois
2020-05-06,16,16,4,8,8,4,9,11,8,322,1020,13,3.9,0.0,11.3,6,81,3,Jo Daviess County,Illinois
2020-05-07,15,15,5,8,8,6,10,12,9,317,1016,14,0.7,0.0,12.4,5,75,3,Jo Daviess County,Illinois
2020-05-08,7,7,1,1,1,6,5,5,12,342,1020,18,0.0,0.0,14.5,-4,58,3,Jo Daviess County,Illinois
2020-05-09,14,14,-3,4,4,6,6,8,8,246,1021,13,1.0,0.0,13.4,-1,63,3,Jo Daviess County,Illinois
2020-05-10,8,8,3,2,2,5,6,5,14,334,1017,20,7.6,0.0,9.2,3,89,1,Jo Daviess County,Illinois
2020-05-11,10,10,-1,2,2,6,5,6,8,311,1024,12,0.9,0.0,11.3,0,77,2,Jo Daviess County,Illinois
2020-05-12,13,13,1,7,7,6,8,10,4,211,1024,7,0.0,0.0,13.4,1,67,3,Jo Daviess County,Illinois
2020-05-13,16,16,2,6,6,6,9,11,12,146,1020,18,2.0,0.0,12.4,4,75,3,Jo Daviess County,Illinois
2020-05-14,22,22,10,16,16,4,17,18,11,213,1009,19,26.8,0.0,9.2,15,95,4,Jo Daviess County,Illinois
