date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,0,1,1,6,5,6,12,237,1008,22,0.0,0.0,10.1,2,91,2,Jones County,Iowa
2020-03-02,2,2,-4,-5,-5,6,-1,-1,7,302,1011,11,0.0,0.0,11.2,-3,85,2,Jones County,Iowa
2020-03-03,7,7,0,-1,-1,6,3,4,11,290,1005,17,0.0,0.0,11.2,-2,72,2,Jones County,Iowa
2020-03-04,4,4,-2,-2,-2,5,1,1,8,304,1015,12,6.4,3.5,11.3,-3,75,2,Jones County,Iowa
2020-03-05,7,7,1,-1,-1,6,4,5,19,293,1015,28,0.1,0.0,8.7,0,76,2,Jones County,Iowa
2020-03-06,4,4,-4,-6,-6,6,-1,0,13,345,1031,18,0.0,0.0,11.6,-8,61,2,Jones County,Iowa
2020-03-07,12,12,-1,1,1,6,5,6,15,190,1027,24,0.0,0.0,11.6,-3,58,3,Jones County,Iowa
2020-03-08,17,17,6,8,8,6,11,11,18,203,1017,28,0.0,0.0,11.6,4,64,4,Jones County,Iowa
2020-03-09,10,10,4,6,6,3,9,10,14,170,1013,21,43.2,0.0,5.9,7,90,2,Jones County,Iowa
2020-03-10,9,9,-1,1,1,4,4,4,9,80,1022,12,0.9,0.0,8.8,-1,74,1,Jones County,Iowa
2020-03-11,12,12,2,4,4,5,6,8,6,269,1016,10,0.5,0.0,11.6,2,78,3,Jones County,Iowa
2020-03-12,12,12,4,3,3,5,7,9,15,235,1007,24,4.8,0.0,5.9,4,83,2,Jones County,Iowa
2020-03-13,6,6,-1,-2,-2,6,2,3,12,297,1024,17,0.0,0.0,8.8,-6,55,1,Jones County,Iowa
2020-03-14,5,5,-2,-2,-2,5,1,2,6,66,1034,10,0.7,0.5,7.4,-5,69,1,Jones County,Iowa
2020-03-15,3,3,-4,-4,-4,5,-1,0,7,96,1037,10,0.0,0.0,7.4,-3,82,1,Jones County,Iowa
2020-03-16,5,5,-2,-2,-2,4,1,2,6,242,1026,9,0.3,0.1,6.0,0,89,1,Jones County,Iowa
2020-03-17,7,7,-3,0,0,6,2,3,7,280,1025,10,0.0,0.0,10.2,-3,67,1,Jones County,Iowa
2020-03-18,6,6,2,1,1,4,4,4,8,134,1020,13,12.7,0.0,6.0,2,89,1,Jones County,Iowa
2020-03-19,11,11,5,4,4,4,7,8,9,137,1011,15,12.9,0.0,6.0,7,97,2,Jones County,Iowa
2020-03-20,3,3,-2,-5,-5,4,1,0,16,344,1025,21,8.2,0.0,10.2,-3,76,1,Jones County,Iowa
2020-03-21,3,3,-4,-5,-5,6,-1,0,8,138,1035,11,0.1,0.0,7.5,-6,68,1,Jones County,Iowa
2020-03-22,4,4,-3,-5,-5,4,0,1,11,147,1028,15,1.2,0.1,7.5,-4,77,1,Jones County,Iowa
2020-03-23,8,8,-2,0,0,4,3,5,5,228,1022,8,1.5,1.4,6.1,1,89,1,Jones County,Iowa
2020-03-24,10,10,-1,1,1,4,4,6,7,135,1018,11,0.0,0.0,8.9,1,82,2,Jones County,Iowa
2020-03-25,15,15,2,6,6,6,8,9,9,189,1011,15,0.0,0.0,10.3,5,83,2,Jones County,Iowa
2020-03-26,12,12,5,6,6,5,8,9,9,58,1010,14,2.0,0.0,7.7,6,88,2,Jones County,Iowa
2020-03-27,8,8,4,3,3,4,7,7,11,92,1011,16,2.5,0.0,9.0,5,87,2,Jones County,Iowa
2020-03-28,16,16,8,11,11,4,12,13,13,113,1000,22,27.6,0.0,6.4,10,88,3,Jones County,Iowa
2020-03-29,8,8,4,2,2,4,7,7,20,280,1003,29,2.4,0.0,6.4,3,79,2,Jones County,Iowa
2020-03-30,12,12,1,3,3,6,6,7,10,228,1021,16,0.0,0.0,11.6,2,72,3,Jones County,Iowa
2020-03-31,7,7,1,1,1,6,4,4,8,50,1019,12,0.0,0.0,7.7,0,78,1,Jones County,Iowa
2020-04-01,11,11,0,2,2,6,5,6,7,138,1018,11,0.0,0.0,11.6,1,78,3,Jones County,Iowa
2020-04-02,15,15,5,7,7,5,9,11,12,150,1017,19,0.5,0.0,9.0,6,77,3,Jones County,Iowa
2020-04-03,11,11,-1,3,3,3,7,8,12,263,1018,18,11.4,0.0,6.5,5,90,2,Jones County,Iowa
2020-04-04,8,8,-5,-4,-4,5,1,2,11,239,1023,16,2.7,0.8,11.6,-4,73,2,Jones County,Iowa
2020-04-05,13,13,-1,4,4,6,6,7,6,147,1022,10,0.0,0.0,11.6,0,69,3,Jones County,Iowa
2020-04-06,11,11,3,4,4,5,7,8,8,160,1015,13,2.7,0.0,6.5,6,86,2,Jones County,Iowa
2020-04-07,20,20,12,15,15,4,15,16,8,227,1005,14,1.5,0.0,7.8,14,90,4,Jones County,Iowa
2020-04-08,18,18,7,11,11,5,12,14,8,275,1007,13,0.6,0.0,10.3,8,76,3,Jones County,Iowa
2020-04-09,6,6,0,-1,-1,5,4,5,16,306,1013,24,1.7,0.0,6.5,-4,58,1,Jones County,Iowa
2020-04-10,9,9,-1,0,0,6,4,5,9,293,1018,14,0.0,0.0,11.6,-5,57,1,Jones County,Iowa
2020-04-11,13,13,3,5,5,5,7,9,8,176,1009,12,8.4,0.0,7.8,3,77,2,Jones County,Iowa
2020-04-12,11,11,5,7,7,2,9,10,11,70,1002,16,41.3,0.0,6.6,7,96,2,Jones County,Iowa
2020-04-13,4,4,-4,-6,-6,5,0,1,19,309,1015,25,1.8,0.0,10.3,-7,61,2,Jones County,Iowa
2020-04-14,4,4,-3,-5,-5,5,0,1,11,275,1022,15,0.3,0.2,6.6,-9,52,1,Jones County,Iowa
2020-04-15,4,4,-4,-4,-4,5,0,1,8,305,1021,10,0.6,0.3,11.6,-10,51,2,Jones County,Iowa
2020-04-16,6,6,-5,-2,-2,5,0,2,4,253,1026,6,0.3,0.1,7.9,-9,51,1,Jones County,Iowa
2020-04-17,8,8,-1,1,1,4,2,4,4,287,1020,7,5.1,4.3,7.9,-2,77,1,Jones County,Iowa
2020-04-18,14,14,-1,3,3,6,7,8,16,222,1011,23,0.0,0.0,11.6,3,77,3,Jones County,Iowa
2020-04-19,12,12,5,6,6,5,9,9,10,353,1010,14,0.4,0.0,11.6,3,69,3,Jones County,Iowa
2020-04-20,15,15,3,7,7,6,9,10,11,261,1007,17,1.0,0.0,7.9,3,68,3,Jones County,Iowa
2020-04-21,10,10,-1,2,2,6,5,6,9,308,1015,14,0.7,0.0,11.6,-2,60,3,Jones County,Iowa
2020-04-22,21,21,3,9,9,5,11,13,11,203,1009,18,10.9,0.0,9.2,6,72,3,Jones County,Iowa
2020-04-23,18,18,10,13,13,5,14,14,6,265,1005,10,11.8,0.0,7.9,11,87,3,Jones County,Iowa
2020-04-24,12,12,6,6,6,5,8,8,9,77,1010,13,8.7,0.0,6.7,7,89,2,Jones County,Iowa
2020-04-25,13,13,6,7,7,6,9,10,10,52,1015,14,0.0,0.0,9.2,6,79,3,Jones County,Iowa
2020-04-26,17,17,6,10,10,6,11,12,6,133,1020,10,0.0,0.0,11.6,5,70,4,Jones County,Iowa
2020-04-27,15,15,8,9,9,4,11,12,10,216,1015,17,2.8,0.0,7.0,9,80,3,Jones County,Iowa
2020-04-28,20,20,12,15,15,5,16,16,12,208,1006,19,11.5,0.0,7.0,12,87,4,Jones County,Iowa
2020-04-29,10,10,6,6,6,4,9,9,19,354,1005,27,1.1,0.0,7.0,7,83,2,Jones County,Iowa
2020-04-30,16,16,6,8,8,6,10,11,13,344,1012,19,0.0,0.0,11.6,6,74,4,Jones County,Iowa
2020-05-01,19,19,8,13,13,6,14,15,10,170,1013,14,0.0,0.0,13.4,9,75,4,Jones County,Iowa
2020-05-02,21,21,14,16,16,6,17,18,10,320,1012,16,0.0,0.0,14.5,11,71,5,Jones County,Iowa
2020-05-03,21,21,10,14,14,6,15,16,7,292,1015,12,0.0,0.0,13.4,7,60,4,Jones County,Iowa
2020-05-04,13,13,5,7,7,5,9,10,11,98,1019,16,0.4,0.0,13.4,5,75,2,Jones County,Iowa
2020-05-05,7,7,1,2,2,3,5,5,8,52,1016,11,30.0,0.0,9.1,4,93,2,Jones County,Iowa
