date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-6,0,0,4,2,5,3,233,1026,6,0.0,0.0,11.6,-5,72,2,Josephine County,Oregon
2020-03-02,10,10,-4,3,3,5,4,6,2,234,1027,3,0.0,0.0,11.6,-2,75,3,Josephine County,Oregon
2020-03-03,18,18,-1,8,8,4,9,12,1,134,1024,2,0.0,0.0,11.6,3,78,4,Josephine County,Oregon
2020-03-04,19,19,0,9,9,4,10,13,1,132,1022,2,0.0,0.0,11.6,2,72,4,Josephine County,Oregon
2020-03-05,20,20,2,10,10,6,11,14,2,216,1018,4,0.0,0.0,11.6,2,67,4,Josephine County,Oregon
2020-03-06,14,14,5,7,7,6,8,10,3,254,1015,4,2.0,0.0,10.2,4,81,3,Josephine County,Oregon
2020-03-07,10,10,-4,3,3,5,4,6,4,234,1013,5,12.0,0.0,5.9,0,82,2,Josephine County,Oregon
2020-03-08,13,13,-3,4,4,4,4,8,1,252,1016,2,0.5,0.0,10.2,-1,76,3,Josephine County,Oregon
2020-03-09,15,15,1,7,7,4,7,10,1,239,1022,2,0.5,0.0,10.2,3,78,3,Josephine County,Oregon
2020-03-10,18,18,2,10,10,4,11,12,2,51,1022,3,0.0,0.0,11.6,3,72,4,Josephine County,Oregon
2020-03-11,17,17,2,9,9,5,9,11,3,343,1021,4,0.0,0.0,11.6,3,76,4,Josephine County,Oregon
2020-03-12,17,17,0,7,7,4,8,11,3,246,1019,5,0.0,0.0,10.2,1,73,4,Josephine County,Oregon
2020-03-13,17,17,1,6,6,5,7,10,3,262,1007,6,5.4,0.0,10.2,0,76,2,Josephine County,Oregon
2020-03-14,8,8,0,2,2,4,3,6,4,226,1010,6,6.4,1.7,6.0,1,83,2,Josephine County,Oregon
2020-03-15,10,10,0,3,3,4,3,6,2,259,1012,3,13.6,3.9,6.0,0,85,2,Josephine County,Oregon
2020-03-16,11,11,-1,4,4,3,4,6,2,133,1015,3,1.4,5.4,11.6,3,92,3,Josephine County,Oregon
2020-03-17,11,11,1,5,5,4,5,8,2,284,1011,4,0.1,0.0,6.0,2,84,2,Josephine County,Oregon
2020-03-18,12,12,1,8,8,6,9,10,2,36,1012,2,0.1,0.0,8.8,1,71,2,Josephine County,Oregon
2020-03-19,17,17,0,9,9,4,10,12,1,239,1017,2,0.0,0.0,11.6,1,71,4,Josephine County,Oregon
2020-03-20,19,19,2,11,11,4,12,13,1,136,1024,2,0.0,0.0,11.6,3,72,4,Josephine County,Oregon
2020-03-21,19,19,5,11,11,4,12,14,2,242,1022,3,0.5,0.0,10.2,5,73,3,Josephine County,Oregon
2020-03-22,20,20,5,13,13,6,14,15,2,221,1019,3,0.1,0.0,11.6,4,69,5,Josephine County,Oregon
2020-03-23,9,9,1,4,4,4,5,7,4,248,1016,6,4.5,0.0,6.1,2,85,2,Josephine County,Oregon
