date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,-3,-3,-3,6,1,3,10,267,1022,15,0.0,0.0,11.2,-7,54,2,Kent County,Maryland
2020-03-02,14,14,2,5,5,6,8,9,13,206,1016,22,1.4,0.0,10.1,3,70,2,Kent County,Maryland
2020-03-03,14,14,8,9,9,5,11,11,12,199,1006,21,2.6,0.0,7.3,8,84,3,Kent County,Maryland
2020-03-04,12,12,6,6,6,6,9,10,12,251,1010,20,0.5,0.0,11.6,1,58,2,Kent County,Maryland
2020-03-05,9,9,2,4,4,6,6,6,6,287,1020,10,0.0,0.0,10.2,-1,62,2,Kent County,Maryland
2020-03-06,5,5,1,0,0,5,4,4,11,331,1010,16,9.5,0.0,7.3,2,89,1,Kent County,Maryland
2020-03-07,7,7,0,-1,-1,4,4,4,14,338,1024,20,1.1,0.4,10.2,-2,66,2,Kent County,Maryland
2020-03-08,12,12,1,3,3,6,6,8,9,233,1032,15,0.0,0.0,11.6,-2,58,3,Kent County,Maryland
2020-03-09,16,16,6,9,9,6,10,12,10,214,1029,18,0.0,0.0,11.6,4,66,4,Kent County,Maryland
2020-03-10,17,17,12,12,12,6,14,15,16,216,1020,29,2.4,0.0,5.9,10,76,3,Kent County,Maryland
2020-03-11,11,11,5,7,7,6,8,9,6,190,1020,9,0.0,0.0,8.8,3,73,2,Kent County,Maryland
2020-03-12,14,14,7,8,8,6,10,11,8,108,1018,11,0.0,0.0,5.9,6,79,3,Kent County,Maryland
2020-03-13,19,19,11,13,13,5,14,17,14,279,1013,24,1.8,0.0,6.0,8,70,4,Kent County,Maryland
2020-03-14,11,11,5,5,5,5,8,8,8,294,1028,12,0.7,0.0,11.6,-1,56,3,Kent County,Maryland
2020-03-15,10,10,4,4,4,5,6,7,7,19,1031,10,2.8,0.0,8.8,2,77,2,Kent County,Maryland
2020-03-16,11,11,3,4,4,6,6,8,9,121,1032,13,0.0,0.0,11.6,1,72,3,Kent County,Maryland
2020-03-17,14,14,6,7,7,6,9,10,7,233,1023,10,2.1,0.0,7.4,6,85,2,Kent County,Maryland
2020-03-18,12,12,3,5,5,6,8,9,8,120,1030,13,0.0,0.0,10.2,2,68,2,Kent County,Maryland
2020-03-19,20,20,10,14,14,5,15,17,7,222,1023,12,17.6,0.0,6.0,13,89,4,Kent County,Maryland
2020-03-20,23,23,13,18,18,5,19,20,13,233,1016,25,1.5,0.0,6.1,15,81,5,Kent County,Maryland
2020-03-21,10,10,6,6,6,6,9,8,10,235,1026,15,1.8,0.0,8.8,2,63,2,Kent County,Maryland
2020-03-22,10,10,2,1,1,6,5,6,12,84,1034,17,0.1,0.0,10.2,-2,63,2,Kent County,Maryland
2020-03-23,8,8,4,3,3,5,6,7,11,70,1024,17,20.1,0.0,6.1,5,90,2,Kent County,Maryland
2020-03-24,12,12,5,6,6,6,8,9,6,326,1020,10,0.0,0.0,11.6,4,78,2,Kent County,Maryland
2020-03-25,8,8,6,4,4,4,7,7,11,59,1016,17,2.9,0.0,6.3,5,87,2,Kent County,Maryland
2020-03-26,13,13,3,6,6,6,8,10,7,218,1017,11,0.0,0.0,11.6,4,77,3,Kent County,Maryland
2020-03-27,16,16,9,12,12,5,12,14,6,349,1013,9,1.6,0.0,10.3,9,82,4,Kent County,Maryland
2020-03-28,14,14,10,11,11,3,12,12,8,122,1016,13,6.6,0.0,6.4,10,91,3,Kent County,Maryland
2020-03-29,21,21,10,14,14,4,15,16,6,156,1012,9,0.7,0.0,7.7,13,92,4,Kent County,Maryland
2020-03-30,17,17,9,11,11,6,12,15,11,272,1013,17,0.0,0.0,11.6,6,70,4,Kent County,Maryland
2020-03-31,11,11,5,5,5,4,8,9,9,85,1014,13,0.9,0.0,7.7,4,80,2,Kent County,Maryland
2020-04-01,11,11,4,4,4,6,7,8,10,240,1010,15,0.1,0.0,6.4,3,75,2,Kent County,Maryland
2020-04-02,10,10,4,3,3,6,7,8,17,322,1011,25,0.0,0.0,9.0,1,62,2,Kent County,Maryland
2020-04-03,13,13,6,6,6,6,9,11,18,333,1009,25,0.0,0.0,7.7,4,69,3,Kent County,Maryland
2020-04-04,13,13,8,8,8,6,10,11,6,223,1016,10,0.0,0.0,7.7,6,79,3,Kent County,Maryland
2020-04-05,16,16,7,10,10,6,11,13,6,238,1018,10,0.1,0.0,10.3,8,78,4,Kent County,Maryland
2020-04-06,17,17,9,11,11,5,12,14,7,349,1017,11,0.2,0.0,11.6,6,66,4,Kent County,Maryland
2020-04-07,18,18,10,12,12,6,13,15,5,244,1012,10,0.3,0.0,7.8,8,71,3,Kent County,Maryland
2020-04-08,22,22,13,16,16,5,18,20,9,297,1001,16,2.9,0.0,9.0,13,78,4,Kent County,Maryland
2020-04-09,20,20,8,11,11,5,13,16,16,273,997,24,0.2,0.0,10.3,7,67,4,Kent County,Maryland
2020-04-10,10,10,5,2,2,6,7,8,21,291,1003,29,0.2,0.0,9.1,-2,53,2,Kent County,Maryland
2020-04-11,13,13,3,5,5,6,8,9,10,290,1016,15,0.0,0.0,11.6,-1,55,3,Kent County,Maryland
2020-04-12,20,20,6,13,13,6,13,16,12,198,1019,20,1.1,0.0,11.6,7,67,5,Kent County,Maryland
2020-04-13,22,22,13,17,17,5,18,20,25,224,1006,42,14.4,0.0,7.8,13,76,4,Kent County,Maryland
2020-04-14,11,11,6,7,7,6,9,10,9,297,1019,13,0.1,0.0,10.3,2,61,3,Kent County,Maryland
2020-04-15,10,10,4,3,3,5,6,8,9,318,1017,14,5.6,0.0,9.1,-1,64,2,Kent County,Maryland
2020-04-16,9,9,4,3,3,6,6,7,13,295,1021,20,0.0,0.0,10.3,-3,55,2,Kent County,Maryland
2020-04-17,12,12,1,5,5,6,7,9,8,183,1022,13,0.0,0.0,7.9,0,61,2,Kent County,Maryland
2020-04-18,11,11,5,6,6,4,8,9,11,321,1010,15,4.8,0.0,9.1,4,76,2,Kent County,Maryland
2020-04-19,15,15,4,8,8,6,10,12,9,209,1013,15,0.0,0.0,10.4,4,68,3,Kent County,Maryland
2020-04-20,14,14,8,9,9,5,10,12,9,120,1005,13,0.4,0.0,6.6,5,71,3,Kent County,Maryland
2020-04-21,16,16,8,10,10,6,12,14,17,265,1004,25,1.6,0.0,7.9,5,69,3,Kent County,Maryland
2020-04-22,12,12,2,3,3,6,7,8,13,287,1015,20,0.0,0.0,11.6,-4,48,3,Kent County,Maryland
2020-04-23,16,16,4,8,8,5,10,12,8,169,1015,13,8.7,0.0,9.1,4,70,3,Kent County,Maryland
2020-04-24,13,13,7,9,9,5,11,12,8,17,1006,12,5.2,0.0,6.7,10,94,3,Kent County,Maryland
2020-04-25,16,16,6,10,10,6,11,13,6,98,1016,9,1.4,0.0,7.9,8,82,3,Kent County,Maryland
2020-04-26,19,19,10,13,13,4,14,16,9,165,1007,14,7.3,0.0,6.7,12,92,4,Kent County,Maryland
2020-04-27,11,11,6,5,5,4,8,8,14,338,1014,20,0.8,0.0,6.7,5,81,2,Kent County,Maryland
2020-04-28,15,15,5,8,8,6,10,11,6,218,1021,9,0.1,0.0,6.7,5,74,3,Kent County,Maryland
2020-04-29,20,20,9,14,14,6,15,17,12,116,1018,19,1.1,0.0,9.2,11,80,4,Kent County,Maryland
2020-04-30,20,20,13,16,16,5,16,18,17,158,1009,27,32.2,0.0,6.8,14,85,4,Kent County,Maryland
2020-05-01,17,17,13,13,13,6,14,15,9,298,1007,15,2.5,0.0,9.2,11,79,4,Kent County,Maryland
2020-05-02,19,19,9,13,13,6,14,16,10,259,1016,16,0.0,0.0,11.6,8,66,5,Kent County,Maryland
2020-05-03,20,20,14,17,17,5,17,18,9,247,1009,16,5.5,0.0,8.1,15,85,4,Kent County,Maryland
2020-05-04,19,19,11,15,15,5,15,17,14,312,1009,20,7.7,0.0,11.6,10,71,4,Kent County,Maryland
2020-05-05,14,14,6,8,8,6,10,11,7,269,1014,10,0.1,0.0,10.5,5,68,3,Kent County,Maryland
2020-05-06,10,10,8,8,8,4,9,10,6,99,1008,9,2.2,0.0,8.8,8,91,2,Kent County,Maryland
2020-05-07,16,16,6,10,10,6,12,14,10,306,1011,16,0.0,0.0,14.5,4,64,4,Kent County,Maryland
2020-05-08,16,16,9,11,11,5,13,14,11,231,1008,16,6.4,0.0,10.1,7,74,3,Kent County,Maryland
2020-05-09,10,10,1,1,1,5,5,7,17,292,1016,24,2.4,0.0,14.5,-4,54,3,Kent County,Maryland
2020-05-10,15,15,5,7,7,6,10,12,13,215,1020,21,0.0,0.0,14.5,1,56,4,Kent County,Maryland
2020-05-11,13,13,8,8,8,5,11,12,14,277,1014,21,0.6,0.0,9.1,5,69,3,Kent County,Maryland
2020-05-12,14,14,5,7,7,6,9,11,13,291,1021,19,0.0,0.0,14.5,2,60,4,Kent County,Maryland
2020-05-13,16,16,6,10,10,6,11,13,5,285,1026,9,0.0,0.0,14.5,4,65,4,Kent County,Maryland
2020-05-14,17,17,8,12,12,6,13,14,9,197,1024,14,0.0,0.0,12.3,9,79,3,Kent County,Maryland
2020-05-15,25,25,16,20,21,5,21,22,13,222,1016,22,2.5,0.0,14.5,16,78,6,Kent County,Maryland
2020-05-16,24,24,17,20,21,5,21,22,6,59,1017,10,2.3,0.0,10.2,17,83,5,Kent County,Maryland
2020-05-17,27,27,17,22,24,4,24,24,11,193,1015,17,0.4,0.0,12.4,17,81,5,Kent County,Maryland
2020-05-18,19,19,12,14,14,6,15,16,12,68,1018,18,0.0,0.0,9.2,11,81,4,Kent County,Maryland
2020-05-19,18,18,11,13,13,6,14,16,16,78,1021,23,0.0,0.0,14.5,6,59,5,Kent County,Maryland
2020-05-20,16,16,8,9,9,6,12,14,14,88,1027,20,0.0,0.0,14.5,5,64,4,Kent County,Maryland
2020-05-21,18,18,9,12,12,6,14,16,11,107,1027,15,0.0,0.0,12.4,10,80,4,Kent County,Maryland
2020-05-22,22,22,14,18,18,4,18,19,8,128,1019,13,6.7,0.0,9.2,16,91,4,Kent County,Maryland
2020-05-23,25,25,17,20,21,5,21,22,5,314,1016,9,15.2,0.0,9.2,17,86,5,Kent County,Maryland
2020-05-24,20,20,14,16,16,6,16,17,8,77,1022,11,0.0,0.0,9.2,13,85,4,Kent County,Maryland
2020-05-25,22,22,14,18,18,6,18,20,4,113,1022,6,0.0,0.0,10.3,15,83,4,Kent County,Maryland
2020-05-26,24,24,14,19,19,4,19,21,5,154,1023,8,0.0,0.0,13.4,16,88,6,Kent County,Maryland
2020-05-27,24,24,15,20,21,4,21,22,6,131,1022,9,1.1,0.0,11.4,18,87,5,Kent County,Maryland
2020-05-28,26,26,19,22,24,5,24,24,12,169,1019,18,5.1,0.0,9.3,20,88,5,Kent County,Maryland
2020-05-29,27,27,21,24,26,6,26,25,13,199,1015,21,1.9,0.0,11.4,21,86,5,Kent County,Maryland
2020-05-30,25,25,19,21,22,6,22,22,8,337,1014,12,0.0,0.0,14.5,16,72,6,Kent County,Maryland
2020-05-31,19,19,13,15,15,6,16,17,12,336,1019,18,0.0,0.0,14.5,8,60,5,Kent County,Maryland
2020-06-01,20,20,9,14,14,6,14,17,9,308,1024,15,0.0,0.0,14.5,7,58,5,Kent County,Maryland
2020-06-02,20,20,14,16,16,6,17,18,8,231,1017,14,0.2,0.0,11.4,11,69,4,Kent County,Maryland
2020-06-03,31,31,18,25,27,6,27,28,11,254,1007,20,2.2,0.0,12.4,19,73,7,Kent County,Maryland
2020-06-04,30,30,20,25,27,5,27,28,4,206,1011,7,8.6,0.0,14.5,20,75,7,Kent County,Maryland
2020-06-05,28,28,21,23,26,5,26,26,9,209,1012,14,5.1,0.0,13.5,21,85,6,Kent County,Maryland
2020-06-06,30,30,20,24,26,5,26,27,7,302,1010,11,3.7,0.0,12.4,19,74,6,Kent County,Maryland
2020-06-07,23,23,17,20,20,6,21,21,10,336,1014,16,0.0,0.0,14.5,13,64,6,Kent County,Maryland
2020-06-08,24,24,14,19,19,6,19,21,6,235,1017,10,0.0,0.0,14.5,11,62,6,Kent County,Maryland
2020-06-09,29,29,16,23,24,6,24,26,8,202,1015,13,0.0,0.0,14.5,18,73,7,Kent County,Maryland
2020-06-10,30,30,22,26,29,5,29,28,13,186,1013,22,6.2,0.0,11.4,23,83,6,Kent County,Maryland
2020-06-11,27,27,23,24,27,5,27,25,11,245,1016,18,17.7,0.0,9.3,21,84,6,Kent County,Maryland
2020-06-12,27,27,19,23,24,6,24,25,8,335,1019,14,0.2,0.0,14.5,15,61,7,Kent County,Maryland
2020-06-13,22,22,15,18,18,6,19,20,11,234,1022,16,0.0,0.0,14.5,11,62,5,Kent County,Maryland
2020-06-14,23,23,14,18,18,6,19,20,9,77,1026,14,0.0,0.0,14.5,11,64,6,Kent County,Maryland
2020-06-15,23,23,13,18,18,6,18,21,9,80,1028,14,0.0,0.0,14.5,12,69,6,Kent County,Maryland
2020-06-16,22,22,15,18,18,6,19,20,10,79,1027,15,0.0,0.0,14.5,12,71,5,Kent County,Maryland
2020-06-17,22,22,15,18,18,5,19,20,12,62,1022,17,23.5,0.0,9.3,16,88,4,Kent County,Maryland
2020-06-18,26,26,19,22,23,5,23,24,9,127,1019,14,5.4,0.0,11.4,19,85,5,Kent County,Maryland
2020-06-19,27,27,18,22,23,5,23,25,8,199,1019,13,8.6,0.0,10.4,19,81,5,Kent County,Maryland
2020-06-20,26,26,19,22,24,5,24,24,6,183,1016,10,20.2,0.0,11.4,20,85,5,Kent County,Maryland
2020-06-21,26,26,18,22,24,4,24,25,5,155,1015,9,8.8,0.0,11.4,20,84,5,Kent County,Maryland
2020-06-22,29,29,20,24,26,4,26,27,8,192,1014,13,4.5,0.0,10.4,21,82,6,Kent County,Maryland
