date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-1,3,3,4,4,6,2,287,1026,3,0.5,0.0,7.1,1,82,2,King County,Washington
2020-03-02,8,8,3,4,4,3,6,6,6,184,1022,8,1.1,0.0,5.6,5,93,2,King County,Washington
2020-03-03,9,9,7,6,6,3,8,8,9,204,1019,12,1.4,0.0,5.6,6,88,2,King County,Washington
2020-03-04,10,10,3,4,4,5,6,7,5,194,1022,7,1.9,0.0,7.1,1,72,2,King County,Washington
2020-03-05,15,15,2,7,7,5,8,10,6,206,1017,8,0.1,0.0,10.2,1,66,3,King County,Washington
2020-03-06,8,8,4,4,4,3,5,5,2,235,1014,3,7.0,0.0,5.8,4,92,2,King County,Washington
2020-03-07,8,8,1,3,3,4,5,6,4,201,1011,5,2.7,0.0,7.3,2,89,2,King County,Washington
2020-03-08,9,9,-1,3,3,4,4,5,3,308,1018,5,0.1,0.0,8.7,-1,80,2,King County,Washington
2020-03-09,11,11,-2,5,5,6,6,7,3,339,1024,4,0.0,0.0,11.6,-4,63,3,King County,Washington
2020-03-10,11,11,-1,4,4,6,6,8,6,208,1023,10,0.0,0.0,7.3,-1,63,2,King County,Washington
2020-03-11,7,7,1,4,4,4,5,6,3,89,1021,4,2.9,0.0,5.9,3,85,2,King County,Washington
2020-03-12,11,11,-1,5,5,6,6,7,3,321,1025,4,0.0,0.0,11.6,-2,69,3,King County,Washington
2020-03-13,6,6,0,1,1,4,3,4,4,120,1011,6,1.8,0.0,5.9,0,81,1,King County,Washington
2020-03-14,6,6,-2,-1,-1,5,2,2,5,124,1017,7,0.2,0.2,8.8,-4,71,1,King County,Washington
2020-03-15,7,7,-5,-2,-2,6,1,2,7,355,1023,10,0.0,0.0,8.8,-8,57,1,King County,Washington
2020-03-16,13,13,-1,5,5,6,7,8,5,345,1022,7,0.0,0.0,11.6,-1,68,3,King County,Washington
2020-03-17,13,13,0,6,6,6,7,8,2,313,1012,4,0.0,0.0,8.8,1,75,2,King County,Washington
2020-03-18,16,16,1,8,8,6,9,10,2,270,1012,4,0.0,0.0,11.6,2,72,4,King County,Washington
2020-03-19,16,16,2,9,9,6,10,12,2,310,1018,4,0.0,0.0,11.6,3,72,4,King County,Washington
2020-03-20,17,17,4,11,11,6,11,13,3,323,1024,4,0.0,0.0,11.6,4,73,4,King County,Washington
2020-03-21,16,16,2,9,9,6,10,12,3,334,1024,5,0.0,0.0,11.6,3,75,4,King County,Washington
2020-03-22,15,15,2,8,8,6,9,11,5,211,1016,7,0.0,0.0,8.8,3,70,3,King County,Washington
2020-03-23,8,8,4,4,4,6,6,7,8,194,1010,10,4.3,0.0,8.9,3,83,2,King County,Washington
2020-03-24,9,9,0,4,4,6,5,7,4,215,1014,5,3.8,0.0,6.1,3,86,2,King County,Washington
2020-03-25,10,10,2,5,5,4,6,7,3,251,1016,4,10.9,0.0,9.0,3,87,2,King County,Washington
2020-03-26,7,7,2,3,3,6,5,6,5,177,1017,7,0.7,0.0,6.4,3,89,2,King County,Washington
2020-03-27,7,7,4,4,4,2,6,6,5,168,1016,6,8.1,0.0,6.4,5,95,2,King County,Washington
2020-03-28,9,9,4,6,6,3,8,8,6,166,1014,9,2.8,0.0,6.4,6,91,2,King County,Washington
2020-03-29,11,11,6,6,6,5,9,9,7,202,1010,11,15.1,0.0,6.4,6,89,2,King County,Washington
2020-03-30,9,9,4,3,3,4,6,7,10,216,1009,14,8.5,0.0,7.7,4,85,2,King County,Washington
2020-03-31,10,10,3,4,4,4,6,8,4,207,1016,6,5.3,0.0,6.5,3,86,2,King County,Washington
2020-04-01,9,9,1,4,4,6,5,7,3,340,1019,5,2.5,0.0,7.8,2,84,2,King County,Washington
2020-04-02,10,10,0,4,4,5,6,7,5,214,1022,7,0.9,0.0,6.5,0,78,2,King County,Washington
2020-04-03,8,8,1,2,2,4,4,6,6,225,1018,8,3.2,0.2,6.5,1,83,2,King County,Washington
2020-04-04,12,12,0,6,6,5,7,8,3,11,1008,5,0.3,0.4,9.1,0,71,2,King County,Washington
2020-04-05,13,13,1,6,6,6,8,10,4,340,1003,6,0.0,0.0,9.1,1,70,2,King County,Washington
2020-04-06,15,15,1,9,9,6,10,12,3,274,1011,4,0.0,0.0,11.6,1,65,4,King County,Washington
2020-04-07,14,14,1,7,7,6,8,10,3,207,1021,5,0.0,0.0,9.1,2,73,2,King County,Washington
2020-04-08,16,16,4,10,10,6,11,13,4,346,1023,6,0.0,0.0,9.1,3,68,3,King County,Washington
2020-04-09,19,19,4,13,13,6,14,16,4,340,1018,6,0.0,0.0,11.6,5,68,5,King County,Washington
2020-04-10,19,19,5,12,12,6,12,16,3,256,1016,4,0.0,0.0,10.4,6,69,4,King County,Washington
2020-04-11,13,13,6,8,8,6,9,10,4,315,1020,6,0.1,0.0,9.1,4,74,2,King County,Washington
2020-04-12,15,15,4,10,10,6,11,13,4,336,1025,6,0.0,0.0,11.6,0,57,4,King County,Washington
2020-04-13,16,16,2,10,10,6,11,13,3,332,1028,5,0.0,0.0,11.6,-3,47,4,King County,Washington
2020-04-14,18,18,4,10,10,6,12,14,4,224,1024,7,0.0,0.0,11.6,1,55,4,King County,Washington
2020-04-15,18,18,8,13,13,6,14,16,5,343,1024,6,0.0,0.0,10.4,6,67,5,King County,Washington
2020-04-16,23,23,5,14,14,6,15,19,3,247,1024,5,0.0,0.0,11.6,2,51,5,King County,Washington
2020-04-17,21,21,6,15,15,6,16,18,2,252,1013,4,0.0,0.0,10.4,3,54,5,King County,Washington
2020-04-18,15,15,6,10,10,6,11,12,4,210,1013,5,0.2,0.0,7.0,6,78,3,King County,Washington
2020-04-19,17,17,8,13,13,6,13,15,2,222,1017,4,0.0,0.0,7.0,7,73,3,King County,Washington
2020-04-20,20,20,5,13,13,6,14,17,2,307,1018,4,0.0,0.0,11.6,6,70,5,King County,Washington
2020-04-21,12,12,9,10,10,6,10,11,4,167,1022,5,0.0,0.0,7.0,6,75,3,King County,Washington
2020-04-22,11,11,7,9,9,4,10,10,3,134,1019,4,9.3,0.0,7.0,8,91,3,King County,Washington
2020-04-23,15,15,9,10,10,5,11,12,4,125,1022,6,12.4,0.0,7.0,9,91,3,King County,Washington
2020-04-24,18,18,6,12,12,6,12,15,3,220,1022,5,0.0,0.0,9.3,7,73,4,King County,Washington
2020-04-25,16,16,8,11,11,5,12,13,7,203,1017,11,6.3,0.0,8.8,7,79,3,King County,Washington
2020-04-26,18,18,5,12,12,5,12,16,4,210,1017,7,0.0,0.0,12.3,4,64,4,King County,Washington
2020-04-27,17,17,7,11,11,5,12,15,8,231,1017,11,6.7,0.0,11.3,7,74,3,King County,Washington
2020-04-28,20,20,5,11,11,6,12,16,3,265,1023,5,0.0,0.0,13.4,6,69,4,King County,Washington
2020-04-29,21,21,7,12,12,5,13,15,5,209,1014,7,2.2,0.0,12.4,8,78,4,King County,Washington
2020-04-30,14,14,8,10,10,5,12,13,7,224,1017,9,1.9,0.0,11.3,7,79,3,King County,Washington
2020-05-01,19,19,3,12,12,6,13,16,4,211,1017,6,0.0,0.0,11.3,3,60,4,King County,Washington
2020-05-02,12,12,5,8,8,5,9,11,5,242,1013,8,8.0,0.0,10.3,6,82,3,King County,Washington
2020-05-03,14,14,4,8,8,5,10,12,6,210,1022,10,2.8,0.0,13.4,5,82,3,King County,Washington
2020-05-04,18,18,3,11,11,6,12,15,3,253,1022,5,0.0,0.0,13.5,3,64,5,King County,Washington
2020-05-05,22,22,7,15,15,5,16,18,3,292,1020,5,1.6,0.0,13.5,8,72,5,King County,Washington
2020-05-06,15,15,5,9,9,5,10,12,5,194,1026,8,10.3,0.0,9.3,7,83,3,King County,Washington
2020-05-07,19,19,3,12,12,6,13,15,5,353,1027,7,0.0,0.0,14.5,5,69,5,King County,Washington
2020-05-08,27,27,7,18,19,6,19,23,4,88,1022,7,0.0,0.0,14.5,6,51,6,King County,Washington
2020-05-09,28,28,10,20,21,6,21,25,4,78,1017,6,0.0,0.0,14.5,7,50,6,King County,Washington
2020-05-10,29,29,12,21,22,6,22,25,3,59,1012,6,0.6,0.0,13.5,8,50,5,King County,Washington
2020-05-11,24,24,11,17,17,5,17,21,4,254,1007,6,0.7,0.0,13.5,9,61,5,King County,Washington
2020-05-12,14,14,10,12,12,5,12,13,3,148,1006,5,4.3,0.0,9.4,10,90,3,King County,Washington
2020-05-13,19,19,10,13,13,5,14,15,5,210,1010,8,8.5,0.0,9.4,8,79,3,King County,Washington
2020-05-14,16,16,8,11,11,5,12,14,3,196,1015,5,10.3,0.0,9.4,10,88,3,King County,Washington
2020-05-15,22,22,7,15,15,4,16,18,3,227,1017,4,0.2,0.0,14.5,7,67,4,King County,Washington
2020-05-16,19,19,8,13,13,5,13,16,3,253,1008,4,4.5,0.0,10.5,8,76,4,King County,Washington
2020-05-17,18,18,8,13,13,5,14,16,4,204,1005,6,5.3,0.0,9.5,10,83,4,King County,Washington
2020-05-18,20,20,7,14,14,6,14,17,3,322,1008,5,0.3,0.0,13.5,7,71,4,King County,Washington
2020-05-19,17,17,9,13,13,6,13,15,3,204,1015,5,0.2,0.0,9.5,9,75,3,King County,Washington
2020-05-20,16,16,9,11,11,4,12,13,5,171,1015,7,0.4,0.0,9.5,9,84,3,King County,Washington
2020-05-21,13,13,5,8,8,5,9,10,4,118,1014,6,5.9,0.0,9.5,7,88,3,King County,Washington
2020-05-22,14,14,6,9,9,4,10,12,5,184,1017,6,0.8,0.0,9.5,7,81,3,King County,Washington
2020-05-23,18,18,8,12,12,6,12,15,3,236,1021,4,0.3,0.0,10.5,7,73,3,King County,Washington
2020-05-24,23,23,6,16,16,6,17,19,2,262,1020,3,0.0,0.0,14.5,7,64,5,King County,Washington
2020-05-25,14,14,7,11,11,3,12,13,3,190,1017,5,3.1,0.0,9.6,11,92,3,King County,Washington
2020-05-26,21,21,12,15,15,4,17,17,3,227,1018,4,0.2,0.0,11.5,10,77,4,King County,Washington
2020-05-27,24,24,7,17,17,6,18,21,4,341,1020,6,0.0,0.0,14.5,7,63,6,King County,Washington
2020-05-28,27,27,11,19,20,6,20,22,4,333,1016,6,0.0,0.0,13.5,10,61,5,King County,Washington
2020-05-29,26,26,13,20,21,6,21,24,4,342,1013,6,1.2,0.0,14.5,11,65,6,King County,Washington
2020-05-30,19,19,10,12,12,4,12,15,4,207,1009,5,4.4,0.0,10.6,10,84,4,King County,Washington
2020-05-31,16,16,9,11,11,5,12,13,5,235,1016,7,6.1,0.0,10.6,8,80,3,King County,Washington
2020-06-01,20,20,4,13,13,6,14,17,4,328,1020,5,0.0,0.0,14.5,5,63,5,King County,Washington
2020-06-02,21,21,6,13,13,6,14,17,4,269,1022,5,0.0,0.0,13.5,6,65,4,King County,Washington
2020-06-03,19,19,6,14,14,6,14,17,3,283,1020,5,0.0,0.0,14.7,6,65,4,King County,Washington
2020-06-04,21,21,7,14,14,6,15,18,3,283,1017,5,0.0,0.0,15.9,6,64,4,King County,Washington
2020-06-05,21,21,6,14,14,6,14,18,3,273,1007,5,0.2,0.0,15.6,7,71,4,King County,Washington
2020-06-06,15,15,8,11,11,6,12,14,5,224,1008,7,5.6,0.0,11.9,8,82,3,King County,Washington
2020-06-07,15,15,8,11,11,4,11,12,4,198,1013,6,14.1,0.0,13.8,9,89,3,King County,Washington
2020-06-08,16,16,8,11,11,4,12,13,6,215,1020,9,1.2,0.0,11.9,7,76,3,King County,Washington
2020-06-09,14,14,9,12,12,5,12,12,3,166,1019,5,10.2,0.0,11.9,11,95,3,King County,Washington
2020-06-10,23,23,10,16,16,4,16,19,3,217,1019,5,2.5,0.0,12.0,13,82,4,King County,Washington
2020-06-11,21,21,8,14,14,6,14,17,3,157,1017,4,1.0,0.0,12.0,11,80,4,King County,Washington
2020-06-12,15,15,9,12,12,5,12,14,4,191,1015,5,0.4,0.0,12.0,10,85,3,King County,Washington
2020-06-13,15,15,8,11,11,6,11,13,5,243,1012,7,5.4,0.0,12.0,10,90,3,King County,Washington
2020-06-14,18,18,7,11,11,4,12,15,5,213,1014,7,0.9,0.0,12.0,7,72,3,King County,Washington
2020-06-15,14,14,9,10,10,5,11,12,5,175,1012,8,6.0,0.0,12.0,9,88,3,King County,Washington
2020-06-16,18,18,8,13,13,6,13,15,3,61,1017,5,2.2,0.0,13.8,8,79,3,King County,Washington
2020-06-17,23,23,6,16,16,5,16,20,4,293,1023,6,0.0,0.0,16.0,8,67,5,King County,Washington
2020-06-18,24,24,7,17,17,6,18,21,4,345,1021,5,0.0,0.0,16.0,9,66,6,King County,Washington
2020-06-19,27,27,11,20,21,6,21,24,2,205,1014,4,0.0,0.0,16.0,11,60,6,King County,Washington
