date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,0,4,4,6,4,6,2,143,1027,2,2.6,0.0,7.0,1,82,2,Kitsap County,Washington
2020-03-02,9,9,1,4,4,2,6,6,6,195,1022,9,1.1,0.0,5.6,5,94,2,Kitsap County,Washington
2020-03-03,11,11,5,6,6,4,8,9,8,201,1020,11,0.1,0.0,7.1,5,83,2,Kitsap County,Washington
2020-03-04,13,13,4,7,7,5,7,8,2,164,1023,3,1.4,0.0,8.7,2,71,2,Kitsap County,Washington
2020-03-05,11,11,3,5,5,5,7,8,7,203,1016,10,6.2,0.0,8.7,2,75,2,Kitsap County,Washington
2020-03-06,8,8,3,5,5,4,5,6,1,178,1015,2,11.3,0.0,7.3,3,89,2,Kitsap County,Washington
2020-03-07,8,8,1,3,3,4,4,6,3,207,1011,4,3.0,0.0,8.7,1,86,2,Kitsap County,Washington
2020-03-08,8,8,0,2,2,4,3,5,3,40,1018,4,0.2,0.0,7.3,0,82,2,Kitsap County,Washington
2020-03-09,11,11,0,5,5,6,5,7,3,38,1024,4,0.0,0.0,11.6,-2,65,3,Kitsap County,Washington
2020-03-10,11,11,0,3,3,6,5,7,7,201,1023,11,0.0,0.0,10.2,0,71,2,Kitsap County,Washington
2020-03-11,7,7,4,6,6,2,6,7,3,129,1022,4,2.0,0.0,5.9,4,87,2,Kitsap County,Washington
2020-03-12,10,10,2,5,5,6,6,7,2,128,1025,3,0.1,0.0,8.8,1,79,2,Kitsap County,Washington
2020-03-13,6,6,-4,1,1,5,3,4,6,237,1011,8,4.1,0.1,5.9,0,81,1,Kitsap County,Washington
2020-03-14,4,4,-1,-3,-3,5,2,2,10,9,1016,14,0.1,0.0,7.4,-7,56,1,Kitsap County,Washington
2020-03-15,6,6,-2,-3,-3,6,2,3,12,11,1022,17,0.0,0.0,11.6,-8,48,2,Kitsap County,Washington
2020-03-16,12,12,2,5,5,6,7,9,6,25,1021,9,0.0,0.0,11.6,-2,55,3,Kitsap County,Washington
2020-03-17,12,12,2,6,6,6,7,8,2,38,1011,4,0.0,0.0,7.4,-1,64,2,Kitsap County,Washington
2020-03-18,18,18,3,10,10,6,11,12,2,121,1012,3,0.0,0.0,11.6,4,71,4,Kitsap County,Washington
2020-03-19,18,18,4,11,11,6,11,13,2,86,1017,3,0.0,0.0,11.6,4,73,4,Kitsap County,Washington
2020-03-20,17,17,6,10,10,6,10,13,2,45,1025,4,0.0,0.0,10.2,5,73,3,Kitsap County,Washington
2020-03-21,18,18,5,10,10,6,11,13,2,78,1024,3,0.0,0.0,11.6,5,77,4,Kitsap County,Washington
2020-03-22,15,15,4,8,8,6,9,11,5,191,1017,7,0.0,0.0,7.5,4,76,3,Kitsap County,Washington
2020-03-23,11,11,4,5,5,4,7,9,7,224,1010,10,2.4,0.0,7.5,3,76,2,Kitsap County,Washington
2020-03-24,10,10,3,5,5,5,6,8,4,245,1014,5,5.8,0.0,6.1,3,86,2,Kitsap County,Washington
2020-03-25,12,12,2,7,7,4,7,8,1,91,1017,2,3.8,0.0,6.2,3,84,2,Kitsap County,Washington
2020-03-26,10,10,2,4,4,4,5,7,5,196,1017,7,0.7,0.0,6.2,3,84,2,Kitsap County,Washington
2020-03-27,10,10,4,5,5,3,6,8,6,182,1016,8,1.1,0.0,6.4,5,89,2,Kitsap County,Washington
2020-03-28,9,9,2,5,5,4,7,8,9,185,1014,14,11.5,0.0,6.4,7,94,2,Kitsap County,Washington
2020-03-29,13,13,7,7,7,5,9,10,9,204,1010,12,14.1,0.0,9.0,6,81,3,Kitsap County,Washington
