date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,27,27,18,21,22,6,22,22,15,176,1014,23,0.0,0.0,8.7,16,71,5,Kleberg County,Texas
2020-03-02,30,30,18,23,25,6,25,24,11,163,1009,17,0.0,0.0,8.7,18,77,5,Kleberg County,Texas
2020-03-03,26,26,19,22,23,5,23,23,8,98,1007,12,0.1,0.0,5.9,18,81,5,Kleberg County,Texas
2020-03-04,27,27,20,23,23,4,23,24,14,297,1008,19,0.3,0.0,10.2,13,61,5,Kleberg County,Texas
2020-03-05,22,22,13,17,17,6,17,18,14,347,1023,20,0.0,0.0,10.2,9,59,5,Kleberg County,Texas
2020-03-06,21,21,13,16,16,6,17,18,11,62,1029,16,0.0,0.0,11.6,6,51,5,Kleberg County,Texas
2020-03-07,22,22,13,17,17,6,18,19,11,117,1027,16,0.0,0.0,11.6,9,60,5,Kleberg County,Texas
2020-03-08,24,24,15,19,19,6,20,21,14,144,1023,20,0.0,0.0,8.8,14,72,5,Kleberg County,Texas
2020-03-09,24,24,18,21,21,6,22,21,12,152,1021,18,1.5,0.0,6.0,17,78,5,Kleberg County,Texas
2020-03-10,26,26,19,22,23,5,23,23,8,153,1022,12,2.0,0.0,7.4,18,80,5,Kleberg County,Texas
2020-03-11,28,28,18,23,24,5,24,24,11,156,1018,15,0.0,0.0,11.6,18,76,6,Kleberg County,Texas
2020-03-12,28,28,19,23,24,6,24,25,14,156,1012,19,0.0,0.0,11.6,18,77,6,Kleberg County,Texas
2020-03-13,27,27,19,23,24,6,24,24,15,142,1012,21,0.4,0.0,11.6,19,81,5,Kleberg County,Texas
2020-03-14,28,28,21,23,24,6,24,25,14,141,1017,19,0.3,0.0,11.6,20,82,6,Kleberg County,Texas
2020-03-15,29,29,21,24,26,6,26,26,13,131,1020,17,0.0,0.0,11.6,20,78,7,Kleberg County,Texas
2020-03-16,28,28,20,23,24,4,24,25,12,137,1018,16,0.5,0.0,10.2,19,80,5,Kleberg County,Texas
2020-03-17,29,29,20,24,25,6,25,25,15,140,1016,21,0.0,0.0,11.6,19,78,7,Kleberg County,Texas
2020-03-18,29,29,21,24,26,5,26,26,16,154,1014,22,0.0,0.0,11.6,20,77,7,Kleberg County,Texas
2020-03-19,29,29,21,24,26,6,26,25,15,142,1013,21,0.1,0.0,7.4,20,82,5,Kleberg County,Texas
2020-03-20,30,30,22,25,28,5,28,26,13,138,1018,17,0.5,0.0,7.4,20,78,6,Kleberg County,Texas
2020-03-21,19,19,15,16,16,5,17,16,13,33,1022,18,4.0,0.0,6.1,14,83,4,Kleberg County,Texas
2020-03-22,26,26,16,21,22,4,22,23,8,225,1018,12,0.3,0.0,6.1,18,85,5,Kleberg County,Texas
2020-03-23,30,30,20,24,25,4,25,26,13,156,1015,18,0.2,0.0,10.2,20,79,7,Kleberg County,Texas
2020-03-24,34,34,21,27,29,6,29,28,10,247,1012,14,0.0,0.0,11.6,19,70,7,Kleberg County,Texas
2020-03-25,32,32,21,26,28,5,28,27,9,129,1011,13,0.0,0.0,11.6,20,76,7,Kleberg County,Texas
2020-03-26,34,34,20,27,28,4,28,28,14,159,1009,20,0.0,0.0,11.6,19,71,7,Kleberg County,Texas
2020-03-27,32,32,21,27,29,6,29,28,17,154,1006,24,0.0,0.0,11.6,20,72,7,Kleberg County,Texas
2020-03-28,31,31,22,25,27,5,27,26,12,174,1009,17,0.1,0.0,7.5,17,67,6,Kleberg County,Texas
2020-03-29,25,25,20,22,23,6,23,22,11,61,1016,16,0.0,0.0,6.1,10,50,5,Kleberg County,Texas
2020-03-30,28,28,21,25,27,5,27,26,12,149,1013,16,0.6,0.0,6.1,21,81,6,Kleberg County,Texas
2020-03-31,29,29,21,25,25,5,25,26,11,116,1014,15,0.0,0.0,11.6,15,61,7,Kleberg County,Texas
2020-04-01,26,26,16,21,22,6,22,22,11,117,1014,16,0.0,0.0,10.2,15,69,5,Kleberg County,Texas
2020-04-02,26,26,19,23,24,6,24,24,12,138,1011,18,0.0,0.0,6.1,19,81,5,Kleberg County,Texas
2020-04-03,30,30,22,25,27,5,27,27,11,144,1010,16,0.2,0.0,6.2,20,76,6,Kleberg County,Texas
2020-04-04,22,22,12,19,19,5,20,19,14,25,1012,19,2.2,0.0,6.2,17,85,4,Kleberg County,Texas
2020-04-05,22,22,17,20,20,6,21,20,11,54,1015,16,0.1,0.0,6.2,17,86,4,Kleberg County,Texas
2020-04-06,30,30,20,24,26,4,26,26,7,86,1014,10,0.8,0.0,6.2,20,80,6,Kleberg County,Texas
2020-04-07,31,31,23,26,29,4,29,27,7,151,1013,9,1.5,0.0,6.2,22,80,6,Kleberg County,Texas
2020-04-08,35,35,23,28,31,4,31,29,9,154,1011,12,0.0,0.0,11.6,22,76,7,Kleberg County,Texas
2020-04-09,34,34,24,28,31,6,31,30,7,143,1009,11,0.2,0.0,10.3,22,74,7,Kleberg County,Texas
2020-04-10,25,25,22,23,25,5,25,23,14,58,1012,19,2.1,0.0,6.2,19,81,5,Kleberg County,Texas
2020-04-11,29,29,22,25,28,5,28,26,12,154,1008,17,1.0,0.0,7.6,22,81,6,Kleberg County,Texas
2020-04-12,32,32,23,27,28,6,28,29,16,299,1004,22,0.0,0.0,11.6,12,50,7,Kleberg County,Texas
2020-04-13,23,23,15,18,18,6,19,18,11,21,1015,16,0.0,0.0,11.6,7,48,5,Kleberg County,Texas
2020-04-14,21,21,14,16,16,6,17,17,11,15,1017,16,0.0,0.0,6.2,11,68,4,Kleberg County,Texas
2020-04-15,22,22,10,15,15,6,16,17,11,46,1020,16,0.0,0.0,11.6,8,60,5,Kleberg County,Texas
2020-04-16,26,26,14,20,21,6,21,22,10,125,1018,15,0.0,0.0,7.6,13,67,5,Kleberg County,Texas
2020-04-17,26,26,20,23,24,5,24,24,10,145,1014,14,1.0,0.0,6.3,20,85,5,Kleberg County,Texas
2020-04-18,22,22,16,20,20,6,22,20,10,43,1012,14,1.6,0.0,6.3,20,90,5,Kleberg County,Texas
2020-04-19,35,35,22,27,29,4,29,28,10,265,1006,15,0.4,0.0,10.3,18,67,6,Kleberg County,Texas
2020-04-20,35,35,20,28,29,6,29,29,9,107,1009,13,0.0,0.0,11.6,17,64,7,Kleberg County,Texas
2020-04-21,30,30,21,25,28,4,28,27,13,139,1010,17,0.0,0.0,7.6,21,81,6,Kleberg County,Texas
2020-04-22,34,34,25,28,32,6,32,30,13,169,1007,18,0.2,0.0,9.2,22,71,6,Kleberg County,Texas
2020-04-23,34,34,23,28,29,5,29,29,10,18,1006,15,0.1,0.0,11.6,18,62,7,Kleberg County,Texas
2020-04-24,39,39,21,30,32,4,32,31,11,197,1007,16,0.0,0.0,11.6,18,63,8,Kleberg County,Texas
2020-04-25,30,30,22,26,27,6,27,28,12,52,1013,17,0.1,0.0,11.6,18,64,7,Kleberg County,Texas
2020-04-26,29,29,17,23,24,6,24,25,10,91,1020,15,1.4,0.0,11.6,15,63,6,Kleberg County,Texas
2020-04-27,29,29,20,24,25,6,25,26,14,140,1017,19,0.0,0.0,10.4,19,74,7,Kleberg County,Texas
2020-04-28,34,34,24,28,31,6,31,30,16,151,1011,22,0.9,0.0,10.4,22,74,6,Kleberg County,Texas
