date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,-4,-2,-2,6,1,3,8,252,1025,13,0.1,0.0,11.1,-5,68,2,Klickitat County,Washington
2020-03-02,9,9,-1,-1,-1,5,3,6,11,264,1023,18,0.1,0.0,10.1,1,83,3,Klickitat County,Washington
2020-03-03,10,10,3,2,2,6,5,7,13,268,1020,21,0.1,0.0,11.2,3,83,3,Klickitat County,Washington
2020-03-04,9,9,2,2,2,6,5,6,10,258,1022,16,0.0,0.0,11.2,-2,65,3,Klickitat County,Washington
2020-03-05,12,12,2,6,6,6,7,9,4,241,1017,7,0.0,0.0,11.2,-1,61,3,Klickitat County,Washington
2020-03-06,9,9,3,3,3,6,6,7,8,269,1013,11,0.0,0.0,8.6,2,80,2,Klickitat County,Washington
2020-03-07,7,7,-2,-1,-1,6,3,5,9,266,1011,12,0.0,0.0,10.2,-2,73,2,Klickitat County,Washington
2020-03-08,7,7,-3,-1,-1,6,1,4,4,248,1017,7,0.0,0.0,8.7,-6,63,1,Klickitat County,Washington
2020-03-09,9,9,-3,1,1,6,3,5,4,239,1022,7,0.0,0.0,11.6,-5,59,3,Klickitat County,Washington
2020-03-10,11,11,-1,3,3,6,5,7,7,247,1022,11,0.0,0.0,11.6,-3,61,3,Klickitat County,Washington
2020-03-11,9,9,0,1,1,6,5,7,14,267,1020,22,0.0,0.0,11.6,-1,70,3,Klickitat County,Washington
2020-03-12,9,9,-2,2,2,6,4,6,4,243,1023,7,0.0,0.0,10.2,-4,64,2,Klickitat County,Washington
2020-03-13,6,6,-1,1,1,5,2,4,5,57,1008,7,1.7,0.8,5.9,-2,74,1,Klickitat County,Washington
2020-03-14,-1,-1,-11,-9,-9,4,-4,-3,9,63,1017,11,2.6,2.6,8.8,-8,75,1,Klickitat County,Washington
2020-03-15,-2,-2,-6,-7,-7,3,-4,-3,4,86,1023,6,4.7,3.3,7.4,-6,84,1,Klickitat County,Washington
2020-03-16,5,5,-4,-1,-1,6,0,2,2,135,1023,3,0.0,0.0,10.2,-4,78,2,Klickitat County,Washington
2020-03-17,8,8,-3,3,3,6,3,5,2,156,1012,3,0.0,0.0,10.2,-3,70,2,Klickitat County,Washington
2020-03-18,10,10,-2,4,4,6,5,7,3,220,1012,5,0.0,0.0,11.6,-1,70,3,Klickitat County,Washington
2020-03-19,12,12,0,5,5,6,5,8,3,135,1017,6,0.2,0.0,10.2,1,73,3,Klickitat County,Washington
2020-03-20,14,14,2,7,7,6,8,11,4,228,1022,6,0.0,0.0,11.6,2,68,4,Klickitat County,Washington
2020-03-21,14,14,3,8,8,6,9,10,4,228,1022,7,0.0,0.0,11.6,0,60,4,Klickitat County,Washington
2020-03-22,13,13,2,6,6,6,7,10,5,239,1016,9,0.0,0.0,10.2,0,63,3,Klickitat County,Washington
2020-03-23,7,7,1,0,0,6,4,5,11,264,1010,15,0.2,0.0,10.2,0,78,2,Klickitat County,Washington
2020-03-24,7,7,0,0,0,5,3,5,7,262,1014,10,0.7,0.1,9.0,-1,78,2,Klickitat County,Washington
2020-03-25,7,7,-2,-2,-2,5,2,4,8,271,1016,12,4.0,0.4,7.7,-2,78,1,Klickitat County,Washington
2020-03-26,8,8,-3,-3,-3,6,1,4,12,266,1016,18,0.0,0.0,11.6,-3,77,2,Klickitat County,Washington
2020-03-27,9,9,-1,-1,-1,5,3,5,11,264,1016,17,0.0,0.0,9.0,0,81,2,Klickitat County,Washington
2020-03-28,11,11,1,3,3,4,5,8,7,254,1016,11,0.3,0.0,6.4,3,85,2,Klickitat County,Washington
2020-03-29,8,8,-1,2,2,4,5,7,8,254,1012,12,0.9,0.0,6.4,3,86,2,Klickitat County,Washington
2020-03-30,7,7,1,0,0,4,4,6,13,257,1011,17,11.4,1.0,9.0,1,82,2,Klickitat County,Washington
2020-03-31,7,7,-1,-1,-1,4,3,5,11,267,1016,14,7.2,6.6,10.3,0,82,2,Klickitat County,Washington
2020-04-01,7,7,-1,0,0,5,3,5,7,275,1018,10,2.1,0.2,6.5,-2,77,1,Klickitat County,Washington
2020-04-02,8,8,-3,-1,-1,6,2,5,8,257,1021,12,0.9,0.0,10.3,-3,73,2,Klickitat County,Washington
2020-04-03,7,7,-4,-3,-3,6,1,4,11,264,1018,16,0.0,0.0,11.6,-4,74,2,Klickitat County,Washington
2020-04-04,8,8,-4,0,0,4,2,5,4,90,1007,6,2.7,1.4,6.5,-3,75,1,Klickitat County,Washington
2020-04-05,7,7,-1,2,2,5,3,5,2,107,1002,4,0.2,0.9,7.8,1,87,2,Klickitat County,Washington
2020-04-06,14,14,0,5,5,6,7,10,8,260,1010,13,0.0,0.0,11.6,1,75,3,Klickitat County,Washington
2020-04-07,14,14,0,5,5,6,8,10,9,267,1018,14,0.0,0.0,11.6,1,68,4,Klickitat County,Washington
2020-04-08,16,16,4,10,10,6,10,13,2,178,1021,4,0.0,0.0,11.6,1,60,4,Klickitat County,Washington
2020-04-09,19,19,6,13,13,6,14,16,3,210,1016,4,0.0,0.0,11.6,4,56,5,Klickitat County,Washington
2020-04-10,18,18,7,11,11,6,12,15,10,264,1014,17,0.0,0.0,11.6,5,66,4,Klickitat County,Washington
2020-04-11,13,13,4,6,6,6,8,11,8,250,1017,13,0.3,0.0,10.4,1,62,3,Klickitat County,Washington
2020-04-12,11,11,1,5,5,6,6,9,5,115,1024,8,0.0,0.0,11.6,-6,44,3,Klickitat County,Washington
2020-04-13,12,12,-1,6,6,6,7,10,4,218,1027,6,0.0,0.0,11.6,-5,44,3,Klickitat County,Washington
2020-04-14,15,15,3,7,7,6,9,12,10,263,1023,15,0.0,0.0,11.6,0,53,4,Klickitat County,Washington
2020-04-15,13,13,4,7,7,6,8,11,5,237,1022,9,1.3,0.0,9.1,3,68,3,Klickitat County,Washington
2020-04-16,13,13,3,7,7,6,9,11,6,85,1023,9,0.0,0.0,11.6,-3,49,4,Klickitat County,Washington
2020-04-17,17,17,1,9,9,6,10,13,4,215,1013,6,0.0,0.0,11.6,-2,45,4,Klickitat County,Washington
2020-04-18,16,16,4,9,9,6,11,13,9,261,1012,14,0.1,0.0,9.2,3,62,3,Klickitat County,Washington
2020-04-19,16,16,4,9,9,6,10,13,6,243,1016,9,0.0,0.0,11.6,4,71,4,Klickitat County,Washington
2020-04-20,18,18,5,11,11,6,12,14,7,251,1016,12,0.0,0.0,11.6,3,62,4,Klickitat County,Washington
2020-04-21,13,13,5,7,7,6,9,12,13,263,1021,19,0.0,0.0,11.6,4,73,4,Klickitat County,Washington
2020-04-22,8,8,3,5,5,5,7,8,6,232,1018,11,10.3,0.0,7.0,6,92,2,Klickitat County,Washington
2020-04-23,14,14,6,7,7,6,10,12,13,264,1021,19,0.9,0.0,11.6,4,74,4,Klickitat County,Washington
2020-04-24,13,13,5,7,7,6,8,11,5,236,1021,8,0.0,0.0,11.6,5,77,4,Klickitat County,Washington
2020-04-25,12,12,5,8,8,5,9,11,7,250,1018,11,1.0,0.0,9.9,6,80,3,Klickitat County,Washington
2020-04-26,17,17,4,10,10,6,12,13,7,248,1016,10,0.0,0.0,14.5,0,52,4,Klickitat County,Washington
2020-04-27,14,14,6,7,7,4,9,11,11,256,1017,16,2.8,0.0,10.2,5,77,3,Klickitat County,Washington
2020-04-28,18,18,4,11,11,6,12,15,5,227,1021,7,0.0,0.0,14.5,5,66,4,Klickitat County,Washington
2020-04-29,20,20,9,14,14,6,14,17,8,249,1014,11,0.0,0.0,14.5,8,68,5,Klickitat County,Washington
2020-04-30,14,14,5,8,8,5,10,12,13,266,1016,18,0.0,0.0,14.5,3,66,4,Klickitat County,Washington
2020-05-01,16,16,2,10,10,6,11,13,4,230,1017,6,0.0,0.0,14.5,0,57,4,Klickitat County,Washington
2020-05-02,14,14,2,6,6,5,8,11,8,219,1013,13,17.5,0.0,9.2,5,81,3,Klickitat County,Washington
2020-05-03,13,13,1,5,5,6,8,10,9,250,1022,13,0.1,0.0,14.5,1,69,3,Klickitat County,Washington
2020-05-04,16,16,2,9,9,5,10,13,4,199,1021,6,0.6,0.0,14.5,1,61,4,Klickitat County,Washington
2020-05-05,19,19,5,12,12,5,12,16,5,209,1019,8,0.5,0.0,14.5,6,68,5,Klickitat County,Washington
2020-05-06,14,14,5,7,7,6,10,11,15,264,1026,21,0.6,0.0,14.5,1,63,4,Klickitat County,Washington
2020-05-07,17,17,1,9,9,6,9,13,6,110,1026,9,0.0,0.0,14.5,-1,53,4,Klickitat County,Washington
2020-05-08,19,19,5,12,12,6,13,17,9,73,1022,13,0.0,0.0,14.5,4,56,5,Klickitat County,Washington
2020-05-09,22,22,9,15,15,6,16,19,6,82,1017,9,0.0,0.0,14.5,6,56,5,Klickitat County,Washington
2020-05-10,22,22,12,16,16,6,16,19,6,60,1012,10,0.3,0.0,12.4,6,53,4,Klickitat County,Washington
2020-05-11,19,19,11,15,15,5,16,17,6,45,1007,10,5.0,0.0,14.5,6,59,5,Klickitat County,Washington
2020-05-12,15,15,5,9,9,5,11,13,9,266,1006,14,4.2,0.0,11.4,6,77,3,Klickitat County,Washington
2020-05-13,15,15,6,9,9,6,11,12,10,258,1011,14,0.0,0.0,11.4,4,71,3,Klickitat County,Washington
2020-05-14,15,15,4,7,7,6,9,12,9,263,1014,14,0.0,0.0,12.4,4,73,4,Klickitat County,Washington
2020-05-15,17,17,4,10,10,6,10,14,4,217,1016,7,0.0,0.0,14.5,3,64,4,Klickitat County,Washington
2020-05-16,16,16,7,11,11,5,11,13,2,210,1007,4,3.2,0.0,12.5,5,68,3,Klickitat County,Washington
2020-05-17,17,17,7,10,10,5,11,14,5,242,1005,8,8.1,0.0,10.4,6,73,3,Klickitat County,Washington
2020-05-18,15,15,7,9,9,4,10,12,6,266,1007,9,1.2,0.0,10.4,6,77,3,Klickitat County,Washington
2020-05-19,16,16,7,8,8,5,10,12,9,264,1014,13,4.0,0.0,10.4,7,82,3,Klickitat County,Washington
2020-05-20,16,16,7,9,9,6,11,14,19,270,1014,26,0.0,0.0,14.5,6,71,4,Klickitat County,Washington
2020-05-21,12,12,2,4,4,6,8,10,17,258,1014,24,0.1,0.0,14.5,2,67,3,Klickitat County,Washington
2020-05-22,13,13,1,4,4,6,7,11,15,273,1016,21,0.0,0.0,13.5,2,70,4,Klickitat County,Washington
2020-05-23,16,16,1,7,7,6,9,13,7,247,1019,11,0.0,0.0,14.5,3,69,4,Klickitat County,Washington
2020-05-24,20,20,5,12,12,6,13,16,6,240,1019,9,0.0,0.0,14.5,6,65,5,Klickitat County,Washington
2020-05-25,15,15,9,12,12,6,13,15,7,266,1016,11,0.0,0.0,12.5,9,77,3,Klickitat County,Washington
2020-05-26,22,22,8,15,15,5,16,19,8,257,1016,12,0.0,0.0,14.5,8,67,5,Klickitat County,Washington
2020-05-27,23,23,9,17,17,6,18,20,4,155,1018,6,0.0,0.0,14.5,4,46,5,Klickitat County,Washington
2020-05-28,25,25,13,19,19,6,19,22,3,156,1015,4,0.0,0.0,14.5,5,41,6,Klickitat County,Washington
2020-05-29,28,28,14,22,23,6,23,25,3,140,1011,4,1.6,0.0,14.5,10,50,7,Klickitat County,Washington
2020-05-30,25,25,12,18,18,5,19,21,8,262,1006,13,35.3,0.0,9.6,13,79,5,Klickitat County,Washington
2020-05-31,16,16,7,9,9,6,11,14,14,257,1014,20,0.0,0.0,14.5,4,62,3,Klickitat County,Washington
2020-06-01,19,19,7,11,11,6,12,16,9,255,1018,13,0.0,0.0,12.5,2,53,5,Klickitat County,Washington
2020-06-02,22,22,6,14,14,6,15,18,8,252,1019,13,0.0,0.0,13.5,3,49,5,Klickitat County,Washington
2020-06-03,21,21,9,14,14,6,16,18,10,259,1017,15,0.0,0.0,13.5,3,49,5,Klickitat County,Washington
2020-06-04,20,20,7,13,13,6,14,17,9,262,1014,12,0.0,0.0,14.5,4,55,5,Klickitat County,Washington
2020-06-05,19,19,9,14,14,6,14,17,6,239,1006,10,0.0,0.0,14.5,6,59,5,Klickitat County,Washington
2020-06-06,15,15,6,9,9,6,11,13,13,261,1007,19,0.1,0.0,14.5,4,70,3,Klickitat County,Washington
2020-06-07,14,14,4,6,6,6,9,12,17,273,1012,24,0.0,0.0,14.5,3,68,4,Klickitat County,Washington
2020-06-08,14,14,5,6,6,6,10,12,16,264,1020,24,0.0,0.0,14.5,3,63,4,Klickitat County,Washington
2020-06-09,11,11,7,9,9,4,9,10,4,275,1020,6,6.4,0.0,11.6,8,90,3,Klickitat County,Washington
2020-06-10,23,23,8,15,15,4,16,19,5,231,1018,8,0.0,0.0,14.5,9,70,5,Klickitat County,Washington
2020-06-11,23,23,13,17,17,5,18,20,6,255,1015,8,0.7,0.0,10.6,10,63,4,Klickitat County,Washington
2020-06-12,19,19,9,14,14,6,14,18,11,268,1013,17,0.5,0.0,11.6,7,63,4,Klickitat County,Washington
2020-06-13,15,15,5,8,8,6,11,13,15,262,1012,21,0.4,0.0,12.6,4,69,3,Klickitat County,Washington
2020-06-14,17,17,4,8,8,6,10,13,12,261,1014,17,0.0,0.0,13.5,3,64,4,Klickitat County,Washington
2020-06-15,13,13,6,9,9,6,10,12,8,253,1012,12,1.3,0.0,11.6,6,77,3,Klickitat County,Washington
2020-06-16,16,16,5,10,10,6,12,14,9,265,1016,13,3.9,0.0,11.6,5,71,3,Klickitat County,Washington
2020-06-17,22,22,6,14,14,6,16,18,9,252,1021,13,0.0,0.0,14.5,7,66,5,Klickitat County,Washington
2020-06-18,24,24,10,17,17,6,17,21,4,223,1019,6,0.0,0.0,14.5,7,53,6,Klickitat County,Washington
2020-06-19,27,27,13,20,20,6,20,24,4,218,1013,7,0.0,0.0,14.5,7,45,6,Klickitat County,Washington
2020-06-20,19,19,11,16,16,6,16,18,9,281,1013,14,0.1,0.0,14.5,10,66,4,Klickitat County,Washington
2020-06-21,22,22,10,15,15,5,16,19,11,261,1017,17,0.0,0.0,14.5,8,65,5,Klickitat County,Washington
2020-06-22,27,27,10,19,19,6,19,23,4,207,1019,6,0.0,0.0,14.5,7,48,6,Klickitat County,Washington
