date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,10,14,14,6,15,16,11,179,1019,17,0.0,0.0,8.7,10,74,4,La Salle Parish,Louisiana
2020-03-02,24,24,16,19,19,6,20,20,11,219,1012,17,4.5,0.0,5.9,17,86,5,La Salle Parish,Louisiana
2020-03-03,24,24,19,21,21,5,21,22,6,170,1011,10,2.1,0.0,8.7,19,88,5,La Salle Parish,Louisiana
2020-03-04,16,16,12,14,14,4,15,15,12,45,1012,20,25.3,0.0,5.9,13,90,3,La Salle Parish,Louisiana
2020-03-05,19,19,11,12,12,5,13,14,10,244,1018,15,9.3,0.0,8.7,10,80,3,La Salle Parish,Louisiana
2020-03-06,16,16,7,10,10,6,11,12,8,17,1030,14,0.0,0.0,11.6,4,62,4,La Salle Parish,Louisiana
2020-03-07,15,15,5,9,9,6,10,11,6,85,1031,9,0.0,0.0,10.2,3,65,3,La Salle Parish,Louisiana
2020-03-08,19,19,6,12,12,6,12,13,6,162,1028,10,0.0,0.0,11.6,7,73,4,La Salle Parish,Louisiana
2020-03-09,19,19,13,16,16,5,16,17,11,171,1025,17,3.0,0.0,5.9,14,88,4,La Salle Parish,Louisiana
2020-03-10,23,23,16,19,19,5,20,20,5,232,1023,9,13.3,0.0,5.9,17,89,5,La Salle Parish,Louisiana
2020-03-11,26,26,16,20,20,4,21,22,8,222,1019,12,0.0,0.0,11.6,17,82,5,La Salle Parish,Louisiana
2020-03-12,27,27,16,20,20,4,21,21,10,204,1014,14,0.0,0.0,8.8,17,83,5,La Salle Parish,Louisiana
2020-03-13,24,24,18,20,20,4,21,21,6,170,1018,9,0.6,0.0,7.4,18,88,5,La Salle Parish,Louisiana
2020-03-14,26,26,17,21,21,4,21,22,6,182,1022,8,0.4,0.0,6.0,18,88,5,La Salle Parish,Louisiana
2020-03-15,21,21,16,19,19,3,20,19,7,26,1025,9,0.0,0.0,7.4,16,89,4,La Salle Parish,Louisiana
2020-03-16,22,22,12,16,16,6,17,18,6,58,1023,8,0.4,0.0,7.4,14,84,4,La Salle Parish,Louisiana
2020-03-17,25,25,17,20,20,3,21,22,4,65,1021,7,6.6,0.0,7.4,18,87,5,La Salle Parish,Louisiana
2020-03-18,25,25,17,21,21,4,21,22,8,180,1019,12,5.5,0.0,7.4,19,90,5,La Salle Parish,Louisiana
2020-03-19,27,27,19,23,24,4,24,24,10,181,1018,15,0.8,0.0,6.0,20,84,5,La Salle Parish,Louisiana
2020-03-20,23,23,17,20,20,4,21,21,7,187,1022,12,22.6,0.0,6.0,19,92,5,La Salle Parish,Louisiana
2020-03-21,17,17,12,13,13,5,14,14,9,37,1026,12,2.5,0.0,7.4,12,87,3,La Salle Parish,Louisiana
2020-03-22,20,20,12,16,16,3,16,17,5,141,1021,8,80.4,0.0,6.1,16,95,4,La Salle Parish,Louisiana
2020-03-23,27,27,19,21,22,6,22,22,6,220,1018,10,2.5,0.0,7.5,19,88,5,La Salle Parish,Louisiana
2020-03-24,27,27,18,22,23,3,23,23,9,213,1013,14,1.2,0.0,6.1,19,87,5,La Salle Parish,Louisiana
2020-03-25,27,27,16,20,20,4,21,20,5,48,1013,8,1.4,0.0,10.2,17,86,5,La Salle Parish,Louisiana
2020-03-26,30,30,17,22,23,4,23,25,8,191,1013,12,0.0,0.0,11.6,18,79,6,La Salle Parish,Louisiana
2020-03-27,30,30,21,24,26,6,26,25,10,186,1011,15,0.0,0.0,10.2,20,80,6,La Salle Parish,Louisiana
2020-03-28,30,30,21,24,26,6,26,26,11,197,1011,16,1.9,0.0,10.2,20,79,7,La Salle Parish,Louisiana
2020-03-29,24,24,13,18,18,5,18,20,5,43,1019,9,9.5,0.0,11.6,12,70,5,La Salle Parish,Louisiana
2020-03-30,20,20,15,17,17,6,17,18,7,68,1018,11,1.0,0.0,6.3,11,69,4,La Salle Parish,Louisiana
2020-03-31,20,20,11,17,17,5,17,18,8,220,1013,13,10.4,0.0,7.7,14,84,4,La Salle Parish,Louisiana
2020-04-01,23,23,9,16,16,6,16,18,3,127,1017,5,0.0,0.0,11.6,9,70,5,La Salle Parish,Louisiana
2020-04-02,23,23,12,17,17,6,18,19,4,145,1016,6,0.0,0.0,11.6,12,71,5,La Salle Parish,Louisiana
2020-04-03,22,22,15,18,18,5,18,19,4,120,1016,7,1.4,0.0,11.6,14,79,5,La Salle Parish,Louisiana
2020-04-04,19,19,15,17,17,6,17,18,3,245,1016,5,2.9,0.0,6.4,14,83,4,La Salle Parish,Louisiana
2020-04-05,26,26,14,19,19,4,20,21,4,81,1018,6,0.3,0.0,10.3,15,80,5,La Salle Parish,Louisiana
2020-04-06,26,26,16,21,21,4,21,22,5,163,1017,8,0.0,0.0,11.6,17,80,6,La Salle Parish,Louisiana
2020-04-07,29,29,20,24,25,5,25,25,6,220,1014,10,1.7,0.0,7.7,21,86,5,La Salle Parish,Louisiana
2020-04-08,29,29,20,24,26,3,26,25,7,216,1011,11,10.9,0.0,7.7,22,86,6,La Salle Parish,Louisiana
2020-04-09,25,25,18,22,23,3,23,23,8,39,1011,12,0.5,0.0,6.4,19,83,5,La Salle Parish,Louisiana
2020-04-10,18,18,11,14,14,5,15,15,9,40,1017,13,3.1,0.0,11.6,9,69,5,La Salle Parish,Louisiana
2020-04-11,22,22,8,15,15,6,16,17,6,146,1014,10,1.4,0.0,10.3,10,70,5,La Salle Parish,Louisiana
2020-04-12,27,27,17,22,24,6,24,24,12,198,1003,20,4.0,0.0,7.8,20,88,5,La Salle Parish,Louisiana
2020-04-13,17,17,9,12,12,5,14,13,9,141,1016,13,0.3,0.0,10.3,9,78,4,La Salle Parish,Louisiana
2020-04-14,16,16,6,9,9,6,10,12,10,27,1020,14,0.0,0.0,11.6,5,73,4,La Salle Parish,Louisiana
2020-04-15,17,17,4,9,9,6,11,12,7,38,1021,11,0.0,0.0,11.6,4,67,4,La Salle Parish,Louisiana
2020-04-16,22,22,5,12,12,6,13,15,6,136,1022,10,0.0,0.0,11.6,5,59,5,La Salle Parish,Louisiana
2020-04-17,24,24,10,16,16,6,17,18,6,186,1018,10,1.3,0.0,6.5,12,76,4,La Salle Parish,Louisiana
2020-04-18,22,22,12,17,17,5,18,17,6,54,1016,8,14.3,0.0,9.1,15,85,4,La Salle Parish,Louisiana
2020-04-19,26,26,17,21,23,5,23,23,8,207,1007,14,15.4,0.0,6.5,19,91,5,La Salle Parish,Louisiana
2020-04-20,24,24,13,18,18,4,19,19,3,211,1011,5,0.0,0.0,10.3,15,84,4,La Salle Parish,Louisiana
2020-04-21,26,26,14,20,21,4,21,22,4,64,1015,7,0.0,0.0,11.6,15,77,6,La Salle Parish,Louisiana
2020-04-22,24,24,16,19,19,5,21,21,11,160,1012,19,7.5,0.0,9.1,16,78,5,La Salle Parish,Louisiana
2020-04-23,26,26,21,23,25,5,25,24,10,280,1005,16,22.5,0.0,10.3,18,77,5,La Salle Parish,Louisiana
2020-04-24,27,27,14,20,21,6,21,22,6,153,1009,9,0.4,0.0,11.6,15,74,6,La Salle Parish,Louisiana
2020-04-25,24,24,16,19,19,6,20,20,8,305,1013,13,1.2,0.0,11.6,14,75,6,La Salle Parish,Louisiana
2020-04-26,24,24,13,18,18,6,18,20,6,126,1021,10,0.0,0.0,11.6,11,65,6,La Salle Parish,Louisiana
2020-04-27,25,25,12,18,18,6,18,20,7,148,1021,11,0.0,0.0,11.6,11,65,6,La Salle Parish,Louisiana
2020-04-28,26,26,14,19,19,5,20,22,8,176,1016,14,29.0,0.0,7.9,16,83,5,La Salle Parish,Louisiana
2020-04-29,25,25,16,21,21,5,22,21,10,305,1012,17,26.8,0.0,11.6,14,72,6,La Salle Parish,Louisiana
2020-04-30,25,25,12,18,18,6,19,20,6,320,1017,10,0.0,0.0,11.6,11,66,5,La Salle Parish,Louisiana
2020-05-01,26,26,13,19,19,6,20,22,6,184,1018,9,0.0,0.0,11.6,14,71,6,La Salle Parish,Louisiana
2020-05-02,28,28,15,21,22,6,22,23,8,181,1018,13,0.0,0.0,10.4,16,76,5,La Salle Parish,Louisiana
2020-05-03,29,29,17,23,24,4,24,25,8,197,1016,12,0.0,0.0,11.6,19,80,6,La Salle Parish,Louisiana
2020-05-04,30,30,17,23,24,3,24,24,7,190,1013,11,0.0,0.0,10.4,19,81,5,La Salle Parish,Louisiana
2020-05-05,29,29,20,23,25,5,25,25,6,175,1013,9,3.4,0.0,7.9,19,83,5,La Salle Parish,Louisiana
2020-05-06,23,23,12,18,18,6,18,20,7,33,1020,10,2.5,0.0,11.6,11,68,5,La Salle Parish,Louisiana
2020-05-07,25,25,12,18,18,6,18,19,6,130,1020,10,0.0,0.0,11.6,11,66,5,La Salle Parish,Louisiana
2020-05-08,24,24,16,19,19,5,20,22,12,278,1014,20,8.4,0.0,6.7,16,81,5,La Salle Parish,Louisiana
2020-05-09,20,20,11,14,14,6,15,16,9,57,1022,13,0.0,0.0,11.6,8,66,5,La Salle Parish,Louisiana
2020-05-10,23,23,10,16,16,6,17,19,5,31,1023,8,0.0,0.0,11.6,9,63,5,La Salle Parish,Louisiana
2020-05-11,24,24,12,18,18,6,18,20,6,52,1023,9,0.0,0.0,11.6,11,65,5,La Salle Parish,Louisiana
2020-05-12,27,27,13,20,20,6,20,21,7,155,1019,11,0.0,0.0,11.6,13,68,6,La Salle Parish,Louisiana
2020-05-13,22,22,17,19,19,4,20,20,5,148,1018,10,15.3,0.0,6.7,18,92,5,La Salle Parish,Louisiana
2020-05-14,27,27,18,22,23,3,23,23,7,157,1016,12,7.7,0.0,6.7,20,89,5,La Salle Parish,Louisiana
2020-05-15,29,29,20,24,26,5,26,25,7,171,1014,12,8.0,0.0,9.2,21,87,6,La Salle Parish,Louisiana
2020-05-16,30,30,20,24,27,4,27,26,7,169,1012,11,4.3,0.0,6.9,21,84,6,La Salle Parish,Louisiana
2020-05-17,28,28,20,24,25,3,25,26,6,176,1013,11,15.9,0.0,8.1,21,87,6,La Salle Parish,Louisiana
2020-05-18,29,29,15,22,23,5,23,23,8,324,1011,12,3.3,0.0,11.6,16,73,6,La Salle Parish,Louisiana
2020-05-19,29,29,18,23,24,6,24,25,5,211,1010,8,0.7,0.0,9.3,19,77,6,La Salle Parish,Louisiana
2020-05-20,25,25,18,21,21,6,21,22,6,65,1011,9,4.5,0.0,10.4,17,80,5,La Salle Parish,Louisiana
2020-05-21,31,31,18,24,26,5,26,26,6,170,1012,9,0.0,0.0,11.6,19,77,7,La Salle Parish,Louisiana
2020-05-22,32,32,20,26,28,4,28,28,8,179,1013,12,0.0,0.0,11.6,21,77,7,La Salle Parish,Louisiana
2020-05-23,32,32,22,26,29,4,29,28,7,179,1014,11,1.6,0.0,10.4,21,78,6,La Salle Parish,Louisiana
2020-05-24,32,32,21,26,29,4,29,28,7,148,1013,10,2.1,0.0,10.4,21,79,6,La Salle Parish,Louisiana
2020-05-25,30,30,20,24,26,3,26,27,8,147,1010,13,10.0,0.0,9.3,21,82,6,La Salle Parish,Louisiana
2020-05-26,30,30,21,24,27,5,27,26,4,290,1011,7,1.3,0.0,9.3,20,80,6,La Salle Parish,Louisiana
2020-05-27,28,28,18,23,24,5,24,24,5,260,1011,8,7.2,0.0,9.3,17,75,5,La Salle Parish,Louisiana
2020-05-28,28,28,17,22,23,6,23,23,5,235,1014,8,0.2,0.0,11.6,17,76,5,La Salle Parish,Louisiana
2020-05-29,29,29,18,24,25,4,25,26,5,240,1016,8,0.6,0.0,11.6,18,77,7,La Salle Parish,Louisiana
2020-05-30,29,29,19,23,24,4,24,25,6,37,1018,10,0.3,0.0,9.3,18,77,6,La Salle Parish,Louisiana
2020-05-31,29,29,18,23,23,6,23,25,6,51,1019,10,0.0,0.0,11.6,17,70,6,La Salle Parish,Louisiana
2020-06-01,30,30,18,24,24,6,24,25,5,71,1019,9,0.0,0.0,10.5,17,68,6,La Salle Parish,Louisiana
2020-06-02,32,32,20,25,27,5,27,27,4,112,1018,6,2.8,0.0,11.6,19,68,7,La Salle Parish,Louisiana
2020-06-03,33,33,21,26,29,5,29,28,4,208,1015,6,4.7,0.0,9.3,21,76,6,La Salle Parish,Louisiana
2020-06-04,32,32,21,26,29,4,29,28,5,185,1012,8,9.6,0.0,10.5,22,80,6,La Salle Parish,Louisiana
2020-06-05,35,35,22,28,31,4,31,30,4,178,1013,6,0.7,0.0,10.5,22,73,7,La Salle Parish,Louisiana
2020-06-06,32,32,23,27,30,6,30,29,5,51,1011,8,2.7,0.0,11.6,22,76,6,La Salle Parish,Louisiana
2020-06-07,29,29,22,25,28,6,28,26,12,46,1006,18,1.9,0.0,7.1,22,82,6,La Salle Parish,Louisiana
2020-06-08,24,24,18,22,25,4,25,23,12,246,1000,20,37.5,0.0,7.1,22,92,5,La Salle Parish,Louisiana
2020-06-09,34,34,24,28,32,6,32,30,11,199,1008,15,1.3,0.0,8.2,23,78,6,La Salle Parish,Louisiana
2020-06-10,30,30,19,25,25,5,25,26,7,299,1015,11,11.7,0.0,11.6,17,66,7,La Salle Parish,Louisiana
2020-06-11,28,28,17,23,24,6,24,25,6,33,1022,10,0.0,0.0,11.6,16,69,6,La Salle Parish,Louisiana
2020-06-12,29,29,17,23,24,6,24,25,8,41,1022,13,0.0,0.0,11.6,16,67,6,La Salle Parish,Louisiana
2020-06-13,31,31,18,24,25,6,25,26,8,47,1018,12,0.0,0.0,11.6,16,64,7,La Salle Parish,Louisiana
2020-06-14,32,32,19,26,27,6,27,28,5,80,1018,8,0.8,0.0,11.6,18,66,6,La Salle Parish,Louisiana
2020-06-15,33,33,21,27,29,6,29,29,3,62,1020,5,0.8,0.0,11.6,19,67,7,La Salle Parish,Louisiana
2020-06-16,30,30,20,25,26,6,26,27,5,47,1020,8,0.0,0.0,11.6,18,67,7,La Salle Parish,Louisiana
2020-06-17,31,31,18,25,25,6,25,27,3,63,1018,6,0.0,0.0,11.6,16,63,7,La Salle Parish,Louisiana
2020-06-18,32,32,19,25,26,6,26,27,3,117,1016,5,0.0,0.0,11.6,16,62,7,La Salle Parish,Louisiana
2020-06-19,33,33,20,26,28,6,28,29,3,169,1016,5,0.0,0.0,11.6,17,61,7,La Salle Parish,Louisiana
2020-06-20,32,32,21,26,28,6,28,29,6,184,1016,9,0.0,0.0,11.6,20,68,6,La Salle Parish,Louisiana
2020-06-21,34,34,22,28,31,4,31,30,7,202,1014,11,2.3,0.0,10.5,22,74,6,La Salle Parish,Louisiana
2020-06-22,30,30,23,26,29,4,29,27,9,196,1014,15,26.5,0.0,7.1,23,85,6,La Salle Parish,Louisiana
