date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-7,-5,-5,6,0,2,12,189,1015,22,0.0,0.0,10.1,-2,84,2,LaGrange County,Indiana
2020-03-02,6,6,-2,1,1,5,4,4,10,304,1008,16,17.8,0.0,7.1,3,88,1,LaGrange County,Indiana
2020-03-03,8,8,1,0,0,6,4,5,11,265,1004,17,0.1,0.0,10.1,-1,72,2,LaGrange County,Indiana
2020-03-04,4,4,0,-3,-3,5,1,2,10,297,1013,16,1.1,0.3,8.6,-3,74,1,LaGrange County,Indiana
2020-03-05,9,9,0,0,0,6,4,5,10,207,1016,15,0.8,0.0,11.3,-3,65,2,LaGrange County,Indiana
2020-03-06,3,3,-2,-4,-4,2,1,2,15,344,1021,20,3.1,1.5,5.7,-2,82,1,LaGrange County,Indiana
2020-03-07,7,7,-2,-2,-2,6,2,3,8,207,1032,12,0.0,0.0,11.3,-5,62,2,LaGrange County,Indiana
2020-03-08,13,13,1,2,2,6,6,8,15,210,1025,25,0.0,0.0,11.4,-1,58,3,LaGrange County,Indiana
2020-03-09,14,14,8,8,8,6,11,12,19,211,1019,29,3.1,0.0,7.2,7,75,3,LaGrange County,Indiana
2020-03-10,9,9,2,3,3,5,7,6,12,322,1018,17,10.7,0.0,8.7,4,81,2,LaGrange County,Indiana
2020-03-11,9,9,2,4,4,6,5,6,5,240,1018,6,0.1,0.0,7.3,1,78,2,LaGrange County,Indiana
2020-03-12,14,14,2,6,6,6,8,9,9,176,1010,14,0.0,0.0,7.4,5,83,2,LaGrange County,Indiana
2020-03-13,6,6,1,-1,-1,5,4,4,18,284,1019,24,0.3,0.0,11.6,-4,58,2,LaGrange County,Indiana
2020-03-14,5,5,0,0,0,5,2,3,5,149,1033,8,0.7,0.2,8.8,-4,64,1,LaGrange County,Indiana
2020-03-15,6,6,-3,-3,-3,5,1,3,9,64,1036,12,0.7,0.6,11.6,-4,70,2,LaGrange County,Indiana
2020-03-16,7,7,-1,-1,-1,5,2,3,7,209,1027,10,0.1,0.0,8.8,-2,76,1,LaGrange County,Indiana
2020-03-17,8,8,0,0,0,6,3,5,9,300,1024,12,0.0,0.0,11.6,-2,69,2,LaGrange County,Indiana
2020-03-18,8,8,1,1,1,5,4,6,8,138,1023,11,9.2,0.0,6.0,1,79,2,LaGrange County,Indiana
2020-03-19,11,11,3,4,4,4,7,9,13,139,1015,20,20.6,0.0,6.0,8,93,2,LaGrange County,Indiana
2020-03-20,13,13,-2,3,3,5,7,6,18,316,1017,25,4.0,0.0,7.4,3,79,2,LaGrange County,Indiana
2020-03-21,4,4,-4,-4,-4,6,0,1,7,43,1034,10,0.0,0.0,11.6,-9,54,2,LaGrange County,Indiana
2020-03-22,4,4,-3,-4,-4,4,0,1,9,127,1031,12,3.5,1.3,8.8,-6,69,1,LaGrange County,Indiana
2020-03-23,4,4,0,-1,-1,3,2,2,5,324,1022,7,5.1,6.0,6.1,1,94,1,LaGrange County,Indiana
2020-03-24,9,9,0,1,1,5,4,6,6,118,1020,9,0.0,0.0,10.2,1,81,2,LaGrange County,Indiana
2020-03-25,14,14,0,5,5,6,7,8,5,239,1014,9,0.0,0.0,11.6,2,74,3,LaGrange County,Indiana
2020-03-26,15,15,7,9,9,5,10,12,7,172,1010,12,4.5,0.0,6.3,8,85,3,LaGrange County,Indiana
2020-03-27,13,13,7,7,7,3,9,10,10,110,1013,14,2.4,0.0,7.7,7,85,3,LaGrange County,Indiana
2020-03-28,14,14,7,9,9,4,11,12,11,104,1006,19,28.4,0.0,6.4,11,94,3,LaGrange County,Indiana
2020-03-29,11,11,7,8,8,5,11,10,21,233,1004,31,9.3,0.0,6.4,7,75,2,LaGrange County,Indiana
2020-03-30,5,5,1,-1,-1,5,4,4,15,295,1017,20,0.5,0.2,6.4,0,78,1,LaGrange County,Indiana
2020-03-31,6,6,0,0,0,3,3,3,7,24,1017,10,0.7,0.0,6.4,1,90,1,LaGrange County,Indiana
2020-04-01,9,9,3,3,3,4,6,7,7,123,1017,10,0.7,0.0,6.4,3,82,2,LaGrange County,Indiana
2020-04-02,14,14,2,6,6,6,7,9,5,338,1021,8,0.0,0.0,10.3,2,70,2,LaGrange County,Indiana
2020-04-03,18,18,6,11,11,6,11,13,3,120,1018,5,0.0,0.0,11.6,3,59,4,LaGrange County,Indiana
2020-04-04,11,11,3,5,5,5,8,8,8,277,1017,12,1.8,0.0,7.7,4,81,2,LaGrange County,Indiana
2020-04-05,13,13,2,5,5,4,7,8,6,33,1022,10,0.0,0.0,10.3,0,67,3,LaGrange County,Indiana
2020-04-06,15,15,3,7,7,5,9,10,7,166,1019,10,0.6,0.0,11.6,2,65,3,LaGrange County,Indiana
2020-04-07,22,22,10,15,15,4,16,17,10,237,1007,15,21.9,0.0,7.8,13,86,4,LaGrange County,Indiana
2020-04-08,20,20,12,15,15,5,16,17,7,272,1004,11,8.4,0.0,11.6,10,73,5,LaGrange County,Indiana
2020-04-09,6,6,1,1,1,5,5,6,18,297,1005,23,2.2,0.2,7.8,-1,64,2,LaGrange County,Indiana
