date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,0,0,0,6,4,5,13,210,1011,22,0.0,0.0,8.6,0,75,2,Lake County,Illinois
2020-03-02,5,5,0,-1,-1,6,2,3,8,300,1009,11,0.0,0.0,11.2,-1,80,2,Lake County,Illinois
2020-03-03,6,6,-1,-1,-1,6,3,3,12,257,1004,17,0.1,0.0,8.6,-2,75,1,Lake County,Illinois
2020-03-04,4,4,1,-2,-2,6,2,2,10,305,1014,14,0.1,0.0,11.2,-3,72,2,Lake County,Illinois
2020-03-05,7,7,1,-1,-1,5,4,5,15,242,1014,22,0.3,0.0,8.6,-2,69,2,Lake County,Illinois
2020-03-06,1,1,-3,-7,-7,3,-1,-1,17,352,1026,21,0.6,0.0,8.6,-5,72,1,Lake County,Illinois
2020-03-07,9,9,-2,0,0,6,3,3,10,196,1030,16,0.0,0.0,11.3,-5,57,2,Lake County,Illinois
2020-03-08,13,13,4,5,5,6,8,9,17,208,1021,29,0.0,0.0,10.1,0,57,2,Lake County,Illinois
2020-03-09,11,11,10,7,7,5,10,10,16,196,1015,29,11.9,0.0,5.7,7,80,3,Lake County,Illinois
2020-03-10,5,5,-2,0,0,4,4,3,9,26,1021,12,5.5,0.0,10.1,-1,72,2,Lake County,Illinois
2020-03-11,9,9,1,3,3,4,5,6,6,224,1017,9,1.1,0.0,5.7,1,78,2,Lake County,Illinois
2020-03-12,13,13,4,4,4,6,8,8,13,183,1008,21,1.4,0.0,8.7,4,81,2,Lake County,Illinois
2020-03-13,7,7,0,-2,-2,6,3,3,17,283,1021,23,1.4,0.0,10.1,-6,53,2,Lake County,Illinois
2020-03-14,2,2,0,-3,-3,6,1,1,10,48,1034,14,0.0,0.0,8.7,-4,71,1,Lake County,Illinois
2020-03-15,2,2,-2,-3,-3,5,1,1,9,60,1037,13,0.2,0.2,8.7,-3,76,1,Lake County,Illinois
2020-03-16,5,5,1,0,0,6,3,3,8,225,1026,12,0.1,0.0,6.0,0,81,1,Lake County,Illinois
2020-03-17,8,8,0,0,0,6,3,4,8,284,1025,12,0.1,0.0,11.6,-4,62,2,Lake County,Illinois
2020-03-18,6,6,3,2,2,5,4,5,7,128,1022,11,0.4,0.0,7.6,0,76,1,Lake County,Illinois
2020-03-19,8,8,0,2,2,5,5,6,11,138,1013,20,11.8,0.0,6.2,6,96,2,Lake County,Illinois
2020-03-20,5,5,-1,-2,-2,4,3,3,15,341,1021,20,4.8,0.0,7.6,-1,75,1,Lake County,Illinois
2020-03-21,0,0,-3,-6,-6,6,-2,-1,9,53,1036,12,0.0,0.0,10.3,-8,62,1,Lake County,Illinois
2020-03-22,2,2,-2,-4,-4,5,0,1,9,143,1030,12,1.8,0.0,7.6,-5,73,1,Lake County,Illinois
2020-03-23,6,6,-1,1,1,4,2,3,4,267,1023,5,0.9,1.3,6.3,0,87,1,Lake County,Illinois
2020-03-24,6,6,2,2,2,6,4,4,6,111,1020,8,0.0,0.0,11.6,0,79,2,Lake County,Illinois
2020-03-25,13,13,2,6,6,6,7,8,7,198,1013,11,0.0,0.0,11.6,3,77,3,Lake County,Illinois
2020-03-26,7,7,3,3,3,4,6,7,10,34,1010,15,1.4,0.0,6.3,4,87,2,Lake County,Illinois
2020-03-27,8,8,3,2,2,5,6,6,9,86,1013,16,4.1,0.0,6.4,4,89,2,Lake County,Illinois
2020-03-28,10,10,5,6,6,4,8,8,10,86,1004,20,11.8,0.0,6.4,8,98,2,Lake County,Illinois
2020-03-29,8,8,5,4,4,3,8,8,19,243,1001,30,6.7,0.0,6.4,5,79,2,Lake County,Illinois
2020-03-30,7,7,3,1,1,6,4,5,12,219,1019,16,0.5,0.0,6.4,1,80,2,Lake County,Illinois
2020-03-31,3,3,2,-2,-2,5,2,3,10,26,1019,14,0.4,0.3,7.7,0,85,1,Lake County,Illinois
2020-04-01,7,7,1,2,2,6,4,5,6,152,1019,9,0.0,0.0,10.3,2,84,3,Lake County,Illinois
2020-04-02,9,9,4,5,5,6,7,7,5,104,1021,7,0.0,0.0,11.6,1,68,3,Lake County,Illinois
2020-04-03,12,12,7,8,8,6,9,10,6,129,1018,11,0.1,0.0,10.3,2,60,3,Lake County,Illinois
2020-04-04,8,8,3,2,2,5,5,6,10,121,1019,13,5.9,0.0,10.3,2,78,2,Lake County,Illinois
2020-04-05,8,8,2,2,2,6,5,5,6,78,1023,8,0.0,0.0,11.6,-2,64,3,Lake County,Illinois
2020-04-06,11,11,4,6,6,5,7,8,6,156,1018,10,1.3,0.0,9.1,2,69,2,Lake County,Illinois
2020-04-07,21,21,10,15,15,5,15,17,8,228,1006,15,13.7,0.0,9.1,12,86,4,Lake County,Illinois
2020-04-08,16,16,9,11,11,4,12,13,7,206,1005,12,1.4,0.0,10.3,8,80,3,Lake County,Illinois
2020-04-09,7,7,3,0,0,6,5,5,18,300,1008,24,1.0,0.0,7.8,-3,56,2,Lake County,Illinois
2020-04-10,8,8,0,0,0,6,4,4,12,301,1016,17,0.0,0.0,10.3,-4,56,2,Lake County,Illinois
2020-04-11,12,12,4,5,5,5,8,9,9,194,1012,14,6.8,0.0,10.3,2,68,2,Lake County,Illinois
2020-04-12,12,12,4,7,7,5,10,10,9,155,1002,15,6.6,0.0,6.6,8,89,3,Lake County,Illinois
2020-04-13,4,4,0,-3,-3,3,3,2,18,294,1009,23,3.2,0.0,9.1,-3,67,1,Lake County,Illinois
2020-04-14,4,4,-2,-4,-4,5,1,2,12,268,1021,17,1.0,0.6,7.9,-9,49,1,Lake County,Illinois
2020-04-15,4,4,-2,-3,-3,6,0,1,6,325,1019,9,0.0,0.0,11.6,-11,43,2,Lake County,Illinois
2020-04-16,6,6,-3,-2,-2,6,2,3,9,273,1025,12,0.0,0.0,11.6,-8,48,2,Lake County,Illinois
2020-04-17,5,5,0,-1,-1,3,2,2,6,56,1019,9,2.9,1.4,9.1,-2,77,1,Lake County,Illinois
2020-04-18,12,12,1,3,3,6,6,7,15,228,1012,23,0.0,0.0,11.6,1,71,3,Lake County,Illinois
2020-04-19,11,11,5,7,7,6,9,10,11,229,1009,16,0.2,0.0,11.6,3,68,3,Lake County,Illinois
2020-04-20,12,12,4,6,6,6,8,9,11,250,1006,17,2.8,0.0,7.9,1,62,2,Lake County,Illinois
2020-04-21,8,8,-1,-1,-1,6,4,4,14,304,1013,19,1.1,0.0,13.4,-6,51,2,Lake County,Illinois
2020-04-22,5,5,0,1,1,5,4,4,8,146,1014,13,24.7,0.0,8.6,1,83,1,Lake County,Illinois
2020-04-23,10,10,6,5,5,4,8,9,8,54,1007,13,11.4,0.0,8.7,6,92,2,Lake County,Illinois
2020-04-24,6,6,5,3,3,5,6,6,8,36,1012,11,1.2,0.0,8.7,3,83,2,Lake County,Illinois
2020-04-25,8,8,5,3,3,6,7,7,12,50,1015,19,2.4,0.0,8.7,3,76,2,Lake County,Illinois
2020-04-26,11,11,5,5,5,6,8,9,11,13,1020,16,0.0,0.0,12.2,1,64,2,Lake County,Illinois
2020-04-27,15,15,6,8,8,5,10,11,8,204,1017,14,13.5,0.0,11.0,4,70,3,Lake County,Illinois
2020-04-28,15,15,10,12,12,3,13,13,7,149,1008,13,18.7,0.0,8.7,11,92,3,Lake County,Illinois
2020-04-29,13,13,6,7,7,3,10,10,14,242,999,21,57.7,0.0,8.8,9,92,3,Lake County,Illinois
2020-04-30,12,12,6,4,4,4,8,9,17,346,1007,25,22.4,0.0,11.1,5,80,2,Lake County,Illinois
2020-05-01,13,13,5,8,8,6,10,11,6,149,1015,10,0.0,0.0,14.1,3,65,4,Lake County,Illinois
2020-05-02,20,20,12,15,15,6,16,17,12,278,1011,22,0.3,0.0,12.2,11,73,4,Lake County,Illinois
2020-05-03,18,18,11,14,14,6,15,15,11,302,1014,19,0.0,0.0,14.1,7,63,5,Lake County,Illinois
2020-05-04,8,8,4,2,2,6,6,6,12,42,1020,16,0.0,0.0,13.4,1,70,2,Lake County,Illinois
2020-05-05,8,8,5,3,3,5,7,7,11,93,1016,16,0.6,0.0,8.8,2,72,2,Lake County,Illinois
2020-05-06,14,14,4,7,7,6,9,10,6,229,1018,10,0.0,0.0,13.4,0,54,4,Lake County,Illinois
2020-05-07,13,13,7,8,8,6,10,11,9,313,1015,14,0.0,0.0,14.2,2,60,4,Lake County,Illinois
2020-05-08,5,5,1,0,0,6,4,4,12,12,1018,16,0.1,0.0,12.3,-4,57,1,Lake County,Illinois
2020-05-09,11,11,0,3,3,6,6,8,10,271,1021,15,0.0,0.0,14.5,-3,53,3,Lake County,Illinois
2020-05-10,9,9,-4,2,2,5,5,6,12,205,1015,17,8.0,0.0,9.2,3,81,2,Lake County,Illinois
2020-05-11,9,9,1,2,2,5,4,5,7,216,1023,10,0.1,0.0,11.3,-1,71,1,Lake County,Illinois
2020-05-12,12,12,3,5,5,6,7,9,7,323,1024,11,0.0,0.0,14.5,1,65,3,Lake County,Illinois
2020-05-13,13,13,6,7,7,6,10,10,11,124,1023,18,0.0,0.0,14.5,2,60,4,Lake County,Illinois
2020-05-14,20,20,10,14,14,5,15,16,11,209,1011,20,13.7,0.0,9.2,13,91,4,Lake County,Illinois
2020-05-15,17,17,11,13,13,5,14,15,7,159,1012,12,10.6,0.0,10.3,10,79,5,Lake County,Illinois
2020-05-16,14,14,9,10,10,4,12,13,7,120,1012,12,1.0,0.0,11.3,10,90,3,Lake County,Illinois
2020-05-17,16,16,11,12,12,5,13,14,9,134,1014,14,12.9,0.0,11.4,10,81,4,Lake County,Illinois
2020-05-18,17,17,11,12,12,3,13,15,8,60,1007,13,12.8,0.0,10.3,12,92,3,Lake County,Illinois
2020-05-19,13,13,11,10,10,5,12,12,15,67,1014,25,5.3,0.0,9.3,11,93,3,Lake County,Illinois
2020-05-20,15,15,11,11,11,6,13,13,12,91,1021,18,0.8,0.0,9.3,10,85,3,Lake County,Illinois
2020-05-21,16,16,10,12,12,6,13,14,9,108,1020,14,0.0,0.0,9.3,10,83,3,Lake County,Illinois
2020-05-22,18,18,14,15,15,6,15,16,6,109,1017,9,0.0,0.0,12.4,12,83,5,Lake County,Illinois
2020-05-23,21,21,13,16,16,5,17,18,10,130,1013,18,8.0,0.0,13.5,14,84,4,Lake County,Illinois
2020-05-24,26,26,16,21,21,5,22,22,8,229,1012,14,3.9,0.0,12.4,17,80,5,Lake County,Illinois
2020-05-25,27,27,19,22,23,6,23,23,8,210,1013,15,2.4,0.0,13.5,18,76,5,Lake County,Illinois
2020-05-26,25,25,20,22,24,6,24,23,8,142,1014,16,5.3,0.0,13.5,18,76,5,Lake County,Illinois
2020-05-27,25,25,20,22,23,6,23,23,6,141,1013,11,3.0,0.0,13.5,17,77,5,Lake County,Illinois
2020-05-28,21,21,17,19,19,5,20,20,9,225,1010,15,12.6,0.0,9.4,17,88,5,Lake County,Illinois
2020-05-29,19,19,13,16,16,5,16,17,9,315,1014,13,14.0,0.0,9.4,12,75,4,Lake County,Illinois
2020-05-30,18,18,11,13,13,6,14,16,8,308,1022,12,1.0,0.0,10.4,9,74,4,Lake County,Illinois
2020-05-31,16,16,11,12,12,6,13,14,7,128,1027,11,0.0,0.0,14.5,6,62,4,Lake County,Illinois
2020-06-01,19,19,12,14,14,5,15,16,11,187,1021,20,5.9,0.0,10.4,10,68,4,Lake County,Illinois
2020-06-02,26,26,20,22,24,6,24,23,14,251,1011,24,1.1,0.0,10.4,19,83,5,Lake County,Illinois
2020-06-03,26,26,19,22,23,6,23,23,7,330,1009,13,1.5,0.0,13.5,16,70,5,Lake County,Illinois
2020-06-04,27,27,19,22,24,6,24,24,4,147,1008,7,0.0,0.0,14.5,17,72,6,Lake County,Illinois
2020-06-05,27,27,20,23,24,5,24,24,6,252,1010,11,3.1,0.0,12.5,18,76,5,Lake County,Illinois
2020-06-06,20,20,15,17,17,6,18,18,10,34,1017,15,0.2,0.0,14.5,11,67,5,Lake County,Illinois
2020-06-07,21,21,14,17,17,6,17,18,9,107,1019,13,0.0,0.0,14.5,12,73,5,Lake County,Illinois
