date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-7,-6,-6,5,-1,-1,13,183,1019,23,0.2,0.1,8.7,-4,79,1,Lake County,Ohio
2020-03-02,7,7,-1,1,1,3,5,6,13,225,1008,26,13.8,0.0,5.8,4,90,2,Lake County,Ohio
2020-03-03,8,8,4,2,2,3,5,6,11,222,1002,19,8.1,0.0,5.8,4,92,2,Lake County,Ohio
2020-03-04,4,4,-3,-4,-4,3,1,2,14,266,1011,22,3.4,2.5,7.3,-1,85,1,Lake County,Ohio
2020-03-05,7,7,-2,0,0,6,2,3,6,168,1018,10,0.0,0.0,11.6,-2,74,2,Lake County,Ohio
2020-03-06,1,1,-2,-4,-4,3,1,1,14,331,1016,21,2.6,0.2,5.9,0,91,1,Lake County,Ohio
2020-03-07,1,1,-4,-6,-6,4,-1,-1,10,291,1032,15,0.9,0.5,11.6,-6,72,2,Lake County,Ohio
2020-03-08,11,11,1,2,2,6,6,7,12,212,1028,23,0.0,0.0,11.6,-1,62,3,Lake County,Ohio
2020-03-09,13,13,7,7,7,6,10,11,15,218,1023,29,0.0,0.0,10.2,5,68,3,Lake County,Ohio
2020-03-10,12,12,0,3,3,5,6,7,15,298,1017,27,12.1,0.0,7.3,4,84,2,Lake County,Ohio
2020-03-11,5,5,-1,1,1,6,2,3,3,105,1020,5,0.1,0.0,5.9,-1,78,1,Lake County,Ohio
2020-03-12,11,11,3,6,6,6,7,8,6,176,1013,11,0.4,0.0,8.8,4,83,2,Lake County,Ohio
2020-03-13,4,4,3,0,0,5,5,4,21,261,1014,32,6.3,0.0,11.6,0,72,2,Lake County,Ohio
2020-03-14,2,2,-1,-3,-3,5,1,1,8,321,1032,12,0.3,0.1,10.2,-4,74,1,Lake County,Ohio
2020-03-15,1,1,-5,-6,-6,5,-1,0,13,43,1035,17,0.5,0.5,10.2,-4,78,1,Lake County,Ohio
2020-03-16,7,7,-2,-1,-1,6,2,4,6,213,1028,9,1.1,0.0,10.2,-3,70,1,Lake County,Ohio
2020-03-17,5,5,2,-1,-1,6,3,4,10,269,1023,15,1.2,0.0,10.2,0,83,2,Lake County,Ohio
2020-03-18,9,9,1,2,2,5,5,6,8,120,1026,14,9.8,0.0,6.0,1,80,2,Lake County,Ohio
2020-03-19,11,11,4,6,6,4,8,8,8,101,1018,15,11.1,0.0,6.0,8,93,2,Lake County,Ohio
2020-03-20,16,16,-2,7,7,5,10,12,20,270,1013,36,7.1,0.0,6.1,7,83,3,Lake County,Ohio
2020-03-21,-1,-1,-3,-7,-7,6,-2,-2,10,26,1033,14,0.0,0.0,10.2,-8,61,2,Lake County,Ohio
2020-03-22,5,5,-3,-4,-4,6,1,2,10,75,1033,14,1.4,0.0,10.2,-7,57,1,Lake County,Ohio
2020-03-23,6,6,2,0,0,4,4,5,11,250,1021,18,3.8,0.0,6.1,2,92,1,Lake County,Ohio
2020-03-24,6,6,0,-1,-1,6,2,3,7,53,1022,11,0.0,0.0,11.6,0,85,2,Lake County,Ohio
2020-03-25,10,10,4,5,5,6,6,8,5,252,1015,9,0.0,0.0,8.9,4,86,2,Lake County,Ohio
