date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-7,-3,-3,4,-1,2,2,323,1027,4,0.4,0.1,5.8,-4,86,1,Lane County,Oregon
2020-03-02,7,7,-5,1,1,6,1,4,1,275,1028,2,0.0,0.0,5.8,-2,83,1,Lane County,Oregon
2020-03-03,15,15,0,7,7,4,8,10,3,294,1024,5,0.0,0.0,11.6,3,81,4,Lane County,Oregon
2020-03-04,14,14,-2,5,5,4,6,9,3,305,1023,5,0.0,0.0,11.6,1,79,3,Lane County,Oregon
2020-03-05,17,17,0,6,6,5,7,11,4,276,1018,7,0.0,0.0,11.6,0,67,4,Lane County,Oregon
2020-03-06,12,12,-1,4,4,2,5,8,3,293,1014,4,1.3,0.0,7.3,3,88,2,Lane County,Oregon
2020-03-07,7,7,-4,0,0,2,1,3,2,246,1012,4,16.7,9.9,5.9,0,94,1,Lane County,Oregon
2020-03-08,10,10,-5,0,0,4,1,5,2,221,1017,5,0.7,1.0,8.7,-2,84,1,Lane County,Oregon
2020-03-09,10,10,-3,2,2,5,4,7,3,303,1022,5,0.5,0.0,10.2,-1,80,2,Lane County,Oregon
2020-03-10,16,16,1,7,7,6,8,11,3,249,1023,5,0.0,0.0,11.6,1,74,4,Lane County,Oregon
2020-03-11,13,13,1,6,6,4,7,9,4,312,1022,5,0.0,0.0,11.6,1,81,3,Lane County,Oregon
2020-03-12,14,14,-4,4,4,4,5,8,3,321,1022,4,0.0,0.0,11.6,-1,77,3,Lane County,Oregon
2020-03-13,12,12,-2,3,3,5,4,8,3,300,1007,5,11.9,0.0,8.8,-1,75,2,Lane County,Oregon
2020-03-14,7,7,-2,1,1,3,2,5,3,219,1010,5,14.9,13.3,6.0,1,91,1,Lane County,Oregon
2020-03-15,7,7,-5,-2,-2,4,2,3,5,61,1016,8,2.6,2.0,8.8,-3,84,1,Lane County,Oregon
2020-03-16,13,13,-6,3,3,6,5,8,5,69,1018,7,0.0,0.0,11.6,-1,78,3,Lane County,Oregon
2020-03-17,12,12,-1,3,3,4,4,8,4,297,1011,7,0.3,0.0,11.6,1,82,3,Lane County,Oregon
2020-03-18,9,9,-3,3,3,4,4,7,2,221,1012,3,0.1,0.0,7.4,-1,81,2,Lane County,Oregon
2020-03-19,15,15,1,7,7,5,9,11,3,312,1017,5,0.0,0.0,11.6,1,71,4,Lane County,Oregon
2020-03-20,16,16,2,8,8,5,8,11,3,312,1023,5,5.8,0.0,10.2,4,80,3,Lane County,Oregon
2020-03-21,16,16,4,9,9,4,11,12,3,317,1023,5,0.0,0.0,11.6,4,77,4,Lane County,Oregon
2020-03-22,17,17,3,9,9,6,10,13,3,281,1018,5,0.0,0.0,11.6,1,66,4,Lane County,Oregon
2020-03-23,8,8,-6,1,1,4,3,5,5,253,1014,6,11.7,1.7,6.1,2,90,2,Lane County,Oregon
2020-03-24,7,7,-5,-1,-1,4,1,4,4,250,1017,6,15.2,5.4,6.1,1,92,1,Lane County,Oregon
2020-03-25,6,6,-6,-1,-1,4,0,3,3,292,1018,4,12.9,6.3,6.1,-1,91,1,Lane County,Oregon
2020-03-26,10,10,-7,0,0,4,2,6,4,298,1019,5,0.0,0.0,11.6,-2,77,3,Lane County,Oregon
2020-03-27,10,10,-2,4,4,4,4,7,2,286,1019,3,1.6,0.0,6.2,1,83,2,Lane County,Oregon
2020-03-28,11,11,-1,4,4,4,5,8,3,233,1018,4,2.6,0.0,6.4,3,88,2,Lane County,Oregon
2020-03-29,7,7,3,3,3,4,5,6,3,169,1015,5,16.5,0.0,6.4,4,96,2,Lane County,Oregon
2020-03-30,7,7,1,3,3,3,5,5,4,282,1016,5,45.6,0.0,6.4,4,98,2,Lane County,Oregon
2020-03-31,4,4,-1,1,1,4,2,3,3,270,1019,4,57.9,1.3,6.4,2,98,1,Lane County,Oregon
2020-04-01,5,5,-3,0,0,4,1,3,3,261,1020,4,9.6,1.4,6.4,-1,92,1,Lane County,Oregon
2020-04-02,10,10,-5,1,1,5,2,5,2,282,1023,4,3.7,0.9,7.7,-2,85,2,Lane County,Oregon
2020-04-03,9,9,-6,-1,-1,5,0,5,3,276,1020,5,0.5,0.6,11.6,-4,79,3,Lane County,Oregon
2020-04-04,9,9,-7,0,0,5,1,5,2,166,1006,4,5.3,0.0,6.5,0,88,1,Lane County,Oregon
2020-04-05,11,11,1,4,4,4,5,8,4,287,1000,6,12.6,0.0,6.5,4,91,2,Lane County,Oregon
2020-04-06,10,10,0,4,4,4,5,8,3,315,1012,4,2.9,0.0,6.5,3,91,2,Lane County,Oregon
2020-04-07,16,16,-1,7,7,4,8,12,3,314,1020,6,0.0,0.0,11.6,3,80,4,Lane County,Oregon
2020-04-08,21,21,2,10,10,4,11,15,3,324,1020,6,0.0,0.0,11.6,5,74,4,Lane County,Oregon
2020-04-09,21,21,7,14,14,5,15,17,4,311,1016,6,0.0,0.0,11.6,6,65,5,Lane County,Oregon
2020-04-10,18,18,8,12,12,4,13,15,3,305,1017,5,0.0,0.0,11.6,6,77,5,Lane County,Oregon
2020-04-11,15,15,2,8,8,5,9,12,4,310,1019,6,0.3,0.0,9.1,3,75,3,Lane County,Oregon
2020-04-12,16,16,-1,7,7,6,7,12,4,322,1021,6,0.0,0.0,11.6,1,66,4,Lane County,Oregon
2020-04-13,18,18,1,10,10,6,11,14,4,234,1026,6,0.0,0.0,11.6,0,63,4,Lane County,Oregon
2020-04-14,17,17,3,9,9,6,11,13,4,296,1027,6,0.0,0.0,11.6,0,61,4,Lane County,Oregon
2020-04-15,16,16,1,10,10,3,11,13,3,325,1023,4,0.1,0.0,7.9,5,83,3,Lane County,Oregon
2020-04-16,19,19,2,9,9,6,11,14,6,85,1019,10,0.0,0.0,11.6,-2,54,4,Lane County,Oregon
2020-04-17,22,22,1,12,12,6,13,17,5,238,1013,7,0.0,0.0,11.6,0,50,5,Lane County,Oregon
2020-04-18,15,15,2,7,7,5,8,11,3,299,1015,6,4.1,0.0,9.1,3,76,3,Lane County,Oregon
2020-04-19,18,18,2,11,11,3,11,14,3,211,1017,4,0.4,0.0,10.4,4,78,4,Lane County,Oregon
2020-04-20,18,18,4,10,10,4,11,14,4,310,1018,7,1.7,0.0,9.3,5,77,3,Lane County,Oregon
2020-04-21,16,16,5,11,11,4,12,12,3,294,1024,5,0.0,0.0,9.3,6,83,3,Lane County,Oregon
2020-04-22,11,11,3,7,7,4,8,10,4,203,1022,6,24.7,0.0,6.9,7,94,2,Lane County,Oregon
2020-04-23,16,16,4,9,9,6,10,13,4,286,1025,6,4.6,0.0,8.1,6,81,3,Lane County,Oregon
2020-04-24,13,13,3,8,8,3,8,10,2,267,1023,3,6.9,0.0,7.0,7,94,3,Lane County,Oregon
2020-04-25,16,16,3,9,9,3,10,13,3,287,1020,5,5.6,0.0,7.0,9,94,3,Lane County,Oregon
2020-04-26,20,20,6,14,14,4,14,17,4,269,1018,6,0.0,0.0,11.6,4,64,5,Lane County,Oregon
2020-04-27,13,13,3,8,8,5,9,11,2,236,1020,4,12.9,0.0,7.0,8,94,3,Lane County,Oregon
2020-04-28,23,23,10,16,16,4,17,19,3,318,1021,4,0.3,0.0,11.6,10,78,5,Lane County,Oregon
2020-04-29,21,21,7,14,14,5,14,18,3,306,1016,4,0.5,0.0,8.2,11,82,4,Lane County,Oregon
2020-04-30,15,15,8,10,10,6,12,12,5,289,1019,6,2.5,0.0,9.3,6,78,3,Lane County,Oregon
2020-05-01,17,17,4,10,10,6,10,14,3,267,1017,5,0.8,0.0,11.6,2,65,4,Lane County,Oregon
2020-05-02,13,13,-1,5,5,4,6,9,3,180,1015,6,22.7,0.0,11.1,5,93,2,Lane County,Oregon
2020-05-03,15,15,-2,7,7,4,8,11,3,293,1024,5,0.7,0.0,10.2,0,72,3,Lane County,Oregon
2020-05-04,19,19,-1,10,10,6,12,16,4,269,1021,6,0.0,0.0,13.4,1,57,4,Lane County,Oregon
2020-05-05,21,21,7,14,14,5,15,17,4,295,1020,5,4.1,0.0,13.4,9,78,4,Lane County,Oregon
2020-05-06,16,16,5,9,9,5,9,12,4,314,1028,6,2.5,0.0,12.4,1,68,3,Lane County,Oregon
2020-05-07,25,25,-2,13,13,6,15,19,3,45,1023,6,0.0,0.0,12.4,-1,47,4,Lane County,Oregon
2020-05-08,28,28,4,19,19,6,19,24,5,95,1017,8,0.0,0.0,14.5,4,48,6,Lane County,Oregon
2020-05-09,28,28,10,19,20,6,20,24,4,210,1014,7,1.8,0.0,12.4,8,59,5,Lane County,Oregon
2020-05-10,28,28,8,18,19,6,19,23,4,312,1010,6,1.1,0.0,13.4,11,71,6,Lane County,Oregon
2020-05-11,19,19,9,13,13,5,14,16,3,286,1007,5,17.9,0.0,10.3,10,85,4,Lane County,Oregon
2020-05-12,10,10,2,6,6,5,7,9,3,203,1009,5,18.3,0.0,9.2,6,96,2,Lane County,Oregon
2020-05-13,16,16,1,5,5,4,6,9,3,206,1013,5,17.8,0.0,9.3,4,90,2,Lane County,Oregon
2020-05-14,11,11,-1,5,5,3,6,8,3,170,1017,5,11.7,0.0,9.3,5,92,2,Lane County,Oregon
2020-05-15,20,20,1,11,11,4,12,16,3,321,1017,5,0.0,0.0,13.5,5,72,5,Lane County,Oregon
2020-05-16,19,19,6,12,12,5,12,16,3,163,1008,4,5.6,0.0,11.4,7,78,4,Lane County,Oregon
2020-05-17,15,15,6,9,9,4,10,12,4,221,1006,6,17.0,0.0,10.4,7,90,3,Lane County,Oregon
2020-05-18,12,12,6,9,9,3,9,11,3,262,1010,4,9.2,0.0,9.3,9,95,3,Lane County,Oregon
2020-05-19,11,11,8,9,9,3,9,10,3,283,1017,4,5.9,0.0,9.3,9,97,2,Lane County,Oregon
2020-05-20,12,12,0,7,7,3,8,9,3,280,1019,4,1.8,0.0,9.4,8,95,2,Lane County,Oregon
2020-05-21,8,8,4,6,6,3,7,8,4,291,1019,5,11.1,0.0,9.4,6,96,2,Lane County,Oregon
2020-05-22,13,13,-1,7,7,4,8,10,3,317,1020,4,1.8,0.0,10.4,3,82,3,Lane County,Oregon
2020-05-23,17,17,-3,8,8,4,9,14,3,314,1020,5,0.0,0.0,13.5,2,71,4,Lane County,Oregon
2020-05-24,21,21,1,12,12,5,14,18,3,313,1020,6,0.0,0.0,14.5,5,67,5,Lane County,Oregon
2020-05-25,23,23,5,14,14,5,16,20,4,311,1018,6,0.1,0.0,13.5,9,73,4,Lane County,Oregon
2020-05-26,24,24,6,14,14,4,15,19,3,314,1017,5,0.1,0.0,12.5,9,75,4,Lane County,Oregon
2020-05-27,26,26,7,18,19,4,19,22,4,311,1017,6,0.0,0.0,14.5,11,70,6,Lane County,Oregon
2020-05-28,28,28,13,21,21,6,21,25,4,310,1014,6,0.1,0.0,14.5,10,56,6,Lane County,Oregon
2020-05-29,28,28,12,22,23,5,23,26,4,315,1011,5,0.2,0.0,14.5,14,72,7,Lane County,Oregon
2020-05-30,14,14,1,9,9,4,10,12,4,256,1010,6,35.5,0.0,9.5,9,99,3,Lane County,Oregon
2020-05-31,20,20,2,12,12,6,13,16,3,317,1017,4,1.8,0.0,13.5,5,73,5,Lane County,Oregon
2020-06-01,21,21,2,12,12,4,13,17,4,311,1019,6,0.0,0.0,13.5,3,64,5,Lane County,Oregon
2020-06-02,24,24,2,14,14,6,15,20,4,310,1021,6,0.0,0.0,14.5,4,57,6,Lane County,Oregon
2020-06-03,21,21,7,14,14,5,15,19,4,309,1019,6,0.0,0.0,13.5,5,63,4,Lane County,Oregon
2020-06-04,21,21,3,13,13,4,14,18,4,313,1015,5,0.0,0.0,13.5,6,72,5,Lane County,Oregon
2020-06-05,20,20,2,10,10,4,11,16,4,301,1008,7,0.8,0.0,11.5,6,77,4,Lane County,Oregon
2020-06-06,13,13,-1,5,5,3,6,9,3,257,1012,5,15.5,0.0,9.5,4,89,2,Lane County,Oregon
2020-06-07,9,9,0,4,4,4,5,7,3,251,1019,5,20.6,0.0,9.5,4,97,2,Lane County,Oregon
2020-06-08,17,17,2,10,10,6,11,13,3,301,1024,5,2.1,0.0,9.5,3,72,3,Lane County,Oregon
2020-06-09,19,19,2,8,8,4,9,14,3,209,1022,5,3.6,0.0,9.5,8,87,3,Lane County,Oregon
2020-06-10,25,25,9,16,16,4,17,21,4,279,1019,6,4.5,0.0,9.5,11,78,5,Lane County,Oregon
2020-06-11,20,20,9,14,14,3,14,16,3,306,1016,4,4.5,0.0,9.5,12,89,4,Lane County,Oregon
2020-06-12,12,12,3,9,9,4,9,11,3,304,1015,5,3.9,0.0,9.5,8,96,3,Lane County,Oregon
2020-06-13,14,14,3,9,9,4,9,12,2,262,1016,4,7.4,0.0,9.5,6,87,3,Lane County,Oregon
2020-06-14,19,19,1,12,12,5,13,15,3,268,1017,5,2.4,0.0,11.5,5,74,4,Lane County,Oregon
2020-06-15,11,11,3,8,8,3,8,10,2,269,1016,3,22.3,0.0,9.5,7,97,2,Lane County,Oregon
2020-06-16,12,12,1,7,7,5,7,10,2,220,1019,3,16.2,0.0,9.6,6,93,2,Lane County,Oregon
2020-06-17,22,22,2,12,12,4,13,17,4,317,1023,6,0.0,0.0,13.5,6,74,5,Lane County,Oregon
2020-06-18,26,26,4,17,17,4,18,22,4,318,1020,6,0.0,0.0,14.5,8,68,6,Lane County,Oregon
2020-06-19,28,28,7,20,20,6,20,24,3,316,1014,5,0.0,0.0,14.5,9,58,6,Lane County,Oregon
2020-06-20,21,21,9,14,14,4,14,18,3,307,1016,4,0.2,0.0,12.5,10,78,4,Lane County,Oregon
2020-06-21,23,23,9,16,16,3,17,19,4,313,1019,6,0.3,0.0,12.5,10,78,5,Lane County,Oregon
2020-06-22,30,30,8,20,21,4,21,25,4,320,1019,6,0.0,0.0,14.5,10,66,7,Lane County,Oregon
