date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-5,-6,-6,3,-1,-1,11,110,1013,18,4.8,4.1,5.6,-5,75,1,Laramie County,Wyoming
2020-03-02,5,5,-6,-7,-7,5,-1,0,17,273,1014,23,0.8,0.6,11.2,-9,59,1,Laramie County,Wyoming
2020-03-03,7,7,-1,-4,-4,6,2,4,23,293,1015,35,0.0,0.0,11.2,-9,44,2,Laramie County,Wyoming
2020-03-04,10,10,0,-1,-1,6,4,6,19,272,1018,31,0.0,0.0,11.3,-10,37,3,Laramie County,Wyoming
2020-03-05,10,10,-3,-1,-1,6,3,4,11,263,1028,17,0.0,0.0,11.3,-6,56,2,Laramie County,Wyoming
2020-03-06,14,14,1,4,4,6,7,9,9,242,1023,16,0.0,0.0,11.3,-8,35,3,Laramie County,Wyoming
2020-03-07,15,15,5,7,7,6,9,11,11,247,1013,17,0.0,0.0,11.3,-5,36,4,Laramie County,Wyoming
2020-03-08,12,12,5,6,6,6,9,9,11,291,1008,16,3.1,0.0,8.6,-2,51,2,Laramie County,Wyoming
2020-03-09,11,11,-1,2,2,5,5,6,10,267,1016,14,2.8,2.1,11.6,-3,61,3,Laramie County,Wyoming
2020-03-10,11,11,2,2,2,6,6,7,14,268,1018,21,0.8,0.0,11.6,-5,48,3,Laramie County,Wyoming
2020-03-11,13,13,4,3,3,6,8,9,23,268,1013,35,0.1,0.0,11.6,-4,44,3,Laramie County,Wyoming
2020-03-12,6,6,-2,-1,-1,6,3,4,12,182,1013,17,0.2,0.0,11.6,-5,57,2,Laramie County,Wyoming
2020-03-13,0,0,-5,-9,-9,1,-2,-1,18,133,1017,23,11.2,0.7,6.0,-4,89,1,Laramie County,Wyoming
2020-03-14,5,5,-6,-5,-5,5,-1,1,12,169,1019,17,0.1,0.1,11.6,-4,86,2,Laramie County,Wyoming
2020-03-15,7,7,-3,-3,-3,6,1,3,9,194,1020,15,0.0,0.0,11.6,-2,80,2,Laramie County,Wyoming
2020-03-16,9,9,1,3,3,6,6,6,8,223,1019,12,0.0,0.0,11.6,-2,62,3,Laramie County,Wyoming
2020-03-17,11,11,-1,0,0,6,4,5,11,193,1013,14,0.0,0.0,10.2,-1,70,3,Laramie County,Wyoming
2020-03-18,13,13,3,5,5,6,7,9,8,150,1007,12,2.1,0.0,10.2,-3,50,2,Laramie County,Wyoming
2020-03-19,3,3,-6,-6,-6,0,0,0,20,15,1011,27,17.3,6.0,7.4,-1,93,1,Laramie County,Wyoming
2020-03-20,-4,-4,-10,-12,-12,2,-6,-7,12,183,1030,16,2.6,1.5,6.1,-8,89,1,Laramie County,Wyoming
2020-03-21,7,7,-5,-3,-3,6,1,3,9,215,1021,17,0.0,0.0,11.6,-6,63,2,Laramie County,Wyoming
2020-03-22,8,8,0,-1,-1,6,3,5,14,285,1016,21,0.1,0.0,8.9,-5,56,1,Laramie County,Wyoming
2020-03-23,10,10,0,1,1,6,5,6,10,218,1014,16,0.1,0.0,10.3,-5,50,2,Laramie County,Wyoming
2020-03-24,11,11,2,2,2,6,6,8,16,259,1011,25,0.0,0.0,11.6,-4,48,3,Laramie County,Wyoming
2020-03-25,10,10,4,3,3,6,6,7,16,270,1006,23,0.1,0.0,10.3,-4,47,2,Laramie County,Wyoming
2020-03-26,12,12,0,3,3,6,6,7,10,247,1004,14,0.0,0.0,11.6,-3,58,3,Laramie County,Wyoming
2020-03-27,1,1,-1,-5,-5,2,0,0,12,195,1005,15,21.9,18.6,6.4,-1,89,1,Laramie County,Wyoming
2020-03-28,4,4,-2,-6,-6,3,1,1,22,315,1012,30,8.4,0.0,9.0,-6,61,1,Laramie County,Wyoming
2020-03-29,8,8,-1,-1,-1,6,3,5,12,233,1017,18,0.0,0.0,11.6,-8,45,2,Laramie County,Wyoming
2020-03-30,11,11,1,3,3,6,6,7,10,329,1015,14,0.0,0.0,11.6,-7,41,3,Laramie County,Wyoming
2020-03-31,14,14,3,4,4,6,8,10,17,257,1012,24,0.0,0.0,11.6,-4,43,3,Laramie County,Wyoming
2020-04-01,13,13,4,8,8,6,10,10,9,220,1005,13,2.5,0.0,9.0,-1,52,3,Laramie County,Wyoming
2020-04-02,-6,-6,-11,-13,-13,1,-5,-7,16,97,1017,19,10.2,5.4,9.0,-8,84,1,Laramie County,Wyoming
2020-04-03,3,3,-8,-7,-7,6,-3,-1,7,193,1023,10,0.1,0.0,11.6,-13,49,1,Laramie County,Wyoming
2020-04-04,10,10,-4,-2,-2,6,3,4,12,197,1013,16,0.0,0.0,11.6,-7,48,2,Laramie County,Wyoming
2020-04-05,14,14,2,6,6,6,8,10,9,210,1006,14,0.0,0.0,11.6,-3,49,4,Laramie County,Wyoming
2020-04-06,17,17,6,10,10,6,12,13,11,228,1006,17,0.0,0.0,10.3,-5,33,3,Laramie County,Wyoming
2020-04-07,17,17,5,9,9,6,11,13,14,268,1010,20,0.0,0.0,11.6,-5,35,4,Laramie County,Wyoming
2020-04-08,14,14,5,7,7,6,10,10,11,173,1015,17,0.0,0.0,11.6,-2,49,4,Laramie County,Wyoming
2020-04-09,6,6,0,1,1,6,4,4,9,87,1018,12,0.0,0.0,11.6,-2,67,2,Laramie County,Wyoming
2020-04-10,17,17,3,9,9,6,11,14,13,286,1009,19,0.1,0.0,11.6,-3,42,4,Laramie County,Wyoming
2020-04-11,15,15,7,9,9,5,12,12,17,271,1002,24,0.3,0.0,11.6,-4,38,4,Laramie County,Wyoming
2020-04-12,-5,-5,-10,-15,-15,2,-7,-7,18,13,1019,23,10.4,1.1,6.6,-10,82,1,Laramie County,Wyoming
2020-04-13,-6,-6,-13,-14,-14,4,-10,-9,6,177,1028,9,2.1,1.8,6.6,-14,71,1,Laramie County,Wyoming
2020-04-14,3,3,-11,-11,-11,6,-4,-2,17,298,1024,24,0.0,0.0,10.4,-13,53,1,Laramie County,Wyoming
2020-04-15,5,5,-3,-6,-6,4,0,2,16,246,1015,23,5.2,3.7,6.6,-6,66,1,Laramie County,Wyoming
2020-04-16,-5,-5,-10,-12,-12,1,-5,-6,12,27,1023,16,24.6,16.4,7.9,-7,93,1,Laramie County,Wyoming
2020-04-17,2,2,-12,-10,-10,6,-5,-2,10,254,1022,19,0.0,0.0,11.6,-8,74,2,Laramie County,Wyoming
2020-04-18,7,7,-2,-1,-1,5,2,4,8,209,1011,17,0.6,0.0,7.9,-3,69,1,Laramie County,Wyoming
2020-04-19,10,10,-1,2,2,5,5,6,10,262,1011,14,0.0,0.0,11.6,-2,70,3,Laramie County,Wyoming
2020-04-20,13,13,1,4,4,6,7,9,12,303,1013,17,0.0,0.0,11.6,-3,55,3,Laramie County,Wyoming
