date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,15,18,18,5,18,19,13,188,1015,21,0.8,0.0,5.9,15,85,4,Lavaca County,Texas
2020-03-02,25,25,16,20,20,4,21,21,9,185,1011,14,0.0,0.0,7.3,18,88,5,Lavaca County,Texas
2020-03-03,25,25,18,21,22,3,22,22,7,68,1009,11,0.5,0.0,7.3,18,87,5,Lavaca County,Texas
2020-03-04,26,26,19,22,23,4,23,23,9,240,1008,13,3.4,0.0,8.8,17,82,5,Lavaca County,Texas
2020-03-05,20,20,10,13,13,6,15,15,13,239,1022,18,0.0,0.0,10.2,9,71,3,Lavaca County,Texas
2020-03-06,20,20,11,13,13,6,14,16,9,51,1030,15,0.0,0.0,11.6,5,53,5,Lavaca County,Texas
2020-03-07,19,19,9,12,12,6,13,14,8,120,1028,13,0.0,0.0,11.6,6,63,4,Lavaca County,Texas
2020-03-08,21,21,10,15,15,5,15,17,11,144,1024,18,0.3,0.0,5.9,12,81,4,Lavaca County,Texas
2020-03-09,22,22,16,19,19,6,19,20,10,172,1022,17,0.4,0.0,5.9,16,85,4,Lavaca County,Texas
2020-03-10,26,26,16,20,20,4,21,22,5,174,1023,8,2.8,0.0,6.0,17,85,5,Lavaca County,Texas
2020-03-11,28,28,16,21,21,4,21,23,9,193,1018,14,0.7,0.0,11.6,17,81,6,Lavaca County,Texas
2020-03-12,27,27,17,21,22,5,22,23,11,183,1013,17,0.0,0.0,11.6,18,83,6,Lavaca County,Texas
2020-03-13,26,26,18,21,22,5,22,22,11,149,1015,16,0.4,0.0,6.0,19,87,5,Lavaca County,Texas
2020-03-14,26,26,20,22,23,5,23,23,11,162,1019,16,0.6,0.0,8.8,20,85,5,Lavaca County,Texas
2020-03-15,27,27,19,22,23,3,23,24,6,121,1022,10,1.7,0.0,7.4,20,86,5,Lavaca County,Texas
2020-03-16,24,24,18,21,21,3,22,22,7,140,1020,11,5.5,0.0,6.0,19,89,5,Lavaca County,Texas
2020-03-17,27,27,18,22,23,4,23,23,9,131,1018,15,11.5,0.0,7.4,19,85,5,Lavaca County,Texas
2020-03-18,26,26,19,22,23,5,23,23,12,174,1016,17,0.7,0.0,6.0,20,86,5,Lavaca County,Texas
2020-03-19,26,26,21,23,25,5,25,24,12,170,1015,18,1.0,0.0,6.0,20,84,5,Lavaca County,Texas
2020-03-20,25,25,15,21,23,4,23,23,10,109,1020,17,20.3,0.0,6.0,19,90,5,Lavaca County,Texas
2020-03-21,16,16,8,10,10,5,13,13,11,34,1025,16,22.2,0.0,6.1,11,87,3,Lavaca County,Texas
2020-03-22,26,26,14,20,20,3,21,21,6,118,1018,9,5.1,0.0,6.1,18,91,5,Lavaca County,Texas
2020-03-23,28,28,19,23,24,4,24,24,10,180,1016,15,0.0,0.0,8.8,20,87,5,Lavaca County,Texas
2020-03-24,30,30,20,24,26,6,26,26,10,235,1012,15,0.0,0.0,8.8,20,78,6,Lavaca County,Texas
2020-03-25,31,31,19,24,25,4,25,26,7,164,1012,10,0.0,0.0,11.6,20,80,7,Lavaca County,Texas
2020-03-26,30,30,19,23,25,3,25,25,11,171,1011,16,0.0,0.0,11.6,20,83,7,Lavaca County,Texas
2020-03-27,29,29,21,24,26,6,26,26,14,175,1008,19,0.0,0.0,10.2,20,80,7,Lavaca County,Texas
2020-03-28,25,25,13,20,20,5,22,21,9,183,1011,14,3.1,0.0,8.9,16,78,5,Lavaca County,Texas
2020-03-29,24,24,14,19,19,6,19,20,7,69,1018,11,0.1,0.0,10.2,8,50,4,Lavaca County,Texas
2020-03-30,26,26,17,22,23,6,23,23,11,149,1014,16,2.5,0.0,6.1,17,76,5,Lavaca County,Texas
2020-03-31,22,22,16,19,19,6,20,18,10,121,1015,16,0.6,0.0,10.2,15,80,4,Lavaca County,Texas
2020-04-01,24,24,11,17,17,6,17,18,9,136,1016,14,0.0,0.0,11.6,12,74,5,Lavaca County,Texas
2020-04-02,25,25,14,19,19,3,20,21,10,156,1013,15,7.0,0.0,6.2,17,87,5,Lavaca County,Texas
2020-04-03,26,26,14,21,22,3,22,23,9,119,1012,16,35.6,0.0,6.2,19,90,5,Lavaca County,Texas
2020-04-04,13,13,6,9,9,4,12,12,12,16,1016,17,28.1,0.0,6.2,11,93,3,Lavaca County,Texas
2020-04-05,24,24,13,18,18,4,19,20,8,92,1017,12,0.3,0.0,10.2,16,87,4,Lavaca County,Texas
2020-04-06,25,25,16,20,20,4,21,22,5,129,1015,8,1.7,0.0,6.2,19,89,5,Lavaca County,Texas
2020-04-07,31,31,20,25,26,3,26,26,6,219,1014,10,0.7,0.0,8.9,21,84,6,Lavaca County,Texas
2020-04-08,32,32,21,26,29,5,29,27,8,216,1011,12,1.1,0.0,10.3,22,83,6,Lavaca County,Texas
2020-04-09,33,33,21,26,29,4,29,28,7,231,1010,11,6.8,0.0,11.6,21,80,7,Lavaca County,Texas
2020-04-10,23,23,19,20,20,5,21,21,10,70,1014,15,7.7,0.0,6.2,18,85,5,Lavaca County,Texas
2020-04-11,25,25,17,20,20,5,21,22,11,125,1010,18,5.3,0.0,6.2,19,87,5,Lavaca County,Texas
2020-04-12,27,27,20,23,25,6,25,25,15,262,1004,22,1.5,0.0,10.3,16,68,6,Lavaca County,Texas
2020-04-13,17,17,9,12,12,6,13,13,15,11,1017,21,0.0,0.0,11.6,6,63,4,Lavaca County,Texas
2020-04-14,19,19,8,11,11,6,13,14,12,21,1019,18,0.0,0.0,11.6,8,73,4,Lavaca County,Texas
2020-04-15,19,19,7,12,12,6,13,14,9,44,1021,13,0.0,0.0,11.6,6,64,4,Lavaca County,Texas
2020-04-16,23,23,10,16,16,6,17,18,8,137,1019,13,0.0,0.0,10.3,10,70,5,Lavaca County,Texas
2020-04-17,26,26,17,20,22,5,22,23,8,238,1016,12,5.4,0.0,6.5,18,88,5,Lavaca County,Texas
2020-04-18,23,23,13,16,16,5,17,17,10,77,1015,14,3.0,0.0,6.5,15,87,4,Lavaca County,Texas
2020-04-19,31,31,19,24,26,4,26,26,9,223,1007,14,1.7,0.0,9.1,19,76,6,Lavaca County,Texas
