date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,0,4,4,6,7,8,13,197,1016,21,1.1,0.0,8.6,3,74,2,Lawrence County,Illinois
2020-03-02,15,15,11,11,11,5,12,13,10,285,1008,15,8.5,0.0,5.6,9,84,3,Lawrence County,Illinois
2020-03-03,14,14,7,8,8,6,10,11,11,277,1007,16,0.6,0.0,11.3,4,70,4,Lawrence County,Illinois
2020-03-04,12,12,5,6,6,6,8,10,10,313,1015,17,0.0,0.0,10.1,1,63,3,Lawrence County,Illinois
2020-03-05,14,14,3,5,5,6,8,9,10,229,1019,16,0.0,0.0,10.1,1,65,2,Lawrence County,Illinois
2020-03-06,7,7,-1,-1,-1,5,3,4,15,333,1026,21,0.1,0.0,10.1,-3,64,1,Lawrence County,Illinois
2020-03-07,10,10,-2,1,1,6,3,5,6,157,1034,10,0.0,0.0,11.4,-4,61,2,Lawrence County,Illinois
2020-03-08,15,15,2,5,5,6,8,9,12,193,1028,20,0.0,0.0,11.4,2,64,3,Lawrence County,Illinois
2020-03-09,15,15,10,10,10,5,12,13,18,191,1022,29,10.6,0.0,5.7,9,80,3,Lawrence County,Illinois
2020-03-10,11,11,5,9,9,5,10,10,11,323,1021,16,14.5,0.0,5.7,8,83,2,Lawrence County,Illinois
2020-03-11,14,14,4,8,8,6,9,10,4,221,1018,6,0.0,0.0,8.7,5,81,2,Lawrence County,Illinois
2020-03-12,17,17,7,11,11,4,12,13,10,169,1009,16,10.6,0.0,7.2,11,91,3,Lawrence County,Illinois
2020-03-13,10,10,4,5,5,6,7,7,10,335,1024,15,1.2,0.0,8.7,1,63,2,Lawrence County,Illinois
2020-03-14,5,5,-2,0,0,5,4,4,10,55,1031,14,12.0,0.0,5.8,1,80,1,Lawrence County,Illinois
2020-03-15,8,8,2,1,1,6,5,5,10,53,1033,14,0.0,0.0,5.8,1,77,2,Lawrence County,Illinois
2020-03-16,6,6,1,3,3,5,5,5,3,207,1027,5,1.4,0.0,6.0,2,84,2,Lawrence County,Illinois
2020-03-17,11,11,3,6,6,5,7,8,5,10,1025,8,0.3,0.0,10.3,3,75,2,Lawrence County,Illinois
2020-03-18,10,10,4,6,6,4,8,9,5,141,1020,10,15.9,0.0,6.2,8,93,2,Lawrence County,Illinois
2020-03-19,19,19,10,14,14,3,15,16,12,183,1015,21,38.0,0.0,6.2,14,94,4,Lawrence County,Illinois
2020-03-20,17,17,5,11,11,5,13,13,16,326,1019,24,18.2,0.0,6.3,10,81,3,Lawrence County,Illinois
2020-03-21,8,8,-1,-1,-1,6,3,4,9,23,1032,13,0.0,0.0,11.6,-4,64,2,Lawrence County,Illinois
2020-03-22,6,6,-1,0,0,5,3,3,7,95,1028,11,1.0,0.0,6.3,-1,78,1,Lawrence County,Illinois
2020-03-23,10,10,3,4,4,6,6,8,6,238,1022,9,0.0,0.0,8.9,3,81,2,Lawrence County,Illinois
2020-03-24,14,14,3,6,6,5,8,10,8,94,1017,11,0.9,0.0,7.6,5,85,2,Lawrence County,Illinois
2020-03-25,17,17,4,8,8,4,10,11,6,151,1014,11,0.1,0.0,11.6,6,79,4,Lawrence County,Illinois
2020-03-26,22,22,8,14,14,6,15,16,11,189,1009,17,1.7,0.0,9.0,12,84,4,Lawrence County,Illinois
2020-03-27,24,24,13,18,18,6,19,20,10,178,1008,15,5.7,0.0,7.7,16,89,4,Lawrence County,Illinois
2020-03-28,24,24,19,21,21,5,22,22,16,214,1005,25,13.9,0.0,6.4,18,86,5,Lawrence County,Illinois
2020-03-29,17,17,10,12,12,5,14,13,18,250,1011,27,10.8,0.0,11.6,7,67,3,Lawrence County,Illinois
2020-03-30,16,16,6,10,10,6,11,12,9,296,1021,14,0.0,0.0,10.3,4,64,3,Lawrence County,Illinois
2020-03-31,10,10,6,5,5,6,8,8,9,130,1016,13,0.0,0.0,6.4,3,73,2,Lawrence County,Illinois
2020-04-01,12,12,2,5,5,6,7,8,5,132,1018,9,0.0,0.0,11.6,2,75,3,Lawrence County,Illinois
2020-04-02,16,16,5,10,10,6,10,12,5,141,1020,8,0.0,0.0,11.6,5,69,4,Lawrence County,Illinois
2020-04-03,20,20,9,13,13,6,14,15,6,182,1018,10,0.0,0.0,11.6,8,69,5,Lawrence County,Illinois
2020-04-04,13,13,8,9,9,4,10,10,7,317,1018,10,1.3,0.0,6.4,8,88,3,Lawrence County,Illinois
2020-04-05,16,16,5,10,10,5,11,12,5,237,1020,7,0.2,0.0,11.6,6,73,4,Lawrence County,Illinois
2020-04-06,21,21,9,14,14,6,14,15,4,201,1017,7,1.2,0.0,10.3,11,82,4,Lawrence County,Illinois
2020-04-07,25,25,14,19,19,5,20,20,11,225,1010,17,2.7,0.0,10.3,16,85,5,Lawrence County,Illinois
2020-04-08,27,27,17,21,22,5,22,23,9,279,1005,15,17.4,0.0,11.6,16,78,6,Lawrence County,Illinois
2020-04-09,13,13,5,7,7,6,10,10,16,295,1011,23,16.0,0.0,11.6,2,61,4,Lawrence County,Illinois
2020-04-10,11,11,1,2,2,6,5,7,10,306,1019,15,0.1,0.0,11.6,-2,57,3,Lawrence County,Illinois
2020-04-11,14,14,4,7,7,6,9,10,10,195,1015,15,0.3,0.0,9.1,3,68,3,Lawrence County,Illinois
2020-04-12,15,15,9,11,11,4,12,13,12,168,1005,19,1.7,0.0,6.5,11,90,3,Lawrence County,Illinois
2020-04-13,9,9,4,4,4,4,7,7,15,305,1012,20,0.3,0.0,10.3,1,69,2,Lawrence County,Illinois
2020-04-14,8,8,1,2,2,6,4,5,7,310,1024,9,0.0,0.0,11.6,-5,52,3,Lawrence County,Illinois
2020-04-15,10,10,1,1,1,6,5,7,12,270,1020,18,1.1,0.0,7.8,-2,61,2,Lawrence County,Illinois
2020-04-16,11,11,-1,4,4,6,5,7,6,143,1026,9,0.0,0.0,9.1,-2,57,2,Lawrence County,Illinois
2020-04-17,11,11,5,5,5,4,8,9,13,250,1016,21,10.7,0.0,6.6,4,81,2,Lawrence County,Illinois
2020-04-18,13,13,0,4,4,6,6,8,7,226,1018,12,0.0,0.0,11.6,1,73,3,Lawrence County,Illinois
2020-04-19,12,12,5,7,7,6,8,9,5,259,1011,9,2.0,0.0,7.9,6,84,2,Lawrence County,Illinois
2020-04-20,17,17,6,10,10,5,11,13,6,192,1009,11,0.1,0.0,11.6,6,72,4,Lawrence County,Illinois
2020-04-21,13,13,8,8,8,6,10,11,11,320,1014,16,0.4,0.0,11.6,4,68,4,Lawrence County,Illinois
2020-04-22,20,20,6,12,12,6,12,14,8,194,1015,13,0.1,0.0,11.6,7,68,4,Lawrence County,Illinois
2020-04-23,13,13,11,11,11,4,12,12,10,94,1004,15,40.9,0.0,6.7,12,95,3,Lawrence County,Illinois
2020-04-24,20,20,9,14,14,4,14,16,5,102,1009,9,0.8,0.0,10.4,11,82,4,Lawrence County,Illinois
2020-04-25,16,16,11,12,12,5,13,14,12,105,1006,17,12.2,0.0,8.4,12,89,3,Lawrence County,Illinois
2020-04-26,15,15,8,8,8,4,11,11,15,338,1016,22,26.5,0.0,9.8,7,78,3,Lawrence County,Illinois
2020-04-27,17,17,5,11,11,6,12,13,7,209,1021,11,0.0,0.0,13.3,6,69,3,Lawrence County,Illinois
2020-04-28,22,22,14,16,16,6,17,17,15,198,1013,23,1.2,0.0,13.3,13,80,4,Lawrence County,Illinois
2020-04-29,16,16,9,13,13,4,14,14,16,278,1003,23,26.4,0.0,8.7,11,85,3,Lawrence County,Illinois
2020-04-30,12,12,8,8,8,6,10,11,13,307,1009,18,0.0,0.0,9.8,7,79,3,Lawrence County,Illinois
2020-05-01,21,21,7,14,14,6,14,16,4,148,1016,8,0.0,0.0,13.9,9,74,5,Lawrence County,Illinois
2020-05-02,26,26,13,19,19,6,20,21,11,228,1014,18,0.8,0.0,12.2,16,81,5,Lawrence County,Illinois
2020-05-03,19,19,15,17,17,6,17,17,6,128,1014,11,6.8,0.0,9.9,14,86,4,Lawrence County,Illinois
2020-05-04,21,21,10,14,14,5,15,17,7,66,1016,11,1.6,0.0,13.3,10,74,5,Lawrence County,Illinois
2020-05-05,14,14,7,10,10,4,12,13,10,268,1011,14,14.7,0.0,8.7,10,89,3,Lawrence County,Illinois
2020-05-06,15,15,6,8,8,5,10,11,10,339,1018,14,0.9,0.0,13.4,4,69,4,Lawrence County,Illinois
2020-05-07,18,18,7,11,11,6,13,15,9,269,1018,14,0.3,0.0,12.2,7,71,3,Lawrence County,Illinois
2020-05-08,12,12,5,8,8,5,10,11,10,349,1015,14,21.6,0.0,11.1,6,80,3,Lawrence County,Illinois
2020-05-09,14,14,1,6,6,6,8,9,6,309,1024,9,0.0,0.0,14.1,0,60,3,Lawrence County,Illinois
2020-05-10,13,13,6,6,6,6,9,11,14,270,1020,21,1.7,0.0,11.1,4,73,3,Lawrence County,Illinois
2020-05-11,12,12,2,5,5,6,7,9,8,304,1024,12,1.3,0.0,11.1,3,76,2,Lawrence County,Illinois
2020-05-12,14,14,5,10,10,6,10,12,3,216,1025,5,0.7,0.0,12.2,5,72,3,Lawrence County,Illinois
2020-05-13,15,15,7,9,9,5,11,11,9,118,1022,13,4.5,0.0,8.8,9,92,3,Lawrence County,Illinois
2020-05-14,25,25,13,19,19,5,20,22,13,204,1016,20,3.2,0.0,11.1,16,84,5,Lawrence County,Illinois
2020-05-15,24,24,18,20,20,5,21,21,12,213,1013,21,21.3,0.0,10.0,18,89,5,Lawrence County,Illinois
2020-05-16,27,27,17,21,22,4,22,23,9,195,1011,14,22.2,0.0,8.9,19,89,5,Lawrence County,Illinois
2020-05-17,21,21,17,20,20,5,20,20,10,116,1013,16,22.0,0.0,11.1,17,87,5,Lawrence County,Illinois
2020-05-18,19,19,14,16,16,5,16,17,7,263,1007,10,5.4,0.0,12.4,14,85,4,Lawrence County,Illinois
2020-05-19,20,20,12,15,15,4,16,16,7,307,1009,10,1.5,0.0,9.2,14,89,4,Lawrence County,Illinois
2020-05-20,18,18,13,14,14,6,15,16,11,68,1015,16,0.1,0.0,9.2,13,86,4,Lawrence County,Illinois
2020-05-21,19,19,10,15,15,5,16,17,7,75,1016,10,0.5,0.0,10.2,13,86,4,Lawrence County,Illinois
2020-05-22,24,24,14,19,19,6,19,20,4,174,1016,7,0.4,0.0,11.3,15,79,5,Lawrence County,Illinois
2020-05-23,29,29,17,23,24,3,24,25,9,197,1013,14,6.4,0.0,10.3,19,84,6,Lawrence County,Illinois
2020-05-24,28,28,19,23,24,5,24,25,7,177,1014,12,10.9,0.0,11.3,20,84,5,Lawrence County,Illinois
2020-05-25,30,30,19,24,25,5,25,26,7,181,1014,12,3.2,0.0,13.4,20,80,6,Lawrence County,Illinois
2020-05-26,27,27,20,23,24,6,24,25,9,172,1015,14,0.7,0.0,14.5,20,82,6,Lawrence County,Illinois
2020-05-27,20,20,15,18,18,5,19,19,9,150,1014,14,8.6,0.0,9.2,19,93,4,Lawrence County,Illinois
2020-05-28,26,26,18,21,22,4,22,23,8,177,1012,12,5.6,0.0,9.2,18,85,5,Lawrence County,Illinois
2020-05-29,24,24,16,20,20,4,20,21,10,314,1015,15,1.7,0.0,12.4,16,80,5,Lawrence County,Illinois
2020-05-30,22,22,12,17,17,6,18,19,8,238,1021,12,0.0,0.0,14.5,13,76,5,Lawrence County,Illinois
2020-05-31,22,22,13,16,16,6,17,18,7,59,1024,11,0.0,0.0,14.5,11,71,5,Lawrence County,Illinois
2020-06-01,23,23,11,17,17,6,18,19,8,163,1024,13,0.0,0.0,14.5,12,71,5,Lawrence County,Illinois
2020-06-02,28,28,17,22,23,6,23,24,10,231,1017,16,0.0,0.0,14.5,17,73,6,Lawrence County,Illinois
2020-06-03,30,30,19,24,26,5,26,26,10,242,1012,16,4.8,0.0,12.4,20,79,6,Lawrence County,Illinois
2020-06-04,31,31,21,25,28,5,28,27,7,233,1009,11,7.6,0.0,13.5,21,81,6,Lawrence County,Illinois
2020-06-05,30,30,18,24,25,6,25,26,3,181,1012,5,0.1,0.0,14.5,18,70,7,Lawrence County,Illinois
2020-06-06,31,31,21,26,28,6,28,28,5,26,1015,8,0.0,0.0,14.5,20,73,7,Lawrence County,Illinois
2020-06-07,28,28,18,23,24,6,24,24,9,92,1016,14,0.0,0.0,14.5,16,67,6,Lawrence County,Illinois
2020-06-08,29,29,17,23,24,6,24,24,11,110,1012,18,0.0,0.0,14.5,17,72,6,Lawrence County,Illinois
2020-06-09,25,25,19,23,25,6,25,24,19,174,1005,31,4.9,0.0,9.3,21,84,5,Lawrence County,Illinois
2020-06-10,24,24,17,22,24,5,24,23,17,219,1006,25,3.1,0.0,11.4,18,78,5,Lawrence County,Illinois
2020-06-11,25,25,15,20,21,6,21,22,8,301,1021,12,0.0,0.0,14.5,14,71,6,Lawrence County,Illinois
2020-06-12,28,28,17,22,23,6,23,25,5,320,1023,9,0.0,0.0,14.5,15,65,6,Lawrence County,Illinois
2020-06-13,27,27,18,22,22,6,22,24,7,27,1021,11,0.5,0.0,14.5,16,72,6,Lawrence County,Illinois
2020-06-14,23,23,15,18,18,5,18,19,9,39,1024,13,2.5,0.0,11.4,14,80,4,Lawrence County,Illinois
2020-06-15,24,24,12,18,18,6,19,20,7,45,1025,11,0.0,0.0,14.5,12,70,6,Lawrence County,Illinois
2020-06-16,26,26,15,21,21,6,21,23,7,97,1024,11,0.0,0.0,14.5,16,75,6,Lawrence County,Illinois
2020-06-17,27,27,16,21,22,6,22,23,4,69,1021,7,0.0,0.0,14.5,16,71,6,Lawrence County,Illinois
2020-06-18,27,27,17,23,24,6,24,25,2,121,1017,4,3.5,0.0,12.4,17,70,5,Lawrence County,Illinois
2020-06-19,30,30,19,24,25,6,25,26,4,249,1016,6,0.5,0.0,14.5,17,66,6,Lawrence County,Illinois
2020-06-20,30,30,20,25,27,5,27,27,9,212,1015,14,3.2,0.0,10.4,20,74,6,Lawrence County,Illinois
2020-06-21,25,25,20,22,22,5,22,21,5,185,1013,9,11.0,0.0,9.3,19,87,5,Lawrence County,Illinois
2020-06-22,29,29,20,23,24,4,24,25,9,186,1011,15,15.0,0.0,11.4,21,86,6,Lawrence County,Illinois
