date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,0,3,3,6,5,7,6,275,1025,9,0.0,0.0,11.6,-5,48,3,Lenoir County,North Carolina
2020-03-02,19,19,5,11,11,6,12,14,10,215,1020,17,0.0,0.0,10.2,3,58,4,Lenoir County,North Carolina
2020-03-03,19,19,11,14,14,5,15,16,12,228,1011,18,8.0,0.0,5.9,13,88,4,Lenoir County,North Carolina
2020-03-04,15,15,8,12,12,5,13,13,6,247,1015,10,0.0,0.0,10.2,8,73,3,Lenoir County,North Carolina
2020-03-05,11,11,7,8,8,4,9,10,8,79,1018,12,27.4,0.0,7.3,6,80,2,Lenoir County,North Carolina
2020-03-06,13,13,7,6,6,5,9,11,13,292,1012,19,22.2,0.0,5.9,4,73,3,Lenoir County,North Carolina
2020-03-07,11,11,3,3,3,6,7,8,12,345,1026,18,0.0,0.0,11.6,-2,55,3,Lenoir County,North Carolina
2020-03-08,15,15,4,8,8,6,9,11,4,168,1035,7,0.0,0.0,11.6,-2,48,4,Lenoir County,North Carolina
2020-03-09,19,19,5,11,11,6,13,14,8,226,1034,14,0.0,0.0,10.2,4,58,3,Lenoir County,North Carolina
2020-03-10,21,21,12,15,15,6,16,18,11,224,1026,18,2.4,0.0,8.8,12,78,4,Lenoir County,North Carolina
2020-03-11,22,22,13,17,17,4,18,19,7,238,1019,12,3.8,0.0,8.8,14,82,4,Lenoir County,North Carolina
2020-03-12,24,24,14,19,19,4,19,21,6,181,1015,10,2.6,0.0,11.6,14,75,6,Lenoir County,North Carolina
2020-03-13,20,20,17,18,18,5,18,19,11,244,1017,18,1.8,0.0,6.0,15,83,4,Lenoir County,North Carolina
2020-03-14,16,16,9,12,12,6,13,13,9,58,1027,14,0.0,0.0,11.6,4,55,4,Lenoir County,North Carolina
2020-03-15,13,13,9,9,9,4,11,11,10,53,1027,14,1.5,0.0,6.0,7,74,3,Lenoir County,North Carolina
2020-03-16,17,17,6,9,9,6,11,13,8,46,1028,12,0.0,0.0,11.6,5,71,4,Lenoir County,North Carolina
2020-03-17,18,18,10,13,13,3,13,14,5,239,1024,7,2.3,0.0,6.0,11,87,3,Lenoir County,North Carolina
2020-03-18,18,18,11,14,14,3,14,15,6,70,1028,10,0.0,0.0,6.0,12,90,3,Lenoir County,North Carolina
2020-03-19,26,26,14,20,21,5,21,23,10,235,1025,16,2.9,0.0,6.0,17,82,5,Lenoir County,North Carolina
2020-03-20,28,28,19,23,24,6,24,25,15,228,1022,22,0.0,0.0,11.6,18,75,6,Lenoir County,North Carolina
2020-03-21,21,21,11,16,16,5,17,19,9,29,1023,13,0.6,0.0,6.1,13,77,4,Lenoir County,North Carolina
2020-03-22,12,12,6,7,7,5,10,11,13,59,1029,17,1.6,0.0,6.1,6,75,3,Lenoir County,North Carolina
2020-03-23,16,16,11,13,13,4,13,15,7,278,1022,10,0.5,0.0,6.1,11,87,3,Lenoir County,North Carolina
2020-03-24,19,19,10,13,13,5,14,15,7,82,1019,10,9.6,0.0,7.5,10,81,4,Lenoir County,North Carolina
2020-03-25,16,16,10,12,12,5,13,15,10,346,1010,14,45.0,0.0,6.1,11,87,3,Lenoir County,North Carolina
2020-03-26,19,19,8,12,12,6,13,14,6,144,1018,9,0.0,0.0,11.6,7,72,4,Lenoir County,North Carolina
2020-03-27,27,27,12,18,18,6,20,21,9,255,1014,14,0.0,0.0,8.9,15,79,5,Lenoir County,North Carolina
2020-03-28,29,29,18,23,24,5,24,25,9,229,1014,13,0.0,0.0,10.2,18,78,5,Lenoir County,North Carolina
2020-03-29,29,29,20,24,25,6,25,26,13,237,1014,20,0.0,0.0,11.6,19,72,7,Lenoir County,North Carolina
2020-03-30,22,22,17,20,20,6,21,20,9,293,1016,15,0.0,0.0,11.6,10,52,6,Lenoir County,North Carolina
2020-03-31,17,17,7,11,11,5,13,14,12,60,1010,17,10.3,0.0,9.0,7,68,3,Lenoir County,North Carolina
2020-04-01,13,13,8,8,8,5,10,11,11,350,1008,15,18.2,0.0,7.7,5,74,3,Lenoir County,North Carolina
2020-04-02,16,16,7,9,9,6,11,13,10,319,1014,16,0.0,0.0,11.6,4,62,4,Lenoir County,North Carolina
2020-04-03,19,19,8,12,12,6,13,15,12,320,1012,18,0.0,0.0,11.6,3,53,4,Lenoir County,North Carolina
2020-04-04,18,18,9,12,12,6,13,15,8,14,1015,11,0.0,0.0,10.3,7,68,3,Lenoir County,North Carolina
2020-04-05,20,20,7,14,14,6,15,16,4,143,1020,6,0.0,0.0,11.6,7,69,5,Lenoir County,North Carolina
2020-04-06,25,25,12,18,18,6,18,21,7,279,1017,11,2.9,0.0,9.0,13,74,5,Lenoir County,North Carolina
2020-04-07,26,26,15,20,22,5,22,22,7,250,1013,11,0.6,0.0,11.6,15,73,6,Lenoir County,North Carolina
2020-04-08,28,28,18,23,23,6,23,25,11,257,1005,17,0.5,0.0,11.6,16,68,6,Lenoir County,North Carolina
2020-04-09,28,28,18,22,23,6,23,24,11,277,1000,18,1.9,0.0,10.3,12,60,5,Lenoir County,North Carolina
2020-04-10,14,14,8,9,9,6,11,12,12,307,1009,17,0.0,0.0,11.6,0,45,4,Lenoir County,North Carolina
