date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,0,7,7,6,8,10,3,158,1025,6,0.0,0.0,11.6,0,60,3,Lincoln County,Georgia
2020-03-02,17,17,6,10,10,5,11,12,6,210,1019,10,11.8,0.0,7.3,7,76,3,Lincoln County,Georgia
2020-03-03,19,19,13,15,15,4,16,16,8,217,1012,14,23.5,0.0,5.9,15,95,4,Lincoln County,Georgia
2020-03-04,16,16,9,14,14,4,14,15,5,245,1015,9,13.3,0.0,5.9,13,94,3,Lincoln County,Georgia
2020-03-05,10,10,9,8,8,3,10,10,8,71,1017,12,60.1,0.0,5.9,9,95,2,Lincoln County,Georgia
2020-03-06,12,12,4,6,6,4,8,10,11,298,1019,17,0.0,0.0,11.6,3,70,4,Lincoln County,Georgia
2020-03-07,13,13,-1,5,5,6,7,8,5,17,1030,7,0.0,0.0,11.6,-1,64,3,Lincoln County,Georgia
2020-03-08,15,15,2,8,8,6,9,10,3,140,1035,6,0.0,0.0,5.9,0,59,3,Lincoln County,Georgia
2020-03-09,19,19,6,12,12,6,12,14,4,176,1033,7,0.2,0.0,10.2,7,72,4,Lincoln County,Georgia
2020-03-10,16,16,13,14,14,4,14,15,5,237,1027,9,2.4,0.0,7.4,13,93,3,Lincoln County,Georgia
2020-03-11,22,22,12,16,16,3,17,18,6,258,1019,9,0.8,0.0,6.0,13,85,4,Lincoln County,Georgia
2020-03-12,22,22,14,18,18,4,19,20,5,242,1016,9,11.5,0.0,7.4,15,86,4,Lincoln County,Georgia
2020-03-13,24,24,16,20,20,6,20,21,6,270,1019,10,2.5,0.0,10.2,16,82,5,Lincoln County,Georgia
2020-03-14,18,18,10,15,15,6,15,16,5,83,1026,9,0.1,0.0,7.4,10,74,4,Lincoln County,Georgia
2020-03-15,19,19,13,16,16,3,16,17,4,207,1024,6,2.6,0.0,6.0,14,92,4,Lincoln County,Georgia
2020-03-16,12,12,9,10,10,3,11,10,5,84,1028,8,2.2,0.0,6.0,8,85,3,Lincoln County,Georgia
2020-03-17,22,22,11,15,15,5,16,17,3,260,1024,4,0.0,0.0,7.4,13,88,4,Lincoln County,Georgia
2020-03-18,23,23,13,18,18,3,18,19,4,100,1025,7,7.0,0.0,6.0,15,88,4,Lincoln County,Georgia
2020-03-19,27,27,17,22,23,5,23,23,6,203,1024,10,3.3,0.0,8.8,18,83,5,Lincoln County,Georgia
2020-03-20,27,27,16,22,23,5,23,23,8,228,1023,13,0.7,0.0,11.6,17,78,6,Lincoln County,Georgia
2020-03-21,25,25,15,20,20,6,21,22,6,282,1022,10,0.4,0.0,11.6,15,75,6,Lincoln County,Georgia
2020-03-22,15,15,11,13,13,4,14,15,8,56,1026,11,0.8,0.0,6.1,11,84,3,Lincoln County,Georgia
2020-03-23,19,19,11,14,14,2,14,16,5,200,1022,8,6.9,0.0,6.1,14,95,4,Lincoln County,Georgia
2020-03-24,18,18,11,15,15,3,16,16,4,179,1016,6,14.8,0.0,6.1,15,97,4,Lincoln County,Georgia
2020-03-25,24,24,17,20,20,5,21,21,7,291,1010,11,20.0,0.0,10.2,15,80,6,Lincoln County,Georgia
2020-03-26,22,22,13,16,16,6,17,18,6,156,1017,9,0.0,0.0,11.6,12,76,5,Lincoln County,Georgia
2020-03-27,28,28,15,21,22,4,22,23,6,230,1014,10,0.0,0.0,10.2,17,80,6,Lincoln County,Georgia
2020-03-28,29,29,18,23,24,4,24,25,8,241,1014,13,0.0,0.0,10.2,18,77,6,Lincoln County,Georgia
2020-03-29,28,28,18,22,24,6,24,23,8,253,1017,14,0.4,0.0,6.1,17,76,5,Lincoln County,Georgia
2020-03-30,23,23,14,18,18,6,18,19,5,316,1018,9,0.0,0.0,11.6,9,57,5,Lincoln County,Georgia
2020-03-31,16,16,5,12,12,5,13,14,7,78,1008,11,16.1,0.0,7.5,9,75,3,Lincoln County,Georgia
2020-04-01,17,17,6,11,11,5,12,13,5,230,1012,8,0.5,0.0,11.6,6,70,4,Lincoln County,Georgia
2020-04-02,19,19,6,12,12,6,12,14,4,213,1017,6,0.0,0.0,11.6,4,60,4,Lincoln County,Georgia
2020-04-03,23,23,8,15,15,6,16,18,3,196,1016,5,0.0,0.0,11.6,7,61,5,Lincoln County,Georgia
2020-04-04,23,23,11,17,17,6,18,19,4,92,1015,7,0.0,0.0,11.6,8,60,5,Lincoln County,Georgia
2020-04-05,23,23,14,18,18,6,19,19,4,170,1018,7,0.2,0.0,11.6,10,64,5,Lincoln County,Georgia
2020-04-06,26,26,14,20,20,5,20,22,5,262,1018,8,2.6,0.0,11.6,14,74,5,Lincoln County,Georgia
2020-04-07,23,23,16,19,19,5,19,20,6,250,1016,11,11.8,0.0,7.6,16,87,5,Lincoln County,Georgia
2020-04-08,28,28,16,21,22,6,22,24,8,263,1009,12,0.2,0.0,10.3,17,77,5,Lincoln County,Georgia
2020-04-09,27,27,19,22,23,5,23,24,11,289,1005,18,1.3,0.0,11.6,12,61,6,Lincoln County,Georgia
2020-04-10,18,18,11,13,13,6,15,14,8,334,1013,12,0.0,0.0,11.6,0,43,4,Lincoln County,Georgia
2020-04-11,21,21,5,12,12,6,13,15,5,156,1019,7,0.0,0.0,11.6,2,50,5,Lincoln County,Georgia
2020-04-12,20,20,11,15,15,5,16,16,7,118,1015,13,28.9,0.0,6.3,14,90,4,Lincoln County,Georgia
2020-04-13,25,25,18,21,23,5,23,22,12,266,1011,19,29.9,0.0,11.6,15,74,6,Lincoln County,Georgia
2020-04-14,25,25,11,18,18,6,20,21,5,236,1015,8,0.0,0.0,11.6,11,69,6,Lincoln County,Georgia
2020-04-15,18,18,10,13,13,6,13,14,6,42,1016,9,0.0,0.0,11.6,5,61,4,Lincoln County,Georgia
2020-04-16,20,20,7,13,13,6,14,16,3,241,1023,5,0.0,0.0,11.6,3,56,5,Lincoln County,Georgia
2020-04-17,21,21,8,15,15,6,16,17,6,184,1023,9,0.0,0.0,10.4,7,61,4,Lincoln County,Georgia
2020-04-18,23,23,14,18,18,6,20,21,9,295,1014,14,0.0,0.0,11.6,9,62,6,Lincoln County,Georgia
2020-04-19,15,15,9,12,12,5,12,13,3,124,1012,5,16.7,0.0,8.0,9,82,3,Lincoln County,Georgia
2020-04-20,22,22,14,17,17,4,18,18,5,117,1005,9,62.9,0.0,8.0,14,84,4,Lincoln County,Georgia
2020-04-21,24,24,10,17,17,6,17,20,8,275,1012,13,0.0,0.0,11.6,10,66,5,Lincoln County,Georgia
2020-04-22,22,22,9,16,16,6,17,18,4,144,1018,7,0.0,0.0,11.6,7,61,5,Lincoln County,Georgia
2020-04-23,18,18,13,15,15,4,16,16,7,127,1012,12,43.9,0.0,6.8,14,92,4,Lincoln County,Georgia
2020-04-24,24,24,15,20,20,5,21,21,8,272,1008,11,3.8,0.0,10.4,15,78,6,Lincoln County,Georgia
2020-04-25,26,26,13,20,20,6,20,22,6,191,1011,10,0.6,0.0,11.6,14,72,6,Lincoln County,Georgia
2020-04-26,20,20,11,15,15,6,16,17,12,279,1014,17,0.7,0.0,11.6,9,69,5,Lincoln County,Georgia
2020-04-27,23,23,10,15,15,6,17,18,6,309,1020,9,0.0,0.0,11.6,5,55,5,Lincoln County,Georgia
2020-04-28,25,25,10,18,18,6,19,20,5,215,1021,9,0.0,0.0,11.6,8,59,6,Lincoln County,Georgia
2020-04-29,24,24,14,18,18,5,19,20,10,179,1013,17,16.0,0.0,8.0,15,82,5,Lincoln County,Georgia
2020-04-30,20,20,12,15,15,5,15,17,8,270,1009,12,52.4,0.0,6.9,11,78,4,Lincoln County,Georgia
2020-05-01,23,23,10,15,15,6,17,18,9,290,1015,14,0.0,0.0,11.6,8,62,5,Lincoln County,Georgia
2020-05-02,26,26,10,19,19,6,19,21,4,193,1021,7,0.0,0.0,11.6,10,64,6,Lincoln County,Georgia
2020-05-03,29,29,13,21,22,6,22,24,8,250,1016,13,0.0,0.0,11.6,13,62,6,Lincoln County,Georgia
2020-05-04,29,29,18,22,23,5,23,25,6,272,1013,10,17.7,0.0,9.2,17,75,5,Lincoln County,Georgia
2020-05-05,30,30,19,24,25,5,25,26,8,245,1010,12,2.2,0.0,11.6,18,75,7,Lincoln County,Georgia
2020-05-06,24,24,13,18,18,5,19,20,10,287,1012,16,5.0,0.0,11.6,9,63,5,Lincoln County,Georgia
2020-05-07,20,20,7,13,13,6,13,16,5,299,1019,8,0.0,0.0,11.6,3,54,5,Lincoln County,Georgia
2020-05-08,19,19,9,14,14,5,14,17,6,213,1014,9,1.6,0.0,9.3,7,68,4,Lincoln County,Georgia
2020-05-09,21,21,6,13,13,5,15,16,4,203,1021,6,0.0,0.0,11.6,5,63,5,Lincoln County,Georgia
2020-05-10,23,23,7,15,15,6,16,18,4,208,1022,7,0.0,0.0,11.6,6,57,5,Lincoln County,Georgia
2020-05-11,21,21,10,15,15,6,16,18,8,308,1020,12,0.0,0.0,11.6,4,53,5,Lincoln County,Georgia
2020-05-12,22,22,7,14,14,6,16,17,4,179,1024,6,0.0,0.0,11.6,4,54,5,Lincoln County,Georgia
2020-05-13,25,25,11,18,18,6,19,21,3,138,1025,6,0.0,0.0,11.6,11,66,6,Lincoln County,Georgia
2020-05-14,27,27,13,21,21,5,21,23,5,175,1024,9,0.0,0.0,11.6,14,70,5,Lincoln County,Georgia
2020-05-15,27,27,15,21,22,5,22,23,4,199,1021,7,0.0,0.0,10.4,15,74,5,Lincoln County,Georgia
2020-05-16,31,31,16,23,24,5,24,26,3,201,1018,5,0.0,0.0,11.6,16,70,6,Lincoln County,Georgia
2020-05-17,31,31,17,23,24,5,24,27,4,235,1017,7,0.0,0.0,11.6,17,71,7,Lincoln County,Georgia
2020-05-18,27,27,19,22,23,5,23,24,5,156,1011,9,21.7,0.0,7.0,19,86,5,Lincoln County,Georgia
2020-05-19,27,27,19,22,23,5,23,23,7,228,1008,11,10.8,0.0,7.0,18,81,5,Lincoln County,Georgia
2020-05-20,20,20,14,18,18,3,18,19,7,217,1012,10,21.2,0.0,7.0,17,95,4,Lincoln County,Georgia
2020-05-21,26,26,13,19,20,4,20,22,4,257,1015,5,0.3,0.0,9.3,15,79,5,Lincoln County,Georgia
2020-05-22,29,29,15,21,22,4,22,24,4,275,1018,6,15.3,0.0,10.5,18,84,5,Lincoln County,Georgia
2020-05-23,32,32,18,25,27,4,27,27,5,256,1017,9,8.9,0.0,11.6,19,74,6,Lincoln County,Georgia
