date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,5,8,8,5,10,11,11,198,1012,18,7.4,0.0,7.1,7,84,3,Lincoln County,Missouri
2020-03-02,11,11,4,6,6,5,8,7,7,347,1009,10,12.6,0.0,11.2,4,76,3,Lincoln County,Missouri
2020-03-03,13,13,3,6,6,6,8,9,9,283,1009,13,1.2,0.0,11.3,1,66,3,Lincoln County,Missouri
2020-03-04,12,12,6,6,6,6,8,9,8,334,1016,14,0.0,0.0,10.2,2,64,2,Lincoln County,Missouri
2020-03-05,13,13,4,5,5,6,8,10,12,276,1019,19,0.0,0.0,11.6,0,61,3,Lincoln County,Missouri
2020-03-06,8,8,0,0,0,6,4,4,12,331,1030,17,0.0,0.0,11.6,-4,59,2,Lincoln County,Missouri
2020-03-07,14,14,0,4,4,6,6,8,9,172,1031,14,0.0,0.0,10.2,-1,60,3,Lincoln County,Missouri
2020-03-08,18,18,5,9,9,6,11,12,12,192,1023,21,0.0,0.0,11.6,3,61,4,Lincoln County,Missouri
2020-03-09,14,14,12,11,11,4,13,13,14,189,1017,24,17.5,0.0,5.9,10,82,3,Lincoln County,Missouri
2020-03-10,12,12,4,5,5,5,7,8,8,322,1023,11,6.9,0.0,8.8,4,79,2,Lincoln County,Missouri
2020-03-11,17,17,4,9,9,5,10,12,4,300,1017,6,0.0,0.0,11.6,6,79,4,Lincoln County,Missouri
2020-03-12,17,17,9,11,11,3,12,14,10,186,1008,17,10.1,0.0,6.0,11,91,3,Lincoln County,Missouri
2020-03-13,10,10,3,4,4,6,6,7,8,134,1026,12,0.0,0.0,10.2,-1,61,3,Lincoln County,Missouri
2020-03-14,3,3,2,-1,-1,4,3,2,10,71,1031,14,13.5,0.0,6.0,1,86,1,Lincoln County,Missouri
2020-03-15,5,5,0,0,0,6,3,3,7,61,1034,10,0.3,0.0,6.0,0,81,1,Lincoln County,Missouri
2020-03-16,5,5,-3,1,1,5,3,4,3,178,1027,5,5.9,0.0,6.0,2,88,1,Lincoln County,Missouri
2020-03-17,10,10,4,6,6,6,7,8,4,169,1025,6,0.0,0.0,8.8,3,79,2,Lincoln County,Missouri
2020-03-18,11,11,6,7,7,3,8,8,6,103,1018,10,20.8,0.0,6.0,7,94,2,Lincoln County,Missouri
2020-03-19,21,21,9,15,15,5,16,17,11,189,1011,21,14.8,0.0,7.4,14,91,4,Lincoln County,Missouri
2020-03-20,9,9,3,5,5,6,8,6,14,343,1023,20,0.1,0.0,6.1,4,77,2,Lincoln County,Missouri
2020-03-21,8,8,-1,1,1,6,3,4,6,68,1033,9,0.1,0.0,10.2,-3,66,1,Lincoln County,Missouri
2020-03-22,3,3,-5,-3,-3,4,1,1,7,127,1027,10,8.8,0.0,6.1,0,89,1,Lincoln County,Missouri
2020-03-23,11,11,1,5,5,4,6,7,4,39,1022,6,0.0,0.0,8.8,3,87,2,Lincoln County,Missouri
2020-03-24,9,9,3,4,4,3,6,7,7,91,1016,10,1.9,0.0,6.1,4,88,2,Lincoln County,Missouri
2020-03-25,18,18,3,9,9,4,10,12,7,170,1013,11,0.0,0.0,11.6,7,85,4,Lincoln County,Missouri
2020-03-26,25,25,9,14,14,5,16,17,9,199,1007,14,1.4,0.0,9.0,12,85,4,Lincoln County,Missouri
2020-03-27,21,21,12,15,15,5,17,17,7,101,1006,12,4.1,0.0,6.3,15,92,4,Lincoln County,Missouri
2020-03-28,22,22,15,19,19,5,20,21,13,192,1002,24,9.6,0.0,9.0,15,79,5,Lincoln County,Missouri
2020-03-29,16,16,8,9,9,6,12,13,17,270,1012,25,0.0,0.0,11.6,5,63,4,Lincoln County,Missouri
2020-03-30,17,17,6,11,11,6,11,13,5,328,1021,9,0.0,0.0,11.6,3,59,4,Lincoln County,Missouri
2020-03-31,15,15,7,9,9,6,10,11,7,250,1016,11,0.0,0.0,10.3,5,72,3,Lincoln County,Missouri
2020-04-01,16,16,3,8,8,6,9,10,6,127,1017,9,0.0,0.0,11.6,4,72,4,Lincoln County,Missouri
2020-04-02,19,19,8,11,11,6,13,14,10,147,1017,16,0.0,0.0,9.0,7,71,3,Lincoln County,Missouri
2020-04-03,17,17,4,12,12,5,13,15,9,201,1017,14,4.4,0.0,6.4,10,85,3,Lincoln County,Missouri
2020-04-04,13,13,1,4,4,5,6,7,8,245,1021,11,2.7,0.0,9.0,2,77,2,Lincoln County,Missouri
2020-04-05,17,17,5,10,10,6,10,12,4,107,1020,6,0.0,0.0,7.7,6,74,3,Lincoln County,Missouri
2020-04-06,22,22,10,15,15,6,17,17,8,194,1016,12,0.5,0.0,6.5,12,80,4,Lincoln County,Missouri
2020-04-07,24,24,15,19,19,5,20,20,10,228,1009,15,0.4,0.0,9.0,17,86,4,Lincoln County,Missouri
2020-04-08,28,28,15,21,22,4,22,23,9,156,1006,15,1.9,0.0,11.6,14,73,6,Lincoln County,Missouri
2020-04-09,13,13,5,7,7,6,9,11,13,294,1014,19,0.0,0.0,11.6,1,59,4,Lincoln County,Missouri
2020-04-10,12,12,-1,3,3,6,5,7,6,300,1020,10,0.0,0.0,11.6,-4,54,3,Lincoln County,Missouri
2020-04-11,15,15,5,9,9,6,11,12,10,183,1011,15,1.0,0.0,9.1,5,67,3,Lincoln County,Missouri
2020-04-12,19,19,10,14,14,5,15,16,13,172,1001,19,17.8,0.0,6.5,12,90,4,Lincoln County,Missouri
2020-04-13,7,7,0,-1,-1,5,4,4,15,313,1017,20,3.8,0.0,11.6,-4,62,2,Lincoln County,Missouri
2020-04-14,8,8,-1,1,1,6,4,5,7,294,1024,10,0.0,0.0,11.6,-6,50,2,Lincoln County,Missouri
