date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,2,2,2,6,4,6,8,343,1029,13,0.6,0.0,5.8,1,80,2,Lincoln County,Oregon
2020-03-02,8,8,3,4,4,3,6,7,5,196,1029,8,2.5,0.0,5.8,5,89,2,Lincoln County,Oregon
2020-03-03,11,11,4,7,7,4,8,9,5,259,1025,7,0.4,0.0,5.8,7,89,2,Lincoln County,Oregon
2020-03-04,12,12,4,6,6,5,8,9,6,231,1024,9,0.4,0.0,11.6,4,77,3,Lincoln County,Oregon
2020-03-05,11,11,5,6,6,5,8,9,8,199,1018,12,0.9,0.0,8.7,5,84,2,Lincoln County,Oregon
2020-03-06,7,7,3,4,4,5,5,5,4,242,1017,6,7.9,0.0,5.8,2,83,2,Lincoln County,Oregon
2020-03-07,7,7,3,2,2,5,4,5,5,186,1013,8,5.9,0.0,5.9,2,86,1,Lincoln County,Oregon
2020-03-08,9,9,1,3,3,6,5,6,5,250,1017,9,0.0,0.0,7.3,1,76,2,Lincoln County,Oregon
2020-03-09,11,11,2,4,4,6,6,8,5,256,1023,9,0.0,0.0,11.6,2,76,3,Lincoln County,Oregon
2020-03-10,11,11,3,5,5,6,7,9,4,236,1024,8,0.0,0.0,11.6,2,72,3,Lincoln County,Oregon
2020-03-11,9,9,3,4,4,4,7,8,9,348,1025,13,0.5,0.0,8.8,3,81,2,Lincoln County,Oregon
2020-03-12,10,10,2,1,1,6,5,7,12,236,1025,19,0.0,0.0,11.6,1,75,3,Lincoln County,Oregon
2020-03-13,8,8,2,2,2,4,4,5,5,130,1008,8,18.3,0.0,7.4,2,87,2,Lincoln County,Oregon
2020-03-14,7,7,3,2,2,5,4,6,5,152,1009,8,6.1,0.0,7.4,3,88,2,Lincoln County,Oregon
2020-03-15,9,9,0,1,1,6,4,6,8,40,1015,12,0.1,0.0,8.8,-3,63,3,Lincoln County,Oregon
2020-03-16,13,13,0,3,3,6,6,9,8,34,1018,14,0.0,0.0,11.6,0,65,3,Lincoln County,Oregon
2020-03-17,9,9,3,5,5,6,6,7,5,279,1012,7,0.2,0.0,10.2,2,77,2,Lincoln County,Oregon
2020-03-18,11,11,5,7,7,6,7,9,4,252,1012,5,0.2,0.0,11.6,3,75,3,Lincoln County,Oregon
2020-03-19,11,11,4,6,6,6,7,9,4,252,1017,6,0.0,0.0,11.6,4,81,3,Lincoln County,Oregon
2020-03-20,12,12,4,6,6,6,8,10,6,344,1024,10,0.0,0.0,11.6,5,83,3,Lincoln County,Oregon
2020-03-21,11,11,5,5,5,6,7,9,7,335,1024,12,0.0,0.0,11.6,4,85,3,Lincoln County,Oregon
2020-03-22,12,12,3,7,7,6,8,10,4,270,1018,7,0.1,0.0,10.2,4,81,2,Lincoln County,Oregon
2020-03-23,8,8,6,4,4,5,7,7,11,246,1014,16,9.0,0.0,7.5,4,82,2,Lincoln County,Oregon
2020-03-24,9,9,4,3,3,5,6,7,9,225,1016,13,9.0,0.0,6.1,3,84,2,Lincoln County,Oregon
2020-03-25,9,9,2,4,4,5,5,7,4,278,1019,6,2.2,0.0,8.9,2,79,2,Lincoln County,Oregon
2020-03-26,9,9,2,4,4,6,5,7,5,236,1020,8,0.1,0.0,6.2,2,78,2,Lincoln County,Oregon
2020-03-27,8,8,1,4,4,4,6,7,9,181,1019,13,4.2,0.0,6.2,5,87,2,Lincoln County,Oregon
2020-03-28,9,9,8,6,6,2,8,9,11,180,1017,17,3.4,0.0,6.2,7,94,2,Lincoln County,Oregon
2020-03-29,11,11,6,6,6,5,9,10,13,213,1014,19,14.3,0.0,6.2,8,92,2,Lincoln County,Oregon
2020-03-30,8,8,3,4,4,4,8,8,17,237,1015,24,16.9,0.0,6.4,6,84,2,Lincoln County,Oregon
2020-03-31,9,9,4,3,3,5,6,8,11,276,1020,17,7.7,0.0,7.7,3,80,2,Lincoln County,Oregon
2020-04-01,9,9,4,4,4,5,6,7,6,281,1020,11,9.1,0.0,7.7,3,83,2,Lincoln County,Oregon
2020-04-02,9,9,2,4,4,6,5,7,5,292,1024,7,1.4,0.0,7.7,1,78,2,Lincoln County,Oregon
2020-04-03,8,8,2,3,3,6,5,7,6,225,1020,9,1.4,0.0,7.8,1,80,2,Lincoln County,Oregon
2020-04-04,8,8,-3,2,2,4,4,5,5,136,1006,8,2.8,0.0,7.8,2,85,2,Lincoln County,Oregon
2020-04-05,10,10,6,6,6,5,8,9,6,223,1001,9,7.5,0.0,6.5,6,90,2,Lincoln County,Oregon
2020-04-06,11,11,5,6,6,6,8,10,8,326,1014,12,0.0,0.0,11.6,5,83,3,Lincoln County,Oregon
2020-04-07,11,11,4,5,5,6,7,9,9,343,1023,14,0.0,0.0,11.6,4,82,3,Lincoln County,Oregon
2020-04-08,13,13,5,7,7,6,9,11,8,343,1021,14,0.0,0.0,11.6,5,76,4,Lincoln County,Oregon
2020-04-09,14,14,7,8,8,6,10,12,10,342,1018,15,0.0,0.0,11.6,6,76,4,Lincoln County,Oregon
2020-04-10,12,12,6,7,7,5,9,11,9,332,1020,14,0.0,0.0,6.6,7,90,3,Lincoln County,Oregon
2020-04-11,11,11,6,6,6,6,8,10,7,322,1021,10,0.0,0.0,10.4,5,79,2,Lincoln County,Oregon
2020-04-12,13,13,5,7,7,6,9,12,7,341,1022,11,0.0,0.0,10.4,3,68,3,Lincoln County,Oregon
2020-04-13,15,15,5,9,9,6,11,12,7,242,1027,12,0.0,0.0,11.6,0,53,4,Lincoln County,Oregon
2020-04-14,12,12,5,7,7,4,9,10,5,306,1028,7,0.0,0.0,9.2,4,73,3,Lincoln County,Oregon
2020-04-15,12,12,7,9,9,2,10,11,6,322,1024,9,0.3,0.0,8.0,8,92,3,Lincoln County,Oregon
2020-04-16,18,18,8,12,12,6,14,16,11,51,1019,19,0.0,0.0,11.6,3,55,5,Lincoln County,Oregon
2020-04-17,17,17,7,10,10,5,11,14,7,233,1014,11,0.0,0.0,11.6,3,62,4,Lincoln County,Oregon
2020-04-18,12,12,7,8,8,4,9,11,6,231,1016,8,2.9,0.0,6.9,8,90,3,Lincoln County,Oregon
2020-04-19,13,13,7,9,9,4,10,12,4,290,1018,7,0.4,0.0,9.3,7,85,3,Lincoln County,Oregon
2020-04-20,13,13,6,8,8,5,9,12,5,314,1020,6,0.0,0.0,11.6,6,83,4,Lincoln County,Oregon
2020-04-21,13,13,8,9,9,6,10,11,4,232,1025,6,0.1,0.0,10.4,7,81,3,Lincoln County,Oregon
2020-04-22,12,12,9,8,8,5,11,11,12,214,1021,19,19.3,0.0,7.0,10,94,3,Lincoln County,Oregon
2020-04-23,13,13,8,10,10,4,10,12,5,280,1026,6,0.3,0.0,11.6,7,81,4,Lincoln County,Oregon
2020-04-24,12,12,8,9,9,2,10,11,6,169,1022,10,6.0,0.0,7.0,9,93,3,Lincoln County,Oregon
2020-04-25,13,13,7,10,10,4,11,12,6,268,1020,10,8.8,0.0,9.3,10,92,3,Lincoln County,Oregon
2020-04-26,14,14,5,9,9,6,10,12,7,227,1019,11,1.9,0.0,10.5,4,70,4,Lincoln County,Oregon
2020-04-27,12,12,9,10,10,4,11,12,8,231,1020,13,9.0,0.0,8.2,10,96,3,Lincoln County,Oregon
2020-04-28,16,16,8,12,12,5,12,15,5,253,1022,7,0.0,0.0,10.5,10,83,4,Lincoln County,Oregon
2020-04-29,15,15,10,11,11,4,12,13,8,203,1016,12,4.5,0.0,8.2,10,89,3,Lincoln County,Oregon
2020-04-30,13,13,7,9,9,6,10,12,6,251,1021,9,1.4,0.0,9.3,7,81,3,Lincoln County,Oregon
2020-05-01,14,14,6,8,8,6,10,12,7,191,1017,11,2.7,0.0,7.1,6,77,3,Lincoln County,Oregon
2020-05-02,12,12,7,9,9,5,10,11,9,236,1014,14,11.8,0.0,8.2,9,90,3,Lincoln County,Oregon
2020-05-03,12,12,6,7,7,5,9,11,6,248,1024,9,3.8,0.0,7.1,5,80,3,Lincoln County,Oregon
2020-05-04,14,14,6,8,8,5,10,12,7,213,1022,11,0.5,0.0,10.5,4,71,3,Lincoln County,Oregon
2020-05-05,15,15,7,10,10,6,11,13,7,222,1021,10,1.4,0.0,11.3,8,83,3,Lincoln County,Oregon
2020-05-06,14,14,6,9,9,5,10,12,6,297,1030,9,7.4,0.0,12.4,6,78,3,Lincoln County,Oregon
2020-05-07,18,18,6,12,12,6,13,15,8,235,1023,13,0.0,0.0,12.4,4,56,4,Lincoln County,Oregon
2020-05-08,24,24,10,17,17,6,19,21,5,32,1016,10,0.0,0.0,14.5,7,55,6,Lincoln County,Oregon
2020-05-09,19,19,11,15,15,6,15,17,5,238,1013,8,0.0,0.0,13.4,9,71,4,Lincoln County,Oregon
2020-05-10,19,19,10,13,13,6,14,16,5,241,1010,8,0.0,0.0,14.5,10,81,4,Lincoln County,Oregon
2020-05-11,15,15,10,12,12,5,13,14,5,173,1007,9,0.6,0.0,10.3,9,78,3,Lincoln County,Oregon
2020-05-12,12,12,10,9,9,5,11,12,12,193,1007,19,14.7,0.0,9.3,10,92,3,Lincoln County,Oregon
2020-05-13,12,12,9,8,8,5,11,11,11,180,1012,16,16.7,0.0,9.3,9,92,3,Lincoln County,Oregon
2020-05-14,14,14,8,10,10,5,11,12,7,226,1017,10,13.1,0.0,11.4,9,90,3,Lincoln County,Oregon
2020-05-15,16,16,7,11,11,6,12,14,4,304,1018,7,0.0,0.0,14.5,6,73,4,Lincoln County,Oregon
2020-05-16,13,13,10,11,11,4,12,13,7,200,1007,11,2.0,0.0,10.4,8,78,3,Lincoln County,Oregon
2020-05-17,14,14,8,10,10,5,11,13,8,180,1006,13,8.0,0.0,9.3,9,89,3,Lincoln County,Oregon
2020-05-18,14,14,10,11,11,5,12,13,5,327,1011,8,2.0,0.0,10.4,10,87,3,Lincoln County,Oregon
2020-05-19,13,13,10,10,10,6,11,12,6,312,1018,9,4.7,0.0,9.4,9,89,3,Lincoln County,Oregon
2020-05-20,14,14,10,11,11,5,12,13,7,251,1021,10,1.9,0.0,9.4,9,84,3,Lincoln County,Oregon
2020-05-21,12,12,8,8,8,5,10,11,9,289,1020,13,7.5,0.0,10.4,7,83,3,Lincoln County,Oregon
2020-05-22,13,13,6,8,8,6,10,12,7,316,1021,10,5.5,0.0,10.4,6,79,3,Lincoln County,Oregon
2020-05-23,13,13,6,9,9,6,10,12,6,330,1022,9,0.0,0.0,14.5,6,78,4,Lincoln County,Oregon
2020-05-24,16,16,8,12,12,6,12,15,4,321,1021,5,0.0,0.0,12.5,8,74,3,Lincoln County,Oregon
2020-05-25,17,17,11,14,14,5,14,16,4,300,1019,6,0.0,0.0,10.5,11,82,4,Lincoln County,Oregon
2020-05-26,17,17,10,14,14,4,14,16,8,337,1019,11,0.0,0.0,13.5,11,83,5,Lincoln County,Oregon
2020-05-27,19,19,10,15,15,6,15,18,8,337,1018,12,0.0,0.0,14.5,10,73,5,Lincoln County,Oregon
2020-05-28,19,19,11,15,15,6,15,18,7,317,1015,10,0.0,0.0,14.5,11,77,5,Lincoln County,Oregon
2020-05-29,17,17,11,12,12,6,13,16,11,338,1013,16,0.0,0.0,14.5,10,81,5,Lincoln County,Oregon
2020-05-30,13,13,7,9,9,5,11,12,10,329,1013,14,2.8,0.0,9.5,9,88,3,Lincoln County,Oregon
2020-05-31,14,14,8,10,10,6,11,13,7,333,1019,10,0.9,0.0,9.5,7,77,3,Lincoln County,Oregon
2020-06-01,15,15,6,10,10,6,11,14,9,337,1021,14,0.0,0.0,14.5,7,74,4,Lincoln County,Oregon
2020-06-02,16,16,8,11,11,6,12,15,7,330,1023,11,0.0,0.0,14.5,7,73,4,Lincoln County,Oregon
2020-06-03,15,15,8,10,10,5,12,14,10,341,1022,14,0.0,0.0,14.5,8,81,4,Lincoln County,Oregon
2020-06-04,16,16,7,11,11,6,12,14,9,340,1018,13,0.0,0.0,14.5,8,79,4,Lincoln County,Oregon
2020-06-05,13,13,9,10,10,4,11,13,7,317,1010,10,0.0,0.0,14.5,9,85,4,Lincoln County,Oregon
2020-06-06,13,13,8,9,9,6,10,12,7,243,1012,11,7.9,0.0,10.5,9,89,3,Lincoln County,Oregon
2020-06-07,13,13,6,9,9,6,10,12,8,304,1019,12,6.4,0.0,11.5,8,89,3,Lincoln County,Oregon
2020-06-08,14,14,9,10,10,5,11,13,6,223,1024,9,1.6,0.0,12.7,8,82,3,Lincoln County,Oregon
2020-06-09,13,13,10,10,10,3,12,12,10,178,1021,15,8.9,0.0,11.8,11,95,3,Lincoln County,Oregon
2020-06-10,17,17,11,15,15,4,15,16,7,211,1019,10,1.8,0.0,13.7,13,87,4,Lincoln County,Oregon
2020-06-11,18,18,12,14,14,5,14,16,4,313,1018,6,1.9,0.0,12.7,11,82,4,Lincoln County,Oregon
2020-06-12,15,15,9,12,12,5,13,13,4,244,1018,6,3.1,0.0,13.7,11,88,3,Lincoln County,Oregon
2020-06-13,13,13,7,9,9,6,11,12,7,220,1017,11,5.6,0.0,11.8,10,91,3,Lincoln County,Oregon
2020-06-14,16,16,9,12,12,6,13,14,5,228,1017,7,2.6,0.0,14.6,9,78,3,Lincoln County,Oregon
2020-06-15,15,15,11,12,12,5,13,14,9,253,1016,13,10.6,0.0,12.7,10,85,3,Lincoln County,Oregon
2020-06-16,16,16,10,12,12,6,13,14,5,253,1019,8,4.5,0.0,13.7,10,84,3,Lincoln County,Oregon
2020-06-17,17,17,8,12,12,6,13,15,9,337,1025,12,0.0,0.0,15.7,9,80,5,Lincoln County,Oregon
2020-06-18,19,19,10,14,14,6,15,18,9,342,1021,14,0.0,0.0,15.7,11,78,5,Lincoln County,Oregon
2020-06-19,20,20,12,15,15,6,16,18,5,323,1015,8,0.0,0.0,15.7,12,82,5,Lincoln County,Oregon
2020-06-20,15,15,13,14,14,2,14,15,5,223,1017,8,1.6,0.0,11.8,13,96,3,Lincoln County,Oregon
2020-06-21,17,17,11,14,14,5,15,16,8,332,1021,11,0.5,0.0,15.5,11,82,5,Lincoln County,Oregon
2020-06-22,21,21,10,15,15,6,16,19,8,342,1020,13,0.0,0.0,15.7,11,74,5,Lincoln County,Oregon
