date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-9,-7,-7,6,-3,-2,7,252,1020,13,0.0,0.0,10.1,-5,87,1,Livingston County,New York
2020-03-02,8,8,1,1,1,5,5,6,14,217,1008,26,2.7,0.0,5.8,3,86,2,Livingston County,New York
2020-03-03,8,8,1,2,2,2,4,5,7,164,1002,13,0.8,0.0,5.8,3,94,2,Livingston County,New York
2020-03-04,5,5,0,-3,-3,4,2,3,16,262,1008,20,0.8,0.3,5.8,-1,81,1,Livingston County,New York
2020-03-05,7,7,-3,-1,-1,6,1,3,6,260,1019,9,0.2,0.0,11.6,-4,72,2,Livingston County,New York
2020-03-06,6,6,-2,-3,-3,4,1,3,9,98,1013,13,3.2,0.9,5.9,-2,82,1,Livingston County,New York
2020-03-07,0,0,-6,-8,-8,4,-3,-3,9,303,1030,12,1.1,0.9,7.3,-5,88,1,Livingston County,New York
2020-03-08,11,11,-4,0,0,6,4,6,10,241,1027,17,0.0,0.0,11.6,-2,70,3,Livingston County,New York
2020-03-09,15,15,5,7,7,6,10,12,14,236,1023,23,0.0,0.0,11.6,4,67,4,Livingston County,New York
2020-03-10,13,13,0,5,5,4,8,11,15,248,1015,22,1.1,0.0,5.9,5,79,3,Livingston County,New York
2020-03-11,5,5,-2,-1,-1,6,1,3,5,92,1021,7,0.1,0.0,7.3,-3,73,1,Livingston County,New York
2020-03-12,12,12,-1,4,4,6,6,9,8,170,1016,13,0.0,0.0,5.9,3,79,2,Livingston County,New York
2020-03-13,12,12,1,2,2,5,7,7,20,264,1010,27,1.5,0.0,10.2,2,74,2,Livingston County,New York
2020-03-14,5,5,-1,-3,-3,6,1,3,10,292,1029,14,0.1,0.0,10.2,-3,72,1,Livingston County,New York
2020-03-15,2,2,-5,-5,-5,5,-1,0,7,24,1036,9,0.2,0.2,10.2,-7,68,1,Livingston County,New York
2020-03-16,9,9,-5,-1,-1,5,3,4,8,172,1030,12,0.2,0.0,11.6,-7,57,1,Livingston County,New York
2020-03-17,7,7,1,0,0,5,4,5,12,269,1021,16,0.4,0.0,7.4,1,81,2,Livingston County,New York
2020-03-18,9,9,-2,1,1,6,3,5,6,142,1029,9,1.0,0.0,7.4,-1,76,1,Livingston County,New York
2020-03-19,14,14,4,8,8,5,9,11,5,140,1020,8,2.6,0.0,6.0,7,87,3,Livingston County,New York
2020-03-20,19,19,6,12,12,4,14,16,19,245,1011,27,5.6,0.0,6.1,9,80,4,Livingston County,New York
2020-03-21,1,1,-4,-7,-7,5,-3,-1,9,120,1033,10,0.2,0.1,10.2,-11,54,2,Livingston County,New York
2020-03-22,5,5,-5,-3,-3,6,0,1,7,89,1036,10,0.0,0.0,11.6,-12,46,2,Livingston County,New York
2020-03-23,5,5,1,-1,-1,3,3,4,11,184,1023,16,2.4,0.3,6.1,1,88,1,Livingston County,New York
2020-03-24,6,6,0,1,1,3,3,4,4,330,1022,6,0.2,0.0,6.1,1,90,1,Livingston County,New York
2020-03-25,8,8,-1,0,0,5,3,6,8,176,1017,12,0.0,0.0,6.1,1,87,2,Livingston County,New York
2020-03-26,16,16,1,5,5,6,7,11,10,238,1013,15,0.5,0.0,8.9,5,83,3,Livingston County,New York
2020-03-27,12,12,3,6,6,6,7,7,4,234,1015,6,0.1,0.0,10.2,2,79,2,Livingston County,New York
2020-03-28,9,9,3,4,4,5,6,8,7,144,1014,11,6.7,0.0,6.2,5,89,2,Livingston County,New York
2020-03-29,20,20,7,13,13,6,15,17,14,208,1007,23,2.6,0.0,6.4,10,82,4,Livingston County,New York
2020-03-30,7,7,5,3,3,4,6,7,12,256,1011,16,1.1,0.0,6.4,4,85,2,Livingston County,New York
2020-03-31,9,9,4,4,4,4,6,7,6,66,1015,7,2.2,0.0,6.4,4,89,2,Livingston County,New York
2020-04-01,7,7,-1,0,0,5,3,4,8,119,1014,11,0.0,0.0,10.3,-2,75,2,Livingston County,New York
2020-04-02,5,5,0,0,0,5,3,4,12,331,1015,15,1.4,0.7,6.4,1,84,1,Livingston County,New York
2020-04-03,5,5,1,0,0,4,3,4,9,312,1015,12,3.7,0.0,6.5,3,94,1,Livingston County,New York
2020-04-04,11,11,4,7,7,4,7,8,2,306,1018,3,0.2,0.0,6.5,6,91,2,Livingston County,New York
2020-04-05,10,10,2,5,5,6,7,9,6,299,1018,9,0.4,0.0,6.5,5,87,2,Livingston County,New York
2020-04-06,12,12,-1,6,6,6,8,9,4,310,1020,6,0.0,0.0,11.6,-2,60,3,Livingston County,New York
2020-04-07,16,16,2,8,8,6,10,12,3,272,1011,5,2.0,0.0,10.3,2,62,3,Livingston County,New York
2020-04-08,13,13,7,9,9,4,11,11,6,303,1002,8,1.4,0.0,6.5,7,88,3,Livingston County,New York
2020-04-09,7,7,2,1,1,4,5,6,14,295,994,20,7.2,1.7,7.8,1,80,2,Livingston County,New York
2020-04-10,4,4,-2,-6,-6,3,1,2,19,301,1001,24,2.1,0.9,6.6,-2,83,1,Livingston County,New York
2020-04-11,7,7,-3,-3,-3,6,2,4,11,280,1014,17,0.2,0.0,10.3,-4,66,1,Livingston County,New York
2020-04-12,16,16,-1,5,5,6,8,11,10,187,1015,18,0.1,0.0,7.8,2,67,3,Livingston County,New York
2020-04-13,18,18,3,10,10,4,12,15,19,237,1000,28,9.2,0.0,6.6,9,83,3,Livingston County,New York
2020-04-14,6,6,0,-1,-1,6,3,5,11,266,1018,14,0.1,0.1,7.9,-5,58,1,Livingston County,New York
2020-04-15,6,6,-3,-2,-2,4,2,4,10,274,1016,13,3.0,0.9,10.4,-7,61,2,Livingston County,New York
