date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,23,23,13,17,17,6,18,18,14,203,1013,21,0.0,0.0,8.6,12,72,4,Llano County,Texas
2020-03-02,27,27,14,19,19,4,19,20,9,216,1010,14,0.0,0.0,10.1,13,73,5,Llano County,Texas
2020-03-03,22,22,17,19,19,6,20,20,9,145,1009,14,0.7,0.0,11.6,10,56,6,Llano County,Texas
2020-03-04,18,18,10,14,14,4,15,16,18,44,1011,28,31.6,0.0,5.9,13,87,4,Llano County,Texas
2020-03-05,20,20,8,12,12,6,14,14,8,341,1023,12,1.0,0.0,11.6,6,66,4,Llano County,Texas
2020-03-06,18,18,9,12,12,6,13,14,8,77,1031,12,0.0,0.0,11.6,4,56,4,Llano County,Texas
2020-03-07,16,16,9,11,11,6,12,13,10,151,1028,14,0.0,0.0,10.2,4,58,3,Llano County,Texas
2020-03-08,19,19,10,14,14,6,15,16,16,166,1022,23,0.4,0.0,5.9,11,79,4,Llano County,Texas
2020-03-09,21,21,15,18,18,5,18,19,13,196,1020,18,2.7,0.0,5.9,15,82,4,Llano County,Texas
2020-03-10,26,26,16,20,20,4,21,21,7,166,1022,11,3.0,0.0,10.2,16,80,5,Llano County,Texas
2020-03-11,28,28,18,22,23,6,23,23,10,216,1017,15,0.8,0.0,8.8,17,74,5,Llano County,Texas
2020-03-12,28,28,18,22,23,5,23,23,10,198,1011,15,0.5,0.0,11.6,17,75,6,Llano County,Texas
2020-03-13,23,23,18,20,20,6,22,21,11,154,1014,14,4.1,0.0,6.0,17,83,5,Llano County,Texas
2020-03-14,27,27,20,22,23,6,23,23,13,193,1018,17,0.7,0.0,7.4,18,79,5,Llano County,Texas
2020-03-15,20,20,15,17,17,4,17,18,9,70,1022,12,1.2,0.0,6.0,15,87,4,Llano County,Texas
2020-03-16,22,22,15,18,18,5,19,19,8,147,1020,12,1.4,0.0,7.4,16,86,4,Llano County,Texas
2020-03-17,25,25,18,21,21,5,21,22,11,148,1017,16,7.4,0.0,10.2,18,83,5,Llano County,Texas
2020-03-18,23,23,19,21,21,4,23,21,12,187,1014,19,33.4,0.0,6.0,19,87,5,Llano County,Texas
2020-03-19,26,26,19,22,22,5,22,22,11,195,1014,17,21.2,0.0,6.0,18,82,5,Llano County,Texas
2020-03-20,16,16,10,15,15,4,16,15,11,21,1022,17,23.1,0.0,6.0,12,82,4,Llano County,Texas
2020-03-21,12,12,7,8,8,5,10,10,9,51,1026,11,4.5,0.0,6.1,7,80,2,Llano County,Texas
2020-03-22,22,22,12,16,16,4,17,17,5,162,1019,7,0.8,0.0,6.1,15,91,4,Llano County,Texas
2020-03-23,24,24,15,20,20,4,21,21,8,176,1016,12,0.1,0.0,6.1,17,85,5,Llano County,Texas
2020-03-24,28,28,18,22,23,5,23,24,10,286,1012,15,0.0,0.0,11.6,13,63,6,Llano County,Texas
2020-03-25,31,31,15,23,23,6,23,24,7,203,1012,12,0.0,0.0,11.6,12,54,6,Llano County,Texas
2020-03-26,31,31,18,24,25,6,25,25,10,179,1009,16,0.0,0.0,11.6,18,75,6,Llano County,Texas
2020-03-27,29,29,19,23,25,6,25,24,12,197,1007,18,0.6,0.0,8.9,18,73,5,Llano County,Texas
2020-03-28,22,22,17,20,20,6,21,20,12,308,1011,18,3.3,0.0,8.9,9,53,5,Llano County,Texas
2020-03-29,23,23,11,17,17,6,17,18,6,84,1018,9,0.2,0.0,11.6,4,44,5,Llano County,Texas
2020-03-30,19,19,11,16,16,6,17,18,8,142,1014,13,1.9,0.0,6.1,14,80,4,Llano County,Texas
2020-03-31,22,22,12,16,16,6,18,16,11,12,1016,18,0.0,0.0,10.2,9,64,4,Llano County,Texas
2020-04-01,23,23,10,16,16,5,17,17,10,155,1015,15,0.0,0.0,11.6,11,73,5,Llano County,Texas
2020-04-02,20,20,15,17,17,6,18,18,13,165,1011,19,4.7,0.0,6.2,16,87,4,Llano County,Texas
2020-04-03,27,27,10,19,19,5,19,22,10,140,1013,14,8.6,0.0,6.2,16,83,5,Llano County,Texas
2020-04-04,14,14,7,9,9,5,10,10,8,37,1018,10,6.0,0.0,6.2,7,81,2,Llano County,Texas
2020-04-05,20,20,11,15,15,5,16,16,5,144,1017,8,0.2,0.0,6.2,13,86,4,Llano County,Texas
2020-04-06,23,23,15,19,19,4,20,20,8,185,1015,12,0.1,0.0,7.6,17,87,5,Llano County,Texas
2020-04-07,31,31,19,24,25,5,25,25,10,231,1013,16,0.1,0.0,11.6,19,75,7,Llano County,Texas
2020-04-08,31,31,21,26,27,5,27,27,7,271,1011,12,2.9,0.0,11.6,19,71,6,Llano County,Texas
2020-04-09,28,28,17,21,22,5,22,23,7,187,1011,12,15.1,0.0,7.7,17,79,5,Llano County,Texas
2020-04-10,19,19,15,17,17,6,17,17,9,84,1016,13,0.1,0.0,6.4,14,86,4,Llano County,Texas
2020-04-11,22,22,16,18,18,5,19,19,11,147,1009,17,9.6,0.0,6.4,17,92,4,Llano County,Texas
2020-04-12,24,24,19,21,21,5,22,22,16,266,1003,23,15.8,0.0,11.6,12,63,6,Llano County,Texas
2020-04-13,15,15,5,7,7,6,10,10,12,25,1020,16,0.0,0.0,11.6,2,60,3,Llano County,Texas
2020-04-14,14,14,5,6,6,6,9,10,11,27,1022,15,0.0,0.0,9.0,4,69,2,Llano County,Texas
2020-04-15,18,18,2,10,10,6,11,11,5,100,1021,9,0.0,0.0,11.6,4,68,4,Llano County,Texas
2020-04-16,22,22,8,14,14,6,15,16,12,169,1018,18,0.0,0.0,11.6,11,75,5,Llano County,Texas
2020-04-17,21,21,7,14,14,4,15,17,9,207,1017,13,1.4,0.0,6.5,13,83,4,Llano County,Texas
2020-04-18,21,21,10,14,14,6,15,16,8,104,1016,11,1.1,0.0,6.5,10,74,4,Llano County,Texas
2020-04-19,29,29,16,23,23,5,23,25,10,275,1007,14,0.2,0.0,9.1,12,60,5,Llano County,Texas
