date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,24,24,13,17,17,6,18,19,18,201,1009,26,0.0,0.0,10.2,11,69,4,Love County,Oklahoma
2020-03-02,19,19,14,15,15,6,16,16,8,307,1008,13,0.0,0.0,10.2,8,61,5,Love County,Oklahoma
2020-03-03,19,19,12,15,15,6,15,15,5,65,1011,8,0.0,0.0,11.6,7,59,5,Love County,Oklahoma
2020-03-04,14,14,11,11,11,5,13,13,9,42,1016,14,14.3,0.0,8.7,8,72,3,Love County,Oklahoma
2020-03-05,20,20,7,12,12,6,13,14,8,318,1023,13,0.0,0.0,11.6,2,50,4,Love County,Oklahoma
2020-03-06,16,16,6,10,10,6,11,11,7,64,1033,11,0.0,0.0,11.6,-3,40,4,Love County,Oklahoma
2020-03-07,16,16,7,10,10,6,12,12,12,162,1028,18,0.0,0.0,11.6,2,53,4,Love County,Oklahoma
2020-03-08,16,16,8,10,10,6,12,12,15,184,1022,23,0.1,0.0,5.9,8,75,3,Love County,Oklahoma
2020-03-09,26,26,15,19,19,5,20,20,18,218,1017,26,1.5,0.0,8.8,12,70,4,Love County,Oklahoma
2020-03-10,23,23,8,14,14,6,15,15,8,116,1023,12,0.0,0.0,11.6,8,64,4,Love County,Oklahoma
2020-03-11,25,25,18,21,21,6,21,22,11,265,1014,17,1.2,0.0,11.6,14,68,5,Love County,Oklahoma
2020-03-12,29,29,19,23,24,6,24,25,13,262,1008,20,0.3,0.0,11.6,14,60,7,Love County,Oklahoma
2020-03-13,13,13,12,12,12,5,14,13,16,71,1017,22,15.9,0.0,6.0,11,82,3,Love County,Oklahoma
2020-03-14,22,22,12,17,17,5,18,20,10,260,1019,16,13.1,0.0,6.0,15,90,4,Love County,Oklahoma
2020-03-15,13,13,8,9,9,6,11,10,10,37,1027,14,1.2,0.0,6.0,8,83,3,Love County,Oklahoma
2020-03-16,20,20,11,13,13,4,14,15,9,150,1022,13,14.3,0.0,6.0,13,90,3,Love County,Oklahoma
2020-03-17,16,16,9,13,13,3,14,14,10,85,1019,15,7.1,0.0,6.0,14,94,3,Love County,Oklahoma
2020-03-18,24,24,17,21,21,4,21,22,13,194,1013,20,29.8,0.0,7.4,18,86,5,Love County,Oklahoma
2020-03-19,25,25,18,21,22,4,22,23,19,223,1012,31,31.2,0.0,11.6,15,70,5,Love County,Oklahoma
2020-03-20,14,14,9,12,12,6,13,12,13,128,1025,19,0.0,0.0,10.2,5,60,3,Love County,Oklahoma
2020-03-21,15,15,4,7,7,6,9,9,8,66,1029,12,2.0,0.0,11.6,3,69,3,Love County,Oklahoma
2020-03-22,18,18,11,14,14,4,14,15,6,177,1019,8,10.0,0.0,6.1,12,91,3,Love County,Oklahoma
2020-03-23,20,20,12,15,15,4,16,16,9,138,1016,13,0.1,0.0,6.1,14,89,4,Love County,Oklahoma
2020-03-24,25,25,17,21,21,5,21,22,12,282,1009,18,5.9,0.0,11.6,14,70,6,Love County,Oklahoma
2020-03-25,26,26,13,19,19,6,20,21,10,176,1011,17,0.0,0.0,11.6,14,71,6,Love County,Oklahoma
2020-03-26,31,31,19,24,26,6,26,26,14,209,1006,23,0.0,0.0,11.6,19,72,7,Love County,Oklahoma
2020-03-27,26,26,21,23,25,6,25,24,15,193,1005,22,0.2,0.0,10.2,19,78,5,Love County,Oklahoma
2020-03-28,22,22,16,20,20,6,20,20,15,269,1008,23,1.5,0.0,11.6,7,48,5,Love County,Oklahoma
2020-03-29,21,21,8,14,14,6,15,15,6,123,1020,10,0.0,0.0,7.5,5,53,4,Love County,Oklahoma
2020-03-30,15,15,9,12,12,5,14,14,11,121,1017,17,9.2,0.0,6.2,10,77,3,Love County,Oklahoma
2020-03-31,19,19,10,13,13,6,14,15,10,20,1017,13,0.0,0.0,10.2,9,75,3,Love County,Oklahoma
2020-04-01,20,20,10,14,14,6,15,16,11,166,1015,16,0.0,0.0,8.9,10,74,4,Love County,Oklahoma
2020-04-02,20,20,14,16,16,6,17,17,17,177,1010,25,5.6,0.0,6.2,14,85,4,Love County,Oklahoma
2020-04-03,17,17,5,8,8,5,11,10,13,239,1016,18,9.0,0.0,6.2,9,86,3,Love County,Oklahoma
2020-04-04,13,13,3,5,5,6,7,8,9,134,1020,11,0.8,0.0,6.2,3,73,2,Love County,Oklahoma
2020-04-05,20,20,8,13,13,5,13,14,6,167,1018,9,0.0,0.0,6.2,11,85,3,Love County,Oklahoma
2020-04-06,21,21,13,17,17,4,18,18,11,184,1015,16,0.2,0.0,6.2,15,89,4,Love County,Oklahoma
2020-04-07,29,29,18,23,23,6,23,24,10,229,1010,16,0.9,0.0,11.6,17,74,6,Love County,Oklahoma
2020-04-08,31,31,18,24,25,6,25,25,9,246,1008,15,0.0,0.0,11.6,15,59,7,Love County,Oklahoma
2020-04-09,21,21,15,18,18,6,19,19,14,62,1014,19,0.0,0.0,11.6,10,60,5,Love County,Oklahoma
2020-04-10,20,20,10,14,14,6,15,15,10,111,1018,15,0.0,0.0,11.6,6,54,5,Love County,Oklahoma
2020-04-11,19,19,13,15,15,5,16,17,13,176,1009,22,17.9,0.0,6.3,13,83,4,Love County,Oklahoma
2020-04-12,25,25,18,21,21,5,22,22,16,225,1000,25,14.6,0.0,6.3,14,76,5,Love County,Oklahoma
2020-04-13,11,11,2,2,2,6,6,6,14,21,1022,19,0.0,0.0,11.6,-3,54,3,Love County,Oklahoma
2020-04-14,10,10,2,2,2,6,6,6,10,126,1025,13,0.0,0.0,6.7,1,71,2,Love County,Oklahoma
2020-04-15,15,15,1,7,7,6,8,9,6,211,1022,9,0.0,0.0,11.6,1,65,3,Love County,Oklahoma
2020-04-16,20,20,7,12,12,6,13,14,15,175,1017,23,0.0,0.0,11.6,7,68,4,Love County,Oklahoma
2020-04-17,16,16,8,11,11,5,12,12,13,234,1018,19,0.3,0.0,8.0,9,79,3,Love County,Oklahoma
2020-04-18,20,20,4,10,10,6,11,12,7,139,1017,10,0.3,0.0,10.4,7,74,3,Love County,Oklahoma
2020-04-19,23,23,13,16,16,6,17,19,8,211,1006,14,2.8,0.0,8.0,15,90,4,Love County,Oklahoma
2020-04-20,24,24,11,17,17,6,19,19,4,131,1011,8,0.1,0.0,11.6,13,77,5,Love County,Oklahoma
2020-04-21,25,25,13,19,19,6,20,20,9,124,1013,14,1.4,0.0,10.4,14,76,5,Love County,Oklahoma
2020-04-22,28,28,16,21,21,5,22,21,15,179,1004,26,17.7,0.0,6.8,16,83,5,Love County,Oklahoma
2020-04-23,26,26,12,19,19,6,20,20,10,310,1007,16,0.0,0.0,11.6,12,65,6,Love County,Oklahoma
2020-04-24,26,26,16,21,21,6,21,22,16,247,1005,26,0.0,0.0,11.6,13,61,6,Love County,Oklahoma
2020-04-25,22,22,11,16,16,6,17,18,11,343,1017,17,0.0,0.0,11.6,9,60,5,Love County,Oklahoma
2020-04-26,25,25,13,18,18,6,19,20,7,201,1021,11,0.0,0.0,11.6,11,61,6,Love County,Oklahoma
2020-04-27,24,24,15,20,20,6,20,20,16,188,1015,26,3.0,0.0,8.0,13,65,5,Love County,Oklahoma
2020-04-28,28,28,20,23,25,5,25,24,15,199,1009,24,14.4,0.0,6.8,20,84,5,Love County,Oklahoma
2020-04-29,21,21,13,17,17,6,18,18,14,336,1017,21,13.5,0.0,11.6,10,64,5,Love County,Oklahoma
2020-04-30,25,25,12,18,18,6,19,19,6,232,1018,9,0.0,0.0,11.6,10,62,5,Love County,Oklahoma
2020-05-01,28,28,16,21,22,6,22,23,16,191,1012,26,0.0,0.0,11.6,13,61,6,Love County,Oklahoma
2020-05-02,30,30,18,24,25,6,25,24,18,186,1010,26,0.0,0.0,11.6,19,74,6,Love County,Oklahoma
2020-05-03,33,33,22,27,30,6,30,28,13,220,1010,20,0.0,0.0,11.6,21,74,7,Love County,Oklahoma
2020-05-04,32,32,21,26,28,5,28,27,14,190,1007,21,7.3,0.0,11.6,21,78,7,Love County,Oklahoma
2020-05-05,23,23,14,18,18,5,19,19,15,13,1017,23,16.7,0.0,11.6,12,68,5,Love County,Oklahoma
2020-05-06,23,23,13,18,18,6,20,19,5,41,1022,7,0.0,0.0,11.6,10,61,5,Love County,Oklahoma
2020-05-07,26,26,12,18,18,6,19,20,14,157,1015,21,0.2,0.0,10.4,13,68,5,Love County,Oklahoma
2020-05-08,18,18,13,17,17,5,18,17,19,126,1016,26,2.5,0.0,11.6,12,71,5,Love County,Oklahoma
2020-05-09,20,20,8,13,13,6,15,15,8,147,1023,12,0.0,0.0,11.6,8,68,5,Love County,Oklahoma
2020-05-10,21,21,11,15,15,6,16,17,7,149,1024,11,0.1,0.0,10.4,11,73,4,Love County,Oklahoma
2020-05-11,20,20,10,15,15,6,15,16,11,123,1022,17,0.0,0.0,11.6,9,66,5,Love County,Oklahoma
2020-05-12,18,18,13,15,15,4,15,16,10,89,1016,18,52.6,0.0,7.0,15,94,4,Love County,Oklahoma
2020-05-13,26,26,17,21,21,5,22,22,12,163,1013,18,0.7,0.0,7.0,19,87,5,Love County,Oklahoma
2020-05-14,29,29,20,24,25,5,25,25,15,192,1011,22,11.3,0.0,10.4,20,81,5,Love County,Oklahoma
2020-05-15,26,26,20,23,25,5,25,24,13,183,1009,20,3.8,0.0,8.1,21,85,5,Love County,Oklahoma
2020-05-16,29,29,20,24,25,6,25,25,11,171,1008,17,5.1,0.0,7.0,20,83,5,Love County,Oklahoma
2020-05-17,27,27,19,22,23,5,23,23,8,60,1012,11,3.3,0.0,10.5,18,82,5,Love County,Oklahoma
2020-05-18,28,28,16,22,24,6,24,23,5,134,1013,8,0.0,0.0,11.6,16,71,6,Love County,Oklahoma
2020-05-19,25,25,16,21,21,6,21,22,10,75,1010,15,0.7,0.0,9.3,17,81,5,Love County,Oklahoma
2020-05-20,24,24,17,20,20,6,20,20,11,109,1011,15,3.9,0.0,7.0,17,84,4,Love County,Oklahoma
2020-05-21,26,26,18,21,21,5,23,22,11,140,1009,19,27.6,0.0,7.0,19,89,5,Love County,Oklahoma
2020-05-22,30,30,21,25,27,5,27,26,14,185,1008,22,17.8,0.0,7.0,22,85,6,Love County,Oklahoma
2020-05-23,29,29,19,24,26,4,26,25,15,183,1010,24,31.0,0.0,9.3,21,83,5,Love County,Oklahoma
2020-05-24,28,28,21,24,27,4,27,26,14,173,1009,24,43.2,0.0,9.3,21,84,6,Love County,Oklahoma
2020-05-25,19,19,13,18,18,4,18,19,9,193,1008,13,8.8,0.0,8.2,17,93,4,Love County,Oklahoma
2020-05-26,23,23,15,18,18,4,20,19,7,293,1012,10,3.5,0.0,8.2,15,83,4,Love County,Oklahoma
2020-05-27,25,25,15,20,20,6,21,21,6,322,1011,9,0.8,0.0,10.5,15,74,5,Love County,Oklahoma
2020-05-28,25,25,17,21,21,6,21,22,8,330,1014,13,1.4,0.0,11.6,16,77,5,Love County,Oklahoma
2020-05-29,27,27,17,22,23,6,23,24,9,36,1020,14,0.0,0.0,11.6,16,74,6,Love County,Oklahoma
2020-05-30,27,27,16,22,23,6,23,23,7,90,1020,12,0.0,0.0,11.6,15,69,6,Love County,Oklahoma
2020-05-31,27,27,16,22,22,6,22,23,7,114,1020,11,0.0,0.0,11.6,16,71,6,Love County,Oklahoma
2020-06-01,28,28,18,23,24,6,24,24,8,148,1019,12,0.0,0.0,11.6,17,71,6,Love County,Oklahoma
2020-06-02,29,29,19,24,25,5,25,25,7,169,1016,12,6.9,0.0,7.1,19,76,5,Love County,Oklahoma
2020-06-03,31,31,21,26,28,5,28,27,8,213,1013,13,6.1,0.0,9.3,21,75,6,Love County,Oklahoma
2020-06-04,33,33,22,28,31,6,31,29,9,206,1009,15,0.1,0.0,11.6,21,70,7,Love County,Oklahoma
2020-06-05,35,35,24,29,32,6,32,30,8,200,1011,13,0.0,0.0,11.6,22,69,8,Love County,Oklahoma
2020-06-06,34,34,23,29,32,6,32,30,5,143,1012,9,0.0,0.0,11.6,22,69,7,Love County,Oklahoma
2020-06-07,32,32,22,27,29,6,29,28,8,116,1009,12,0.0,0.0,11.6,21,69,7,Love County,Oklahoma
2020-06-08,34,34,23,28,30,6,30,29,6,342,1004,10,0.0,0.0,11.6,20,66,7,Love County,Oklahoma
2020-06-09,30,30,23,27,27,6,27,29,15,263,1004,24,0.0,0.0,11.6,14,50,7,Love County,Oklahoma
2020-06-10,28,28,16,22,22,6,22,23,13,323,1017,19,0.0,0.0,11.6,8,43,6,Love County,Oklahoma
2020-06-11,30,30,17,24,24,6,24,25,4,117,1024,7,0.0,0.0,11.6,11,49,7,Love County,Oklahoma
2020-06-12,31,31,18,25,25,6,25,26,6,167,1024,10,0.0,0.0,11.6,13,51,7,Love County,Oklahoma
2020-06-13,32,32,20,26,27,6,27,28,7,186,1019,11,0.0,0.0,11.6,15,53,7,Love County,Oklahoma
2020-06-14,31,31,20,26,27,6,27,27,8,148,1018,13,0.0,0.0,11.6,15,55,7,Love County,Oklahoma
2020-06-15,32,32,21,26,27,6,27,28,7,146,1019,12,0.0,0.0,11.6,17,59,7,Love County,Oklahoma
2020-06-16,31,31,22,27,29,5,29,28,8,163,1018,13,5.0,0.0,9.4,19,68,6,Love County,Oklahoma
2020-06-17,32,32,21,26,27,5,27,27,11,183,1015,17,7.6,0.0,11.6,19,67,6,Love County,Oklahoma
2020-06-18,32,32,21,26,28,6,28,27,13,174,1013,19,0.0,0.0,11.6,17,57,7,Love County,Oklahoma
2020-06-19,29,29,22,25,27,5,27,26,12,177,1013,21,23.7,0.0,8.2,20,72,6,Love County,Oklahoma
2020-06-20,30,30,20,25,27,4,27,26,11,202,1013,18,36.7,0.0,8.2,20,75,6,Love County,Oklahoma
2020-06-21,31,31,22,27,30,5,30,27,10,192,1011,17,15.8,0.0,8.2,22,80,6,Love County,Oklahoma
2020-06-22,29,29,19,24,26,5,26,25,9,148,1010,15,35.4,0.0,9.4,21,81,6,Love County,Oklahoma
