date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,2,7,7,6,9,11,11,202,1018,19,1.3,0.0,7.1,4,71,3,Lyon County,Kentucky
2020-03-02,18,18,12,13,13,4,14,15,11,240,1009,17,23.1,0.0,5.6,12,88,3,Lyon County,Kentucky
2020-03-03,16,16,9,12,12,5,13,13,8,288,1009,13,12.3,0.0,10.1,8,75,4,Lyon County,Kentucky
2020-03-04,14,14,7,9,9,6,10,12,6,292,1016,11,0.0,0.0,10.1,4,68,3,Lyon County,Kentucky
2020-03-05,15,15,5,8,8,6,9,11,7,223,1019,12,0.0,0.0,11.3,3,65,4,Lyon County,Kentucky
2020-03-06,9,9,2,1,1,6,5,5,12,326,1028,18,0.0,0.0,10.1,-2,64,2,Lyon County,Kentucky
2020-03-07,11,11,-1,3,3,6,4,6,5,103,1034,8,0.0,0.0,11.4,-3,63,3,Lyon County,Kentucky
2020-03-08,16,16,3,7,7,6,9,10,10,195,1029,16,0.0,0.0,10.1,2,63,3,Lyon County,Kentucky
2020-03-09,16,16,10,11,11,5,13,14,14,191,1024,23,4.2,0.0,7.2,9,78,3,Lyon County,Kentucky
2020-03-10,14,14,7,11,11,6,12,12,9,320,1022,14,2.9,0.0,5.7,10,85,3,Lyon County,Kentucky
2020-03-11,16,16,6,9,9,4,10,11,3,233,1018,5,0.7,0.0,5.7,8,88,3,Lyon County,Kentucky
2020-03-12,20,20,9,15,15,3,15,16,10,183,1010,15,4.3,0.0,5.8,13,92,4,Lyon County,Kentucky
2020-03-13,11,11,7,7,7,6,9,9,10,16,1023,14,0.0,0.0,11.5,4,69,3,Lyon County,Kentucky
2020-03-14,7,7,4,3,3,5,6,6,10,56,1028,15,29.7,0.0,5.8,2,79,2,Lyon County,Kentucky
2020-03-15,8,8,2,2,2,6,5,5,9,32,1031,12,0.0,0.0,6.0,2,85,2,Lyon County,Kentucky
2020-03-16,6,6,2,4,4,5,5,5,3,130,1027,5,2.3,0.0,10.2,3,90,2,Lyon County,Kentucky
2020-03-17,15,15,6,8,8,4,9,10,6,38,1025,9,13.5,0.0,7.4,6,85,3,Lyon County,Kentucky
2020-03-18,17,17,8,12,12,3,13,14,7,192,1020,12,20.1,0.0,6.2,12,95,3,Lyon County,Kentucky
2020-03-19,21,21,15,18,18,4,18,19,10,199,1017,18,14.0,0.0,6.2,17,93,4,Lyon County,Kentucky
2020-03-20,21,21,7,15,15,5,16,18,14,292,1020,22,9.4,0.0,6.3,13,82,4,Lyon County,Kentucky
2020-03-21,10,10,3,3,3,6,6,6,8,6,1031,12,0.0,0.0,10.3,0,68,3,Lyon County,Kentucky
2020-03-22,11,11,2,4,4,6,7,7,5,85,1026,8,1.1,0.0,10.3,3,78,2,Lyon County,Kentucky
2020-03-23,15,15,6,9,9,5,10,11,5,5,1021,7,1.7,0.0,11.6,7,82,4,Lyon County,Kentucky
2020-03-24,13,13,6,8,8,4,10,10,7,219,1015,11,18.0,0.0,7.6,8,92,3,Lyon County,Kentucky
2020-03-25,18,18,5,10,10,3,11,12,5,114,1015,9,0.0,0.0,10.3,7,81,4,Lyon County,Kentucky
