date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,0,3,3,6,7,8,15,199,1013,23,1.0,0.0,8.6,4,79,2,Macon County,Illinois
2020-03-02,10,10,4,6,6,5,8,7,9,327,1009,13,8.2,0.0,8.6,3,75,2,Macon County,Illinois
2020-03-03,12,12,3,5,5,6,7,8,11,269,1007,16,0.3,0.0,11.3,0,62,3,Macon County,Illinois
2020-03-04,9,9,5,4,4,6,7,7,10,326,1015,16,0.0,0.0,11.3,0,63,2,Macon County,Illinois
2020-03-05,12,12,3,4,4,6,7,9,14,246,1017,20,0.0,0.0,11.3,0,61,3,Macon County,Illinois
2020-03-06,6,6,-1,-3,-3,5,2,3,16,334,1028,22,0.1,0.0,11.3,-5,61,2,Macon County,Illinois
2020-03-07,10,10,-1,0,0,6,4,5,10,177,1032,15,0.0,0.0,11.4,-3,64,2,Macon County,Illinois
2020-03-08,15,15,4,5,5,6,9,10,16,192,1025,25,0.0,0.0,11.4,1,59,3,Macon County,Illinois
2020-03-09,14,14,5,9,9,4,11,12,20,190,1018,32,8.5,0.0,5.7,9,81,3,Macon County,Illinois
2020-03-10,10,10,5,6,6,6,8,8,9,329,1021,12,2.6,0.0,7.2,5,81,2,Macon County,Illinois
2020-03-11,14,14,3,7,7,6,8,9,5,239,1018,8,0.0,0.0,11.5,4,78,3,Macon County,Illinois
2020-03-12,14,14,6,8,8,4,10,11,10,167,1009,15,1.5,0.0,5.9,9,91,3,Macon County,Illinois
2020-03-13,9,9,2,2,2,6,6,6,11,320,1025,16,0.0,0.0,10.2,-2,59,2,Macon County,Illinois
2020-03-14,2,2,1,-2,-2,3,2,2,11,57,1032,15,3.8,1.6,6.0,0,87,1,Macon County,Illinois
2020-03-15,6,6,-1,-1,-1,6,3,3,9,58,1035,13,0.0,0.0,6.0,-1,80,1,Macon County,Illinois
2020-03-16,5,5,2,1,1,6,3,4,5,214,1027,8,0.1,0.0,6.0,2,87,1,Macon County,Illinois
2020-03-17,11,11,2,4,4,6,6,7,5,338,1026,8,0.0,0.0,11.6,1,70,3,Macon County,Illinois
2020-03-18,7,7,2,4,4,4,6,7,7,116,1020,11,14.5,0.0,6.0,5,90,2,Macon County,Illinois
2020-03-19,18,18,6,10,10,4,12,13,13,174,1013,22,20.4,0.0,6.0,11,94,3,Macon County,Illinois
2020-03-20,11,11,2,6,6,6,9,7,16,336,1021,23,2.3,0.0,6.3,5,77,2,Macon County,Illinois
2020-03-21,6,6,-2,-2,-2,6,1,2,8,48,1034,11,0.0,0.0,11.6,-5,63,2,Macon County,Illinois
2020-03-22,2,2,-7,-4,-4,5,-1,1,9,117,1028,12,5.6,3.9,6.3,-2,84,1,Macon County,Illinois
2020-03-23,8,8,1,2,2,4,3,4,4,120,1023,7,0.0,0.0,8.9,2,89,1,Macon County,Illinois
2020-03-24,9,9,2,3,3,5,6,7,7,96,1018,10,1.8,0.0,6.3,3,86,2,Macon County,Illinois
2020-03-25,16,16,3,9,9,4,9,11,7,190,1014,10,0.0,0.0,11.6,6,80,4,Macon County,Illinois
2020-03-26,16,16,8,10,10,5,12,13,9,160,1008,13,0.0,0.0,7.6,10,87,3,Macon County,Illinois
2020-03-27,15,15,10,10,10,4,12,13,11,80,1008,16,13.7,0.0,6.3,11,93,3,Macon County,Illinois
2020-03-28,23,23,16,20,20,5,21,21,14,203,1003,22,3.8,0.0,7.7,17,86,5,Macon County,Illinois
2020-03-29,15,15,9,8,8,6,12,11,20,257,1009,30,0.1,0.0,9.0,4,62,3,Macon County,Illinois
2020-03-30,14,14,5,7,7,6,9,10,10,305,1021,16,0.0,0.0,11.6,3,67,4,Macon County,Illinois
2020-03-31,7,7,5,3,3,6,6,6,8,150,1017,11,0.0,0.0,6.4,2,77,2,Macon County,Illinois
2020-04-01,13,13,1,6,6,6,7,8,4,162,1019,7,0.0,0.0,11.6,2,73,3,Macon County,Illinois
2020-04-02,16,16,6,9,9,6,11,12,8,149,1020,12,0.0,0.0,11.6,5,70,4,Macon County,Illinois
2020-04-03,16,16,10,11,11,4,12,13,8,176,1017,12,1.9,0.0,6.4,9,79,3,Macon County,Illinois
2020-04-04,13,13,5,6,6,4,8,8,9,349,1019,12,1.3,0.0,7.7,4,78,2,Macon County,Illinois
2020-04-05,15,15,4,8,8,6,9,10,5,60,1021,8,0.0,0.0,11.6,2,63,4,Macon County,Illinois
2020-04-06,20,20,8,13,13,6,13,14,8,194,1017,12,0.5,0.0,7.8,10,78,3,Macon County,Illinois
2020-04-07,24,24,15,19,19,5,20,20,11,230,1008,16,7.9,0.0,9.0,16,83,5,Macon County,Illinois
2020-04-08,26,26,15,21,21,4,21,21,8,148,1005,13,10.5,0.0,11.6,13,74,6,Macon County,Illinois
2020-04-09,11,11,3,4,4,6,8,9,17,298,1012,23,1.9,0.0,9.1,-1,57,2,Macon County,Illinois
2020-04-10,10,10,0,1,1,6,5,6,11,296,1019,16,0.0,0.0,11.6,-3,57,3,Macon County,Illinois
2020-04-11,15,15,5,7,7,6,10,11,13,190,1013,19,0.4,0.0,9.1,3,64,3,Macon County,Illinois
2020-04-12,17,17,11,12,12,6,14,15,13,177,1003,19,1.7,0.0,6.6,11,85,3,Macon County,Illinois
2020-04-13,7,7,2,0,0,6,5,4,19,305,1013,24,0.0,0.0,10.3,-2,64,2,Macon County,Illinois
2020-04-14,7,7,-1,0,0,6,3,4,9,283,1023,12,0.0,0.0,9.1,-7,50,1,Macon County,Illinois
2020-04-15,5,5,1,-2,-2,5,3,3,11,315,1020,16,0.9,0.3,9.1,-3,65,1,Macon County,Illinois
2020-04-16,7,7,0,1,1,5,3,4,5,140,1026,7,6.0,0.5,6.6,-1,73,1,Macon County,Illinois
2020-04-17,6,6,2,1,1,4,4,5,10,343,1017,14,6.0,0.0,6.6,2,85,2,Macon County,Illinois
2020-04-18,13,13,0,3,3,6,6,8,11,222,1017,16,0.0,0.0,11.6,1,69,3,Macon County,Illinois
2020-04-19,13,13,6,8,8,6,10,11,9,204,1010,14,0.1,0.0,9.1,5,72,3,Macon County,Illinois
2020-04-20,16,16,6,9,9,5,10,12,8,273,1008,12,1.0,0.0,9.1,5,69,3,Macon County,Illinois
2020-04-21,13,13,4,7,7,6,9,9,11,313,1014,16,0.0,0.0,11.6,2,61,3,Macon County,Illinois
2020-04-22,19,19,6,11,11,6,12,14,10,204,1013,15,0.0,0.0,11.6,7,68,4,Macon County,Illinois
2020-04-23,13,13,8,10,10,4,12,12,9,72,1005,13,21.2,0.0,6.7,11,91,3,Macon County,Illinois
2020-04-24,19,19,9,14,14,5,14,16,5,164,1009,8,13.7,0.0,9.1,11,82,4,Macon County,Illinois
2020-04-25,13,13,8,8,8,4,11,12,15,75,1008,21,28.0,0.0,6.7,10,93,3,Macon County,Illinois
2020-04-26,16,16,6,8,8,5,11,12,12,349,1019,16,7.4,0.0,10.4,5,69,3,Macon County,Illinois
2020-04-27,15,15,8,11,11,6,12,13,12,202,1019,18,0.0,0.0,10.4,7,72,4,Macon County,Illinois
2020-04-28,21,21,13,16,16,5,17,18,14,199,1010,22,40.3,0.0,11.0,14,84,4,Macon County,Illinois
2020-04-29,14,14,9,9,9,4,12,11,16,279,1002,22,20.5,0.0,8.7,9,86,3,Macon County,Illinois
