date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-5,1,1,6,2,4,3,155,1025,6,0.0,0.0,8.6,-6,60,1,Macon County,North Carolina
2020-03-02,4,4,-4,0,0,4,2,2,3,177,1018,7,8.1,0.0,7.1,1,92,1,Macon County,North Carolina
2020-03-03,11,11,5,8,8,2,9,9,4,216,1010,7,20.6,0.0,5.7,8,97,2,Macon County,North Carolina
2020-03-04,12,12,2,7,7,4,8,9,3,282,1016,5,2.2,0.0,10.2,5,83,2,Macon County,North Carolina
2020-03-05,6,6,4,5,5,3,5,5,3,86,1018,4,37.6,0.0,5.9,5,96,2,Macon County,North Carolina
2020-03-06,4,4,-2,-2,-2,4,2,2,11,310,1021,14,0.8,0.2,7.3,-1,83,1,Macon County,North Carolina
2020-03-07,13,13,-4,3,3,6,5,6,4,342,1031,5,0.0,0.0,11.6,-4,65,3,Macon County,North Carolina
2020-03-08,10,10,1,4,4,6,5,6,3,181,1034,6,0.0,0.0,7.3,-3,64,2,Macon County,North Carolina
2020-03-09,10,10,2,4,4,6,5,7,4,184,1032,7,0.2,0.0,7.3,2,77,2,Macon County,North Carolina
2020-03-10,10,10,6,8,8,3,9,9,4,205,1025,7,8.4,0.0,5.9,9,97,2,Macon County,North Carolina
2020-03-11,15,15,8,11,11,6,12,13,3,255,1019,5,1.2,0.0,8.8,8,82,3,Macon County,North Carolina
2020-03-12,13,13,6,10,10,6,11,11,3,186,1015,6,1.4,0.0,6.0,9,87,3,Macon County,North Carolina
2020-03-13,15,15,6,12,12,5,13,14,5,321,1019,8,9.8,0.0,7.4,10,82,3,Macon County,North Carolina
2020-03-14,12,12,3,8,8,4,9,9,3,167,1026,6,5.2,0.0,6.0,7,83,2,Macon County,North Carolina
2020-03-15,15,15,6,12,12,6,12,13,2,282,1025,4,6.5,0.0,6.0,11,92,3,Macon County,North Carolina
2020-03-16,9,9,2,6,6,4,7,7,4,175,1027,6,0.7,0.0,6.0,6,90,2,Macon County,North Carolina
2020-03-17,13,13,5,10,10,3,10,11,3,267,1023,4,18.3,0.0,6.0,9,94,3,Macon County,North Carolina
2020-03-18,16,16,5,11,11,2,11,13,3,146,1024,5,1.2,0.0,6.0,11,94,3,Macon County,North Carolina
2020-03-19,22,22,14,17,17,4,18,19,5,208,1023,6,0.7,0.0,6.0,15,88,4,Macon County,North Carolina
2020-03-20,19,19,6,14,14,4,15,17,5,256,1022,8,13.9,0.0,6.0,13,90,4,Macon County,North Carolina
2020-03-21,17,17,10,13,13,4,14,14,4,306,1024,5,4.7,0.0,7.4,10,85,3,Macon County,North Carolina
2020-03-22,14,14,3,8,8,5,9,12,4,149,1026,6,0.5,0.0,8.8,6,81,3,Macon County,North Carolina
2020-03-23,13,13,5,9,9,2,10,11,3,188,1021,4,46.4,0.0,6.1,10,98,3,Macon County,North Carolina
2020-03-24,13,13,8,11,11,2,11,12,3,178,1015,4,31.8,0.0,7.5,11,97,3,Macon County,North Carolina
2020-03-25,17,17,10,13,13,4,13,15,4,322,1011,5,26.0,0.0,8.9,9,80,3,Macon County,North Carolina
2020-03-26,14,14,7,10,10,5,12,12,4,182,1016,7,0.0,0.0,11.6,8,83,4,Macon County,North Carolina
2020-03-27,21,21,12,16,16,5,16,18,4,255,1013,7,0.0,0.0,10.2,12,80,5,Macon County,North Carolina
2020-03-28,24,24,15,19,19,4,20,21,4,251,1013,5,0.0,0.0,11.6,14,79,6,Macon County,North Carolina
2020-03-29,19,19,12,16,16,4,17,18,7,263,1016,11,1.4,0.0,6.1,11,74,4,Macon County,North Carolina
2020-03-30,14,14,4,10,10,6,11,13,5,305,1019,9,0.0,0.0,11.6,4,61,4,Macon County,North Carolina
2020-03-31,8,8,0,5,5,4,6,5,4,120,1010,6,23.9,0.0,6.2,4,88,2,Macon County,North Carolina
2020-04-01,10,10,2,4,4,4,6,7,6,322,1014,7,0.8,0.0,10.2,2,82,2,Macon County,North Carolina
2020-04-02,15,15,1,8,8,5,9,11,4,327,1019,6,0.0,0.0,11.6,1,69,4,Macon County,North Carolina
2020-04-03,18,18,4,11,11,6,11,14,3,321,1017,5,0.0,0.0,11.6,2,60,4,Macon County,North Carolina
2020-04-04,17,17,8,12,12,5,13,15,2,212,1015,4,0.7,0.0,7.6,6,66,3,Macon County,North Carolina
2020-04-05,15,15,10,12,12,5,13,13,3,253,1018,4,9.8,0.0,7.6,8,80,3,Macon County,North Carolina
2020-04-06,20,20,10,15,15,6,15,17,3,279,1018,5,0.9,0.0,10.3,9,75,4,Macon County,North Carolina
2020-04-07,17,17,9,13,13,5,14,15,4,273,1015,6,4.3,0.0,7.7,11,85,4,Macon County,North Carolina
2020-04-08,24,24,13,18,18,3,19,20,5,291,1008,6,2.7,0.0,9.0,14,83,5,Macon County,North Carolina
2020-04-09,18,18,12,15,15,5,15,16,9,304,1006,12,3.2,0.0,10.3,8,69,4,Macon County,North Carolina
2020-04-10,7,7,1,2,2,6,5,5,10,321,1015,13,0.0,0.0,11.6,-5,55,3,Macon County,North Carolina
2020-04-11,12,12,1,7,7,6,8,10,4,193,1019,6,0.0,0.0,11.6,-2,57,4,Macon County,North Carolina
2020-04-12,9,9,1,6,6,4,7,7,6,116,1013,11,45.4,0.0,6.5,6,84,2,Macon County,North Carolina
2020-04-13,16,16,8,13,13,4,13,14,8,292,1010,11,127.9,0.0,9.1,11,87,3,Macon County,North Carolina
2020-04-14,19,19,7,12,12,4,13,15,4,208,1017,6,0.3,0.0,10.3,7,79,4,Macon County,North Carolina
2020-04-15,13,13,2,6,6,6,8,9,6,316,1019,7,0.0,0.0,11.6,-2,60,3,Macon County,North Carolina
2020-04-16,14,14,1,7,7,6,8,10,3,321,1024,5,0.0,0.0,11.6,-3,53,4,Macon County,North Carolina
2020-04-17,16,16,4,10,10,6,10,13,6,197,1021,8,0.0,0.0,11.6,4,68,4,Macon County,North Carolina
2020-04-18,12,12,7,9,9,5,11,11,5,316,1015,8,15.5,0.0,11.6,3,66,4,Macon County,North Carolina
2020-04-19,13,13,5,8,8,4,9,10,3,182,1012,5,2.3,0.0,9.2,5,78,3,Macon County,North Carolina
2020-04-20,13,13,9,11,11,5,12,12,5,322,1006,7,18.0,0.0,9.2,7,79,3,Macon County,North Carolina
2020-04-21,13,13,7,9,9,5,10,11,9,301,1012,15,0.8,0.0,6.8,5,76,3,Macon County,North Carolina
2020-04-22,17,17,4,10,10,5,11,13,4,263,1018,6,0.0,0.0,11.6,3,65,4,Macon County,North Carolina
2020-04-23,10,10,5,7,7,5,9,9,6,155,1010,11,21.6,0.0,6.8,9,96,2,Macon County,North Carolina
2020-04-24,15,15,10,12,12,5,13,13,5,309,1008,8,3.8,0.0,9.2,9,83,3,Macon County,North Carolina
2020-04-25,16,16,10,13,13,5,13,14,5,151,1010,8,6.5,0.0,9.2,10,85,3,Macon County,North Carolina
2020-04-26,8,8,-1,4,4,4,6,7,9,288,1014,14,4.7,0.0,6.8,5,89,2,Macon County,North Carolina
2020-04-27,14,14,3,7,7,5,9,10,6,322,1021,8,0.3,0.0,11.6,1,66,4,Macon County,North Carolina
2020-04-28,19,19,6,13,13,6,13,16,4,216,1020,7,0.0,0.0,11.6,5,62,5,Macon County,North Carolina
2020-04-29,18,18,10,12,12,5,13,14,7,173,1011,10,38.5,0.0,9.2,10,86,3,Macon County,North Carolina
2020-04-30,11,11,7,8,8,5,9,10,6,301,1009,8,12.6,0.0,6.9,7,88,3,Macon County,North Carolina
2020-05-01,14,14,6,8,8,6,10,11,9,313,1016,12,0.3,0.0,11.6,3,69,4,Macon County,North Carolina
2020-05-02,20,20,7,14,14,6,14,17,3,257,1020,6,0.0,0.0,11.6,5,62,5,Macon County,North Carolina
2020-05-03,26,26,12,20,20,6,21,22,5,259,1015,7,0.0,0.0,11.6,12,68,6,Macon County,North Carolina
2020-05-04,24,24,16,19,19,4,20,21,4,302,1013,5,2.2,0.0,6.9,14,78,5,Macon County,North Carolina
2020-05-05,22,22,15,18,18,4,18,20,5,246,1010,7,17.6,0.0,6.9,16,91,4,Macon County,North Carolina
2020-05-06,12,12,-2,4,4,5,7,8,9,300,1013,14,2.2,0.0,9.3,4,83,2,Macon County,North Carolina
2020-05-07,11,11,1,4,4,5,7,8,6,321,1019,10,0.0,0.0,11.6,-1,66,3,Macon County,North Carolina
2020-05-08,12,12,-3,4,4,5,6,8,5,219,1014,8,13.1,0.0,7.0,4,84,2,Macon County,North Carolina
2020-05-09,14,14,1,5,5,5,7,9,6,327,1022,8,0.3,0.0,11.6,-3,60,3,Macon County,North Carolina
2020-05-10,15,15,2,10,10,6,11,13,5,219,1022,8,0.0,0.0,11.6,-1,53,4,Macon County,North Carolina
2020-05-11,11,11,3,5,5,5,7,9,8,312,1022,10,0.6,0.0,11.6,0,65,3,Macon County,North Carolina
2020-05-12,15,15,1,8,8,6,8,10,3,293,1025,4,0.0,0.0,11.6,2,70,4,Macon County,North Carolina
