date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,0,5,5,6,7,9,11,197,1021,17,0.0,0.0,8.6,2,68,2,Macon County,Tennessee
2020-03-02,15,15,10,9,9,5,12,12,14,204,1011,21,16.5,0.0,5.6,10,91,3,Macon County,Tennessee
2020-03-03,15,15,9,11,11,5,13,14,11,271,1008,18,9.0,0.0,8.6,10,82,3,Macon County,Tennessee
2020-03-04,15,15,6,9,9,6,10,12,6,236,1016,10,0.0,0.0,11.3,4,68,4,Macon County,Tennessee
2020-03-05,15,15,7,8,8,6,10,12,7,202,1018,12,0.0,0.0,8.6,5,72,3,Macon County,Tennessee
2020-03-06,6,6,0,-1,-1,5,4,4,13,321,1025,18,0.1,0.0,10.1,-1,69,1,Macon County,Tennessee
2020-03-07,10,10,-3,1,1,6,4,5,6,62,1034,9,0.0,0.0,11.4,-4,66,2,Macon County,Tennessee
2020-03-08,15,15,1,5,5,6,7,9,9,196,1031,16,0.0,0.0,10.1,1,65,3,Macon County,Tennessee
2020-03-09,15,15,7,9,9,5,12,12,13,191,1028,22,0.3,0.0,10.1,7,73,4,Macon County,Tennessee
2020-03-10,15,15,9,12,12,5,13,15,11,276,1022,18,4.1,0.0,5.7,12,89,3,Macon County,Tennessee
2020-03-11,16,16,7,10,10,4,11,12,3,223,1018,5,0.0,0.0,8.7,8,85,3,Macon County,Tennessee
2020-03-12,20,20,11,16,16,4,16,17,11,200,1011,18,8.8,0.0,6.0,14,89,4,Macon County,Tennessee
2020-03-13,12,12,9,10,10,6,12,11,9,121,1022,13,2.2,0.0,10.2,7,73,4,Macon County,Tennessee
2020-03-14,8,8,2,4,4,5,7,7,9,70,1027,14,20.9,0.0,6.0,3,79,2,Macon County,Tennessee
2020-03-15,9,9,4,3,3,6,6,7,10,31,1029,14,2.3,0.0,6.0,4,87,2,Macon County,Tennessee
2020-03-16,11,11,2,6,6,4,7,8,3,171,1026,6,1.5,0.0,7.4,5,90,2,Macon County,Tennessee
2020-03-17,12,12,7,8,8,5,9,10,5,11,1024,8,10.2,0.0,6.0,8,92,2,Macon County,Tennessee
2020-03-18,18,18,8,13,13,3,14,15,8,203,1021,14,39.0,0.0,6.0,13,95,4,Macon County,Tennessee
2020-03-19,22,22,15,18,18,5,18,19,11,201,1019,18,4.4,0.0,7.4,16,92,4,Macon County,Tennessee
2020-03-20,22,22,15,19,19,5,20,20,15,241,1020,23,4.3,0.0,6.0,15,87,5,Macon County,Tennessee
2020-03-21,11,11,4,5,5,5,7,8,8,121,1029,11,0.4,0.0,8.8,3,78,2,Macon County,Tennessee
2020-03-22,16,16,2,6,6,5,8,9,8,146,1026,12,0.7,0.0,10.2,5,81,3,Macon County,Tennessee
2020-03-23,15,15,9,11,11,4,12,13,6,337,1020,10,12.9,0.0,6.1,10,89,3,Macon County,Tennessee
2020-03-24,14,14,8,10,10,3,11,12,7,159,1014,12,19.2,0.0,6.3,10,94,3,Macon County,Tennessee
2020-03-25,16,16,8,9,9,5,10,11,5,47,1014,8,0.0,0.0,9.0,8,86,3,Macon County,Tennessee
2020-03-26,22,22,9,15,15,4,15,16,10,194,1012,17,0.0,0.0,11.6,12,82,5,Macon County,Tennessee
2020-03-27,22,22,16,19,19,6,20,20,10,217,1010,16,0.7,0.0,7.6,17,88,5,Macon County,Tennessee
2020-03-28,23,23,16,20,20,5,21,21,11,209,1010,18,0.9,0.0,6.3,18,89,5,Macon County,Tennessee
2020-03-29,18,18,13,16,16,5,16,16,13,255,1015,19,3.0,0.0,10.3,12,76,4,Macon County,Tennessee
2020-03-30,17,17,9,12,12,6,13,14,6,312,1021,10,0.0,0.0,11.6,7,71,4,Macon County,Tennessee
2020-03-31,8,8,4,5,5,5,7,7,8,256,1013,13,26.8,0.0,6.4,5,85,2,Macon County,Tennessee
2020-04-01,10,10,0,3,3,5,5,7,6,241,1017,10,0.0,0.0,7.7,2,82,2,Macon County,Tennessee
2020-04-02,15,15,4,8,8,6,9,11,5,50,1020,8,0.0,0.0,10.3,5,76,3,Macon County,Tennessee
2020-04-03,18,18,7,11,11,6,12,14,4,171,1018,8,0.0,0.0,11.6,7,75,4,Macon County,Tennessee
2020-04-04,21,21,11,15,15,6,15,17,5,224,1016,8,1.0,0.0,9.0,10,74,4,Macon County,Tennessee
2020-04-05,19,19,11,14,14,3,14,15,5,318,1019,7,0.0,0.0,11.6,12,88,5,Macon County,Tennessee
2020-04-06,22,22,12,17,17,4,17,19,3,259,1018,6,2.3,0.0,9.0,13,82,4,Macon County,Tennessee
2020-04-07,23,23,15,18,18,5,19,20,9,219,1013,14,4.1,0.0,7.7,16,88,4,Macon County,Tennessee
2020-04-08,24,24,17,20,20,5,20,21,9,244,1007,15,6.6,0.0,6.5,18,91,5,Macon County,Tennessee
2020-04-09,14,14,9,10,10,6,12,12,14,313,1010,20,0.0,0.0,11.6,7,71,4,Macon County,Tennessee
2020-04-10,10,10,0,2,2,6,5,6,10,330,1019,14,0.0,0.0,11.6,-2,61,3,Macon County,Tennessee
