date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,6,7,7,6,9,10,11,230,1016,19,0.0,0.0,8.7,0,53,3,Marin County,California
2020-03-02,17,17,6,10,10,6,12,13,12,340,1017,22,0.0,0.0,11.6,1,47,4,Marin County,California
2020-03-03,18,18,8,13,13,6,14,15,4,299,1017,6,0.0,0.0,11.6,8,70,5,Marin County,California
2020-03-04,22,22,11,15,15,6,15,17,3,196,1018,5,0.0,0.0,11.6,9,70,5,Marin County,California
2020-03-05,13,13,7,11,11,4,12,12,5,189,1019,8,0.1,0.0,8.7,10,89,3,Marin County,California
2020-03-06,13,13,9,10,10,6,11,12,5,244,1016,7,0.5,0.0,5.9,9,87,3,Marin County,California
2020-03-07,10,10,7,7,7,4,9,9,7,291,1014,10,0.8,0.0,8.7,6,83,2,Marin County,California
2020-03-08,12,12,5,7,7,6,9,10,6,157,1016,8,0.2,0.0,5.9,5,79,3,Marin County,California
2020-03-09,16,16,8,11,11,6,12,13,5,161,1018,10,0.0,0.0,11.6,6,71,4,Marin County,California
2020-03-10,18,18,8,11,11,6,12,15,6,214,1017,10,0.0,0.0,11.6,7,69,4,Marin County,California
2020-03-11,17,17,10,12,12,6,13,15,5,227,1018,8,0.0,0.0,11.6,9,78,4,Marin County,California
2020-03-12,17,17,10,12,12,6,13,15,4,279,1011,7,0.0,0.0,11.6,9,79,5,Marin County,California
2020-03-13,13,13,9,9,9,6,11,12,10,197,1008,14,0.1,0.0,8.8,9,85,3,Marin County,California
2020-03-14,10,10,4,6,6,4,9,9,11,222,1015,16,5.7,0.0,6.0,6,81,2,Marin County,California
2020-03-15,10,10,3,5,5,5,8,9,11,249,1015,16,4.1,0.0,8.8,4,73,2,Marin County,California
2020-03-16,10,10,6,5,5,5,7,8,7,141,1014,10,0.6,0.0,8.8,3,76,2,Marin County,California
2020-03-17,11,11,5,6,6,6,8,9,5,202,1015,8,1.7,0.0,6.0,4,77,2,Marin County,California
2020-03-18,11,11,7,8,8,4,9,9,5,217,1013,7,1.5,0.0,7.4,6,82,2,Marin County,California
2020-03-19,12,12,6,8,8,6,9,11,4,210,1017,6,0.1,0.0,11.6,6,81,3,Marin County,California
2020-03-20,15,15,7,10,10,6,11,12,5,146,1022,8,0.1,0.0,11.6,6,74,4,Marin County,California
2020-03-21,17,17,8,11,11,6,12,13,4,190,1021,7,0.1,0.0,11.6,7,76,4,Marin County,California
2020-03-22,16,16,9,10,10,6,12,14,7,181,1018,12,0.6,0.0,8.8,8,80,3,Marin County,California
2020-03-23,11,11,9,8,8,6,10,10,11,278,1019,16,0.2,0.0,7.5,7,80,3,Marin County,California
2020-03-24,11,11,7,8,8,6,10,11,8,268,1021,13,2.7,0.0,8.9,6,77,3,Marin County,California
2020-03-25,11,11,5,6,6,6,8,10,9,286,1018,14,0.8,0.0,8.9,4,74,3,Marin County,California
2020-03-26,12,12,5,6,6,6,8,10,9,221,1018,15,0.0,0.0,11.6,3,73,3,Marin County,California
2020-03-27,11,11,5,6,6,6,9,10,12,291,1021,18,0.0,0.0,11.6,5,79,3,Marin County,California
2020-03-28,12,12,9,9,9,6,10,11,4,268,1022,6,4.3,0.0,6.2,8,89,3,Marin County,California
2020-03-29,14,14,9,9,9,5,11,12,6,149,1020,9,6.9,0.0,8.9,9,90,3,Marin County,California
2020-03-30,14,14,9,11,11,6,11,13,5,221,1025,7,0.1,0.0,10.3,9,86,3,Marin County,California
2020-03-31,15,15,10,10,10,4,12,13,11,300,1022,16,0.0,0.0,10.3,10,88,3,Marin County,California
2020-04-01,13,13,7,6,6,6,9,11,18,307,1016,27,0.0,0.0,11.6,4,69,4,Marin County,California
2020-04-02,13,13,5,6,6,6,9,11,11,302,1019,19,0.0,0.0,11.6,3,66,4,Marin County,California
2020-04-03,13,13,5,5,5,6,9,11,15,311,1018,23,0.0,0.0,11.6,4,73,4,Marin County,California
2020-04-04,13,13,6,8,8,6,10,11,10,231,1011,16,4.1,0.0,7.7,8,91,3,Marin County,California
2020-04-05,11,11,7,7,7,5,10,10,11,272,1005,16,5.8,0.0,7.7,7,83,3,Marin County,California
2020-04-06,12,12,6,8,8,5,9,11,5,216,1012,8,6.0,0.0,9.0,5,79,3,Marin County,California
