date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,8,11,11,6,12,13,8,192,1013,13,1.1,0.0,5.8,9,82,3,Marion County,Arkansas
2020-03-02,20,20,12,15,15,5,15,17,4,169,1008,6,6.9,0.0,7.3,12,85,4,Marion County,Arkansas
2020-03-03,17,17,6,10,10,6,11,12,5,291,1011,7,0.0,0.0,11.6,5,72,4,Marion County,Arkansas
2020-03-04,15,15,7,10,10,6,10,12,3,144,1017,5,0.0,0.0,7.3,3,64,3,Marion County,Arkansas
2020-03-05,17,17,5,10,10,6,11,12,6,287,1022,9,0.0,0.0,11.6,2,63,4,Marion County,Arkansas
2020-03-06,12,12,2,4,4,6,6,7,6,345,1032,10,0.0,0.0,11.6,-2,56,3,Marion County,Arkansas
2020-03-07,14,14,1,6,6,6,7,9,5,155,1032,9,0.0,0.0,7.3,0,63,2,Marion County,Arkansas
2020-03-08,18,18,4,10,10,6,11,12,8,183,1026,12,0.0,0.0,11.6,3,63,4,Marion County,Arkansas
2020-03-09,15,15,11,12,12,5,14,14,11,185,1019,19,6.0,0.0,5.9,11,84,3,Marion County,Arkansas
2020-03-10,18,18,6,10,10,6,12,12,6,266,1023,8,0.7,0.0,11.6,6,76,4,Marion County,Arkansas
2020-03-11,22,22,9,13,13,5,15,15,4,176,1016,7,19.2,0.0,7.4,11,86,4,Marion County,Arkansas
2020-03-12,25,25,13,19,19,3,20,21,8,216,1008,12,1.8,0.0,6.0,15,83,5,Marion County,Arkansas
2020-03-13,11,11,7,7,7,6,9,9,8,81,1024,11,1.1,0.0,10.2,3,65,2,Marion County,Arkansas
2020-03-14,7,7,4,3,3,4,5,5,7,78,1026,10,69.0,0.0,6.0,4,94,2,Marion County,Arkansas
2020-03-15,10,10,3,4,4,6,6,6,5,61,1031,7,0.0,0.0,6.0,3,85,2,Marion County,Arkansas
2020-03-16,7,7,3,4,4,3,5,5,4,106,1026,5,9.6,0.0,6.0,4,94,1,Marion County,Arkansas
2020-03-17,14,14,7,9,9,4,9,10,4,89,1024,6,1.3,0.0,6.0,7,88,3,Marion County,Arkansas
2020-03-18,20,20,7,13,13,4,14,15,6,196,1017,9,14.6,0.0,6.0,13,95,3,Marion County,Arkansas
2020-03-19,22,22,17,19,19,4,19,19,9,202,1013,16,43.4,0.0,6.0,17,90,4,Marion County,Arkansas
2020-03-20,13,13,4,11,11,6,12,13,8,347,1022,13,1.1,0.0,7.4,9,79,3,Marion County,Arkansas
2020-03-21,13,13,0,5,5,6,6,8,4,54,1031,6,0.0,0.0,11.6,0,68,3,Marion County,Arkansas
2020-03-22,8,8,2,2,2,5,5,5,7,119,1024,10,12.4,0.0,6.1,4,89,1,Marion County,Arkansas
2020-03-23,17,17,4,10,10,4,10,12,3,90,1020,5,0.5,0.0,8.8,7,84,3,Marion County,Arkansas
2020-03-24,16,16,8,10,10,4,11,12,6,78,1013,9,9.5,0.0,6.1,10,93,3,Marion County,Arkansas
2020-03-25,21,21,7,13,13,5,15,15,5,159,1013,7,0.0,0.0,10.2,9,80,4,Marion County,Arkansas
2020-03-26,27,27,10,19,19,4,19,22,6,215,1008,9,0.0,0.0,11.6,15,82,6,Marion County,Arkansas
2020-03-27,26,26,19,22,23,4,23,23,5,197,1006,9,1.3,0.0,6.1,19,87,5,Marion County,Arkansas
2020-03-28,22,22,14,20,20,6,21,21,8,204,1005,14,2.2,0.0,6.1,15,76,5,Marion County,Arkansas
2020-03-29,20,20,7,12,12,6,13,15,8,275,1018,12,0.0,0.0,11.6,5,58,4,Marion County,Arkansas
2020-03-30,20,20,9,14,14,5,14,16,4,134,1021,6,0.7,0.0,10.3,7,66,4,Marion County,Arkansas
2020-03-31,18,18,9,12,12,5,12,14,6,119,1016,8,23.6,0.0,9.0,8,76,3,Marion County,Arkansas
2020-04-01,20,20,7,13,13,6,13,15,4,132,1016,6,0.0,0.0,10.3,7,71,3,Marion County,Arkansas
2020-04-02,20,20,9,14,14,5,14,16,8,156,1015,12,2.1,0.0,11.6,10,77,5,Marion County,Arkansas
2020-04-03,19,19,7,14,14,4,15,16,5,167,1016,9,29.9,0.0,6.4,13,93,4,Marion County,Arkansas
2020-04-04,13,13,4,7,7,5,8,9,4,136,1020,6,1.5,0.0,6.4,6,86,2,Marion County,Arkansas
2020-04-05,19,19,8,13,13,3,13,14,3,130,1019,5,0.4,0.0,6.4,11,89,3,Marion County,Arkansas
2020-04-06,22,22,10,16,16,3,17,18,5,185,1016,8,1.4,0.0,9.0,14,86,4,Marion County,Arkansas
2020-04-07,27,27,15,20,20,3,21,22,5,216,1011,8,0.8,0.0,9.0,17,85,5,Marion County,Arkansas
2020-04-08,31,31,16,23,24,4,24,25,4,215,1007,8,1.2,0.0,11.6,17,74,7,Marion County,Arkansas
2020-04-09,18,18,8,12,12,6,13,14,7,221,1016,10,0.6,0.0,11.6,5,63,4,Marion County,Arkansas
2020-04-10,17,17,1,8,8,6,9,10,4,129,1021,6,0.0,0.0,11.6,-2,51,4,Marion County,Arkansas
2020-04-11,19,19,5,11,11,6,11,13,6,175,1013,10,0.6,0.0,10.3,5,67,3,Marion County,Arkansas
2020-04-12,23,23,14,17,17,5,18,19,10,155,1001,14,15.1,0.0,6.5,14,89,4,Marion County,Arkansas
2020-04-13,10,10,0,2,2,6,5,6,10,334,1019,14,0.0,0.0,9.1,-3,58,2,Marion County,Arkansas
2020-04-14,11,11,2,5,5,4,6,8,3,14,1025,5,1.5,0.8,9.1,-2,62,2,Marion County,Arkansas
2020-04-15,16,16,0,7,7,6,9,10,5,273,1021,7,0.0,0.0,11.6,-1,60,4,Marion County,Arkansas
2020-04-16,19,19,2,9,9,5,10,13,7,172,1021,11,0.0,0.0,11.6,4,67,4,Marion County,Arkansas
2020-04-17,13,13,4,8,8,4,9,11,6,304,1017,10,1.6,0.0,6.6,7,82,3,Marion County,Arkansas
2020-04-18,18,18,-1,8,8,5,9,10,4,157,1019,7,0.0,0.0,11.6,0,65,4,Marion County,Arkansas
2020-04-19,15,15,8,11,11,4,11,13,4,86,1009,6,8.7,0.0,6.6,10,92,3,Marion County,Arkansas
2020-04-20,22,22,8,15,15,3,17,17,4,227,1010,7,0.9,0.0,10.4,10,78,5,Marion County,Arkansas
2020-04-21,23,23,9,16,16,5,17,18,4,328,1015,7,0.5,0.0,11.6,9,68,5,Marion County,Arkansas
2020-04-22,21,21,10,14,14,6,15,16,10,151,1010,15,6.5,0.0,6.6,11,82,4,Marion County,Arkansas
2020-04-23,20,20,14,15,15,5,16,16,8,319,1002,11,5.3,0.0,7.9,13,89,4,Marion County,Arkansas
2020-04-24,22,22,10,15,15,4,15,17,5,147,1008,7,7.4,0.0,6.6,13,86,4,Marion County,Arkansas
2020-04-25,17,17,11,13,13,4,14,14,11,321,1010,16,9.1,0.0,6.7,10,81,3,Marion County,Arkansas
2020-04-26,22,22,7,14,14,4,15,17,4,306,1021,6,0.0,0.0,11.6,7,69,5,Marion County,Arkansas
2020-04-27,18,18,11,14,14,5,14,15,6,173,1020,11,4.8,0.0,10.4,11,81,4,Marion County,Arkansas
2020-04-28,26,26,14,19,19,5,20,21,8,212,1011,12,19.5,0.0,6.7,16,84,5,Marion County,Arkansas
2020-04-29,16,16,11,13,13,5,14,14,11,312,1010,15,14.1,0.0,7.9,9,77,3,Marion County,Arkansas
2020-04-30,22,22,8,14,14,5,15,17,7,313,1015,10,0.0,0.0,11.6,8,70,5,Marion County,Arkansas
2020-05-01,26,26,10,17,17,5,18,20,6,176,1015,9,0.0,0.0,11.6,12,73,6,Marion County,Arkansas
2020-05-02,29,29,14,21,21,6,21,23,5,197,1014,8,1.2,0.0,9.3,16,76,5,Marion County,Arkansas
2020-05-03,25,25,18,21,22,4,22,22,4,240,1013,7,12.5,0.0,6.9,19,93,5,Marion County,Arkansas
2020-05-04,22,22,13,17,17,5,19,17,7,129,1012,10,2.2,0.0,6.9,15,89,4,Marion County,Arkansas
