date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-2,3,3,6,6,8,11,195,1020,18,0.0,0.0,10.1,0,66,3,Marion County,Kentucky
2020-03-02,15,15,9,9,9,5,11,12,14,214,1010,22,20.6,0.0,5.6,10,88,3,Marion County,Kentucky
2020-03-03,14,14,7,10,10,5,12,13,13,265,1007,20,13.1,0.0,5.6,9,81,3,Marion County,Kentucky
2020-03-04,15,15,4,7,7,6,10,11,9,239,1015,13,0.0,0.0,10.1,3,67,3,Marion County,Kentucky
2020-03-05,14,14,4,6,6,6,8,10,8,195,1018,14,0.0,0.0,11.3,3,71,3,Marion County,Kentucky
2020-03-06,4,4,1,-2,-2,4,3,3,14,310,1024,19,0.5,0.1,5.7,-2,71,1,Marion County,Kentucky
2020-03-07,9,9,-3,1,1,6,3,4,4,68,1034,7,0.0,0.0,11.4,-4,67,2,Marion County,Kentucky
2020-03-08,14,14,0,5,5,6,8,9,9,204,1031,15,0.0,0.0,10.1,1,65,2,Marion County,Kentucky
2020-03-09,16,16,7,9,9,6,11,13,15,200,1027,24,0.0,0.0,8.7,6,70,3,Marion County,Kentucky
2020-03-10,15,15,9,12,12,5,13,14,13,274,1021,19,6.3,0.0,5.9,11,86,3,Marion County,Kentucky
2020-03-11,15,15,7,10,10,4,11,11,5,245,1018,7,0.0,0.0,8.8,8,83,3,Marion County,Kentucky
2020-03-12,20,20,9,14,14,5,15,16,10,189,1011,15,13.9,0.0,6.0,12,86,4,Marion County,Kentucky
2020-03-13,12,12,7,9,9,5,11,10,9,329,1021,14,15.6,0.0,11.6,5,71,4,Marion County,Kentucky
2020-03-14,7,7,-1,1,1,4,4,5,9,71,1029,14,18.3,0.0,6.0,0,76,2,Marion County,Kentucky
2020-03-15,8,8,3,1,1,6,4,5,10,40,1031,14,0.0,0.0,6.0,2,87,2,Marion County,Kentucky
2020-03-16,11,11,1,4,4,4,6,7,4,204,1026,7,0.3,0.0,7.4,4,87,2,Marion County,Kentucky
2020-03-17,13,13,6,7,7,5,8,9,4,240,1024,7,7.1,0.0,7.4,6,89,2,Marion County,Kentucky
2020-03-18,20,20,5,11,11,3,13,14,10,192,1021,16,29.8,0.0,6.0,11,93,3,Marion County,Kentucky
2020-03-19,21,21,14,17,17,4,17,18,12,200,1019,19,5.2,0.0,6.0,16,92,4,Marion County,Kentucky
2020-03-20,22,22,15,19,19,5,20,20,17,256,1019,25,10.3,0.0,6.0,14,82,5,Marion County,Kentucky
2020-03-21,9,9,1,2,2,6,5,6,8,130,1030,12,0.1,0.0,7.4,1,75,2,Marion County,Kentucky
2020-03-22,14,14,0,3,3,6,6,7,7,100,1027,11,1.0,0.0,10.2,2,79,2,Marion County,Kentucky
2020-03-23,15,15,8,10,10,5,11,12,6,322,1020,10,7.0,0.0,6.1,9,86,3,Marion County,Kentucky
2020-03-24,15,15,6,8,8,3,10,11,9,113,1016,13,25.1,0.0,6.1,8,91,3,Marion County,Kentucky
2020-03-25,16,16,4,9,9,4,10,11,5,95,1014,8,0.8,0.0,8.9,7,84,3,Marion County,Kentucky
2020-03-26,22,22,8,13,13,5,15,16,11,204,1012,18,0.0,0.0,11.6,11,80,5,Marion County,Kentucky
2020-03-27,22,22,17,19,19,5,20,20,9,209,1010,15,2.4,0.0,6.3,18,90,4,Marion County,Kentucky
2020-03-28,23,23,16,20,20,6,21,21,13,219,1009,21,0.4,0.0,6.3,18,88,5,Marion County,Kentucky
2020-03-29,17,17,13,16,16,5,16,16,16,245,1013,24,0.8,0.0,11.6,12,75,5,Marion County,Kentucky
2020-03-30,15,15,8,10,10,6,11,13,8,286,1020,13,0.0,0.0,11.6,6,69,4,Marion County,Kentucky
2020-03-31,9,9,5,6,6,5,8,8,8,258,1014,11,8.1,0.0,6.4,5,85,2,Marion County,Kentucky
2020-04-01,10,10,1,3,3,4,5,6,6,339,1017,9,0.3,0.0,6.4,3,85,2,Marion County,Kentucky
2020-04-02,14,14,3,8,8,6,8,10,3,250,1020,5,0.1,0.0,10.3,4,77,3,Marion County,Kentucky
2020-04-03,18,18,6,12,12,6,12,14,3,71,1018,5,0.0,0.0,11.6,6,72,4,Marion County,Kentucky
2020-04-04,21,21,10,15,15,6,16,17,4,199,1016,6,1.0,0.0,9.0,10,74,4,Marion County,Kentucky
2020-04-05,17,17,11,13,13,4,13,15,5,309,1018,8,0.5,0.0,6.4,12,90,3,Marion County,Kentucky
2020-04-06,21,21,11,16,16,6,16,17,4,257,1018,6,4.2,0.0,6.5,13,85,4,Marion County,Kentucky
2020-04-07,23,23,13,18,18,5,18,19,10,229,1012,16,4.8,0.0,6.5,16,88,4,Marion County,Kentucky
2020-04-08,25,25,17,19,19,6,20,21,9,255,1006,14,3.5,0.0,6.5,17,88,5,Marion County,Kentucky
2020-04-09,12,12,7,9,9,5,11,11,12,294,1008,17,2.3,0.0,11.6,6,71,4,Marion County,Kentucky
2020-04-10,10,10,0,1,1,6,5,6,10,304,1018,14,0.0,0.0,11.6,-1,66,3,Marion County,Kentucky
2020-04-11,15,15,2,7,7,5,9,10,6,196,1017,9,0.2,0.0,11.6,2,65,4,Marion County,Kentucky
2020-04-12,15,15,6,10,10,4,12,13,13,169,1008,22,35.2,0.0,6.5,10,84,3,Marion County,Kentucky
2020-04-13,12,12,4,8,8,5,10,9,12,283,1010,18,13.4,0.0,7.8,7,82,2,Marion County,Kentucky
