date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,7,13,13,6,14,15,7,177,1022,11,0.0,0.0,11.3,6,65,5,Marion County,Mississippi
2020-03-02,22,22,15,18,18,4,18,19,8,219,1014,12,6.2,0.0,5.7,16,87,4,Marion County,Mississippi
2020-03-03,24,24,18,20,20,4,20,21,6,247,1012,10,3.8,0.0,5.7,18,90,5,Marion County,Mississippi
2020-03-04,19,19,12,16,16,5,17,18,6,40,1012,11,20.1,0.0,5.9,16,96,4,Marion County,Mississippi
2020-03-05,17,17,10,12,12,5,13,14,7,231,1016,10,2.9,0.0,5.9,11,88,3,Marion County,Mississippi
2020-03-06,16,16,8,10,10,6,11,12,8,236,1028,13,0.0,0.0,11.6,4,63,4,Marion County,Mississippi
2020-03-07,16,16,3,8,8,6,10,10,5,61,1031,9,0.0,0.0,11.6,2,63,4,Marion County,Mississippi
2020-03-08,20,20,5,12,12,6,13,14,6,144,1030,9,0.0,0.0,11.6,7,72,4,Marion County,Mississippi
2020-03-09,22,22,12,16,16,4,17,18,8,160,1027,12,0.4,0.0,5.9,13,81,4,Marion County,Mississippi
2020-03-10,23,23,15,18,18,5,19,19,5,206,1025,8,7.1,0.0,7.4,16,89,4,Marion County,Mississippi
2020-03-11,25,25,14,19,19,4,19,21,5,224,1020,9,0.8,0.0,8.8,16,86,5,Marion County,Mississippi
2020-03-12,27,27,14,20,20,4,21,22,6,208,1016,10,0.0,0.0,11.6,16,79,6,Marion County,Mississippi
2020-03-13,27,27,17,21,22,4,22,23,4,216,1019,6,0.1,0.0,11.6,17,82,6,Marion County,Mississippi
2020-03-14,27,27,16,22,23,3,23,23,4,183,1023,6,0.1,0.0,10.2,17,80,5,Marion County,Mississippi
2020-03-15,30,30,17,22,24,3,24,24,3,203,1024,5,0.9,0.0,8.8,18,81,5,Marion County,Mississippi
2020-03-16,27,27,16,20,20,4,21,21,4,121,1023,5,0.3,0.0,8.8,16,82,5,Marion County,Mississippi
2020-03-17,27,27,17,22,23,4,23,23,2,158,1021,4,8.8,0.0,6.0,18,86,5,Marion County,Mississippi
2020-03-18,27,27,16,21,22,3,22,23,6,180,1021,9,0.3,0.0,7.4,18,85,5,Marion County,Mississippi
2020-03-19,28,28,18,22,23,3,23,24,7,182,1021,11,0.9,0.0,6.0,19,85,5,Marion County,Mississippi
2020-03-20,27,27,19,23,24,4,24,24,7,218,1023,10,4.5,0.0,7.4,20,88,5,Marion County,Mississippi
2020-03-21,21,21,14,18,18,4,18,19,5,23,1025,7,1.4,0.0,6.1,15,86,4,Marion County,Mississippi
2020-03-22,25,25,13,17,17,4,18,19,5,135,1022,8,29.8,0.0,7.4,15,85,4,Marion County,Mississippi
2020-03-23,28,28,17,23,24,3,24,24,5,228,1020,8,1.2,0.0,10.3,18,84,6,Marion County,Mississippi
2020-03-24,28,28,18,22,23,4,23,24,7,213,1015,11,0.8,0.0,10.3,18,80,5,Marion County,Mississippi
2020-03-25,27,27,18,21,22,6,22,23,4,310,1013,5,0.4,0.0,10.3,17,80,6,Marion County,Mississippi
2020-03-26,30,30,16,23,24,6,24,25,4,190,1014,7,0.0,0.0,11.6,16,72,6,Marion County,Mississippi
2020-03-27,30,30,18,23,25,4,25,26,6,199,1013,10,0.0,0.0,10.3,19,81,6,Marion County,Mississippi
2020-03-28,30,30,20,24,26,5,26,26,8,199,1013,12,0.1,0.0,10.3,20,78,6,Marion County,Mississippi
2020-03-29,23,23,17,20,20,6,20,20,5,39,1019,8,1.1,0.0,6.3,14,71,4,Marion County,Mississippi
2020-03-30,23,23,15,19,19,6,19,20,5,80,1019,9,0.0,0.0,7.7,10,56,5,Marion County,Mississippi
2020-03-31,22,22,12,18,18,6,19,21,9,312,1011,14,3.5,0.0,7.7,15,79,5,Marion County,Mississippi
2020-04-01,23,23,7,14,14,6,16,17,3,135,1017,6,0.0,0.0,11.6,8,69,5,Marion County,Mississippi
2020-04-02,24,24,10,16,16,6,17,18,4,111,1017,6,0.0,0.0,10.3,9,66,4,Marion County,Mississippi
2020-04-03,26,26,13,19,19,6,19,21,3,52,1016,5,0.1,0.0,10.3,11,62,5,Marion County,Mississippi
2020-04-04,26,26,14,20,20,5,21,22,3,153,1016,6,0.7,0.0,10.3,13,73,5,Marion County,Mississippi
2020-04-05,27,27,16,20,22,4,22,23,3,81,1017,4,0.6,0.0,10.3,15,76,5,Marion County,Mississippi
2020-04-06,28,28,14,21,22,4,22,23,4,172,1018,6,0.0,0.0,11.6,15,75,5,Marion County,Mississippi
2020-04-07,26,26,17,21,22,3,22,23,4,216,1016,7,2.9,0.0,7.7,20,93,5,Marion County,Mississippi
2020-04-08,29,29,20,24,26,2,26,25,5,234,1012,9,5.3,0.0,6.4,21,88,6,Marion County,Mississippi
2020-04-09,29,29,20,24,26,3,26,25,5,134,1010,8,2.7,0.0,9.0,20,83,6,Marion County,Mississippi
2020-04-10,19,19,11,16,16,5,16,17,6,28,1017,9,7.4,0.0,9.0,9,69,4,Marion County,Mississippi
2020-04-11,24,24,7,15,15,6,16,17,6,139,1016,9,0.0,0.0,11.6,7,60,5,Marion County,Mississippi
2020-04-12,32,32,18,23,25,4,25,26,11,189,1006,18,9.6,0.0,6.5,20,85,6,Marion County,Mississippi
2020-04-13,21,21,13,16,16,4,16,16,5,336,1015,9,5.7,0.0,9.0,13,83,4,Marion County,Mississippi
2020-04-14,21,21,7,13,13,6,14,15,6,12,1018,9,0.0,0.0,11.6,8,73,5,Marion County,Mississippi
2020-04-15,18,18,5,10,10,6,11,13,7,25,1020,10,0.0,0.0,11.6,3,60,4,Marion County,Mississippi
2020-04-16,22,22,5,13,13,6,15,16,5,99,1023,8,0.0,0.0,11.6,3,53,5,Marion County,Mississippi
2020-04-17,26,26,9,17,17,5,18,20,5,182,1019,7,0.1,0.0,9.1,12,71,5,Marion County,Mississippi
2020-04-18,27,27,17,21,21,5,21,22,3,33,1016,5,5.7,0.0,6.5,18,85,5,Marion County,Mississippi
2020-04-19,28,28,19,23,25,3,25,25,8,215,1008,13,14.9,0.0,7.8,20,89,5,Marion County,Mississippi
2020-04-20,24,24,12,18,18,3,19,20,5,320,1010,7,4.5,0.0,11.6,14,81,5,Marion County,Mississippi
2020-04-21,27,27,12,20,20,4,20,22,3,225,1016,4,0.0,0.0,11.6,13,73,6,Marion County,Mississippi
2020-04-22,27,27,15,19,19,6,20,22,8,141,1015,13,0.0,0.0,11.6,13,67,6,Marion County,Mississippi
2020-04-23,27,27,22,24,26,5,26,24,10,237,1006,17,13.4,0.0,6.6,20,85,5,Marion County,Mississippi
2020-04-24,29,29,13,21,22,4,22,23,3,96,1010,4,0.0,0.0,11.6,13,71,6,Marion County,Mississippi
2020-04-25,26,26,15,20,21,6,21,22,7,286,1012,10,0.0,0.0,11.6,14,72,6,Marion County,Mississippi
2020-04-26,24,24,13,19,19,6,20,20,5,343,1021,8,0.0,0.0,11.6,11,66,6,Marion County,Mississippi
2020-04-27,25,25,10,18,18,6,18,19,4,106,1023,6,0.0,0.0,11.6,7,57,5,Marion County,Mississippi
2020-04-28,28,28,12,20,21,6,21,22,6,176,1018,9,1.3,0.0,11.6,12,67,6,Marion County,Mississippi
2020-04-29,24,24,16,20,20,4,21,22,10,272,1011,16,36.5,0.0,7.9,16,82,5,Marion County,Mississippi
2020-04-30,23,23,11,16,16,6,17,19,6,315,1016,9,0.0,0.0,11.6,10,67,5,Marion County,Mississippi
2020-05-01,27,27,11,19,19,6,20,22,2,219,1019,4,0.0,0.0,11.6,10,63,6,Marion County,Mississippi
2020-05-02,28,28,13,21,22,6,22,23,4,191,1020,7,0.0,0.0,11.6,12,66,6,Marion County,Mississippi
2020-05-03,29,29,15,22,23,4,23,24,5,210,1017,8,0.0,0.0,11.6,16,74,6,Marion County,Mississippi
2020-05-04,30,30,16,23,24,3,24,25,4,216,1015,7,0.0,0.0,11.6,17,75,7,Marion County,Mississippi
2020-05-05,29,29,17,23,23,4,23,25,5,275,1013,8,0.4,0.0,11.6,18,80,6,Marion County,Mississippi
2020-05-06,24,24,12,18,18,5,19,20,7,237,1019,11,9.9,0.0,11.6,11,66,6,Marion County,Mississippi
2020-05-07,25,25,9,16,16,6,18,19,4,46,1021,6,0.0,0.0,11.6,7,60,5,Marion County,Mississippi
2020-05-08,27,27,13,18,20,5,20,22,9,234,1014,14,10.7,0.0,7.9,14,78,5,Marion County,Mississippi
2020-05-09,21,21,10,15,15,6,16,17,7,56,1022,10,1.0,0.0,11.6,8,65,5,Marion County,Mississippi
2020-05-10,24,24,9,16,16,6,17,19,4,136,1022,7,0.0,0.0,11.6,7,56,5,Marion County,Mississippi
2020-05-11,25,25,11,18,18,6,19,21,5,22,1022,8,0.0,0.0,11.6,10,63,6,Marion County,Mississippi
2020-05-12,28,28,12,20,20,6,21,21,6,136,1021,10,0.0,0.0,11.6,10,59,6,Marion County,Mississippi
2020-05-13,29,29,15,23,24,3,24,25,6,153,1020,9,0.1,0.0,9.2,16,73,6,Marion County,Mississippi
2020-05-14,26,26,17,21,22,3,22,23,7,150,1018,12,11.1,0.0,6.7,19,87,5,Marion County,Mississippi
2020-05-15,29,29,19,23,24,3,24,26,6,159,1016,10,11.1,0.0,6.7,20,83,6,Marion County,Mississippi
2020-05-16,29,29,20,23,25,2,25,26,5,163,1014,9,18.1,0.0,8.0,21,88,6,Marion County,Mississippi
2020-05-17,31,31,20,25,26,3,26,27,5,162,1014,7,5.4,0.0,9.2,20,82,6,Marion County,Mississippi
2020-05-18,27,27,18,22,22,6,22,24,6,310,1009,9,2.7,0.0,9.2,17,80,5,Marion County,Mississippi
2020-05-19,27,27,16,21,22,6,22,23,4,316,1010,6,1.4,0.0,8.0,17,83,5,Marion County,Mississippi
2020-05-20,25,25,16,20,20,5,20,21,3,113,1011,4,6.5,0.0,8.5,17,85,5,Marion County,Mississippi
2020-05-21,31,31,18,24,25,6,25,26,4,220,1013,6,5.3,0.0,12.1,19,80,6,Marion County,Mississippi
2020-05-22,31,31,20,24,26,3,26,27,5,194,1015,8,9.4,0.0,8.7,21,84,6,Marion County,Mississippi
2020-05-23,31,31,20,26,29,3,29,28,4,189,1015,7,6.6,0.0,11.0,21,81,6,Marion County,Mississippi
2020-05-24,32,32,21,26,27,3,27,28,4,144,1014,7,1.7,0.0,12.2,20,78,6,Marion County,Mississippi
2020-05-25,31,31,19,24,26,4,26,27,6,128,1012,11,7.6,0.0,8.7,20,79,6,Marion County,Mississippi
2020-05-26,27,27,20,23,25,5,25,24,4,85,1012,7,10.4,0.0,8.7,21,87,5,Marion County,Mississippi
2020-05-27,30,30,19,23,24,4,24,25,3,236,1012,5,7.7,0.0,8.7,20,85,6,Marion County,Mississippi
2020-05-28,30,30,17,23,24,4,24,26,5,233,1014,7,2.2,0.0,13.4,18,75,7,Marion County,Mississippi
2020-05-29,30,30,18,23,25,5,25,26,3,214,1016,5,7.7,0.0,12.2,20,83,6,Marion County,Mississippi
2020-05-30,30,30,18,23,25,5,25,26,4,32,1017,6,4.3,0.0,12.2,19,79,6,Marion County,Mississippi
2020-05-31,30,30,18,23,24,6,24,26,5,37,1019,7,0.0,0.0,14.0,15,63,7,Marion County,Mississippi
2020-06-01,31,31,18,24,25,6,25,26,4,72,1019,7,0.0,0.0,13.4,16,64,7,Marion County,Mississippi
2020-06-02,32,32,20,24,26,5,26,27,4,125,1018,6,6.0,0.0,12.2,20,78,6,Marion County,Mississippi
2020-06-03,33,33,20,26,28,4,28,28,3,198,1016,5,12.5,0.0,9.0,21,83,6,Marion County,Mississippi
2020-06-04,32,32,20,25,27,3,27,28,3,212,1013,5,0.5,0.0,13.4,21,79,6,Marion County,Mississippi
2020-06-05,35,35,20,26,29,2,29,29,2,197,1014,4,7.4,0.0,12.3,22,80,6,Marion County,Mississippi
2020-06-06,31,31,21,25,27,5,27,28,6,93,1011,8,1.0,0.0,13.4,21,79,6,Marion County,Mississippi
2020-06-07,25,25,21,23,26,4,26,24,12,66,1004,20,72.6,0.0,9.0,22,93,5,Marion County,Mississippi
2020-06-08,28,28,23,25,28,5,28,25,11,189,1002,19,49.9,0.0,9.0,24,94,6,Marion County,Mississippi
2020-06-09,33,33,23,28,31,3,31,29,7,199,1010,11,3.2,0.0,9.1,23,83,6,Marion County,Mississippi
2020-06-10,32,32,23,27,29,3,29,29,6,272,1014,9,2.8,0.0,11.2,20,76,6,Marion County,Mississippi
2020-06-11,29,29,18,23,24,6,24,25,5,19,1021,9,0.0,0.0,14.5,17,73,6,Marion County,Mississippi
2020-06-12,29,29,17,23,23,6,23,25,7,26,1021,12,0.0,0.0,14.5,15,63,6,Marion County,Mississippi
2020-06-13,31,31,19,24,25,6,25,26,6,42,1017,10,1.0,0.0,14.5,16,64,7,Marion County,Mississippi
2020-06-14,31,31,19,25,26,5,26,27,4,81,1018,7,1.5,0.0,14.5,19,72,7,Marion County,Mississippi
2020-06-15,32,32,19,26,27,6,27,28,4,21,1020,6,0.1,0.0,14.5,17,67,7,Marion County,Mississippi
2020-06-16,30,30,19,24,25,6,25,26,4,16,1019,7,0.0,0.0,14.5,15,61,7,Marion County,Mississippi
2020-06-17,30,30,18,24,24,6,24,26,3,49,1018,5,0.0,0.0,14.5,16,67,6,Marion County,Mississippi
2020-06-18,33,33,18,25,26,6,26,28,2,188,1016,3,0.9,0.0,12.3,17,66,6,Marion County,Mississippi
2020-06-19,33,33,19,26,27,6,27,29,2,151,1017,3,0.0,0.0,14.5,18,67,7,Marion County,Mississippi
2020-06-20,35,35,20,26,28,6,28,30,2,272,1017,4,0.0,0.0,14.5,19,67,7,Marion County,Mississippi
2020-06-21,33,33,21,27,30,5,30,29,4,237,1015,7,0.3,0.0,14.5,20,71,6,Marion County,Mississippi
2020-06-22,32,32,23,25,28,4,28,27,6,209,1015,10,9.3,0.0,9.1,22,86,6,Marion County,Mississippi
