date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,-1,7,7,6,8,10,4,183,1023,7,0.0,0.0,8.6,2,71,2,Marion County,Tennessee
2020-03-02,12,12,5,8,8,3,9,10,5,168,1015,8,23.9,0.0,5.6,9,95,2,Marion County,Tennessee
2020-03-03,19,19,11,14,14,5,15,15,6,249,1010,10,11.0,0.0,8.6,11,89,4,Marion County,Tennessee
2020-03-04,14,14,5,10,10,5,11,12,3,202,1016,4,5.0,0.0,8.6,8,84,3,Marion County,Tennessee
2020-03-05,12,12,6,9,9,4,9,10,3,236,1018,4,13.9,0.0,5.7,8,94,2,Marion County,Tennessee
2020-03-06,9,9,2,2,2,6,5,6,10,316,1025,14,0.0,0.0,11.4,0,70,3,Marion County,Tennessee
2020-03-07,13,13,-2,3,3,6,6,7,5,51,1033,7,0.0,0.0,11.4,-3,66,3,Marion County,Tennessee
2020-03-08,15,15,-1,6,6,6,8,9,5,162,1033,7,0.0,0.0,8.7,0,66,2,Marion County,Tennessee
2020-03-09,16,16,3,9,9,6,10,12,6,171,1030,9,0.2,0.0,7.2,5,75,3,Marion County,Tennessee
2020-03-10,17,17,10,13,13,5,13,14,6,215,1024,10,6.8,0.0,5.9,12,91,3,Marion County,Tennessee
2020-03-11,18,18,11,15,15,4,15,16,4,242,1019,6,1.5,0.0,5.9,13,90,4,Marion County,Tennessee
2020-03-12,20,20,13,17,17,5,17,18,5,191,1014,8,1.8,0.0,6.0,15,90,4,Marion County,Tennessee
2020-03-13,19,19,7,14,14,5,15,16,6,122,1020,8,4.8,0.0,8.8,12,82,4,Marion County,Tennessee
2020-03-14,18,18,9,13,13,3,13,14,3,140,1025,5,3.2,0.0,6.0,10,81,3,Marion County,Tennessee
2020-03-15,17,17,7,13,13,5,13,14,3,335,1026,4,19.2,0.0,6.0,12,92,3,Marion County,Tennessee
2020-03-16,18,18,6,12,12,5,12,14,2,148,1025,3,4.2,0.0,6.0,9,87,3,Marion County,Tennessee
2020-03-17,20,20,12,16,16,5,16,17,3,280,1023,4,7.9,0.0,6.0,13,92,4,Marion County,Tennessee
2020-03-18,23,23,10,16,16,3,17,18,5,169,1022,8,5.7,0.0,6.0,14,90,4,Marion County,Tennessee
2020-03-19,24,24,16,20,20,4,20,21,6,199,1022,10,4.6,0.0,7.4,17,88,5,Marion County,Tennessee
2020-03-20,19,19,11,16,16,4,16,17,6,225,1022,9,41.3,0.0,6.1,16,96,4,Marion County,Tennessee
2020-03-21,16,16,10,13,13,5,14,13,5,326,1027,6,5.8,0.0,8.8,9,84,3,Marion County,Tennessee
2020-03-22,17,17,5,11,11,4,11,13,5,135,1025,6,0.7,0.0,8.8,8,82,3,Marion County,Tennessee
2020-03-23,19,19,12,14,14,2,15,16,4,242,1020,5,18.8,0.0,6.1,14,95,4,Marion County,Tennessee
2020-03-24,16,16,11,13,13,3,13,14,3,99,1014,6,82.7,0.0,6.1,13,98,3,Marion County,Tennessee
2020-03-25,22,22,12,15,15,5,16,17,3,238,1013,5,21.4,0.0,10.2,11,81,4,Marion County,Tennessee
2020-03-26,23,23,7,16,16,4,17,18,5,171,1015,8,0.0,0.0,11.6,11,81,5,Marion County,Tennessee
2020-03-27,27,27,15,21,22,4,22,23,5,219,1012,9,0.0,0.0,10.3,16,82,6,Marion County,Tennessee
2020-03-28,26,26,17,21,22,4,22,22,7,206,1013,10,0.3,0.0,10.3,18,86,5,Marion County,Tennessee
2020-03-29,22,22,17,19,19,5,20,20,8,265,1017,12,17.3,0.0,10.3,12,72,4,Marion County,Tennessee
2020-03-30,20,20,9,14,14,6,14,17,4,331,1021,6,0.0,0.0,11.6,7,64,5,Marion County,Tennessee
2020-03-31,10,10,6,7,7,4,9,9,6,150,1012,8,32.3,0.0,6.4,7,89,2,Marion County,Tennessee
2020-04-01,13,13,2,7,7,4,9,9,5,346,1016,8,0.0,0.0,11.6,2,77,3,Marion County,Tennessee
