date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,1,5,5,6,7,8,5,181,1026,8,0.0,0.0,11.6,-3,51,3,Marlboro County,South Carolina
2020-03-02,19,19,5,11,11,5,12,13,9,211,1020,15,0.8,0.0,10.2,5,65,3,Marlboro County,South Carolina
2020-03-03,17,17,9,14,14,5,15,16,10,214,1011,17,16.4,0.0,5.9,14,93,4,Marlboro County,South Carolina
2020-03-04,15,15,7,12,12,4,13,12,5,119,1015,8,2.9,0.0,7.3,9,81,3,Marlboro County,South Carolina
2020-03-05,10,10,7,8,8,3,10,9,7,67,1018,11,50.2,0.0,5.9,8,92,2,Marlboro County,South Carolina
2020-03-06,14,14,6,7,7,4,9,11,12,301,1015,18,2.9,0.0,11.6,3,68,4,Marlboro County,South Carolina
2020-03-07,12,12,2,4,4,6,7,8,10,351,1028,15,0.0,0.0,11.6,-2,54,3,Marlboro County,South Carolina
2020-03-08,15,15,3,8,8,6,9,11,5,173,1035,8,0.0,0.0,11.6,-1,51,4,Marlboro County,South Carolina
2020-03-09,20,20,6,12,12,6,13,15,7,209,1034,11,0.0,0.0,11.6,6,66,4,Marlboro County,South Carolina
2020-03-10,19,19,12,15,15,6,15,17,9,221,1026,15,3.0,0.0,7.4,12,82,4,Marlboro County,South Carolina
2020-03-11,23,23,12,17,17,3,18,19,7,235,1018,11,4.4,0.0,8.8,14,81,4,Marlboro County,South Carolina
2020-03-12,24,24,13,18,18,6,19,20,6,243,1015,11,0.0,0.0,11.6,13,74,6,Marlboro County,South Carolina
2020-03-13,21,21,17,19,19,6,19,20,8,265,1018,14,0.9,0.0,7.4,16,81,4,Marlboro County,South Carolina
2020-03-14,18,18,12,14,14,6,15,15,7,84,1027,11,0.0,0.0,10.2,5,53,4,Marlboro County,South Carolina
2020-03-15,16,16,11,13,13,4,14,15,8,47,1026,11,3.2,0.0,6.0,11,82,4,Marlboro County,South Carolina
2020-03-16,16,16,8,10,10,6,11,12,6,53,1029,9,0.0,0.0,10.2,5,66,3,Marlboro County,South Carolina
2020-03-17,20,20,10,14,14,4,14,15,3,235,1024,5,6.3,0.0,6.0,11,83,4,Marlboro County,South Carolina
2020-03-18,22,22,12,16,16,6,17,18,7,92,1027,10,0.0,0.0,8.8,13,82,4,Marlboro County,South Carolina
2020-03-19,27,27,16,21,22,3,22,23,8,215,1024,13,2.2,0.0,7.4,17,81,5,Marlboro County,South Carolina
2020-03-20,28,28,19,23,24,6,24,24,12,224,1023,18,0.2,0.0,11.6,18,77,6,Marlboro County,South Carolina
2020-03-21,25,25,16,20,21,6,21,22,7,52,1022,10,2.7,0.0,10.2,16,76,5,Marlboro County,South Carolina
2020-03-22,12,12,10,9,9,4,11,11,12,54,1028,16,3.8,0.0,6.1,8,80,3,Marlboro County,South Carolina
2020-03-23,16,16,9,12,12,4,12,13,4,267,1023,6,2.5,0.0,6.1,10,88,3,Marlboro County,South Carolina
2020-03-24,19,19,11,13,13,5,14,15,6,79,1017,9,32.1,0.0,6.1,12,88,3,Marlboro County,South Carolina
2020-03-25,21,21,13,18,18,5,18,20,10,333,1010,14,30.3,0.0,10.2,14,80,4,Marlboro County,South Carolina
2020-03-26,20,20,9,13,13,6,14,15,6,160,1018,9,0.0,0.0,11.6,9,74,5,Marlboro County,South Carolina
2020-03-27,28,28,14,20,21,5,21,22,9,233,1014,14,0.0,0.0,10.2,16,80,6,Marlboro County,South Carolina
2020-03-28,29,29,19,24,25,4,25,25,9,225,1014,15,0.0,0.0,11.6,18,76,7,Marlboro County,South Carolina
2020-03-29,29,29,20,24,25,6,25,25,12,239,1015,18,0.7,0.0,10.2,19,75,6,Marlboro County,South Carolina
2020-03-30,24,24,17,20,20,6,20,21,6,173,1017,10,0.0,0.0,11.6,9,51,6,Marlboro County,South Carolina
