date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,8,8,8,6,10,11,11,198,1007,18,0.0,0.0,11.6,3,59,4,Marshall County,Kansas
2020-03-02,9,9,2,2,2,6,5,5,8,203,1012,12,0.0,0.0,10.2,-2,61,1,Marshall County,Kansas
2020-03-03,14,14,3,6,6,6,9,9,11,280,1009,19,0.0,0.0,11.6,-2,49,3,Marshall County,Kansas
2020-03-04,15,15,6,8,8,6,10,10,10,268,1016,17,0.0,0.0,11.6,-2,46,3,Marshall County,Kansas
2020-03-05,12,12,6,6,6,6,9,10,17,322,1022,25,0.0,0.0,11.6,-5,40,3,Marshall County,Kansas
2020-03-06,12,12,-1,3,3,6,6,6,8,132,1032,13,0.0,0.0,11.6,-5,50,3,Marshall County,Kansas
2020-03-07,18,18,7,9,9,6,11,13,19,196,1022,29,0.0,0.0,10.2,-1,42,3,Marshall County,Kansas
2020-03-08,19,19,9,11,11,6,13,14,21,197,1013,30,0.0,0.0,10.2,6,61,4,Marshall County,Kansas
2020-03-09,13,13,3,5,5,4,8,8,14,346,1014,19,36.0,0.0,5.9,6,87,2,Marshall County,Kansas
2020-03-10,11,11,0,3,3,6,5,6,6,161,1023,9,0.0,0.0,11.6,0,69,3,Marshall County,Kansas
2020-03-11,18,18,6,10,10,6,11,12,6,249,1015,11,0.8,0.0,11.6,6,74,4,Marshall County,Kansas
2020-03-12,13,13,7,10,10,5,12,13,12,308,1009,18,4.3,0.0,8.8,5,66,3,Marshall County,Kansas
2020-03-13,7,7,2,1,1,4,4,5,7,83,1027,11,4.3,1.5,7.4,-3,61,2,Marshall County,Kansas
2020-03-14,3,3,1,-3,-3,4,2,2,13,77,1030,18,11.1,7.1,6.0,1,91,1,Marshall County,Kansas
2020-03-15,3,3,-4,-2,-2,5,1,2,7,119,1034,10,0.1,0.1,6.0,-1,83,1,Marshall County,Kansas
2020-03-16,8,8,1,3,3,5,5,5,5,113,1025,7,1.0,0.0,6.0,2,86,2,Marshall County,Kansas
2020-03-17,9,9,2,3,3,6,6,6,8,109,1024,12,0.0,0.0,8.8,3,80,2,Marshall County,Kansas
2020-03-18,16,16,7,10,10,4,12,13,10,151,1013,14,1.0,0.0,6.0,10,89,3,Marshall County,Kansas
2020-03-19,23,23,12,16,16,5,18,19,15,207,1005,23,13.7,0.0,6.0,11,76,4,Marshall County,Kansas
2020-03-20,4,4,-4,-5,-5,5,0,0,17,123,1031,21,0.2,0.0,11.6,-8,55,2,Marshall County,Kansas
2020-03-21,8,8,-4,-2,-2,6,2,3,8,174,1032,11,0.0,0.0,11.6,-7,54,2,Marshall County,Kansas
2020-03-22,6,6,-1,0,0,3,4,4,8,130,1021,12,5.9,0.0,6.1,2,89,1,Marshall County,Kansas
2020-03-23,17,17,2,7,7,4,9,10,7,167,1018,12,0.0,0.0,11.6,5,81,4,Marshall County,Kansas
2020-03-24,14,14,7,8,8,5,10,10,7,131,1013,12,0.1,0.0,7.5,8,87,3,Marshall County,Kansas
2020-03-25,21,21,8,12,12,6,14,15,12,202,1007,19,0.2,0.0,7.5,9,78,4,Marshall County,Kansas
2020-03-26,13,13,8,8,8,4,10,11,11,30,1006,16,0.6,0.0,6.1,8,86,3,Marshall County,Kansas
2020-03-27,17,17,9,10,10,6,12,13,7,72,1004,10,0.0,0.0,6.1,10,88,3,Marshall County,Kansas
2020-03-28,16,16,6,9,9,6,11,13,19,216,999,25,4.7,0.0,10.2,6,77,3,Marshall County,Kansas
2020-03-29,17,17,5,9,9,6,11,12,12,289,1015,19,0.0,0.0,11.6,1,54,4,Marshall County,Kansas
2020-03-30,19,19,7,12,12,6,13,14,9,126,1020,13,0.3,0.0,10.2,5,61,4,Marshall County,Kansas
2020-03-31,17,17,8,12,12,5,13,14,7,230,1016,10,0.6,0.0,11.6,8,74,4,Marshall County,Kansas
2020-04-01,21,21,9,13,13,6,14,16,14,185,1010,21,0.0,0.0,11.6,8,68,5,Marshall County,Kansas
2020-04-02,14,14,7,11,11,4,13,14,13,152,1009,20,6.3,0.0,6.2,9,83,3,Marshall County,Kansas
2020-04-03,8,8,-2,-4,-4,4,1,2,15,352,1023,19,1.5,0.3,8.9,-5,64,1,Marshall County,Kansas
2020-04-04,10,10,-3,0,0,6,3,4,6,85,1024,9,0.0,0.0,11.6,-5,56,2,Marshall County,Kansas
2020-04-05,16,16,1,6,6,6,9,10,10,154,1017,15,0.0,0.0,10.3,4,74,2,Marshall County,Kansas
2020-04-06,21,21,10,15,15,6,16,17,14,193,1009,21,0.0,0.0,7.6,13,80,4,Marshall County,Kansas
2020-04-07,27,27,14,19,19,6,20,21,9,317,1006,15,0.0,0.0,11.6,11,62,6,Marshall County,Kansas
2020-04-08,22,22,11,16,16,6,17,19,11,313,1010,16,0.0,0.0,11.6,6,48,5,Marshall County,Kansas
2020-04-09,13,13,5,7,7,6,9,10,13,321,1019,17,0.0,0.0,11.6,-3,46,4,Marshall County,Kansas
2020-04-10,10,10,-2,1,1,6,4,5,9,201,1020,14,0.0,0.0,10.4,-6,48,2,Marshall County,Kansas
2020-04-11,22,22,8,13,13,6,15,16,12,194,1003,20,2.2,0.0,9.2,9,70,4,Marshall County,Kansas
2020-04-12,12,12,-2,1,1,3,6,5,18,234,1005,25,15.2,0.0,6.8,4,87,2,Marshall County,Kansas
2020-04-13,6,6,-3,-3,-3,6,2,2,13,311,1024,18,0.0,0.0,11.6,-10,45,2,Marshall County,Kansas
2020-04-14,8,8,-3,0,0,6,3,4,9,259,1023,14,0.0,0.0,8.0,-8,45,1,Marshall County,Kansas
2020-04-15,11,11,-3,2,2,6,4,5,5,165,1019,9,0.0,0.0,10.4,-4,59,1,Marshall County,Kansas
2020-04-16,3,3,1,-2,-2,4,3,3,15,74,1021,20,7.6,2.1,6.8,1,87,1,Marshall County,Kansas
2020-04-17,6,6,-4,-3,-3,4,1,1,9,317,1023,14,7.4,7.1,11.6,-1,84,2,Marshall County,Kansas
2020-04-18,17,17,1,5,5,6,8,10,14,214,1013,22,0.0,0.0,11.6,2,65,4,Marshall County,Kansas
2020-04-19,16,16,8,11,11,6,12,13,9,54,1010,13,1.8,0.0,10.4,7,72,3,Marshall County,Kansas
2020-04-20,19,19,8,12,12,6,13,14,8,301,1010,11,0.4,0.0,9.2,6,68,3,Marshall County,Kansas
2020-04-21,21,21,8,14,14,6,15,15,6,194,1014,10,0.0,0.0,11.6,6,60,5,Marshall County,Kansas
2020-04-22,19,19,12,14,14,5,15,16,7,118,1008,11,2.2,0.0,9.2,10,76,4,Marshall County,Kansas
2020-04-23,24,24,11,17,17,4,18,19,6,322,1004,10,2.8,0.0,11.6,9,68,5,Marshall County,Kansas
2020-04-24,15,15,8,11,11,4,12,13,7,144,1008,12,58.0,0.0,6.9,11,91,3,Marshall County,Kansas
2020-04-25,18,18,8,12,12,6,13,15,9,331,1016,14,2.2,0.0,10.4,8,73,3,Marshall County,Kansas
2020-04-26,20,20,8,14,14,6,14,16,8,193,1018,12,0.1,0.0,11.6,7,62,5,Marshall County,Kansas
2020-04-27,24,24,12,17,17,6,18,19,11,213,1013,18,2.1,0.0,11.6,12,73,5,Marshall County,Kansas
2020-04-28,22,22,14,17,17,5,19,19,11,338,1009,18,1.0,0.0,11.6,12,74,5,Marshall County,Kansas
2020-04-29,17,17,10,12,12,5,13,14,17,342,1015,25,1.0,0.0,8.1,7,68,3,Marshall County,Kansas
2020-04-30,21,21,9,14,14,6,15,16,6,278,1015,11,0.0,0.0,11.6,8,65,5,Marshall County,Kansas
2020-05-01,25,25,13,18,18,6,20,20,10,213,1009,15,0.0,0.0,11.6,13,68,5,Marshall County,Kansas
2020-05-02,23,23,16,19,19,6,19,20,12,42,1013,19,0.1,0.0,10.4,12,64,5,Marshall County,Kansas
2020-05-03,22,22,12,17,17,6,17,18,8,71,1016,13,0.0,0.0,11.6,9,60,5,Marshall County,Kansas
2020-05-04,14,14,10,11,11,5,13,12,11,79,1012,19,25.4,0.0,8.2,10,82,3,Marshall County,Kansas
2020-05-05,18,18,8,12,12,6,14,15,14,323,1017,21,0.0,0.0,11.6,5,62,4,Marshall County,Kansas
2020-05-06,15,15,7,10,10,6,12,12,7,334,1024,10,0.1,0.0,10.5,5,70,3,Marshall County,Kansas
2020-05-07,13,13,6,8,8,4,9,11,7,151,1017,11,0.9,0.0,9.3,6,80,3,Marshall County,Kansas
2020-05-08,13,13,5,7,7,6,10,9,12,238,1023,16,4.0,0.0,11.6,2,67,3,Marshall County,Kansas
2020-05-09,14,14,4,8,8,6,10,11,8,235,1023,12,1.0,0.0,8.2,4,67,3,Marshall County,Kansas
2020-05-10,13,13,2,5,5,6,8,8,12,335,1027,17,0.8,0.0,11.6,0,63,3,Marshall County,Kansas
2020-05-11,10,10,3,4,4,6,6,8,5,287,1028,8,0.1,0.0,9.3,0,65,2,Marshall County,Kansas
2020-05-12,14,14,4,7,7,6,8,10,8,126,1022,11,0.1,0.0,8.2,4,75,2,Marshall County,Kansas
2020-05-13,14,14,7,7,7,6,10,10,10,153,1013,15,0.2,0.0,7.1,10,92,3,Marshall County,Kansas
2020-05-14,26,26,15,20,20,5,21,21,9,230,1006,14,0.0,0.0,10.5,16,79,5,Marshall County,Kansas
2020-05-15,21,21,13,17,17,6,18,18,13,76,1011,20,0.1,0.0,11.6,13,75,4,Marshall County,Kansas
2020-05-16,25,25,17,21,21,6,21,22,8,326,1008,11,2.7,0.0,9.4,16,80,5,Marshall County,Kansas
