date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-7,-2,-2,6,1,2,7,200,1022,11,0.0,0.0,10.2,-7,60,2,Marshall County,West Virginia
2020-03-02,10,10,2,3,3,5,6,7,10,207,1011,16,4.7,0.0,7.3,4,86,2,Marshall County,West Virginia
2020-03-03,13,13,8,9,9,4,11,11,10,225,1004,16,11.2,0.0,5.8,7,89,3,Marshall County,West Virginia
2020-03-04,12,12,1,2,2,5,5,7,9,248,1013,12,2.3,0.0,8.7,2,80,2,Marshall County,West Virginia
2020-03-05,11,11,-1,4,4,6,5,6,3,183,1018,4,0.0,0.0,7.3,-1,70,2,Marshall County,West Virginia
2020-03-06,4,4,-2,-2,-2,3,1,2,8,304,1015,12,3.6,2.6,5.9,0,88,1,Marshall County,West Virginia
2020-03-07,7,7,-3,-2,-2,5,1,2,6,312,1032,10,0.7,0.8,10.2,-5,69,1,Marshall County,West Virginia
2020-03-08,13,13,-3,3,3,6,6,7,6,210,1031,10,0.0,0.0,10.2,-1,67,2,Marshall County,West Virginia
2020-03-09,15,15,5,7,7,6,10,11,9,214,1027,14,0.0,0.0,11.6,4,70,4,Marshall County,West Virginia
2020-03-10,13,13,4,8,8,4,10,12,11,251,1019,16,23.4,0.0,5.9,8,89,3,Marshall County,West Virginia
2020-03-11,13,13,0,6,6,4,6,8,2,157,1019,3,0.4,0.0,5.9,4,88,2,Marshall County,West Virginia
2020-03-12,18,18,6,11,11,5,12,13,6,191,1013,8,3.4,0.0,8.8,8,81,3,Marshall County,West Virginia
2020-03-13,12,12,5,8,8,5,10,11,11,278,1016,15,8.6,0.0,10.2,5,71,4,Marshall County,West Virginia
2020-03-14,10,10,1,4,4,5,5,6,3,238,1031,5,2.3,0.8,8.8,-2,65,2,Marshall County,West Virginia
2020-03-15,8,8,0,1,1,4,3,5,7,44,1032,9,4.0,4.2,6.0,1,85,1,Marshall County,West Virginia
2020-03-16,9,9,0,3,3,5,5,6,4,167,1027,6,0.5,0.0,6.0,3,87,2,Marshall County,West Virginia
2020-03-17,9,9,3,6,6,4,7,8,4,283,1023,6,1.3,0.0,7.4,5,89,2,Marshall County,West Virginia
2020-03-18,14,14,1,7,7,5,8,9,5,127,1025,7,24.8,0.0,7.4,6,87,2,Marshall County,West Virginia
2020-03-19,18,18,12,14,14,3,15,15,7,221,1019,11,23.0,0.0,6.0,14,93,3,Marshall County,West Virginia
2020-03-20,21,21,13,18,18,4,18,19,14,249,1015,18,45.6,0.0,6.1,13,83,4,Marshall County,West Virginia
2020-03-21,8,8,-1,0,0,6,3,4,7,123,1030,8,0.0,0.0,11.6,-3,66,2,Marshall County,West Virginia
2020-03-22,12,12,-3,2,2,5,4,6,5,100,1031,8,0.6,0.0,10.2,-2,67,3,Marshall County,West Virginia
2020-03-23,10,10,4,5,5,4,7,8,7,239,1021,10,10.4,0.0,6.1,5,89,2,Marshall County,West Virginia
2020-03-24,14,14,-1,6,6,5,7,9,4,87,1019,7,0.0,0.0,10.2,2,77,2,Marshall County,West Virginia
2020-03-25,12,12,5,6,6,5,8,9,6,136,1013,9,6.3,0.0,7.5,5,85,2,Marshall County,West Virginia
