date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,1,4,4,5,8,9,12,205,1011,20,5.2,0.0,7.1,5,83,2,Mason County,Illinois
2020-03-02,9,9,2,4,4,5,6,5,7,330,1009,10,7.0,0.0,10.1,1,70,3,Mason County,Illinois
2020-03-03,12,12,2,4,4,6,6,8,11,281,1007,17,0.0,0.0,11.2,-1,61,3,Mason County,Illinois
2020-03-04,10,10,4,4,4,6,7,7,8,320,1015,14,0.0,0.0,11.3,-1,59,3,Mason County,Illinois
2020-03-05,12,12,4,3,3,6,7,9,15,267,1017,23,0.0,0.0,11.3,-1,56,3,Mason County,Illinois
2020-03-06,7,7,-1,-2,-2,5,3,3,14,337,1029,19,0.0,0.0,11.3,-6,54,2,Mason County,Illinois
2020-03-07,12,12,0,2,2,6,5,7,11,181,1031,17,0.0,0.0,11.4,-3,57,3,Mason County,Illinois
2020-03-08,17,17,5,8,8,6,11,11,15,195,1022,23,0.0,0.0,11.6,2,57,4,Mason County,Illinois
2020-03-09,13,13,7,9,9,4,12,12,17,187,1016,28,24.2,0.0,5.9,9,81,3,Mason County,Illinois
2020-03-10,10,10,5,4,4,5,7,7,8,313,1022,12,3.8,0.0,7.3,3,77,2,Mason County,Illinois
2020-03-11,15,15,3,7,7,6,8,9,5,245,1017,8,0.0,0.0,11.6,4,76,3,Mason County,Illinois
2020-03-12,15,15,7,8,8,5,10,11,11,161,1008,17,6.4,0.0,5.9,8,90,3,Mason County,Illinois
2020-03-13,9,9,1,2,2,6,6,6,10,313,1025,15,0.0,0.0,10.2,-3,55,2,Mason County,Illinois
2020-03-14,2,2,-4,-2,-2,3,2,1,9,67,1033,13,14.9,7.7,6.0,0,88,1,Mason County,Illinois
2020-03-15,5,5,-2,-2,-2,6,2,2,8,56,1035,12,0.0,0.0,6.0,-1,82,1,Mason County,Illinois
2020-03-16,6,6,1,2,2,6,4,4,4,217,1027,6,2.0,0.0,6.0,2,85,1,Mason County,Illinois
2020-03-17,11,11,2,4,4,6,6,7,5,69,1026,8,0.0,0.0,11.6,0,67,3,Mason County,Illinois
2020-03-18,9,9,6,5,5,4,7,7,6,121,1020,9,12.8,0.0,6.0,5,87,2,Mason County,Illinois
2020-03-19,18,18,6,10,10,5,12,13,12,171,1011,22,10.3,0.0,6.0,11,92,3,Mason County,Illinois
2020-03-20,7,7,2,3,3,6,7,5,14,340,1022,20,2.9,0.0,6.1,3,73,2,Mason County,Illinois
2020-03-21,6,6,-2,-1,-1,6,2,3,6,71,1034,9,0.1,0.0,11.6,-5,59,2,Mason County,Illinois
2020-03-22,2,2,-6,-4,-4,5,0,1,9,127,1028,12,5.8,2.6,6.3,-2,82,1,Mason County,Illinois
2020-03-23,9,9,1,3,3,4,4,5,3,20,1023,4,1.1,0.0,10.3,2,85,2,Mason County,Illinois
2020-03-24,12,12,1,4,4,6,6,7,6,115,1018,9,0.0,0.0,11.6,2,78,3,Mason County,Illinois
2020-03-25,17,17,3,8,8,4,9,11,8,191,1013,12,0.0,0.0,11.6,6,80,4,Mason County,Illinois
2020-03-26,14,14,8,10,10,5,11,12,7,99,1008,11,0.4,0.0,6.3,9,89,3,Mason County,Illinois
2020-03-27,15,15,8,8,8,5,10,11,11,73,1008,16,6.3,0.0,6.3,9,90,3,Mason County,Illinois
2020-03-28,24,24,14,18,18,4,18,20,9,215,1001,16,22.1,0.0,6.4,15,84,4,Mason County,Illinois
2020-03-29,14,14,9,8,8,6,11,11,20,268,1008,28,1.9,0.0,9.0,4,64,3,Mason County,Illinois
2020-03-30,15,15,4,8,8,6,10,10,9,312,1021,13,0.0,0.0,11.6,3,65,4,Mason County,Illinois
2020-03-31,9,9,5,5,5,6,7,7,7,46,1018,10,0.0,0.0,7.7,3,74,2,Mason County,Illinois
2020-04-01,14,14,2,6,6,6,7,8,5,128,1018,8,0.0,0.0,11.6,2,69,3,Mason County,Illinois
2020-04-02,17,17,7,10,10,6,12,13,10,147,1018,15,0.0,0.0,7.7,6,69,3,Mason County,Illinois
2020-04-03,15,15,4,9,9,4,11,13,11,180,1017,15,17.4,0.0,6.4,9,84,3,Mason County,Illinois
2020-04-04,13,13,1,3,3,5,6,7,10,236,1021,13,3.6,0.0,10.3,1,70,2,Mason County,Illinois
2020-04-05,16,16,5,8,8,6,10,11,6,103,1021,9,0.0,0.0,11.6,2,61,4,Mason County,Illinois
2020-04-06,20,20,7,12,12,6,13,14,7,180,1016,11,1.0,0.0,6.5,9,78,3,Mason County,Illinois
