date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-4,1,1,6,4,5,6,191,1022,10,0.0,0.0,11.2,-5,59,3,Mason County,West Virginia
2020-03-02,11,11,5,5,5,4,8,9,9,209,1013,15,17.1,0.0,5.8,6,85,2,Mason County,West Virginia
2020-03-03,14,14,7,9,9,4,11,13,10,242,1006,16,13.5,0.0,5.8,8,87,3,Mason County,West Virginia
2020-03-04,14,14,2,6,6,6,9,10,7,235,1015,12,0.0,0.0,11.6,3,73,3,Mason County,West Virginia
2020-03-05,14,14,1,7,7,6,8,9,4,173,1018,6,0.0,0.0,11.6,1,69,2,Mason County,West Virginia
2020-03-06,5,5,0,0,0,4,3,4,11,297,1018,15,7.3,3.3,5.9,1,84,1,Mason County,West Virginia
2020-03-07,8,8,-2,0,0,5,3,3,5,212,1033,7,0.3,0.3,8.7,-3,73,1,Mason County,West Virginia
2020-03-08,15,15,-1,5,5,6,7,9,5,207,1032,8,0.0,0.0,10.2,0,65,2,Mason County,West Virginia
2020-03-09,17,17,5,10,10,6,11,12,7,216,1028,12,0.0,0.0,11.6,5,68,4,Mason County,West Virginia
2020-03-10,14,14,10,11,11,5,13,14,9,252,1020,15,7.0,0.0,5.9,10,84,3,Mason County,West Virginia
2020-03-11,13,13,7,10,10,6,10,12,4,237,1019,6,0.4,0.0,5.9,8,87,3,Mason County,West Virginia
2020-03-12,20,20,7,13,13,5,13,15,4,179,1013,7,14.2,0.0,11.6,10,82,5,Mason County,West Virginia
2020-03-13,13,13,6,10,10,5,12,12,9,293,1018,13,32.1,0.0,10.2,7,73,3,Mason County,West Virginia
2020-03-14,6,6,-1,2,2,5,4,4,5,54,1031,7,6.3,0.0,7.4,0,78,1,Mason County,West Virginia
2020-03-15,7,7,2,2,2,4,4,5,6,24,1031,9,0.1,0.0,6.0,2,88,1,Mason County,West Virginia
2020-03-16,12,12,3,7,7,6,8,9,4,207,1026,6,0.1,0.0,7.4,5,83,2,Mason County,West Virginia
2020-03-17,11,11,5,8,8,4,9,10,3,297,1024,5,4.3,0.0,6.0,7,91,2,Mason County,West Virginia
2020-03-18,17,17,3,9,9,2,10,12,6,139,1024,10,24.9,0.0,7.4,9,91,3,Mason County,West Virginia
2020-03-19,21,21,10,16,16,4,16,17,7,197,1020,12,25.3,0.0,6.0,16,91,4,Mason County,West Virginia
2020-03-20,22,22,16,19,19,5,20,20,12,246,1017,19,15.7,0.0,6.1,15,83,4,Mason County,West Virginia
2020-03-21,8,8,1,3,3,5,5,5,5,131,1029,7,0.7,0.0,7.4,1,75,1,Mason County,West Virginia
2020-03-22,14,14,-1,4,4,6,7,8,6,64,1029,9,0.1,0.0,10.2,1,75,2,Mason County,West Virginia
2020-03-23,11,11,7,8,8,5,10,10,6,256,1020,10,20.6,0.0,6.1,8,88,3,Mason County,West Virginia
2020-03-24,14,14,3,7,7,4,9,10,5,65,1018,8,0.4,0.0,8.9,6,83,4,Mason County,West Virginia
2020-03-25,14,14,8,8,8,5,9,11,5,326,1013,8,5.2,0.0,7.5,8,90,3,Mason County,West Virginia
2020-03-26,21,21,6,13,13,6,13,15,6,218,1013,10,0.0,0.0,11.6,8,75,5,Mason County,West Virginia
2020-03-27,21,21,12,15,15,4,16,17,5,176,1011,8,7.4,0.0,6.1,14,91,4,Mason County,West Virginia
2020-03-28,26,26,16,20,21,5,21,23,8,229,1010,12,10.4,0.0,7.5,18,85,5,Mason County,West Virginia
2020-03-29,22,22,14,18,18,6,19,20,11,243,1011,18,8.4,0.0,8.9,13,75,4,Mason County,West Virginia
2020-03-30,15,15,8,10,10,6,11,12,9,275,1018,13,0.0,0.0,11.6,5,67,4,Mason County,West Virginia
2020-03-31,8,8,5,6,6,4,7,8,3,167,1014,4,3.9,0.0,6.2,4,80,2,Mason County,West Virginia
2020-04-01,11,11,4,5,5,4,6,8,6,325,1014,9,4.0,0.0,6.2,5,88,2,Mason County,West Virginia
2020-04-02,14,14,2,6,6,4,8,9,5,310,1020,7,0.2,0.0,8.9,4,79,2,Mason County,West Virginia
2020-04-03,17,17,4,10,10,6,11,13,4,326,1018,7,0.0,0.0,11.6,4,72,4,Mason County,West Virginia
2020-04-04,19,19,5,13,13,6,13,15,3,129,1017,4,0.0,0.0,11.6,5,65,4,Mason County,West Virginia
2020-04-05,16,16,10,13,13,4,13,14,3,233,1019,5,3.9,0.0,6.3,10,85,3,Mason County,West Virginia
2020-04-06,20,20,9,13,13,5,13,16,3,317,1019,4,0.0,0.0,7.6,10,80,4,Mason County,West Virginia
2020-04-07,23,23,12,17,17,5,18,19,7,237,1011,12,12.3,0.0,6.3,14,86,4,Mason County,West Virginia
2020-04-08,22,22,15,18,18,5,19,20,8,281,1005,14,26.6,0.0,6.3,16,87,5,Mason County,West Virginia
2020-04-09,12,12,4,9,9,5,11,11,11,287,1004,16,8.2,0.0,9.1,5,72,3,Mason County,West Virginia
2020-04-10,9,9,1,1,1,5,5,6,10,295,1013,13,1.6,0.9,7.9,-1,67,2,Mason County,West Virginia
2020-04-11,15,15,1,7,7,6,8,10,5,248,1018,8,0.0,0.0,11.6,1,64,4,Mason County,West Virginia
2020-04-12,21,21,7,12,12,5,13,16,7,198,1012,11,16.8,0.0,10.4,7,69,4,Mason County,West Virginia
2020-04-13,17,17,5,12,12,5,13,14,12,265,1006,19,28.2,0.0,6.8,10,83,3,Mason County,West Virginia
2020-04-14,8,8,0,3,3,5,4,6,4,304,1022,5,2.9,0.0,8.0,0,79,2,Mason County,West Virginia
2020-04-15,11,11,-2,3,3,5,5,7,6,238,1020,9,0.1,0.0,11.6,-2,66,3,Mason County,West Virginia
2020-04-16,11,11,-3,3,3,6,5,6,5,276,1026,7,0.1,0.0,11.6,-3,64,3,Mason County,West Virginia
2020-04-17,17,17,2,8,8,5,9,11,6,238,1018,9,14.2,0.0,10.4,4,76,3,Mason County,West Virginia
2020-04-18,12,12,3,5,5,5,7,8,7,292,1016,9,23.7,2.0,9.2,2,76,2,Mason County,West Virginia
2020-04-19,14,14,1,7,7,6,8,10,5,229,1012,7,0.0,0.0,11.6,3,72,4,Mason County,West Virginia
2020-04-20,16,16,6,10,10,6,11,12,5,313,1007,8,0.0,0.0,10.4,6,75,3,Mason County,West Virginia
2020-04-21,12,12,3,7,7,4,9,11,10,297,1010,15,1.8,0.0,9.2,3,70,3,Mason County,West Virginia
2020-04-22,17,17,-1,8,8,6,8,11,3,248,1018,5,0.0,0.0,11.6,0,60,4,Mason County,West Virginia
2020-04-23,12,12,4,8,8,4,10,11,5,126,1009,9,26.7,0.0,6.9,9,91,3,Mason County,West Virginia
2020-04-24,18,18,10,12,12,4,13,14,3,323,1007,5,32.2,0.0,6.9,11,93,3,Mason County,West Virginia
2020-04-25,20,20,8,12,12,3,13,16,6,133,1011,10,23.4,0.0,8.1,11,89,4,Mason County,West Virginia
2020-04-26,11,11,7,8,8,4,10,11,10,255,1008,15,28.2,0.0,6.9,9,96,3,Mason County,West Virginia
2020-04-27,16,16,4,9,9,5,11,11,5,302,1021,7,0.7,0.0,10.4,4,75,3,Mason County,West Virginia
2020-04-28,22,22,8,15,15,6,17,17,7,236,1017,11,0.1,0.0,10.4,9,69,4,Mason County,West Virginia
2020-04-29,26,26,12,19,19,5,20,22,9,186,1007,15,6.4,0.0,10.4,11,68,5,Mason County,West Virginia
2020-04-30,13,13,8,8,8,5,10,11,8,233,1006,12,8.4,0.0,6.9,8,89,3,Mason County,West Virginia
2020-05-01,13,13,7,8,8,5,10,11,6,297,1014,9,3.7,0.0,7.0,7,86,3,Mason County,West Virginia
2020-05-02,25,25,7,15,15,4,17,18,6,202,1018,10,0.0,0.0,11.6,11,76,5,Mason County,West Virginia
2020-05-03,20,20,12,17,17,5,17,18,7,254,1012,12,26.8,0.0,7.0,16,95,4,Mason County,West Virginia
2020-05-04,19,19,8,13,13,5,14,16,6,333,1016,9,4.4,0.0,11.6,8,73,5,Mason County,West Virginia
2020-05-05,12,12,6,7,7,4,9,9,7,69,1011,11,3.5,0.0,7.0,7,90,2,Mason County,West Virginia
2020-05-06,12,12,4,5,5,2,7,7,7,320,1014,10,1.6,0.0,7.0,4,83,2,Mason County,West Virginia
2020-05-07,17,17,1,8,8,6,9,13,6,265,1017,10,0.4,0.0,11.6,3,67,4,Mason County,West Virginia
2020-05-08,10,10,0,6,6,4,7,9,7,268,1012,11,30.9,0.0,7.0,7,95,2,Mason County,West Virginia
2020-05-09,11,11,-2,2,2,5,4,6,7,299,1023,9,0.0,0.0,11.6,-3,66,3,Mason County,West Virginia
2020-05-10,18,18,1,7,7,6,9,12,8,238,1020,13,2.8,0.0,10.5,3,69,3,Mason County,West Virginia
2020-05-11,9,9,2,3,3,5,5,7,9,288,1021,12,2.5,0.0,7.1,2,81,2,Mason County,West Virginia
2020-05-12,14,14,0,6,6,4,8,10,5,287,1025,7,0.0,0.0,9.3,1,70,2,Mason County,West Virginia
2020-05-13,16,16,3,9,9,6,9,12,4,171,1026,5,0.0,0.0,9.3,5,76,3,Mason County,West Virginia
2020-05-14,24,24,10,16,16,3,17,19,6,229,1021,9,9.0,0.0,7.1,15,91,4,Mason County,West Virginia
2020-05-15,25,25,16,20,21,5,21,23,8,249,1017,13,6.8,0.0,11.6,16,80,5,Mason County,West Virginia
2020-05-16,25,25,16,20,20,3,20,22,5,243,1016,7,14.2,0.0,8.2,18,90,5,Mason County,West Virginia
2020-05-17,27,27,17,21,21,3,21,23,8,258,1014,14,5.2,0.0,8.2,18,86,5,Mason County,West Virginia
2020-05-18,23,23,18,20,20,5,21,21,7,138,1010,13,18.1,0.0,7.1,18,87,5,Mason County,West Virginia
2020-05-19,16,16,11,14,14,4,15,15,9,94,1012,15,46.8,0.0,7.1,14,97,3,Mason County,West Virginia
2020-05-20,11,11,7,8,8,4,10,10,7,56,1020,11,18.8,0.0,7.1,10,97,2,Mason County,West Virginia
2020-05-21,20,20,12,14,14,4,15,16,7,81,1019,11,25.2,0.0,7.1,14,94,4,Mason County,West Virginia
2020-05-22,22,22,12,17,17,3,18,20,4,239,1017,7,7.6,0.0,8.3,16,91,4,Mason County,West Virginia
2020-05-23,29,29,13,20,21,3,21,23,3,227,1017,4,3.5,0.0,9.4,16,81,5,Mason County,West Virginia
2020-05-24,30,30,17,23,23,3,23,25,3,237,1017,6,3.8,0.0,8.3,19,82,6,Mason County,West Virginia
