date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,18,19,19,6,19,20,17,175,1016,29,0.6,0.0,5.9,16,80,4,Matagorda County,Texas
2020-03-02,22,22,19,20,20,6,21,21,11,177,1012,18,0.4,0.0,5.9,18,87,5,Matagorda County,Texas
2020-03-03,23,23,19,21,21,5,22,21,10,84,1009,17,0.3,0.0,8.7,19,88,5,Matagorda County,Texas
2020-03-04,25,25,17,21,22,6,22,22,11,234,1008,18,1.1,0.0,10.2,17,81,5,Matagorda County,Texas
2020-03-05,18,18,13,14,14,6,15,15,15,231,1021,21,0.0,0.0,8.8,11,74,4,Matagorda County,Texas
2020-03-06,19,19,12,14,14,6,15,16,11,57,1030,18,0.0,0.0,10.2,6,56,4,Matagorda County,Texas
2020-03-07,18,18,12,14,14,6,15,16,10,100,1028,16,0.0,0.0,11.6,9,68,5,Matagorda County,Texas
2020-03-08,20,20,15,17,17,6,18,19,13,129,1025,21,0.3,0.0,7.4,14,79,4,Matagorda County,Texas
2020-03-09,22,22,18,19,19,6,20,20,13,171,1023,21,0.6,0.0,11.6,17,84,6,Matagorda County,Texas
2020-03-10,23,23,18,20,20,5,21,21,7,138,1023,12,7.2,0.0,8.8,18,85,5,Matagorda County,Texas
2020-03-11,23,23,18,20,20,5,21,21,10,185,1019,15,0.0,0.0,11.6,18,88,6,Matagorda County,Texas
2020-03-12,23,23,19,20,20,6,21,21,12,180,1014,19,0.0,0.0,11.6,19,91,6,Matagorda County,Texas
2020-03-13,23,23,19,21,21,6,22,22,12,151,1015,19,0.0,0.0,6.0,19,92,5,Matagorda County,Texas
2020-03-14,24,24,20,22,23,6,23,22,12,143,1019,18,0.5,0.0,10.2,20,91,5,Matagorda County,Texas
2020-03-15,24,24,20,22,23,6,23,23,11,127,1022,16,0.5,0.0,11.6,20,88,5,Matagorda County,Texas
2020-03-16,23,23,19,21,21,4,22,21,10,121,1020,15,0.2,0.0,8.8,19,90,5,Matagorda County,Texas
2020-03-17,24,24,20,22,23,6,23,23,11,130,1018,17,0.0,0.0,11.6,19,86,6,Matagorda County,Texas
2020-03-18,24,24,21,22,23,6,23,23,13,164,1017,20,0.0,0.0,10.2,20,90,5,Matagorda County,Texas
2020-03-19,24,24,22,23,25,6,25,23,14,159,1016,21,0.3,0.0,6.0,21,89,5,Matagorda County,Texas
2020-03-20,24,24,20,22,24,5,24,23,10,140,1020,15,0.5,0.0,6.0,21,90,5,Matagorda County,Texas
2020-03-21,19,19,14,16,16,6,17,17,14,53,1023,19,1.4,0.0,6.1,15,87,4,Matagorda County,Texas
2020-03-22,25,25,19,22,23,5,23,23,11,169,1018,17,1.7,0.0,8.8,20,90,5,Matagorda County,Texas
2020-03-23,25,25,21,22,24,6,24,24,12,179,1017,18,0.4,0.0,7.5,21,90,5,Matagorda County,Texas
2020-03-24,25,25,22,23,26,6,26,24,14,204,1013,21,0.1,0.0,10.2,21,87,5,Matagorda County,Texas
2020-03-25,27,27,20,23,25,5,25,24,7,154,1013,11,0.0,0.0,11.6,20,86,6,Matagorda County,Texas
2020-03-26,26,26,21,23,25,6,25,24,12,161,1011,19,0.0,0.0,11.6,21,88,6,Matagorda County,Texas
2020-03-27,26,26,22,24,26,6,26,24,14,166,1009,21,0.0,0.0,11.6,21,87,6,Matagorda County,Texas
2020-03-28,26,26,20,22,24,6,24,23,13,233,1011,19,1.1,0.0,7.5,18,80,5,Matagorda County,Texas
2020-03-29,24,24,17,20,20,6,21,21,12,65,1017,20,0.1,0.0,10.2,10,54,5,Matagorda County,Texas
2020-03-30,25,25,20,23,24,6,24,24,11,159,1015,17,0.7,0.0,8.9,20,86,5,Matagorda County,Texas
2020-03-31,22,22,18,21,21,6,24,22,13,348,1014,18,0.2,0.0,11.6,17,79,6,Matagorda County,Texas
2020-04-01,21,21,14,18,18,6,18,19,12,114,1016,17,0.0,0.0,11.6,13,74,5,Matagorda County,Texas
2020-04-02,24,24,19,22,23,6,23,23,14,141,1013,21,0.4,0.0,7.5,18,80,5,Matagorda County,Texas
2020-04-03,25,25,21,23,25,5,25,24,13,130,1012,21,17.0,0.0,6.2,20,87,5,Matagorda County,Texas
2020-04-04,18,18,10,17,17,5,18,17,15,18,1014,22,12.1,0.0,6.2,17,90,4,Matagorda County,Texas
2020-04-05,23,23,17,20,20,6,21,21,12,84,1016,17,2.2,0.0,6.2,17,83,5,Matagorda County,Texas
2020-04-06,26,26,20,23,24,5,24,23,9,103,1015,13,1.2,0.0,6.2,20,88,5,Matagorda County,Texas
2020-04-07,27,27,23,24,27,6,27,26,7,199,1015,10,1.1,0.0,10.3,22,87,7,Matagorda County,Texas
2020-04-08,27,27,22,24,27,5,27,25,9,205,1012,13,0.0,0.0,11.6,22,87,7,Matagorda County,Texas
2020-04-09,30,30,23,25,27,5,27,26,8,217,1010,12,2.6,0.0,11.6,22,86,7,Matagorda County,Texas
2020-04-10,23,23,20,21,23,5,23,22,15,69,1014,21,3.1,0.0,6.2,18,81,5,Matagorda County,Texas
2020-04-11,26,26,21,23,25,6,25,24,15,127,1010,23,2.1,0.0,6.2,21,86,5,Matagorda County,Texas
2020-04-12,30,30,23,25,27,5,27,27,18,252,1004,28,0.9,0.0,8.9,17,66,6,Matagorda County,Texas
2020-04-13,20,20,12,16,16,6,17,15,13,9,1016,18,0.0,0.0,11.6,9,62,5,Matagorda County,Texas
2020-04-14,22,22,14,16,16,6,17,18,14,24,1018,20,0.0,0.0,10.3,11,69,5,Matagorda County,Texas
2020-04-15,19,19,10,14,14,6,15,15,11,51,1020,15,0.0,0.0,11.6,8,63,5,Matagorda County,Texas
2020-04-16,22,22,13,18,18,6,19,19,11,116,1019,16,0.0,0.0,11.6,12,66,5,Matagorda County,Texas
