date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-5,-5,-5,6,0,1,11,197,1012,18,0.0,0.0,7.1,-2,87,1,Mecosta County,Michigan
2020-03-02,3,3,-1,-3,-3,5,1,2,8,281,1006,12,0.0,0.0,7.1,-1,87,1,Mecosta County,Michigan
2020-03-03,4,4,-2,-4,-4,3,0,1,9,238,1002,13,1.7,1.4,7.1,-2,87,1,Mecosta County,Michigan
2020-03-04,1,1,-5,-6,-6,5,-1,0,11,296,1011,16,0.6,0.4,8.6,-4,79,1,Mecosta County,Michigan
2020-03-05,4,4,-5,-5,-5,4,-1,1,9,195,1014,14,5.1,4.1,5.6,-2,89,1,Mecosta County,Michigan
2020-03-06,0,0,-5,-6,-6,3,-1,0,12,239,1022,16,1.9,1.4,7.1,-4,84,1,Mecosta County,Michigan
2020-03-07,5,5,-5,-4,-4,6,0,1,9,210,1030,13,0.0,0.0,11.3,-7,64,2,Mecosta County,Michigan
2020-03-08,10,10,1,1,1,6,5,6,14,216,1021,24,0.0,0.0,10.1,-1,64,2,Mecosta County,Michigan
2020-03-09,9,9,3,5,5,5,8,8,14,212,1016,24,15.5,0.0,5.7,6,85,2,Mecosta County,Michigan
2020-03-10,7,7,1,1,1,5,4,4,10,346,1019,13,18.1,0.0,10.1,-2,68,2,Mecosta County,Michigan
2020-03-11,6,6,-1,0,0,3,3,4,6,228,1018,8,1.8,1.0,5.7,0,80,1,Mecosta County,Michigan
2020-03-12,10,10,0,2,2,4,5,6,10,171,1008,15,2.3,0.0,7.4,3,83,2,Mecosta County,Michigan
2020-03-13,4,4,-1,-4,-4,4,2,2,19,276,1016,24,6.6,0.0,10.2,-5,63,2,Mecosta County,Michigan
2020-03-14,3,3,-2,-4,-4,6,0,1,8,341,1034,11,0.0,0.0,6.0,-6,64,1,Mecosta County,Michigan
2020-03-15,4,4,-3,-4,-4,6,0,1,8,88,1038,10,0.0,0.0,11.6,-8,59,2,Mecosta County,Michigan
2020-03-16,5,5,-3,-4,-4,6,1,2,10,205,1026,12,0.1,0.0,8.8,-5,66,1,Mecosta County,Michigan
2020-03-17,5,5,0,-2,-2,5,2,3,11,291,1023,15,0.4,0.2,11.6,-5,64,2,Mecosta County,Michigan
2020-03-18,7,7,0,0,0,5,3,4,7,130,1024,11,0.8,0.2,6.0,-4,60,1,Mecosta County,Michigan
2020-03-19,9,9,0,1,1,5,5,6,10,127,1016,16,8.7,0.0,8.8,3,86,2,Mecosta County,Michigan
2020-03-20,4,4,-5,-5,-5,3,1,1,16,324,1018,20,7.2,0.0,8.8,-2,78,1,Mecosta County,Michigan
2020-03-21,1,1,-6,-7,-7,6,-3,-2,7,33,1037,9,0.0,0.0,10.2,-15,44,1,Mecosta County,Michigan
2020-03-22,4,4,-5,-6,-6,6,-1,0,10,135,1032,13,0.0,0.0,10.2,-11,48,2,Mecosta County,Michigan
2020-03-23,6,6,-2,-1,-1,4,1,2,4,283,1022,6,3.2,2.6,8.8,-2,83,1,Mecosta County,Michigan
2020-03-24,7,7,-1,1,1,6,3,4,5,126,1021,6,0.2,0.0,6.1,-1,77,1,Mecosta County,Michigan
2020-03-25,11,11,-1,2,2,5,5,6,7,224,1013,11,0.0,0.0,10.3,1,78,2,Mecosta County,Michigan
2020-03-26,12,12,4,7,7,5,8,9,5,135,1011,8,0.0,0.0,6.3,4,80,2,Mecosta County,Michigan
2020-03-27,12,12,0,3,3,6,5,7,8,115,1015,12,0.0,0.0,11.6,1,74,3,Mecosta County,Michigan
