date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-2,5,5,6,6,8,4,197,1023,7,0.0,0.0,7.1,0,68,2,Meigs County,Tennessee
2020-03-02,11,11,5,7,7,3,8,9,7,192,1015,13,15.8,0.0,5.6,7,91,2,Meigs County,Tennessee
2020-03-03,18,18,11,12,12,5,14,15,8,231,1010,14,24.6,0.0,5.7,11,90,3,Meigs County,Tennessee
2020-03-04,16,16,7,10,10,5,11,12,4,154,1016,6,0.3,0.0,10.1,6,73,3,Meigs County,Tennessee
2020-03-05,10,10,7,8,8,4,8,9,3,130,1018,5,3.1,0.0,8.6,7,90,2,Meigs County,Tennessee
2020-03-06,7,7,0,1,1,6,4,5,9,316,1024,13,0.0,0.0,10.1,-1,71,2,Meigs County,Tennessee
2020-03-07,10,10,-2,1,1,6,4,5,7,45,1033,11,0.0,0.0,11.4,-3,67,3,Meigs County,Tennessee
2020-03-08,15,15,-1,6,6,6,8,9,5,201,1033,7,0.0,0.0,10.2,0,67,2,Meigs County,Tennessee
2020-03-09,16,16,4,9,9,6,10,11,6,200,1031,10,0.0,0.0,8.8,5,75,3,Meigs County,Tennessee
2020-03-10,16,16,12,12,12,5,13,14,9,200,1024,15,7.5,0.0,5.9,12,91,3,Meigs County,Tennessee
2020-03-11,20,20,11,14,14,4,14,16,5,227,1019,7,0.6,0.0,8.8,12,85,4,Meigs County,Tennessee
2020-03-12,20,20,11,16,16,4,16,17,8,195,1013,12,1.8,0.0,6.0,14,89,4,Meigs County,Tennessee
2020-03-13,18,18,12,15,15,5,16,16,7,128,1020,11,6.0,0.0,7.4,12,78,4,Meigs County,Tennessee
2020-03-14,14,14,10,11,11,3,11,11,4,100,1026,7,2.8,0.0,6.0,8,80,3,Meigs County,Tennessee
2020-03-15,15,15,8,12,12,5,12,13,5,45,1026,7,5.8,0.0,6.0,11,89,3,Meigs County,Tennessee
2020-03-16,17,17,6,10,10,5,11,12,4,219,1026,6,3.9,0.0,6.0,9,86,3,Meigs County,Tennessee
2020-03-17,18,18,11,13,13,5,14,15,5,198,1023,8,11.1,0.0,6.0,12,93,3,Meigs County,Tennessee
2020-03-18,21,21,9,15,15,3,16,17,6,180,1023,9,2.7,0.0,6.0,13,89,4,Meigs County,Tennessee
2020-03-19,23,23,15,19,19,4,19,20,8,202,1022,12,4.3,0.0,6.0,17,89,4,Meigs County,Tennessee
2020-03-20,19,19,15,17,17,4,17,18,9,204,1022,14,35.1,0.0,6.1,16,93,4,Meigs County,Tennessee
2020-03-21,15,15,6,12,12,4,12,13,5,336,1026,7,6.0,0.0,8.8,9,83,3,Meigs County,Tennessee
2020-03-22,17,17,6,10,10,6,11,12,5,159,1025,8,1.2,0.0,10.2,7,79,3,Meigs County,Tennessee
2020-03-23,18,18,11,13,13,3,13,14,4,211,1020,6,31.6,0.0,6.1,13,96,3,Meigs County,Tennessee
2020-03-24,14,14,6,11,11,2,12,13,3,74,1014,5,43.7,0.0,6.1,12,98,3,Meigs County,Tennessee
2020-03-25,19,19,10,14,14,5,14,15,5,37,1013,7,23.1,0.0,10.2,11,83,3,Meigs County,Tennessee
2020-03-26,21,21,8,14,14,4,14,16,7,203,1015,10,0.0,0.0,11.6,11,83,5,Meigs County,Tennessee
2020-03-27,27,27,14,20,20,4,21,22,7,209,1012,12,0.0,0.0,10.2,16,83,6,Meigs County,Tennessee
2020-03-28,25,25,18,20,20,6,21,22,9,197,1012,14,0.5,0.0,6.1,18,85,5,Meigs County,Tennessee
2020-03-29,22,22,14,19,19,5,20,20,9,251,1016,14,15.2,0.0,6.2,13,73,5,Meigs County,Tennessee
2020-03-30,20,20,11,15,15,6,15,17,4,324,1021,6,0.0,0.0,11.6,8,64,5,Meigs County,Tennessee
2020-03-31,10,10,-1,6,6,4,8,8,7,139,1011,11,36.4,0.0,6.4,7,88,2,Meigs County,Tennessee
2020-04-01,12,12,2,4,4,6,6,8,7,242,1016,11,0.1,0.0,11.6,2,77,3,Meigs County,Tennessee
2020-04-02,17,17,3,9,9,6,11,12,5,44,1020,8,0.0,0.0,10.3,4,74,3,Meigs County,Tennessee
2020-04-03,20,20,5,12,12,6,13,15,4,54,1017,7,0.0,0.0,11.6,6,72,4,Meigs County,Tennessee
2020-04-04,22,22,11,16,16,6,17,18,3,58,1016,4,0.0,0.0,11.6,10,70,5,Meigs County,Tennessee
2020-04-05,23,23,10,16,16,5,16,18,3,211,1018,5,10.6,0.0,7.7,12,80,4,Meigs County,Tennessee
2020-04-06,24,24,12,18,18,4,19,20,3,223,1018,5,1.1,0.0,9.0,13,79,5,Meigs County,Tennessee
2020-04-07,23,23,14,17,17,4,18,19,6,219,1015,10,15.3,0.0,9.0,15,90,4,Meigs County,Tennessee
2020-04-08,27,27,14,20,21,5,21,22,6,241,1008,10,6.4,0.0,7.7,16,84,5,Meigs County,Tennessee
2020-04-09,18,18,10,15,15,6,16,16,7,316,1008,11,5.2,0.0,11.6,9,71,5,Meigs County,Tennessee
2020-04-10,13,13,2,6,6,6,9,8,7,229,1017,10,0.0,0.0,11.6,-1,57,3,Meigs County,Tennessee
2020-04-11,18,18,2,9,9,6,10,13,4,167,1018,7,0.0,0.0,11.6,2,62,4,Meigs County,Tennessee
2020-04-12,13,13,8,9,9,4,11,11,7,141,1011,12,72.3,0.0,6.5,10,88,3,Meigs County,Tennessee
2020-04-13,13,13,5,12,12,5,13,13,8,290,1011,13,104.3,0.0,6.5,10,85,3,Meigs County,Tennessee
2020-04-14,15,15,4,8,8,6,10,11,7,134,1020,11,0.0,0.0,11.6,2,70,4,Meigs County,Tennessee
2020-04-15,14,14,1,6,6,6,8,9,6,130,1020,10,0.0,0.0,11.6,-3,57,3,Meigs County,Tennessee
2020-04-16,16,16,2,8,8,6,9,11,3,63,1025,5,0.0,0.0,11.6,1,61,4,Meigs County,Tennessee
2020-04-17,21,21,3,12,12,6,12,15,8,196,1020,12,0.0,0.0,11.6,6,68,4,Meigs County,Tennessee
2020-04-18,17,17,7,11,11,5,12,12,6,22,1016,9,5.6,0.0,9.1,5,70,3,Meigs County,Tennessee
2020-04-19,14,14,3,8,8,4,9,11,3,220,1011,5,2.2,0.0,7.8,6,82,3,Meigs County,Tennessee
2020-04-20,20,20,9,14,14,5,15,16,6,106,1007,9,10.1,0.0,11.6,9,76,5,Meigs County,Tennessee
2020-04-21,21,21,9,15,15,5,16,17,8,305,1013,12,0.5,0.0,11.6,8,71,5,Meigs County,Tennessee
2020-04-22,20,20,5,13,13,6,13,15,4,164,1018,7,0.1,0.0,11.6,6,65,5,Meigs County,Tennessee
2020-04-23,21,21,11,14,14,5,15,16,10,184,1007,15,12.8,0.0,6.8,13,89,4,Meigs County,Tennessee
2020-04-24,19,19,12,15,15,3,15,17,5,318,1008,7,3.7,0.0,8.0,12,84,4,Meigs County,Tennessee
2020-04-25,19,19,10,13,13,4,14,16,6,188,1009,10,7.5,0.0,6.8,12,90,4,Meigs County,Tennessee
2020-04-26,12,12,8,8,8,5,10,11,9,274,1015,14,1.5,0.0,6.9,7,84,3,Meigs County,Tennessee
2020-04-27,20,20,4,12,12,5,13,15,3,100,1022,4,0.1,0.0,11.6,6,71,4,Meigs County,Tennessee
2020-04-28,23,23,8,15,15,6,16,18,6,187,1019,10,0.0,0.0,11.6,9,66,5,Meigs County,Tennessee
2020-04-29,23,23,10,16,16,5,17,19,11,188,1009,17,29.4,0.0,9.2,11,78,4,Meigs County,Tennessee
2020-04-30,16,16,7,10,10,4,11,12,6,285,1010,9,1.9,0.0,6.9,8,84,3,Meigs County,Tennessee
2020-05-01,21,21,5,13,13,6,15,16,5,315,1017,8,0.1,0.0,11.6,7,72,5,Meigs County,Tennessee
2020-05-02,26,26,9,18,18,5,19,20,5,204,1020,8,0.0,0.0,11.6,12,75,6,Meigs County,Tennessee
2020-05-03,27,27,13,21,22,5,22,23,7,217,1015,11,0.2,0.0,11.6,15,75,5,Meigs County,Tennessee
2020-05-04,24,24,17,20,20,5,20,21,4,61,1014,7,3.1,0.0,11.6,15,76,6,Meigs County,Tennessee
2020-05-05,23,23,15,19,19,5,20,21,9,238,1010,14,4.8,0.0,6.9,17,91,5,Meigs County,Tennessee
2020-05-06,16,16,6,9,9,6,10,12,7,319,1015,10,1.3,0.0,6.9,6,76,3,Meigs County,Tennessee
2020-05-07,18,18,3,11,11,6,11,14,4,319,1020,6,0.0,0.0,11.6,4,67,4,Meigs County,Tennessee
2020-05-08,14,14,5,8,8,5,9,11,8,211,1014,12,9.2,0.0,8.1,7,86,3,Meigs County,Tennessee
2020-05-09,16,16,1,6,6,6,8,10,6,21,1024,10,0.0,0.0,11.6,0,61,4,Meigs County,Tennessee
2020-05-10,20,20,2,11,11,6,12,14,5,230,1022,8,0.0,0.0,11.6,3,63,4,Meigs County,Tennessee
2020-05-11,16,16,3,9,9,6,10,12,6,322,1023,9,0.0,0.0,11.6,3,65,4,Meigs County,Tennessee
2020-05-12,17,17,4,9,9,5,10,12,3,221,1025,4,0.6,0.0,7.0,5,75,3,Meigs County,Tennessee
2020-05-13,21,21,9,13,13,4,13,15,4,136,1024,6,0.8,0.0,9.3,10,82,4,Meigs County,Tennessee
2020-05-14,24,24,10,17,17,4,18,20,5,200,1022,8,4.9,0.0,7.0,14,84,5,Meigs County,Tennessee
2020-05-15,25,25,14,19,19,4,20,22,6,206,1019,9,2.5,0.0,10.5,16,83,5,Meigs County,Tennessee
2020-05-16,27,27,14,20,21,4,21,23,5,192,1016,7,0.0,0.0,11.6,16,77,6,Meigs County,Tennessee
