date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-7,-6,-6,6,-1,0,8,211,1008,15,0.0,0.0,5.6,-2,94,1,Menominee County,Wisconsin
2020-03-02,1,1,-5,-6,-6,5,-2,-1,8,276,1007,13,0.0,0.0,11.1,-4,86,2,Menominee County,Wisconsin
2020-03-03,2,2,-5,-6,-6,3,-2,-1,9,255,1001,15,0.5,0.1,7.1,-3,92,1,Menominee County,Wisconsin
2020-03-04,1,1,-7,-8,-8,5,-3,-3,9,291,1012,14,0.1,0.1,11.2,-5,87,2,Menominee County,Wisconsin
2020-03-05,2,2,-4,-5,-5,3,0,1,12,234,1010,19,3.8,0.8,5.6,-1,93,1,Menominee County,Wisconsin
2020-03-06,0,0,-7,-9,-9,5,-4,-4,11,125,1029,15,0.1,0.0,11.3,-7,79,2,Menominee County,Wisconsin
2020-03-07,6,6,-6,-6,-6,6,-1,0,10,206,1027,16,0.0,0.0,11.3,-4,80,2,Menominee County,Wisconsin
2020-03-08,10,10,1,1,1,6,5,6,11,215,1016,20,0.0,0.0,8.6,2,86,2,Menominee County,Wisconsin
2020-03-09,6,6,0,1,1,4,4,5,8,247,1013,15,11.0,0.0,5.7,3,93,1,Menominee County,Wisconsin
2020-03-10,5,5,-6,-4,-4,5,-1,0,6,190,1022,9,2.2,0.0,11.4,-5,73,2,Menominee County,Wisconsin
2020-03-11,4,4,-3,-1,-1,2,1,2,5,131,1016,7,5.8,4.8,5.7,0,95,1,Menominee County,Wisconsin
2020-03-12,8,8,1,-1,-1,2,3,4,11,181,1005,18,37.9,0.0,5.7,2,94,1,Menominee County,Wisconsin
2020-03-13,2,2,-3,-6,-6,6,-1,0,16,289,1018,21,0.0,0.0,11.5,-6,69,2,Menominee County,Wisconsin
2020-03-14,1,1,-4,-6,-6,6,-2,-2,6,29,1036,8,0.0,0.0,6.0,-6,76,1,Menominee County,Wisconsin
2020-03-15,2,2,-7,-8,-8,6,-3,-2,7,72,1039,10,0.0,0.0,11.6,-8,72,2,Menominee County,Wisconsin
2020-03-16,4,4,-5,-4,-4,5,-1,1,7,238,1025,10,0.2,0.2,6.0,-3,83,1,Menominee County,Wisconsin
2020-03-17,3,3,-6,-5,-5,6,-1,0,9,283,1023,13,0.0,0.0,11.6,-5,73,2,Menominee County,Wisconsin
2020-03-18,3,3,-1,-2,-2,4,1,2,5,148,1023,8,0.5,0.3,6.0,-1,88,1,Menominee County,Wisconsin
2020-03-19,3,3,1,-1,-1,2,2,2,6,97,1015,11,26.4,0.0,6.2,1,97,1,Menominee County,Wisconsin
2020-03-20,-1,-1,-7,-8,-8,5,-2,-2,13,349,1024,17,8.9,0.6,8.9,-6,75,1,Menominee County,Wisconsin
2020-03-21,0,0,-9,-9,-9,6,-5,-4,6,72,1038,8,0.0,0.0,10.3,-11,64,1,Menominee County,Wisconsin
2020-03-22,3,3,-5,-5,-5,5,-1,0,8,159,1031,11,0.3,0.1,7.6,-8,59,1,Menominee County,Wisconsin
2020-03-23,6,6,-2,-1,-1,6,1,3,5,262,1022,7,0.0,0.0,6.3,-2,79,1,Menominee County,Wisconsin
2020-03-24,7,7,0,1,1,6,3,4,5,136,1020,7,0.1,0.0,6.3,-1,79,1,Menominee County,Wisconsin
2020-03-25,8,8,1,2,2,5,4,5,7,216,1011,11,18.4,0.0,6.3,2,88,2,Menominee County,Wisconsin
2020-03-26,6,6,1,1,1,4,4,4,6,58,1013,8,13.4,0.1,6.4,1,85,1,Menominee County,Wisconsin
2020-03-27,11,11,0,3,3,6,5,6,5,122,1014,8,0.0,0.0,9.0,1,76,2,Menominee County,Wisconsin
2020-03-28,7,7,3,0,0,4,4,5,13,70,1008,19,18.3,0.0,6.4,3,90,1,Menominee County,Wisconsin
2020-03-29,8,8,3,3,3,2,6,7,9,231,998,14,16.3,0.0,6.4,5,93,2,Menominee County,Wisconsin
2020-03-30,9,9,0,0,0,5,4,5,11,233,1020,15,1.1,0.3,10.3,-1,74,2,Menominee County,Wisconsin
2020-03-31,4,4,-2,-2,-2,5,2,2,8,32,1022,10,0.1,0.1,6.4,-2,80,1,Menominee County,Wisconsin
2020-04-01,7,7,1,2,2,5,4,5,4,74,1020,6,0.2,0.0,6.4,1,84,1,Menominee County,Wisconsin
2020-04-02,13,13,-1,4,4,4,6,7,6,129,1021,9,0.0,0.0,11.6,1,75,3,Menominee County,Wisconsin
2020-04-03,11,11,5,6,6,5,7,8,5,123,1018,8,2.2,0.0,7.8,2,68,2,Menominee County,Wisconsin
2020-04-04,11,11,-1,1,1,5,4,5,8,346,1021,11,6.3,0.3,11.6,-2,66,3,Menominee County,Wisconsin
2020-04-05,11,11,-1,3,3,6,4,6,5,166,1023,7,0.0,0.0,11.6,-3,63,3,Menominee County,Wisconsin
2020-04-06,10,10,1,4,4,6,6,7,5,145,1017,7,0.0,0.0,7.8,-1,66,2,Menominee County,Wisconsin
2020-04-07,15,15,6,9,9,5,10,11,5,224,1006,8,1.0,0.0,7.8,7,84,3,Menominee County,Wisconsin
2020-04-08,16,16,6,8,8,5,10,12,7,266,1005,11,0.7,0.0,9.1,4,69,3,Menominee County,Wisconsin
2020-04-09,5,5,0,-2,-2,5,3,3,14,312,1006,19,0.6,0.2,6.6,-6,56,1,Menominee County,Wisconsin
2020-04-10,8,8,-1,-1,-1,6,3,4,9,295,1014,13,0.0,0.0,9.1,-6,56,1,Menominee County,Wisconsin
2020-04-11,13,13,-1,4,4,6,6,8,6,225,1010,9,0.0,0.0,10.4,-2,59,3,Menominee County,Wisconsin
2020-04-12,2,2,-1,-3,-3,3,2,1,13,41,1007,19,12.5,3.1,6.6,0,91,1,Menominee County,Wisconsin
2020-04-13,0,0,-4,-7,-7,4,-1,0,16,295,1007,22,2.2,0.5,6.6,-3,86,1,Menominee County,Wisconsin
2020-04-14,0,0,-7,-10,-10,5,-4,-3,11,269,1019,16,1.5,1.0,6.6,-8,72,1,Menominee County,Wisconsin
2020-04-15,1,1,-9,-9,-9,5,-4,-2,9,291,1019,12,0.6,0.3,7.9,-10,64,1,Menominee County,Wisconsin
2020-04-16,3,3,-6,-7,-7,6,-2,0,10,282,1023,15,0.0,0.0,10.4,-8,61,1,Menominee County,Wisconsin
2020-04-17,7,7,-3,-1,-1,6,1,4,6,278,1018,10,0.2,0.0,9.1,-5,63,1,Menominee County,Wisconsin
2020-04-18,14,14,-2,3,3,5,6,8,12,233,1006,18,3.9,0.0,6.7,1,72,2,Menominee County,Wisconsin
2020-04-19,8,8,2,2,2,5,5,6,7,316,1009,11,4.0,0.0,9.2,0,73,2,Menominee County,Wisconsin
2020-04-20,12,12,-1,2,2,5,5,7,12,254,1003,17,7.9,0.0,6.7,-1,72,2,Menominee County,Wisconsin
2020-04-21,5,5,-4,-5,-5,5,0,1,12,317,1012,16,1.4,1.6,13.9,-10,49,2,Menominee County,Wisconsin
2020-04-22,1,1,-5,-5,-5,4,-1,0,9,114,1015,12,0.7,0.5,8.7,-6,65,1,Menominee County,Wisconsin
2020-04-23,4,4,-2,-2,-2,6,2,3,9,72,1010,12,0.0,0.0,8.7,-1,82,1,Menominee County,Wisconsin
2020-04-24,13,13,-2,4,4,4,6,7,6,56,1013,9,0.0,0.0,14.0,0,77,3,Menominee County,Wisconsin
2020-04-25,13,13,1,5,5,6,7,9,6,83,1018,9,0.0,0.0,14.0,1,70,3,Menominee County,Wisconsin
