date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-9,-7,-7,4,-2,-2,9,193,1020,15,0.0,0.0,10.1,-6,79,1,Mercer County,Pennsylvania
2020-03-02,6,6,3,2,2,4,5,6,11,206,1009,20,11.5,0.0,5.8,4,91,2,Mercer County,Pennsylvania
2020-03-03,12,12,4,4,4,4,6,8,10,228,1003,16,13.3,0.0,5.8,5,93,2,Mercer County,Pennsylvania
2020-03-04,6,6,-1,-3,-3,4,2,3,11,269,1011,16,5.4,2.8,7.3,0,87,1,Mercer County,Pennsylvania
2020-03-05,8,8,-2,0,0,5,2,4,5,173,1018,8,0.0,0.0,10.2,-3,75,1,Mercer County,Pennsylvania
2020-03-06,3,3,-1,-3,-3,3,1,2,11,323,1014,15,1.7,1.0,5.9,-1,85,1,Mercer County,Pennsylvania
2020-03-07,3,3,-5,-6,-6,4,-1,-1,8,309,1031,11,1.1,1.1,8.7,-5,78,1,Mercer County,Pennsylvania
2020-03-08,11,11,-2,1,1,6,5,6,10,210,1029,16,0.0,0.0,11.6,-1,69,3,Mercer County,Pennsylvania
2020-03-09,14,14,4,6,6,6,9,11,12,215,1025,19,0.0,0.0,11.6,5,74,4,Mercer County,Pennsylvania
2020-03-10,12,12,0,4,4,4,8,9,14,277,1018,21,19.2,0.0,5.9,6,87,2,Mercer County,Pennsylvania
2020-03-11,9,9,-1,2,2,6,3,5,4,212,1020,6,0.0,0.0,5.9,1,83,2,Mercer County,Pennsylvania
2020-03-12,13,13,3,7,7,4,8,10,7,187,1013,12,0.3,0.0,5.9,6,85,2,Mercer County,Pennsylvania
2020-03-13,8,8,2,4,4,5,8,7,16,276,1014,21,6.3,0.0,11.6,3,72,3,Mercer County,Pennsylvania
2020-03-14,6,6,-2,-2,-2,5,1,3,8,318,1031,11,0.4,0.2,8.8,-4,67,1,Mercer County,Pennsylvania
2020-03-15,7,7,-2,-1,-1,5,2,4,8,23,1034,11,0.3,0.3,11.6,-3,73,2,Mercer County,Pennsylvania
2020-03-16,8,8,-2,-1,-1,6,3,5,10,157,1028,14,1.5,0.0,8.8,-2,68,1,Mercer County,Pennsylvania
2020-03-17,7,7,0,2,2,4,4,6,7,291,1023,10,1.7,0.0,8.8,2,85,2,Mercer County,Pennsylvania
2020-03-18,11,11,0,2,2,5,5,7,9,135,1026,12,19.0,0.0,7.4,2,79,2,Mercer County,Pennsylvania
2020-03-19,15,15,8,10,10,4,11,12,9,233,1019,13,20.1,0.0,6.0,10,92,3,Mercer County,Pennsylvania
2020-03-20,19,19,6,14,14,5,15,16,17,267,1014,24,16.6,0.1,6.1,10,85,4,Mercer County,Pennsylvania
2020-03-21,5,5,-3,-4,-4,6,0,2,9,123,1032,12,0.0,0.0,10.2,-8,60,2,Mercer County,Pennsylvania
2020-03-22,8,8,-4,-2,-2,6,2,3,10,119,1032,13,1.2,0.0,10.2,-6,57,1,Mercer County,Pennsylvania
2020-03-23,7,7,2,0,0,4,4,5,12,219,1021,17,14.8,0.0,6.1,3,92,2,Mercer County,Pennsylvania
2020-03-24,11,11,-2,3,3,4,4,6,4,144,1021,7,0.0,0.0,11.6,1,79,3,Mercer County,Pennsylvania
2020-03-25,9,9,1,3,3,5,6,8,9,115,1015,13,1.9,0.0,7.5,4,87,2,Mercer County,Pennsylvania
2020-03-26,16,16,4,7,7,5,9,12,9,222,1013,14,4.9,0.0,8.9,6,81,3,Mercer County,Pennsylvania
2020-03-27,14,14,7,9,9,4,10,11,4,132,1014,6,8.8,0.0,8.9,6,80,3,Mercer County,Pennsylvania
2020-03-28,18,18,9,13,13,4,14,14,7,226,1009,12,26.4,0.0,6.2,13,96,3,Mercer County,Pennsylvania
2020-03-29,19,19,8,15,15,5,16,18,15,232,1007,23,31.6,0.0,6.2,12,79,4,Mercer County,Pennsylvania
2020-03-30,6,6,4,3,3,4,6,6,12,274,1014,17,1.9,0.0,6.2,4,83,2,Mercer County,Pennsylvania
2020-03-31,7,7,3,3,3,5,5,6,5,68,1014,7,1.4,0.1,6.2,3,85,2,Mercer County,Pennsylvania
2020-04-01,10,10,2,3,3,5,5,8,8,234,1014,12,2.3,0.0,7.6,2,79,2,Mercer County,Pennsylvania
