date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-7,-3,-3,6,1,2,11,179,1019,19,0.0,0.0,10.1,-2,78,1,Miami County,Ohio
2020-03-02,10,10,4,5,5,4,8,8,10,238,1009,19,19.2,0.0,5.6,6,92,2,Miami County,Ohio
2020-03-03,12,12,5,6,6,5,8,10,12,271,1004,18,8.8,0.0,8.6,5,80,2,Miami County,Ohio
2020-03-04,9,9,2,1,1,6,5,7,11,277,1014,18,0.2,0.0,7.1,-1,69,2,Miami County,Ohio
2020-03-05,11,11,-1,2,2,6,4,6,8,193,1018,13,0.1,0.0,7.1,-2,62,2,Miami County,Ohio
2020-03-06,3,3,-1,-4,-4,4,2,2,15,326,1020,21,0.8,0.3,5.7,-1,81,1,Miami County,Ohio
2020-03-07,8,8,-3,-1,-1,6,1,3,6,156,1033,9,0.0,0.0,11.4,-5,65,2,Miami County,Ohio
2020-03-08,13,13,0,2,2,6,6,8,11,206,1029,19,0.0,0.0,11.6,0,65,3,Miami County,Ohio
2020-03-09,15,15,7,8,8,5,11,12,16,212,1024,25,0.3,0.0,10.2,6,71,3,Miami County,Ohio
2020-03-10,13,13,5,8,8,5,10,11,13,312,1018,18,16.6,0.0,5.9,8,84,3,Miami County,Ohio
2020-03-11,13,13,5,7,7,6,8,9,5,232,1018,7,0.0,0.0,8.8,4,79,2,Miami County,Ohio
2020-03-12,15,15,6,8,8,5,10,11,8,171,1011,12,2.9,0.0,7.4,7,82,3,Miami County,Ohio
2020-03-13,8,8,3,4,4,5,7,7,14,291,1020,19,3.0,0.0,10.2,1,65,2,Miami County,Ohio
2020-03-14,3,3,0,1,1,3,2,3,4,126,1032,6,8.0,6.4,6.0,-1,81,1,Miami County,Ohio
2020-03-15,5,5,-2,-4,-4,5,1,2,9,46,1034,14,0.4,0.5,7.4,-1,87,1,Miami County,Ohio
2020-03-16,8,8,-1,1,1,5,3,5,5,195,1027,8,2.7,0.0,8.8,0,82,1,Miami County,Ohio
2020-03-17,11,11,3,4,4,6,6,8,7,317,1024,9,2.5,0.0,10.2,2,76,3,Miami County,Ohio
2020-03-18,8,8,2,2,2,5,5,6,7,125,1023,11,14.7,0.0,7.4,5,91,2,Miami County,Ohio
2020-03-19,15,15,7,10,10,2,11,12,11,151,1017,17,5.3,0.0,6.0,11,94,3,Miami County,Ohio
2020-03-20,19,19,2,11,11,5,13,15,18,297,1017,25,10.4,0.0,6.1,9,79,4,Miami County,Ohio
2020-03-21,5,5,-2,-4,-4,6,1,2,10,30,1033,13,0.0,0.0,8.8,-5,66,1,Miami County,Ohio
2020-03-22,6,6,-3,-2,-2,4,1,3,7,96,1030,10,0.9,0.0,8.8,-4,71,1,Miami County,Ohio
2020-03-23,7,7,3,3,3,4,5,6,6,330,1021,8,0.2,0.0,6.1,3,87,2,Miami County,Ohio
2020-03-24,11,11,1,3,3,5,6,7,7,102,1019,10,1.0,0.0,10.2,2,81,2,Miami County,Ohio
2020-03-25,15,15,1,6,6,6,8,10,6,303,1014,10,1.0,0.0,11.6,3,71,3,Miami County,Ohio
2020-03-26,17,17,7,10,10,6,12,13,9,212,1011,14,1.8,0.0,10.2,9,84,4,Miami County,Ohio
2020-03-27,12,12,7,9,9,5,11,11,9,85,1012,12,11.8,0.0,7.5,10,92,3,Miami County,Ohio
2020-03-28,23,23,13,17,17,5,18,20,11,228,1007,18,16.3,0.0,6.2,16,92,4,Miami County,Ohio
2020-03-29,15,15,11,12,12,5,14,13,20,239,1008,30,11.1,0.0,7.5,9,74,3,Miami County,Ohio
2020-03-30,8,8,5,3,3,6,7,7,13,298,1018,18,0.1,0.0,6.4,2,72,2,Miami County,Ohio
2020-03-31,7,7,1,2,2,6,4,5,6,39,1015,9,0.3,0.0,6.4,1,82,2,Miami County,Ohio
2020-04-01,9,9,2,3,3,4,5,7,7,113,1016,10,1.0,0.0,6.4,3,83,2,Miami County,Ohio
2020-04-02,14,14,3,6,6,6,8,9,6,330,1020,9,0.1,0.0,10.3,3,74,2,Miami County,Ohio
2020-04-03,17,17,6,10,10,6,10,12,4,330,1018,7,0.0,0.0,11.6,4,66,4,Miami County,Ohio
2020-04-04,17,17,7,11,11,6,12,13,7,200,1017,10,0.3,0.0,6.5,7,77,3,Miami County,Ohio
2020-04-05,14,14,6,8,8,6,9,11,7,16,1020,10,0.2,0.0,9.0,6,82,3,Miami County,Ohio
2020-04-06,16,16,3,9,9,6,10,11,5,196,1019,8,0.1,0.0,11.6,5,73,4,Miami County,Ohio
2020-04-07,23,23,11,16,16,6,18,19,12,243,1009,20,3.0,0.0,6.5,14,82,4,Miami County,Ohio
2020-04-08,21,21,14,17,17,5,17,17,8,213,1003,12,12.7,0.0,9.1,13,81,4,Miami County,Ohio
2020-04-09,9,9,3,3,3,4,7,8,19,294,1005,24,7.2,0.8,10.3,2,69,2,Miami County,Ohio
2020-04-10,7,7,1,-1,-1,5,3,5,13,301,1014,18,0.8,0.4,7.8,-2,67,1,Miami County,Ohio
2020-04-11,14,14,1,5,5,6,7,9,7,230,1016,12,0.0,0.0,10.3,1,68,3,Miami County,Ohio
2020-04-12,13,13,4,8,8,5,10,11,12,182,1008,17,4.0,0.0,6.6,8,82,3,Miami County,Ohio
2020-04-13,12,12,3,6,6,5,9,9,14,284,1006,18,17.6,0.0,6.6,5,79,2,Miami County,Ohio
2020-04-14,6,6,-1,-1,-1,6,3,4,9,271,1022,12,0.0,0.0,9.1,-6,56,1,Miami County,Ohio
2020-04-15,7,7,-2,-3,-3,5,2,4,12,256,1019,17,9.1,5.2,9.2,-4,69,1,Miami County,Ohio
2020-04-16,8,8,-3,-1,-1,6,2,5,9,278,1026,12,0.0,0.0,11.6,-6,57,2,Miami County,Ohio
2020-04-17,8,8,1,0,0,5,4,6,12,202,1017,17,8.6,2.3,6.8,1,79,2,Miami County,Ohio
2020-04-18,11,11,0,2,2,6,5,7,11,256,1016,15,0.2,0.0,8.0,1,74,2,Miami County,Ohio
