date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-7,0,0,6,2,5,3,214,1025,5,0.0,0.0,10.2,-7,56,2,Mitchell County,North Carolina
2020-03-02,10,10,0,3,3,4,4,7,3,182,1018,5,0.3,0.0,7.3,2,85,2,Mitchell County,North Carolina
2020-03-03,12,12,4,7,7,3,8,10,5,227,1010,9,3.6,0.0,5.9,7,94,2,Mitchell County,North Carolina
2020-03-04,13,13,1,6,6,5,8,9,4,237,1016,8,0.3,0.0,11.6,0,69,3,Mitchell County,North Carolina
2020-03-05,8,8,0,3,3,4,5,6,3,140,1018,5,3.9,0.0,5.9,2,85,2,Mitchell County,North Carolina
2020-03-06,3,3,-4,-5,-5,2,0,1,15,304,1018,23,6.2,3.7,7.3,-2,85,1,Mitchell County,North Carolina
2020-03-07,5,5,-6,-4,-4,5,0,1,7,326,1031,12,2.6,2.3,10.2,-6,71,1,Mitchell County,North Carolina
2020-03-08,13,13,-1,5,5,6,6,8,3,162,1034,4,0.0,0.0,10.2,-4,58,3,Mitchell County,North Carolina
2020-03-09,14,14,0,7,7,5,8,10,4,173,1032,6,0.1,0.0,10.2,-1,60,3,Mitchell County,North Carolina
2020-03-10,14,14,6,9,9,3,10,11,4,215,1024,7,5.8,0.0,5.9,8,91,3,Mitchell County,North Carolina
2020-03-11,19,19,7,12,12,5,13,15,3,248,1018,6,1.3,0.0,10.2,7,80,4,Mitchell County,North Carolina
2020-03-12,18,18,6,10,10,4,11,14,4,170,1014,7,0.1,0.0,8.8,7,80,3,Mitchell County,North Carolina
2020-03-13,15,15,7,11,11,5,12,14,7,309,1018,11,2.0,0.0,7.4,9,81,3,Mitchell County,North Carolina
2020-03-14,10,10,1,6,6,5,7,8,3,144,1027,6,0.3,0.0,7.4,2,70,2,Mitchell County,North Carolina
2020-03-15,14,14,4,9,9,4,9,11,2,201,1026,4,1.6,0.0,6.0,8,91,3,Mitchell County,North Carolina
2020-03-16,10,10,2,4,4,6,5,7,4,149,1028,6,0.1,0.0,6.0,3,87,2,Mitchell County,North Carolina
2020-03-17,13,13,5,9,9,2,9,11,2,289,1024,3,3.2,0.0,6.0,8,95,3,Mitchell County,North Carolina
2020-03-18,11,11,5,8,8,2,9,10,3,138,1026,5,0.4,0.0,6.0,8,95,3,Mitchell County,North Carolina
2020-03-19,22,22,10,15,15,4,15,18,4,181,1023,6,1.2,0.0,11.6,13,88,4,Mitchell County,North Carolina
2020-03-20,21,21,11,14,14,3,14,17,6,252,1021,10,14.5,0.0,8.8,12,87,4,Mitchell County,North Carolina
2020-03-21,18,18,11,13,13,5,14,15,5,295,1024,8,8.8,0.0,11.6,9,83,3,Mitchell County,North Carolina
2020-03-22,9,9,4,4,4,4,6,7,4,133,1027,6,0.7,0.0,6.1,4,88,2,Mitchell County,North Carolina
2020-03-23,9,9,5,6,6,2,7,8,3,192,1022,5,30.2,0.0,6.1,7,98,2,Mitchell County,North Carolina
2020-03-24,12,12,4,7,7,2,8,10,3,136,1016,6,18.6,0.0,6.1,7,94,2,Mitchell County,North Carolina
2020-03-25,13,13,5,9,9,4,10,12,5,317,1011,7,17.5,0.0,6.1,7,88,3,Mitchell County,North Carolina
2020-03-26,15,15,4,9,9,3,10,12,4,167,1017,6,0.0,0.0,10.2,7,87,4,Mitchell County,North Carolina
2020-03-27,23,23,8,16,16,5,16,19,4,236,1013,6,0.7,0.0,7.5,12,80,4,Mitchell County,North Carolina
2020-03-28,25,25,14,19,19,5,21,22,2,177,1013,4,0.0,0.0,11.6,14,78,6,Mitchell County,North Carolina
2020-03-29,23,23,13,17,17,6,17,19,7,259,1015,12,0.1,0.0,8.9,10,70,4,Mitchell County,North Carolina
2020-03-30,17,17,8,10,10,6,12,13,10,298,1019,15,0.0,0.0,11.6,4,62,4,Mitchell County,North Carolina
2020-03-31,8,8,-1,4,4,5,5,6,4,108,1011,6,20.9,0.0,6.2,3,87,2,Mitchell County,North Carolina
2020-04-01,7,7,0,-1,-1,5,3,4,8,321,1013,12,2.8,0.2,7.5,0,86,1,Mitchell County,North Carolina
2020-04-02,11,11,-1,3,3,5,5,8,6,323,1019,10,0.0,0.0,10.2,0,77,2,Mitchell County,North Carolina
2020-04-03,17,17,1,8,8,6,9,12,5,320,1017,9,0.0,0.0,11.6,1,67,4,Mitchell County,North Carolina
2020-04-04,19,19,6,11,11,6,12,15,4,333,1016,7,0.0,0.0,11.6,4,64,4,Mitchell County,North Carolina
2020-04-05,17,17,7,12,12,5,12,14,2,242,1018,4,7.8,0.0,8.9,7,76,3,Mitchell County,North Carolina
2020-04-06,20,20,8,14,14,5,14,17,4,288,1018,7,3.6,0.0,8.9,8,75,4,Mitchell County,North Carolina
2020-04-07,21,21,9,15,15,6,16,18,5,272,1014,7,0.3,0.0,10.3,10,75,4,Mitchell County,North Carolina
2020-04-08,22,22,10,16,16,4,18,19,6,296,1007,10,0.1,0.0,11.6,12,81,5,Mitchell County,North Carolina
2020-04-09,15,15,5,9,9,6,11,13,14,302,1005,22,4.5,0.0,8.9,5,71,3,Mitchell County,North Carolina
2020-04-10,7,7,-1,-3,-3,5,2,4,15,313,1013,22,0.4,0.1,11.6,-4,64,2,Mitchell County,North Carolina
2020-04-11,15,15,-2,6,6,6,8,11,4,191,1019,6,0.0,0.0,11.6,-2,60,4,Mitchell County,North Carolina
2020-04-12,13,13,2,7,7,4,8,10,5,159,1015,8,41.5,0.0,7.9,5,81,3,Mitchell County,North Carolina
2020-04-13,16,16,5,10,10,4,12,14,10,292,1009,16,85.7,0.0,7.9,10,87,3,Mitchell County,North Carolina
2020-04-14,12,12,3,5,5,4,7,10,4,143,1018,7,0.0,0.0,7.9,4,85,2,Mitchell County,North Carolina
2020-04-15,11,11,-1,1,1,6,4,6,7,315,1019,10,0.0,0.0,11.6,-5,59,3,Mitchell County,North Carolina
2020-04-16,13,13,-1,3,3,6,5,8,6,315,1025,9,0.0,0.0,11.6,-5,54,3,Mitchell County,North Carolina
2020-04-17,16,16,1,8,8,6,9,12,6,191,1021,8,0.0,0.0,11.6,1,62,4,Mitchell County,North Carolina
