date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,25,25,13,18,18,6,18,19,18,250,1009,27,0.0,0.0,11.3,4,45,5,Mitchell County,Texas
2020-03-02,23,23,16,19,19,6,19,20,15,264,1008,23,0.0,0.0,11.3,0,28,6,Mitchell County,Texas
2020-03-03,19,19,15,16,16,5,16,17,15,127,1010,21,1.7,0.0,7.2,7,53,4,Mitchell County,Texas
2020-03-04,11,11,5,7,7,4,10,10,21,42,1016,26,73.4,0.0,5.7,7,84,2,Mitchell County,Texas
2020-03-05,20,20,7,11,11,6,13,14,10,306,1025,16,0.0,0.0,11.4,4,61,4,Mitchell County,Texas
2020-03-06,17,17,8,11,11,6,12,13,12,124,1031,18,0.0,0.0,11.4,2,49,4,Mitchell County,Texas
2020-03-07,18,18,8,11,11,6,13,13,18,170,1025,25,0.0,0.0,11.4,3,50,4,Mitchell County,Texas
2020-03-08,16,16,7,10,10,5,13,14,20,189,1018,28,0.5,0.0,7.2,9,73,3,Mitchell County,Texas
2020-03-09,24,24,15,18,18,6,19,20,17,257,1017,24,0.3,0.0,11.5,8,55,5,Mitchell County,Texas
2020-03-10,27,27,14,20,20,6,20,20,11,195,1020,17,0.2,0.0,10.2,12,63,5,Mitchell County,Texas
2020-03-11,27,27,16,21,21,6,21,21,9,243,1015,13,0.0,0.0,11.6,13,65,6,Mitchell County,Texas
2020-03-12,26,26,17,21,22,6,22,22,11,274,1010,17,0.2,0.0,10.2,13,60,6,Mitchell County,Texas
2020-03-13,19,19,14,17,17,5,18,17,12,78,1014,16,5.3,0.0,6.0,13,77,4,Mitchell County,Texas
2020-03-14,24,24,13,19,19,5,20,19,6,205,1017,8,6.8,0.0,11.6,12,71,5,Mitchell County,Texas
2020-03-15,12,12,9,8,8,6,11,10,15,67,1024,18,3.6,0.0,6.0,9,87,3,Mitchell County,Texas
2020-03-16,20,20,10,15,15,6,16,17,10,168,1019,14,3.0,0.0,6.0,13,86,4,Mitchell County,Texas
2020-03-17,22,22,17,19,19,5,20,20,14,163,1015,20,5.9,0.0,6.0,17,86,4,Mitchell County,Texas
2020-03-18,26,26,16,21,21,5,21,21,11,192,1012,16,5.3,0.0,11.6,13,65,6,Mitchell County,Texas
2020-03-19,23,23,17,19,19,6,19,20,17,254,1013,24,1.6,0.0,11.6,7,50,6,Mitchell County,Texas
2020-03-20,14,14,9,10,10,6,13,12,15,36,1025,18,0.0,0.0,11.6,2,51,4,Mitchell County,Texas
2020-03-21,11,11,5,5,5,5,8,8,11,96,1027,13,0.3,0.0,6.1,2,69,2,Mitchell County,Texas
2020-03-22,23,23,9,15,15,5,16,16,9,217,1018,14,0.0,0.0,8.8,9,70,4,Mitchell County,Texas
2020-03-23,28,28,13,20,20,6,21,21,11,195,1013,17,0.0,0.0,11.6,12,64,6,Mitchell County,Texas
2020-03-24,26,26,16,21,21,6,21,21,14,292,1012,20,0.0,0.0,11.6,5,43,6,Mitchell County,Texas
