date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,10,13,13,6,14,15,14,192,1016,23,1.1,0.0,7.3,10,76,3,Monroe County,Arkansas
2020-03-02,20,20,15,17,17,5,17,18,10,208,1009,17,7.7,0.0,5.9,15,87,4,Monroe County,Arkansas
2020-03-03,18,18,12,15,15,5,15,15,6,222,1011,10,4.2,0.0,11.6,10,73,4,Monroe County,Arkansas
2020-03-04,15,15,10,12,12,4,13,13,4,123,1016,6,2.4,0.0,5.9,8,75,3,Monroe County,Arkansas
2020-03-05,19,19,9,12,12,5,13,14,7,333,1020,12,0.4,0.0,11.6,7,67,4,Monroe County,Arkansas
2020-03-06,13,13,6,7,7,6,9,9,10,357,1031,16,0.0,0.0,11.6,1,56,3,Monroe County,Arkansas
2020-03-07,14,14,4,7,7,6,8,9,5,121,1033,9,0.0,0.0,10.2,1,60,2,Monroe County,Arkansas
2020-03-08,17,17,5,10,10,6,11,12,9,180,1028,15,0.0,0.0,11.6,5,67,4,Monroe County,Arkansas
2020-03-09,17,17,10,13,13,4,14,15,15,183,1023,24,15.8,0.0,5.9,13,89,3,Monroe County,Arkansas
2020-03-10,18,18,12,15,15,6,15,15,8,236,1023,12,3.4,0.0,10.2,12,80,5,Monroe County,Arkansas
2020-03-11,17,17,8,12,12,5,13,15,5,125,1017,10,8.0,0.0,7.4,13,93,3,Monroe County,Arkansas
2020-03-12,24,24,16,19,19,4,20,20,10,211,1010,17,7.4,0.0,6.0,17,90,4,Monroe County,Arkansas
2020-03-13,12,12,5,9,9,5,11,10,12,47,1022,19,17.6,0.0,6.0,8,78,3,Monroe County,Arkansas
2020-03-14,16,16,8,9,9,5,11,12,9,155,1024,12,19.2,0.0,6.0,8,83,3,Monroe County,Arkansas
2020-03-15,12,12,6,5,5,5,8,8,12,30,1029,16,24.2,0.0,6.0,5,84,2,Monroe County,Arkansas
2020-03-16,9,9,5,5,5,4,7,8,5,46,1026,8,16.1,0.0,6.0,6,90,2,Monroe County,Arkansas
2020-03-17,16,16,9,10,10,3,11,12,6,36,1023,9,4.6,0.0,6.0,10,91,3,Monroe County,Arkansas
2020-03-18,23,23,10,16,16,4,17,18,7,209,1018,12,12.8,0.0,6.0,15,92,4,Monroe County,Arkansas
2020-03-19,25,25,19,21,21,5,22,21,14,198,1016,23,7.8,0.0,7.4,19,88,5,Monroe County,Arkansas
2020-03-20,21,21,10,18,18,5,19,20,11,294,1021,17,6.2,0.0,8.8,15,83,4,Monroe County,Arkansas
2020-03-21,14,14,5,7,7,6,9,10,9,36,1030,13,0.0,0.0,10.2,4,73,2,Monroe County,Arkansas
2020-03-22,9,9,4,6,6,5,8,8,6,81,1024,9,14.3,0.0,6.1,6,89,2,Monroe County,Arkansas
2020-03-23,18,18,9,12,12,5,13,14,6,44,1020,8,11.0,0.0,7.5,11,88,3,Monroe County,Arkansas
2020-03-24,21,21,13,17,17,3,17,18,7,199,1012,11,20.7,0.0,6.1,15,93,4,Monroe County,Arkansas
2020-03-25,20,20,11,13,13,6,14,15,6,124,1014,10,0.1,0.0,10.2,11,82,3,Monroe County,Arkansas
2020-03-26,28,28,12,19,19,6,21,22,11,203,1010,17,0.0,0.0,11.6,16,82,6,Monroe County,Arkansas
2020-03-27,26,26,20,23,25,6,25,24,12,206,1008,19,0.0,0.0,10.3,19,81,5,Monroe County,Arkansas
2020-03-28,23,23,18,21,22,5,22,22,13,216,1008,21,14.6,0.0,6.3,19,86,5,Monroe County,Arkansas
2020-03-29,21,21,10,15,15,6,15,16,7,286,1019,12,2.5,0.0,7.7,8,63,4,Monroe County,Arkansas
2020-03-30,17,17,12,13,13,5,14,15,7,102,1021,11,15.3,0.0,9.0,9,76,3,Monroe County,Arkansas
2020-03-31,15,15,10,10,10,4,12,12,11,17,1014,16,63.0,0.0,9.0,9,83,3,Monroe County,Arkansas
2020-04-01,20,20,9,13,13,6,14,15,6,50,1017,10,0.0,0.0,11.6,9,74,5,Monroe County,Arkansas
2020-04-02,21,21,10,15,15,6,16,16,8,152,1017,14,0.0,0.0,11.6,10,74,5,Monroe County,Arkansas
