date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-1,5,5,6,7,9,10,199,1021,17,0.0,0.0,10.1,1,66,2,Monroe County,Kentucky
2020-03-02,14,14,10,9,9,5,12,12,14,207,1011,21,16.1,0.0,5.6,10,89,3,Monroe County,Kentucky
2020-03-03,16,16,9,12,12,5,13,14,12,268,1008,20,17.6,0.0,5.7,10,82,3,Monroe County,Kentucky
2020-03-04,16,16,6,9,9,6,10,12,6,234,1016,10,0.0,0.0,11.3,4,68,4,Monroe County,Kentucky
2020-03-05,15,15,6,8,8,6,10,11,7,206,1018,12,0.0,0.0,8.6,4,71,3,Monroe County,Kentucky
2020-03-06,5,5,0,-1,-1,5,3,3,13,314,1025,18,0.2,0.1,5.7,-2,71,1,Monroe County,Kentucky
2020-03-07,10,10,-3,1,1,6,3,5,5,66,1034,8,0.0,0.0,11.4,-4,65,2,Monroe County,Kentucky
2020-03-08,15,15,1,6,6,6,8,9,9,200,1031,15,0.0,0.0,10.1,1,64,3,Monroe County,Kentucky
2020-03-09,16,16,7,10,10,6,11,13,13,194,1028,22,0.1,0.0,10.1,6,70,4,Monroe County,Kentucky
2020-03-10,15,15,9,12,12,5,13,14,11,275,1022,17,12.5,0.0,5.7,11,89,3,Monroe County,Kentucky
2020-03-11,15,15,7,10,10,4,11,12,3,260,1018,5,0.2,0.0,5.9,9,86,3,Monroe County,Kentucky
2020-03-12,21,21,10,16,16,4,16,17,11,202,1011,18,10.4,0.0,6.0,13,86,4,Monroe County,Kentucky
2020-03-13,13,13,9,10,10,5,12,11,9,357,1021,14,15.6,0.0,10.2,7,72,4,Monroe County,Kentucky
2020-03-14,8,8,2,4,4,5,7,7,9,68,1027,13,34.7,0.0,6.0,3,80,2,Monroe County,Kentucky
2020-03-15,9,9,4,3,3,5,6,7,9,37,1029,12,3.7,0.0,6.0,4,87,2,Monroe County,Kentucky
2020-03-16,11,11,2,6,6,3,7,8,4,134,1026,6,2.8,0.0,7.4,5,91,2,Monroe County,Kentucky
2020-03-17,12,12,7,8,8,4,9,9,4,131,1024,7,20.8,0.0,6.0,8,93,2,Monroe County,Kentucky
2020-03-18,19,19,7,12,12,3,13,15,8,199,1021,15,55.4,0.0,6.0,12,94,4,Monroe County,Kentucky
2020-03-19,22,22,15,18,18,4,18,19,11,204,1019,18,8.8,0.0,7.4,16,91,4,Monroe County,Kentucky
2020-03-20,21,21,13,18,18,4,19,20,14,240,1020,22,13.6,0.0,7.4,15,86,4,Monroe County,Kentucky
2020-03-21,11,11,3,4,4,5,7,8,7,238,1029,11,0.3,0.0,11.6,3,78,3,Monroe County,Kentucky
2020-03-22,17,17,2,6,6,6,8,10,7,141,1026,10,0.8,0.0,8.8,5,80,2,Monroe County,Kentucky
2020-03-23,16,16,9,11,11,4,12,13,6,328,1020,9,10.7,0.0,6.1,10,89,3,Monroe County,Kentucky
2020-03-24,14,14,8,10,10,4,11,12,6,135,1015,10,18.2,0.0,6.1,10,94,3,Monroe County,Kentucky
2020-03-25,17,17,7,10,10,5,11,12,5,48,1014,7,1.4,0.0,9.0,8,84,3,Monroe County,Kentucky
2020-03-26,22,22,8,14,14,4,15,17,10,196,1012,17,0.0,0.0,11.6,11,80,5,Monroe County,Kentucky
2020-03-27,22,22,15,19,19,6,20,20,9,217,1010,15,2.4,0.0,6.3,17,87,5,Monroe County,Kentucky
2020-03-28,23,23,16,20,20,6,21,21,11,210,1010,18,0.9,0.0,6.3,18,87,5,Monroe County,Kentucky
2020-03-29,18,18,13,16,16,5,16,17,13,252,1015,20,8.1,0.0,10.3,12,75,4,Monroe County,Kentucky
2020-03-30,17,17,9,12,12,6,13,14,6,299,1021,10,0.0,0.0,11.6,7,70,4,Monroe County,Kentucky
2020-03-31,8,8,4,5,5,4,7,7,7,260,1013,11,28.0,0.0,6.4,5,85,2,Monroe County,Kentucky
2020-04-01,10,10,1,4,4,4,5,7,6,123,1017,9,0.1,0.0,6.4,2,82,2,Monroe County,Kentucky
2020-04-02,15,15,4,8,8,6,9,11,4,43,1020,6,0.0,0.0,9.0,4,76,3,Monroe County,Kentucky
2020-04-03,18,18,6,11,11,6,12,14,4,55,1018,7,0.0,0.0,11.6,7,74,4,Monroe County,Kentucky
2020-04-04,22,22,10,15,15,6,16,17,4,180,1016,7,0.5,0.0,10.3,10,73,5,Monroe County,Kentucky
2020-04-05,19,19,11,14,14,3,14,16,5,304,1018,7,0.2,0.0,9.0,12,88,4,Monroe County,Kentucky
2020-04-06,22,22,12,17,17,4,18,19,4,261,1018,6,2.7,0.0,10.3,13,83,4,Monroe County,Kentucky
2020-04-07,23,23,14,18,18,5,19,20,9,225,1013,14,5.1,0.0,6.5,16,87,5,Monroe County,Kentucky
2020-04-08,24,24,17,20,20,5,20,21,10,249,1007,15,7.9,0.0,6.5,18,90,5,Monroe County,Kentucky
2020-04-09,13,13,9,11,11,5,12,12,13,307,1009,19,7.2,0.0,11.6,7,71,4,Monroe County,Kentucky
2020-04-10,10,10,0,2,2,6,5,6,9,319,1018,13,0.1,0.0,11.6,-2,62,3,Monroe County,Kentucky
2020-04-11,16,16,2,8,8,6,9,11,4,190,1017,7,0.0,0.0,11.6,2,63,4,Monroe County,Kentucky
2020-04-12,15,15,11,11,11,4,13,13,13,164,1008,22,45.5,0.0,6.5,11,86,3,Monroe County,Kentucky
2020-04-13,12,12,4,8,8,5,10,9,12,289,1011,19,12.7,0.0,7.8,7,83,2,Monroe County,Kentucky
2020-04-14,8,8,0,2,2,6,4,6,7,241,1023,10,0.1,0.0,7.8,-1,71,2,Monroe County,Kentucky
2020-04-15,12,12,-1,3,3,6,5,8,6,238,1021,9,0.0,0.0,11.6,-2,63,3,Monroe County,Kentucky
2020-04-16,14,14,0,6,6,6,8,8,4,156,1026,8,0.0,0.0,11.6,-1,63,3,Monroe County,Kentucky
2020-04-17,19,19,5,10,10,6,12,14,13,215,1018,20,0.8,0.0,11.6,6,69,4,Monroe County,Kentucky
2020-04-18,14,14,1,6,6,5,9,8,6,120,1018,9,9.6,1.1,11.6,2,73,3,Monroe County,Kentucky
2020-04-19,14,14,3,8,8,5,9,11,5,233,1011,8,2.8,0.0,9.1,5,78,3,Monroe County,Kentucky
2020-04-20,18,18,7,11,11,4,12,14,6,193,1008,9,3.8,0.0,10.4,9,82,3,Monroe County,Kentucky
2020-04-21,16,16,8,10,10,5,12,14,10,308,1013,15,8.2,0.0,13.2,8,78,4,Monroe County,Kentucky
2020-04-22,18,18,5,11,11,6,12,14,5,182,1017,9,0.0,0.0,13.7,6,71,4,Monroe County,Kentucky
2020-04-23,20,20,11,13,13,5,15,16,14,189,1004,22,24.6,0.0,8.5,13,90,4,Monroe County,Kentucky
2020-04-24,17,17,11,13,13,5,14,15,6,318,1009,9,3.1,0.0,9.7,11,88,4,Monroe County,Kentucky
2020-04-25,17,17,9,12,12,4,13,15,10,174,1007,16,13.3,0.0,12.1,12,91,4,Monroe County,Kentucky
2020-04-26,9,9,0,4,4,4,8,8,14,303,1015,21,19.0,0.0,8.6,8,95,2,Monroe County,Kentucky
2020-04-27,17,17,4,10,10,6,11,13,4,228,1022,7,0.0,0.0,13.8,6,76,4,Monroe County,Kentucky
