date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,7,10,10,6,12,13,10,181,1021,16,0.2,0.0,8.6,7,72,3,Monroe County,Mississippi
2020-03-02,20,20,12,15,15,5,16,17,10,199,1012,17,18.9,0.0,7.1,14,89,4,Monroe County,Mississippi
2020-03-03,20,20,15,18,18,6,17,19,8,281,1011,13,4.7,0.0,7.1,14,83,4,Monroe County,Mississippi
2020-03-04,14,14,8,11,11,5,12,12,6,238,1016,9,6.4,0.0,8.6,10,83,3,Monroe County,Mississippi
2020-03-05,17,17,10,10,10,5,12,13,8,231,1018,13,14.9,0.0,10.1,9,84,3,Monroe County,Mississippi
2020-03-06,12,12,5,6,6,6,9,9,12,340,1028,18,0.0,0.0,11.4,2,62,3,Monroe County,Mississippi
2020-03-07,14,14,2,6,6,6,8,8,5,53,1032,8,0.0,0.0,11.4,-1,59,3,Monroe County,Mississippi
2020-03-08,17,17,5,9,9,6,10,12,8,166,1030,13,0.0,0.0,11.4,4,66,4,Monroe County,Mississippi
2020-03-09,19,19,9,13,13,5,14,15,11,174,1028,17,1.2,0.0,5.7,11,82,3,Monroe County,Mississippi
2020-03-10,22,22,15,17,17,5,18,19,9,241,1023,14,15.3,0.0,5.7,15,88,4,Monroe County,Mississippi
2020-03-11,23,23,13,18,18,3,18,19,6,215,1018,9,16.7,0.0,8.7,15,88,4,Monroe County,Mississippi
2020-03-12,25,25,16,19,19,5,20,20,9,195,1013,14,14.2,0.0,8.8,17,85,5,Monroe County,Mississippi
2020-03-13,17,17,10,14,14,4,15,15,8,22,1020,13,22.3,0.0,6.0,13,89,3,Monroe County,Mississippi
2020-03-14,24,24,12,17,17,5,18,19,5,197,1023,7,0.7,0.0,8.8,14,83,4,Monroe County,Mississippi
