date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,-6,-2,-2,6,0,2,7,195,1022,11,0.0,0.0,11.6,-7,60,2,Monroe County,Ohio
2020-03-02,9,9,2,3,3,4,6,7,9,205,1011,16,6.3,0.0,7.3,5,89,2,Monroe County,Ohio
2020-03-03,12,12,5,6,6,3,9,11,9,226,1004,16,12.7,0.0,5.8,7,90,3,Monroe County,Ohio
2020-03-04,11,11,1,2,2,4,5,7,8,244,1013,13,1.6,0.0,10.2,1,79,2,Monroe County,Ohio
2020-03-05,10,10,-1,4,4,5,5,6,3,181,1018,4,0.0,0.0,7.3,-1,71,2,Monroe County,Ohio
2020-03-06,4,4,-1,-2,-2,4,2,3,10,305,1016,14,2.9,2.4,5.9,0,85,1,Monroe County,Ohio
2020-03-07,7,7,-3,-2,-2,5,1,2,6,309,1032,9,0.5,0.3,8.7,-5,68,1,Monroe County,Ohio
2020-03-08,12,12,-2,3,3,6,6,7,6,205,1031,10,0.0,0.0,10.2,-1,68,2,Monroe County,Ohio
2020-03-09,14,14,4,7,7,6,9,10,8,211,1027,14,0.0,0.0,11.6,4,72,4,Monroe County,Ohio
2020-03-10,13,13,4,8,8,4,10,12,10,254,1019,17,24.9,0.0,5.9,8,89,3,Monroe County,Ohio
2020-03-11,13,13,1,6,6,4,7,9,3,230,1019,5,0.4,0.0,5.9,5,86,2,Monroe County,Ohio
2020-03-12,17,17,6,11,11,4,11,13,6,185,1013,9,5.4,0.0,8.8,8,83,3,Monroe County,Ohio
2020-03-13,11,11,4,8,8,5,10,10,11,279,1017,15,11.4,0.0,10.2,5,72,2,Monroe County,Ohio
2020-03-14,9,9,1,3,3,4,4,6,3,154,1031,5,2.0,1.0,7.4,-2,67,2,Monroe County,Ohio
2020-03-15,7,7,-1,0,0,4,3,4,7,44,1032,10,2.7,2.6,6.0,1,86,1,Monroe County,Ohio
2020-03-16,9,9,-1,3,3,6,5,6,4,179,1027,7,0.9,0.0,6.0,2,86,2,Monroe County,Ohio
2020-03-17,9,9,3,5,5,5,6,8,4,286,1024,6,5.0,0.0,6.0,5,90,2,Monroe County,Ohio
2020-03-18,13,13,1,6,6,4,7,9,5,136,1024,9,27.3,0.0,8.8,6,89,2,Monroe County,Ohio
2020-03-19,17,17,11,14,14,5,14,14,7,217,1019,11,32.0,0.0,6.0,14,94,3,Monroe County,Ohio
2020-03-20,19,19,13,17,17,4,18,18,13,252,1016,20,52.7,0.0,6.1,13,84,4,Monroe County,Ohio
2020-03-21,8,8,-2,0,0,6,3,4,7,127,1030,9,0.0,0.0,11.6,-3,66,2,Monroe County,Ohio
2020-03-22,11,11,-2,2,2,4,4,6,6,114,1030,8,1.1,0.0,10.2,-2,68,2,Monroe County,Ohio
2020-03-23,9,9,4,5,5,3,7,8,7,244,1020,10,9.2,0.0,6.1,5,90,2,Monroe County,Ohio
2020-03-24,13,13,1,5,5,4,6,9,4,88,1019,7,0.0,0.0,11.6,3,79,3,Monroe County,Ohio
2020-03-25,12,12,6,7,7,5,9,10,6,127,1013,8,8.3,0.0,7.5,6,86,2,Monroe County,Ohio
2020-03-26,17,17,5,10,10,4,11,13,6,213,1012,9,1.0,0.0,8.9,8,82,3,Monroe County,Ohio
2020-03-27,16,16,9,11,11,4,12,13,5,89,1012,8,10.4,0.0,7.5,10,90,3,Monroe County,Ohio
2020-03-28,23,23,13,17,17,5,18,19,7,218,1009,12,21.8,0.0,6.2,16,93,4,Monroe County,Ohio
2020-03-29,20,20,12,17,17,5,17,18,12,236,1009,19,9.5,0.0,7.5,13,80,4,Monroe County,Ohio
2020-03-30,8,8,5,4,4,6,7,7,10,271,1016,14,0.7,0.0,7.5,3,74,2,Monroe County,Ohio
2020-03-31,9,9,2,4,4,5,5,6,3,56,1014,5,0.7,0.0,6.2,2,83,2,Monroe County,Ohio
2020-04-01,11,11,3,4,4,4,6,8,6,344,1013,9,3.8,0.0,6.2,4,85,2,Monroe County,Ohio
2020-04-02,11,11,1,4,4,4,6,7,7,326,1019,10,0.1,0.0,10.3,2,79,2,Monroe County,Ohio
2020-04-03,14,14,2,6,6,6,8,10,7,323,1017,10,0.0,0.0,11.6,1,70,3,Monroe County,Ohio
2020-04-04,19,19,3,10,10,6,11,14,2,273,1017,4,0.0,0.0,11.6,4,67,4,Monroe County,Ohio
2020-04-05,12,12,8,10,10,3,10,11,3,285,1019,5,1.5,0.0,6.3,8,85,3,Monroe County,Ohio
2020-04-06,20,20,4,10,10,6,11,13,3,161,1019,6,0.0,0.0,11.6,5,70,4,Monroe County,Ohio
2020-04-07,20,20,9,15,15,5,15,16,5,216,1010,9,9.2,0.0,6.5,13,87,4,Monroe County,Ohio
2020-04-08,20,20,15,16,16,5,17,17,6,317,1003,10,26.8,0.0,9.0,13,84,4,Monroe County,Ohio
2020-04-09,10,10,2,6,6,4,9,10,13,283,1001,18,7.2,0.0,6.5,4,72,2,Monroe County,Ohio
2020-04-10,7,7,-1,-1,-1,6,3,5,11,296,1011,15,0.6,0.0,6.5,-3,67,1,Monroe County,Ohio
2020-04-11,12,12,-2,3,3,6,5,8,5,255,1017,8,0.0,0.0,9.1,0,71,2,Monroe County,Ohio
2020-04-12,17,17,5,10,10,5,11,12,7,176,1012,12,9.6,0.0,9.2,6,74,3,Monroe County,Ohio
2020-04-13,16,16,4,10,10,5,12,13,12,272,1004,19,28.9,0.0,6.8,9,85,3,Monroe County,Ohio
2020-04-14,7,7,1,1,1,5,3,5,5,257,1021,7,0.6,0.4,8.0,-2,69,2,Monroe County,Ohio
2020-04-15,10,10,-3,2,2,5,5,6,7,235,1018,10,3.9,0.1,10.4,-4,68,2,Monroe County,Ohio
2020-04-16,8,8,-4,-2,-2,5,1,4,7,271,1025,10,2.6,2.2,10.4,-5,66,1,Monroe County,Ohio
2020-04-17,14,14,-1,3,3,5,6,8,8,201,1018,11,17.0,0.0,6.8,1,74,2,Monroe County,Ohio
2020-04-18,10,10,1,2,2,4,5,6,7,294,1015,10,9.4,5.3,9.2,1,78,2,Monroe County,Ohio
2020-04-19,12,12,0,3,3,4,6,8,7,222,1012,11,2.6,0.0,9.2,2,81,2,Monroe County,Ohio
2020-04-20,14,14,4,8,8,5,9,11,6,215,1006,8,0.0,0.0,11.6,3,69,4,Monroe County,Ohio
2020-04-21,9,9,1,3,3,6,6,8,12,288,1008,18,3.0,0.0,9.2,0,67,2,Monroe County,Ohio
2020-04-22,12,12,-4,3,3,6,5,7,5,274,1018,8,1.0,0.0,10.4,-3,60,2,Monroe County,Ohio
2020-04-23,14,14,3,7,7,5,9,11,5,167,1009,7,11.1,0.0,6.9,7,90,3,Monroe County,Ohio
2020-04-24,18,18,9,12,12,4,13,14,6,231,1007,9,3.3,0.0,9.2,9,87,3,Monroe County,Ohio
2020-04-25,19,19,5,12,12,4,14,15,6,110,1012,9,10.3,0.0,8.1,9,83,4,Monroe County,Ohio
2020-04-26,12,12,6,8,8,5,10,11,9,251,1007,13,23.5,0.0,6.9,9,96,3,Monroe County,Ohio
2020-04-27,14,14,5,7,7,6,9,11,7,310,1020,9,0.1,0.0,8.1,3,71,3,Monroe County,Ohio
2020-04-28,16,16,7,9,9,3,10,10,5,185,1017,9,2.8,0.0,6.9,9,90,3,Monroe County,Ohio
2020-04-29,25,25,10,17,17,4,19,19,11,176,1007,17,8.1,0.0,8.1,11,75,4,Monroe County,Ohio
2020-04-30,13,13,7,8,8,3,10,11,9,215,1005,12,16.4,0.0,7.0,9,92,3,Monroe County,Ohio
2020-05-01,13,13,6,7,7,4,9,10,7,311,1013,9,3.0,0.0,7.0,6,87,2,Monroe County,Ohio
2020-05-02,21,21,5,12,12,4,13,14,7,192,1017,11,0.1,0.0,11.6,9,80,4,Monroe County,Ohio
2020-05-03,17,17,13,15,15,5,16,16,6,270,1011,10,10.2,0.0,7.0,15,95,4,Monroe County,Ohio
2020-05-04,15,15,7,8,8,4,10,12,7,331,1015,10,1.8,0.0,10.5,5,77,3,Monroe County,Ohio
2020-05-05,8,8,3,4,4,5,6,7,6,62,1013,10,0.3,0.0,8.2,2,73,2,Monroe County,Ohio
2020-05-06,11,11,3,4,4,4,6,8,8,329,1012,12,2.7,0.0,8.2,2,79,2,Monroe County,Ohio
2020-05-07,16,16,0,8,8,6,10,12,7,263,1014,11,0.3,0.0,11.6,1,62,4,Monroe County,Ohio
2020-05-08,9,9,1,4,4,3,6,7,6,308,1011,10,24.8,3.7,7.1,5,97,2,Monroe County,Ohio
2020-05-09,8,8,-5,-1,-1,5,2,4,9,291,1021,12,0.1,0.0,11.6,-5,65,2,Monroe County,Ohio
2020-05-10,16,16,0,5,5,5,7,11,9,233,1018,12,7.3,0.0,8.2,1,71,3,Monroe County,Ohio
2020-05-11,8,8,3,1,1,4,5,5,9,284,1019,13,3.7,0.6,7.1,1,85,1,Monroe County,Ohio
2020-05-12,12,12,-2,4,4,4,5,9,6,281,1024,8,0.0,0.0,11.6,-1,70,3,Monroe County,Ohio
2020-05-13,21,21,2,12,12,4,13,15,2,216,1026,4,0.0,0.0,11.6,4,69,5,Monroe County,Ohio
2020-05-14,22,22,6,13,13,4,14,16,7,208,1020,11,5.1,0.0,8.2,11,86,4,Monroe County,Ohio
2020-05-15,23,23,15,18,18,5,19,20,9,248,1015,14,11.4,0.0,11.6,16,88,5,Monroe County,Ohio
2020-05-16,18,18,16,17,17,3,17,17,4,198,1015,7,12.1,0.0,7.1,17,99,4,Monroe County,Ohio
2020-05-17,23,23,16,19,19,5,19,20,9,253,1013,14,12.9,0.0,7.1,17,91,5,Monroe County,Ohio
2020-05-18,22,22,16,18,18,4,19,19,5,120,1011,9,10.8,0.0,8.3,17,93,4,Monroe County,Ohio
2020-05-19,16,16,8,11,11,4,12,13,11,104,1015,18,30.6,0.0,7.2,11,93,3,Monroe County,Ohio
2020-05-20,13,13,6,7,7,3,10,9,10,81,1022,17,13.3,0.0,7.2,6,79,2,Monroe County,Ohio
2020-05-21,13,13,7,10,10,4,12,12,8,91,1021,13,11.0,0.0,7.2,11,93,3,Monroe County,Ohio
2020-05-22,25,25,13,17,17,4,17,20,3,223,1017,5,18.8,0.0,7.2,15,90,4,Monroe County,Ohio
2020-05-23,26,26,11,19,19,4,19,22,2,265,1017,3,0.0,0.0,10.5,14,78,5,Monroe County,Ohio
2020-05-24,28,28,15,21,22,5,22,24,4,217,1017,7,2.9,0.0,10.5,17,82,5,Monroe County,Ohio
2020-05-25,30,30,17,24,25,4,25,26,5,150,1018,8,0.3,0.0,11.6,17,75,7,Monroe County,Ohio
2020-05-26,29,29,16,23,24,4,24,26,5,142,1019,7,0.0,0.0,11.6,16,72,7,Monroe County,Ohio
2020-05-27,28,28,17,21,22,6,22,24,4,158,1018,6,0.2,0.0,9.4,17,77,5,Monroe County,Ohio
2020-05-28,26,26,18,21,22,3,22,22,6,225,1014,9,39.2,0.0,9.0,19,89,5,Monroe County,Ohio
2020-05-29,24,24,16,20,20,4,20,22,8,226,1014,13,14.3,0.0,10.1,18,89,5,Monroe County,Ohio
2020-05-30,22,22,10,16,16,4,16,19,6,293,1018,8,2.2,0.0,11.4,11,78,4,Monroe County,Ohio
2020-05-31,18,18,8,13,13,4,14,16,6,351,1023,9,0.0,0.0,13.5,6,68,5,Monroe County,Ohio
2020-06-01,22,22,5,15,15,5,16,18,3,238,1025,4,0.0,0.0,14.5,5,63,5,Monroe County,Ohio
2020-06-02,26,26,13,20,20,6,20,21,8,257,1016,12,0.0,0.0,11.4,13,65,5,Monroe County,Ohio
2020-06-03,28,28,19,22,23,5,23,24,10,256,1010,15,13.0,0.0,10.4,19,82,5,Monroe County,Ohio
2020-06-04,27,27,18,21,22,4,22,23,6,210,1011,9,10.7,0.0,9.3,19,91,5,Monroe County,Ohio
2020-06-05,28,28,17,22,23,5,23,24,4,245,1012,6,5.9,0.0,9.3,19,86,5,Monroe County,Ohio
2020-06-06,28,28,17,22,23,3,23,25,5,326,1013,8,0.7,0.0,11.4,16,76,5,Monroe County,Ohio
2020-06-07,24,24,12,18,18,6,19,21,6,133,1017,9,0.0,0.0,14.5,11,67,6,Monroe County,Ohio
2020-06-08,27,27,11,19,20,6,20,22,5,34,1017,8,0.0,0.0,14.5,11,65,6,Monroe County,Ohio
2020-06-09,32,32,15,25,26,6,26,28,5,197,1012,9,0.1,0.0,13.5,17,68,6,Monroe County,Ohio
2020-06-10,32,32,22,26,28,5,28,28,10,198,1009,15,6.8,0.0,11.4,21,76,6,Monroe County,Ohio
2020-06-11,25,25,16,20,20,5,20,22,7,283,1018,10,5.8,0.0,12.4,14,75,5,Monroe County,Ohio
2020-06-12,25,25,13,20,21,4,21,22,6,331,1023,8,0.0,0.0,14.5,12,69,6,Monroe County,Ohio
2020-06-13,19,19,11,14,14,5,14,15,6,39,1023,9,2.6,0.0,13.5,10,78,3,Monroe County,Ohio
2020-06-14,21,21,9,14,14,5,15,17,5,58,1023,8,8.9,0.0,11.4,12,82,4,Monroe County,Ohio
2020-06-15,24,24,14,18,18,4,19,21,6,108,1025,9,1.5,0.0,9.4,14,77,5,Monroe County,Ohio
2020-06-16,24,24,12,18,18,5,19,22,5,60,1026,8,0.0,0.0,14.5,12,71,6,Monroe County,Ohio
2020-06-17,22,22,13,17,17,5,17,19,6,54,1022,10,1.3,0.0,13.5,13,78,4,Monroe County,Ohio
2020-06-18,25,25,16,19,19,4,20,21,4,116,1017,7,8.3,0.0,10.4,17,91,5,Monroe County,Ohio
2020-06-19,26,26,14,19,20,3,20,22,3,187,1017,5,8.9,0.0,9.4,17,86,5,Monroe County,Ohio
2020-06-20,30,30,15,22,23,4,23,26,2,188,1016,4,0.0,0.0,14.5,16,74,7,Monroe County,Ohio
2020-06-21,31,31,16,23,24,5,24,26,4,217,1014,6,4.3,0.0,14.5,18,76,6,Monroe County,Ohio
2020-06-22,25,25,17,21,22,5,22,23,5,217,1012,9,17.6,0.0,9.4,19,90,5,Monroe County,Ohio
