date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-1,6,6,6,7,8,5,219,1023,9,0.0,0.0,10.1,0,63,3,Monroe County,Tennessee
2020-03-02,10,10,7,6,6,4,8,9,9,181,1016,16,3.9,0.0,5.6,6,85,2,Monroe County,Tennessee
2020-03-03,18,18,10,13,13,5,14,14,9,226,1010,15,21.6,0.0,5.7,11,89,3,Monroe County,Tennessee
2020-03-04,16,16,6,10,10,5,10,12,5,168,1016,8,0.5,0.0,8.6,6,73,3,Monroe County,Tennessee
2020-03-05,11,11,7,8,8,5,9,9,4,138,1018,7,3.6,0.0,8.6,7,87,2,Monroe County,Tennessee
2020-03-06,6,6,0,1,1,6,4,5,10,312,1023,14,0.1,0.0,7.3,0,74,1,Monroe County,Tennessee
2020-03-07,10,10,-2,1,1,6,4,5,8,42,1032,12,0.0,0.0,11.6,-3,68,2,Monroe County,Tennessee
2020-03-08,15,15,0,7,7,6,8,9,5,222,1033,9,0.0,0.0,11.6,1,66,3,Monroe County,Tennessee
2020-03-09,17,17,4,9,9,6,11,12,7,203,1031,12,0.0,0.0,11.6,5,69,4,Monroe County,Tennessee
2020-03-10,16,16,12,12,12,5,14,14,10,204,1024,16,3.2,0.0,5.9,11,88,3,Monroe County,Tennessee
2020-03-11,19,19,10,14,14,6,14,16,6,229,1019,9,2.0,0.0,7.4,12,84,4,Monroe County,Tennessee
2020-03-12,20,20,11,16,16,6,16,17,8,209,1014,12,1.2,0.0,6.0,13,84,4,Monroe County,Tennessee
2020-03-13,18,18,11,15,15,5,15,16,9,237,1020,13,4.6,0.0,8.8,12,79,4,Monroe County,Tennessee
2020-03-14,12,12,9,10,10,4,11,11,6,59,1026,9,3.6,0.0,6.0,7,79,3,Monroe County,Tennessee
