date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,6,6,6,6,9,10,11,302,1007,19,0.0,0.0,11.6,3,67,2,Montgomery County,Iowa
2020-03-02,8,8,0,0,0,6,3,3,8,294,1012,12,0.0,0.0,11.6,-3,64,2,Montgomery County,Iowa
2020-03-03,12,12,2,4,4,6,7,8,13,289,1007,21,0.0,0.0,11.6,-1,56,3,Montgomery County,Iowa
2020-03-04,13,13,3,6,6,5,8,8,10,281,1015,16,0.0,0.0,11.6,1,64,3,Montgomery County,Iowa
2020-03-05,11,11,4,3,3,6,8,8,21,311,1020,29,0.0,0.0,11.6,-3,49,3,Montgomery County,Iowa
2020-03-06,10,10,-2,0,0,6,3,4,8,212,1032,13,0.0,0.0,11.6,-5,59,2,Montgomery County,Iowa
2020-03-07,17,17,4,7,7,6,10,11,17,189,1022,27,0.0,0.0,10.2,-1,48,4,Montgomery County,Iowa
2020-03-08,19,19,9,11,11,6,13,13,19,193,1014,28,0.1,0.0,11.6,6,61,4,Montgomery County,Iowa
2020-03-09,12,12,-3,4,4,5,7,7,13,235,1015,16,6.9,0.0,5.9,6,88,2,Montgomery County,Iowa
2020-03-10,11,11,-1,2,2,6,4,5,6,197,1024,9,0.1,0.0,8.8,-2,68,1,Montgomery County,Iowa
2020-03-11,16,16,3,8,8,6,9,9,7,226,1015,11,0.0,0.0,11.6,3,69,3,Montgomery County,Iowa
2020-03-12,14,14,6,9,9,6,11,13,14,298,1008,21,0.9,0.0,10.2,5,66,3,Montgomery County,Iowa
2020-03-13,8,8,1,2,2,5,4,5,6,244,1027,9,0.8,0.0,7.4,-5,53,2,Montgomery County,Iowa
2020-03-14,2,2,1,-3,-3,2,1,1,12,83,1033,16,15.4,11.7,6.0,0,92,1,Montgomery County,Iowa
2020-03-15,2,2,-2,-3,-3,6,1,1,8,126,1036,11,0.4,0.2,6.0,-2,83,1,Montgomery County,Iowa
2020-03-16,7,7,0,1,1,5,3,4,4,211,1026,6,0.1,0.0,6.0,1,86,1,Montgomery County,Iowa
2020-03-17,10,10,0,2,2,6,5,5,7,113,1025,11,0.0,0.0,11.6,1,75,3,Montgomery County,Iowa
2020-03-18,14,14,6,8,8,4,9,10,8,129,1015,12,2.2,0.0,6.0,8,93,2,Montgomery County,Iowa
2020-03-19,21,21,11,14,14,4,16,16,10,252,1006,16,24.1,0.0,7.4,12,86,4,Montgomery County,Iowa
2020-03-20,2,2,-4,-6,-6,5,0,-1,16,353,1031,21,0.0,0.0,11.6,-7,61,2,Montgomery County,Iowa
2020-03-21,7,7,-4,-2,-2,6,1,2,7,178,1033,9,0.0,0.0,11.6,-7,58,2,Montgomery County,Iowa
2020-03-22,4,4,-3,-2,-2,4,2,3,10,137,1023,15,1.9,0.0,6.1,0,88,1,Montgomery County,Iowa
2020-03-23,9,9,2,4,4,4,6,7,7,161,1020,9,0.0,0.0,6.1,4,88,2,Montgomery County,Iowa
2020-03-24,12,12,4,5,5,6,8,8,9,141,1015,13,0.0,0.0,6.1,6,89,2,Montgomery County,Iowa
2020-03-25,18,18,7,10,10,6,12,13,11,189,1008,16,1.1,0.0,8.9,9,85,3,Montgomery County,Iowa
2020-03-26,11,11,7,6,6,6,9,9,11,50,1008,16,0.0,0.0,6.1,6,87,2,Montgomery County,Iowa
2020-03-27,10,10,8,7,7,6,9,9,9,81,1006,12,0.2,0.0,6.1,7,90,2,Montgomery County,Iowa
2020-03-28,19,19,7,10,10,4,12,14,16,163,997,23,3.6,0.0,6.2,7,80,3,Montgomery County,Iowa
2020-03-29,15,15,4,6,6,6,9,10,16,300,1012,23,0.1,0.0,11.6,-1,53,3,Montgomery County,Iowa
2020-03-30,17,17,4,9,9,6,10,12,6,101,1021,10,0.0,0.0,11.6,2,56,4,Montgomery County,Iowa
2020-03-31,17,17,7,11,11,6,12,12,7,139,1017,11,0.0,0.0,11.6,3,58,4,Montgomery County,Iowa
2020-04-01,20,20,7,11,11,6,13,14,14,168,1012,20,0.1,0.0,11.6,8,72,4,Montgomery County,Iowa
2020-04-02,15,15,10,12,12,4,14,14,14,160,1011,21,2.7,0.0,6.2,9,80,3,Montgomery County,Iowa
2020-04-03,5,5,-2,-5,-5,4,0,1,14,339,1022,18,1.2,0.8,8.9,-4,74,1,Montgomery County,Iowa
2020-04-04,11,11,-3,1,1,6,4,4,7,80,1024,10,0.0,0.0,11.6,-5,58,2,Montgomery County,Iowa
2020-04-05,15,15,0,5,5,6,8,9,9,154,1019,14,0.0,0.0,10.3,2,70,3,Montgomery County,Iowa
2020-04-06,18,18,9,12,12,4,13,14,12,181,1011,18,1.7,0.0,7.8,11,87,3,Montgomery County,Iowa
2020-04-07,25,25,12,18,18,5,18,20,8,255,1006,14,0.0,0.0,11.6,12,70,5,Montgomery County,Iowa
2020-04-08,21,21,9,14,14,6,15,17,11,282,1009,16,0.0,0.0,11.6,7,60,4,Montgomery County,Iowa
2020-04-09,10,10,2,2,2,6,6,7,15,316,1018,21,0.0,0.0,11.6,-4,48,3,Montgomery County,Iowa
2020-04-10,12,12,-2,2,2,6,5,6,8,216,1020,12,0.0,0.0,11.6,-5,49,3,Montgomery County,Iowa
2020-04-11,16,16,5,8,8,5,10,11,9,158,1005,15,0.6,0.0,6.6,6,77,3,Montgomery County,Iowa
2020-04-12,11,11,-1,0,0,4,5,6,20,357,1005,29,11.6,0.0,6.6,3,86,2,Montgomery County,Iowa
2020-04-13,5,5,-4,-5,-5,6,0,2,14,301,1022,19,0.0,0.0,11.6,-10,49,2,Montgomery County,Iowa
2020-04-14,7,7,-3,-2,-2,6,1,3,9,272,1023,12,0.1,0.0,9.2,-7,53,1,Montgomery County,Iowa
2020-04-15,8,8,-4,1,1,5,3,3,6,197,1021,9,0.5,0.2,11.6,-5,63,2,Montgomery County,Iowa
2020-04-16,3,3,-7,-5,-5,1,0,1,13,83,1025,18,25.9,21.1,6.8,-1,93,1,Montgomery County,Iowa
2020-04-17,5,5,-3,-3,-3,3,1,1,9,284,1022,14,5.9,5.9,11.6,0,92,1,Montgomery County,Iowa
2020-04-18,16,16,0,4,4,6,7,8,14,220,1012,21,0.0,0.0,11.6,3,76,3,Montgomery County,Iowa
2020-04-19,15,15,7,10,10,6,11,12,7,42,1011,11,0.0,0.0,11.6,5,68,4,Montgomery County,Iowa
2020-04-20,18,18,7,11,11,5,12,13,9,258,1009,13,1.0,0.0,9.2,5,65,3,Montgomery County,Iowa
2020-04-21,19,19,6,12,12,6,12,13,7,242,1014,12,0.0,0.0,11.6,6,65,3,Montgomery County,Iowa
2020-04-22,21,21,10,14,14,6,15,17,9,196,1008,14,1.5,0.0,10.4,10,71,4,Montgomery County,Iowa
2020-04-23,23,23,11,17,17,4,18,19,7,237,1003,11,0.1,0.0,11.6,9,67,5,Montgomery County,Iowa
2020-04-24,19,19,11,14,14,5,14,16,7,226,1008,10,4.5,0.0,8.1,10,75,4,Montgomery County,Iowa
2020-04-25,18,18,8,12,12,5,13,14,7,129,1015,11,4.0,0.0,9.3,7,74,3,Montgomery County,Iowa
2020-04-26,20,20,8,13,13,6,14,15,6,246,1019,10,0.7,0.0,11.6,7,67,4,Montgomery County,Iowa
