date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-1,5,5,6,6,8,5,216,1025,8,0.0,0.0,10.2,-5,47,2,Moore County,North Carolina
2020-03-02,17,17,5,10,10,6,11,12,9,212,1019,15,0.1,0.0,10.2,4,64,3,Moore County,North Carolina
2020-03-03,17,17,7,13,13,5,14,15,10,222,1011,15,12.7,0.0,5.9,13,91,4,Moore County,North Carolina
2020-03-04,13,13,7,10,10,5,11,12,5,133,1015,8,0.1,0.0,10.2,5,68,4,Moore County,North Carolina
2020-03-05,10,10,4,8,8,5,9,9,5,79,1019,8,24.8,0.0,5.9,6,82,2,Moore County,North Carolina
2020-03-06,12,12,5,6,6,5,8,10,11,302,1014,16,3.0,0.0,7.3,2,67,3,Moore County,North Carolina
2020-03-07,12,12,1,3,3,6,6,7,9,344,1028,13,0.0,0.0,11.6,-3,54,3,Moore County,North Carolina
2020-03-08,15,15,2,8,8,6,9,10,5,201,1035,8,0.0,0.0,11.6,-2,51,4,Moore County,North Carolina
2020-03-09,19,19,5,11,11,6,12,14,8,218,1033,13,0.0,0.0,11.6,4,60,4,Moore County,North Carolina
2020-03-10,17,17,13,14,14,6,15,16,10,224,1026,16,1.8,0.0,5.9,12,81,4,Moore County,North Carolina
2020-03-11,22,22,12,17,17,4,18,18,6,236,1018,10,1.2,0.0,8.8,13,80,4,Moore County,North Carolina
2020-03-12,23,23,12,18,18,4,19,19,4,176,1015,7,0.0,0.0,11.6,12,75,5,Moore County,North Carolina
2020-03-13,19,19,16,18,18,5,18,19,9,249,1017,16,5.0,0.0,6.0,15,84,4,Moore County,North Carolina
2020-03-14,15,15,9,11,11,6,12,13,7,61,1027,12,0.0,0.0,8.8,3,51,3,Moore County,North Carolina
2020-03-15,15,15,9,12,12,6,13,14,7,60,1026,10,0.7,0.0,6.0,8,74,3,Moore County,North Carolina
2020-03-16,14,14,8,9,9,6,10,11,6,52,1029,9,0.0,0.0,8.8,4,64,3,Moore County,North Carolina
2020-03-17,16,16,9,12,12,4,12,13,4,248,1024,6,1.9,0.0,6.0,10,85,3,Moore County,North Carolina
